序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,今天中秋，大家是不是都很期待夜晚的一轮明月呢，品月饼，赏圆月，人团圆，祝大家中秋节快乐，晚上赏月别忘添件衣裳哦。 ​​​​,否,,2012-09-30 17:51,1,2,赞,微博手机版,https://weibo.com/2525762990/yEhOV9ACi
1,为热烈庆祝《中华人民共和国献血法》颁布实施十四周年，9月29日上午，密云县献血办公室和县中心血站在密云大剧院采血车前共同举行了大型无偿献血宣传活动。密云献血状元耿满富、无偿献血志愿者孙政委参加了此次宣传活动，并各自捐献血液400毫升。 ​​​​,否,,2012-09-29 17:06,转发,1,赞,微博 weibo.com,https://weibo.com/2525762990/yE862kBUG
2,9月28日上午，交大附中密云分校举行了“2012——2013学年度交大附中校际留学启动仪式”。即为赴交大附中学本校“留学”一年的6名学生举行隆重的欢送仪式。这6名被选送的学生，都是经过班级推荐、年级考核、综合评定等层层选拔出来的品学兼优的优秀学生，送到示范学校接受优质教育。 ​​​​,否,,2012-09-29 16:34,2,3,1,微博 weibo.com,https://weibo.com/2525762990/yE7Th24as
3,9月24日澳大利亚墨尔本文学学院中学部主任Greg Hughes 带领两名教师和23名初二年级学生来交大附中密云分校进行了交流和互访。澳方学生和密云学生进行了外语学习方面的探讨和切磋。交大附中密云分校本着“继承、融合、发展”的工作思路，积极创办特色英语教学。 ​​​​,否,,2012-09-29 16:29,1,1,赞,微博 weibo.com,https://weibo.com/2525762990/yE7RexE6O
4,石城的彩葵花开，古北口的香草飘香，满山的红叶红了，满园的瓜果熟了，在这个美丽缤纷的季节，明月照亮中秋，朝霞喜迎国庆，亲们，远离城市的喧嚣，来密云欣赏多彩美景，品尝乡间美味，给自己的心灵也放个长假吧！宜居密云政务微博的全体工作人员，祝所有关心密云、喜爱密云的朋友们，两节快乐！ ​​​​,否,,2012-09-29 15:16,7,4,赞,微博 weibo.com,https://weibo.com/2525762990/yE7nBbUIe
5,上半年全市群众安全调查，采用计算机辅助电话调查方式，分别于3月下旬和6月下旬，在全市16个区县开展，累计拨打电话44293个，其中接受访问12689人，调查内容涉及群众对社会治安、自身安全风险的感受和评价；群众对当地社会治安状况的具体评价等方面。调查结果显示，密云县群众安全感居全市之首。 ​​​​,否,,2012-09-28 09:15,3,6,赞,微博 weibo.com,https://weibo.com/2525762990/yDVAsk8Ch
6,美人鱼//@震仔是美女: 还有胸围…哈哈…选美不？！…,是,密云水库的大鲤鱼，2012年的鱼王为一条青鱼，体长125公分，胸围78公分，体重55斤。 ​​​​,2012-09-27 09:42,7,4,赞,微博 weibo.com,https://weibo.com/2525762990/yDMl0pZMC
7,密云水库的大青鱼 ​​​​,否,,2012-09-27 09:38,26,10,赞,微博 weibo.com,https://weibo.com/2525762990/yDMjlAAb3
8,欢迎收看//@BTV财富故事: 昨天，密云水库已开渔，今晚，水库鱼就要下锅了。除了酱炖，垮炖这样传统吃法外，还将介绍重庆辣子鸡版的“麻辣鱼丁”，还有粤菜版水库鱼“浓汤鱼滑”，最后还有一点面粉都没加，纯鱼肉做成的“鱼面”。饕餮盛宴就在今晚的btv财经20:45《丰收正当时之 开渔尝鲜》,是,"昨天，经过5个多月休渔期的密云水库再次开库。来自水库周边多个村镇的160艘渔船相继离岸,在荡漾的碧波中撒下渔网，竞捕“鱼王”。开库首日，渔民们共捕捞鲜鱼9万多斤。其中，一条长1.25米、重55斤的大青鱼，当选首日鱼王奖。十一长假将至，来密云游玩，赏景、休闲之外，还一定要尝尝鲜美的水库鱼。 ​​​​",2012-09-27 09:31,8,2,赞,微博 weibo.com,https://weibo.com/2525762990/yDMgujKqm
9,密云水库的大鲤鱼，2012年的鱼王为一条青鱼，体长125公分，胸围78公分，体重55斤。 ​​​​,否,,2012-09-27 09:14,49,7,赞,微博 weibo.com,https://weibo.com/2525762990/yDM9q5eqa
10,"昨天，经过5个多月休渔期的密云水库再次开库。来自水库周边多个村镇的160艘渔船相继离岸,在荡漾的碧波中撒下渔网，竞捕“鱼王”。开库首日，渔民们共捕捞鲜鱼9万多斤。其中，一条长1.25米、重55斤的大青鱼，当选首日鱼王奖。十一长假将至，来密云游玩，赏景、休闲之外，还一定要尝尝鲜美的水库鱼。 ​​​​",否,,2012-09-26 10:09,65,7,赞,微博 weibo.com,https://weibo.com/2525762990/yDD5sjCrR
11,好大的鱼哦！,是,"9月25日，2012北京密云鱼王美食节开幕,今年的鱼王体长125公分，胸围78公分，体重55斤，是一条青鱼。“十一”长假,推出“采摘秋实 快乐密云；寻找秋色 缤纷密云；登高远足 健康密云；品味生活 时尚密云；休闲垂钓 渔乐密云；走进乡村 精致密云；跃动舌尖 美味密云；品读民俗 幸福密云”八大主题活动。 ​​​​",2012-09-25 15:44,19,4,赞,微博 weibo.com,https://weibo.com/2525762990/yDvQTurJJ
12,转发微博,是,#玩转四九城#【东方普罗旺斯——北京紫海香堤艺术庄园】北京也有普罗旺斯哦！就在我们美丽的密云。这里依山傍水，清风拂面的感觉一定可以令你心旷神怡，庄园内艺术气息极浓，每个品种的花卉自然的一片片相接，浑然一体。也理所当然成为新人婚纱摄影的好地方！@首创-澜茵山 ​​​​,2012-09-24 16:53,6,评论,赞,微博搜索,https://weibo.com/2525762990/yDmSrCO9N
13,转发微博,是,"""社区青年汇杯""密云县青年羽毛球大赛火热报名中！凡在我县居住、工作的18-40岁青年均可报名（在校生和国家注册运动员除外）。详情请见O网页链接 ​​​​",2012-09-24 16:53,2,评论,赞,微博搜索,https://weibo.com/2525762990/yDmSdrKgL
14,十一假期大家可以到密云石城镇的彩色向日葵主题公园赏赏景，千亩葵海的花期将持续一个半月。在密云县石城镇的彩葵园里，“乐翻天”、“醉云长”等十几种彩色葵花向阳绽放，红色、黄色、巧克力色的向日葵形成一片丰收的景象。进入深秋，金色向日葵、火红的高粱伴着绿油油的玉米，极具乡土风情。 ​​​​,否,,2012-09-24 14:11,18,5,1,微博 weibo.com,https://weibo.com/2525762990/yDlOAuLfN
15,金秋采摘来密云,是,9月20日上午，不老屯镇贡梨金秋采摘节在黄土坎村365日梨文化主题公园举行开幕式。开幕式演出展现了不老屯天鹅湖畔和贡梨之乡的双重特色，并展出了22个梨品种。 ​​​​,2012-09-24 13:59,2,评论,赞,微博 weibo.com,https://weibo.com/2525762990/yDlJW81Ao
16,密云警方40分钟成功解救被劫持人质,是,【密云警方40分钟成功解救被劫持人质】 ​​​​,2012-09-21 20:10,11,8,赞,微博 weibo.com,https://weibo.com/2525762990/yCVSVo057
17,激烈比赛,是,组图：“9球天后”潘晓婷水晶耳坠黑色战衣，闪耀登场。9月21日下午，2012CBSA北京密云“天合成”杯美式9球国际公开赛32晋16的一场比赛，潘晓婷对阵中华台北吴芷婷。O网页链接 ​​​​,2012-09-21 16:30,7,2,赞,微博搜索,https://weibo.com/2525762990/yCUrzxNUq
18,密云的由来,是,【“密云”名称的由来】#最IN北京#密云，从字面上看就是浓密的云朵。为什么这个地方会叫如此赋有诗情画意的名字呢？是因为在原密云县城南15千米处有一座高山，终年云雾缭绕，叫做密云山（今河北省丰宁县境内的云雾山），它所属县城就叫做密云县啦。小布悄悄告诉大家：密云县的花园村就是北京的最东端。 ​​​​,2012-09-21 16:29,6,5,赞,微博搜索,https://weibo.com/2525762990/yCUreyP9B
19,关注,是,#新闻播报#作为国际自盟职业公路自行车世界巡回赛的一站——2012环京赛将于10月9日至13日举办，届时将有包括中国在内的20支国际车队、160名运动员参加角逐。根据赛程安排，比赛分为5天进行，共设5个赛段，全程761.5公里，途经东城、西城、门头沟、密云、延庆等10个区县。 ​​​​,2012-09-21 14:11,5,1,赞,微博 weibo.com,https://weibo.com/2525762990/yCTxf8x5i
20,下午有可能出现阵雨，出门的童鞋们带好雨具。,是,【天空逐渐转阴沉 下午京城现阵雨】21日11时北京气象信息：午后天空云层逐渐增厚，下午到前半夜有阵雨，大部分地区雨量预计在3~5毫米左右，白天最高气温25℃。今天是周末，晚高峰又有降雨，请大家提前做好出行安排，雨量虽然不大，但外出仍要注意安全。后半夜降雨结束转为阴天，最低气温15℃。 ​​​​,2012-09-21 11:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2525762990/yCSlLf3rP
21,昨天，市民在采摘密云“长生梨”。9月20日，密云县不老屯黄土坎“抗氧化”鸭梨金秋采摘节开幕，密云650万公斤“长生梨”供游客采摘。这种“长生梨”因为生长在不老屯麦饭石上，含有丰富的维生素C及钙、锌等元素，极为抗氧化，咬一口放一夜后，仍不变色。 ​​​​,否,,2012-09-21 09:17,24,8,赞,微博 weibo.com,https://weibo.com/2525762990/yCRBFwa2r
22,秋风微拂，湖水荡漾。在密云水库大坝上看到水岸边的板栗树上果满枝头。这里的板栗，已连续5年没打一滴农药，防治虫害全靠一种名叫赤眼蜂的小虫儿。您可别小看赤眼蜂这个肉眼难以看到的小虫儿，它可为栗农做了大贡献还守护着密云水库的一汪净水。不打药就意味着不破坏生态环境，就能涵养密云水库水源。 ​​​​,否,,2012-09-20 10:37,6,1,赞,微博 weibo.com,https://weibo.com/2525762990/yCIHEskCW
23,2012年9月19日，国际9球公开赛密云站会外赛，中华台北美女选手何心如闪耀赛场。 ​​​​,否,,2012-09-19 15:36,4,6,赞,微博 weibo.com,https://weibo.com/2525762990/yCBeuvITp
24,9月18日密云县文化馆内，喜气洋洋。第八届“天桥杯”曲艺比赛密云预选赛的十几名曲艺爱好者们见到了著名快板表演艺术家、北京曲艺家协会顾问梁厚民，相声表演艺术家宋德全和铁片大鼓表演艺术家王淑玲。艺术家们不光“走基层”来到预选赛现场，还为选手们一一做点评，让身处远郊的曲艺爱好者受益匪浅。 ​​​​,否,,2012-09-19 11:11,2,1,赞,微博 weibo.com,https://weibo.com/2525762990/yCzv77DJc
25,我刚更新了#微博客户端夏日版#，全新推出微博好友列表、手机通讯录找好友、摇一摇互粉、微博表态、兴趣社区等众多功能。清凉夏日版，快来和我一起开启微博新能量吧！O网页链接 ​​​​,否,,2012-09-18 18:43,转发,评论,赞,iPhone客户端,https://weibo.com/2525762990/yCt2bqmNT
26,蓝天白云，秋高气爽。静谧的密云水库将大美的北京风光体现得淋漓尽致。 ​​​​,否,,2012-09-17 13:49,34,4,赞,微博 weibo.com,https://weibo.com/2525762990/yChG3pBQv
27,转发微博。,是,依法有序的表达，可以让我们共同的声音更响亮，我们的领土不容侵犯，侵犯者必付出代价，这是“中国好声音”。鲁莽甚至违法的行为，不仅会让别人的合法权益受到侵害，自己也会被依法处理。哪些事可以做，哪些事不可以做，标准很简单，请做爱国守法公民，共同为中国加油。 ​​​​,2012-09-17 10:11,转发,评论,赞,政府版微博,https://weibo.com/2525762990/yCgfKwLZw
28,密云石城镇建成微缩景观式艺术农田迷宫。该创意景观基于玉米迷宫的理念，嵌入石城镇微缩景观地图的创意，结合艺术图案设计。迷宫设计总长2.7公里，主要作物材料包括玉米、油葵、高粱、彩葵等。迷宫的主体形状犹如一条蜿蜒的藤蔓，象征着石城镇“生态友好，亲近自然”的风貌。 ​​​​,否,,2012-09-14 08:47,13,4,赞,微博 weibo.com,https://weibo.com/2525762990/yBNqh8wIS
29,金秋密云黑龙潭水上娱乐颇受欢迎，水上双人自行车项目，水上软桥、水上跨板、水上软梯、跨越水上浮萍等。活动区水域面积8000多平方米，水上活动新颖独特，具有趣味性、挑战性，可放松心情，锻炼身体。黑龙潭处处浓浓的绿色，您可以在绿荫下乘凉，呼吸清新的空气，为您带来一次金秋清凉的洗礼。 ​​​​,否,,2012-09-13 09:16,11,4,赞,微博 weibo.com,https://weibo.com/2525762990/yBEbtq7fa
30,9月10日密云法院太师屯法庭法官在下乡开庭时，首次使用了3G技术对庭审现场实时拍摄，拍摄数据实时回传至法院。这种被称为“数字移动法庭”的系统首次在本市法院中使用。在高岭镇大开岭村，审理的是一起乡邻纠纷。“数字移动法庭”利用3G无线通讯技术，全程记录案件审理过程便于监督，规范法官审判。 ​​​​,否,,2012-09-13 09:05,2,1,赞,微博 weibo.com,https://weibo.com/2525762990/yBE74FOsR
31,9月2日，密云二中校园警务工作室正式挂牌成立，至此，密云县已成立密云二中、北京师范大学附属密云实验中学和密云县职业学校3个校园警务工作室。警务室各有一名阅历深、经验丰富的民警常驻校办公，负责校园内的安全管理、普法教育、宣传防范以及校园周边秩序的维护工作。 ​​​​,否,,2012-09-12 10:23,5,5,赞,微博 weibo.com,https://weibo.com/2525762990/yBvc9sEng
32,欢迎您来到密云。,是,我在这里: #密云县人民政府#文化馆宣讲团密云专场。 2北京·密云县政府 ​​​​,2012-09-12 10:19,1,评论,赞,微博搜索,https://weibo.com/2525762990/yBvaC2ZYG
33,午后小到中雨，外出别忘带雨具。,是,【11日早晨6点北京天气预报】今天上班有轻雾，白天阴，中午到前半夜有小到中雨，南风二三级，最高气温25℃，能见度较低，出行注意安全。今天夜间阴有阵雨转多云，南转北风二三级，最低气温17℃。明天会有四到五级北风，请及时添加衣服，谨防着凉感冒。 ​​​​,2012-09-11 09:33,1,评论,赞,微博 weibo.com,https://weibo.com/2525762990/yBlrobJBj
34,在密云新城子镇大角峪村软陶工作室，造型逼真形态各异的软陶工艺品吸引人眼球。7月大角峪村村官张佑从团中央引来了“快乐做软陶、助学微力量”公益项目，帮助残疾儿童进行康复训练，同时帮助村留守妇女增收。村民熟练掌握了软陶的制作工艺，能够完成小型工艺品、摆件、壁画三大类数十种软陶工艺品。 ​​​​,否,,2012-09-11 09:28,6,2,赞,微博 weibo.com,https://weibo.com/2525762990/yBlpgp8XA
35,昨天“北京温暖集结号公益平台”近100名志愿者来到密云县冯家峪村，邀请该村敬老院100余鳏寡孤残老人吃涮肉、看文艺节目。一场深度关爱山区孤寡老人的精神世界为主题的“大山里的堂会”正式拉开帷幕。该组织由企业家和社会精英等年轻志愿者组成，每个月都会到敬老院看望老人并且多年来始终坚持如一。 ​​​​,否,,2012-09-11 08:43,14,8,赞,微博 weibo.com,https://weibo.com/2525762990/yBl729MM6
36,教师节快乐！祝老师们身体健康，工作顺利！,是,有没有那么一句诗，让我能寄托这份感恩；有没有那么一首歌，让我可将祝福唱给您听；有没有那么一个日子，让我们一同铭记这份永恒！ 1400万辛勤的园丁，你们是人生的引领者，是智慧的传递者，是伟大的缔造者，今天是第28个教师节，让我们真诚地对您说一声：老师，您辛苦了！教师节快乐！ ​​​​,2012-09-10 16:48,转发,评论,赞,微博 weibo.com,https://weibo.com/2525762990/yBeRg3brb
37,密云水库寻源,是,【密云水库管理处团员青年寻白河源】近日，密云水库管理处团委组织该处团员青年40余人寻白河源。据悉，白河是密云水库的主要入库河流之一，发源于河北省沽源县。白河源之行，大家了解到沽源人民按照“把风沙阻在沽源，把清风净水送到京津”的思路，构筑了一道道保护京津的绿色生态屏障治理白河源头 ​​​​,2012-09-10 14:18,转发,1,赞,微博 weibo.com,https://weibo.com/2525762990/yBdSF99RN
38,9月8日，朝阳区劲松街道的中心广场上热闹非凡，社区居民代表们欢迎来自“鱼王的家乡”—密云县的欢乐大篷车来到家门口。此次满载而来的不仅有最时鲜的农产品，更有2012年首次评选出的几十种“云礼”！“密云礼物”，是在北京市旅游委号召开展的“北京礼物”评选活动中在密云县诞生的地方特色旅游商品。 ​​​​,否,,2012-09-10 10:36,10,1,赞,微博 weibo.com,https://weibo.com/2525762990/yBcqxokzG
39,港中旅密云南山房车小镇国庆长假邀请您：万斤天然玉米、千棵自然生长板栗等你采摘！想用原汁原味的本地原料参加野炊厨艺比赛吗？来密云南山房车小镇吧，尝试一下自产、自制、自品的乐趣吧，还有机会赢取比赛的奖品呦！美式房车体验，德国房车驾驶巡游，尽在港中旅密云南山房车小镇。咨询电话：89097788 ​​​​,否,,2012-09-07 09:36,11,4,赞,微博 weibo.com,https://weibo.com/2525762990/yAJKv3aFX
