序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,"身虽""卑微""爱心尊荣 残疾拾荒父子义捐47块2毛""巨款""感动网络 -    O网页链接 ​​​​",否,,2012-09-28 09:07,转发,评论,赞,bShare分享,https://weibo.com/2857736295/yDVx85mD7
1,关于第十二届精神文明建设“五个一工程”(2009 - 为充分体现公开、公平、公正的原则，广泛听取社会各方面意见，现将第十二届精神文明建设“五个一工程”（2009-2012年）入选作品予以公示。      O网页链接 ​​​​,否,,2012-09-25 15:10,转发,评论,赞,bShare分享,https://weibo.com/2857736295/yDvCV6Ul1
2,转发微博,是,"#喜迎十八大网络传播活动#O网页链接【网友热播榜:公益广告郭明义篇】郭明义23年无偿献血29次，捐血小板49次，累计捐款20万元。成立""爱心团队""帮助弱势群体，成员近3千余人，资助千余名学生。""有人说他是郭傻子，问他做那些图啥""。老郭说:""图啥！帮助别人，快乐自己。""O网页链接 ​​​​",2012-09-24 12:27,转发,评论,赞,微博 weibo.com,https://weibo.com/2857736295/yDl8fBXf1
3,49年前欠医院18元钱 诚信父子49年后感恩还账3万元 -    O网页链接 ​​​​,否,,2012-09-24 12:04,转发,评论,赞,bShare分享,https://weibo.com/2857736295/yDkZ3lZfe
4,承诺不开车 O网页链接 ​​​​,否,,2012-09-21 11:33,转发,评论,赞,分享按钮,https://weibo.com/2857736295/yCSuR0bAt
5,#晒一晒家乡的月儿圆# 中秋快乐 ​​​​,否,,2012-09-21 10:11,转发,评论,赞,微话题-晒一晒家...,https://weibo.com/2857736295/yCRXLmUy8
6,//@中国文明网: 可敬的孩子！,是,#喜迎十八大##道德90后#【黄李贵背同学4年:两个人上学 一个人走】黄李贵每天准时来到汤华涛的家，默默地背同学到课堂，上学、放学，每天四趟，四年，风雨无阻。小小的的背脊，大大的承诺。两个并无血缘关系的孩子，用行动诠释着人间真情。O网页链接 @中国文明网 ​​​​,2012-09-21 09:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2857736295/yCRwrCjXc
7,伸出援助之手帮帮孩子//@中国文明网: #最美人物#//@lady南国: //@喵喵宇宙的春天: 转发微博,是,#寻找最美安徽好人#请大家伸出援手帮助这个孩子【淮南9岁女童辍学照顾瘫母两年多】白天，琪琪为母亲擦洗伤口，清理褥疮，端屎端尿；夜里，她就坐在病房的椅子上睡觉，每隔两小时，她就要起来给妈妈翻身……O网页链接 @中国文明网 ​​​​,2012-09-21 09:01,转发,评论,赞,微博 weibo.com,https://weibo.com/2857736295/yCRvw0ylS
8,要像小时候那样，充满幻想和希望~ O密云古北口 ​​​​,否,,2012-09-21 08:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2857736295/yCRuy1k5W
9,喜欢忙碌的生活 ​​​​,否,,2012-09-20 14:25,转发,评论,赞,微博 weibo.com,https://weibo.com/2857736295/yCKcwmnRF
10,偷偷笑一笑，烦恼都忘掉！ O密云古北口 ​​​​,否,,2012-09-19 12:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2857736295/yCA0WCRy7
11,生活无变化，写个心情求刺激！~ O密云古北口 ​​​​,否,,2012-09-18 10:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2857736295/yCpMY090R
12,"【""最美兵哥""勇救助落水学生】7月25日，湖南新邵一中学生在河边玩耍，不慎跌入河中，被大浪卷向6米外，在家探亲的广州军区某炮兵旅无人机队有线班班长雷湘君听到求救声，立刻奔向事发点，跳入江中将邓彬救起，自己却因体力透支、呛水昏倒。群众将这幕拍下来并上传至网上，网友们称雷湘君为""最美兵哥"" ​​​​",否,,2012-09-18 10:17,转发,评论,赞,微博 weibo.com,https://weibo.com/2857736295/yCpIyEpH9
13,转发微博,是,"【25年义务修鞋 鞋铺中续写雷锋精神】1988年初孟广彬只身一人来到哈尔滨,先后搬过砖、卖过豆腐,在他陷入困境时,哈尔滨南岗区和兴路街道党组织破例批准他搭建鞋棚。如今,25年已经过去,他都不清楚自己在这个岗位上义务修了多少双鞋,但是受益居民的心里却有数,称他为“活雷锋”。O网页链接 ​​​​",2012-09-17 09:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2857736295/yCfUqu2Xq
14,"一封来信引发的新闻:89岁老人和他的""五老""讲师团 -    O网页链接 ​​​​",否,,2012-09-14 11:29,转发,评论,赞,bShare分享,https://weibo.com/2857736295/yBOtPCAvd
15,转发微博,是,正在录制青海卫视@时尚健康TV ，教大家怎么吃螃蟹，怎么选螃蟹！见到了『新水浒』中演青的扮演者@严宽 ，还有老朋友@边策Ce 马上就是品蟹的好时节，你知道怎么挑螃蟹吗？ ​​​​,2012-09-13 09:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2857736295/yBEir7r3a
16,真可爱//@冰棍儿雨: 这是我们的歌。你们抄袭，，， //@吴琼_endless:我手里拿着小皮鞭我心里真得意，不知怎地哗啦啦啦地摔了我一身泥,是,我有一只小毛驴，我从来也不骑！有一天我心里高兴，骑着去赶集~！！  ​​​​,2012-09-13 09:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2857736295/yBEhkfsem
17,我正乐着呢~哈哈哈哈哈~~ O密云古北口 ​​​​,否,,2012-09-13 09:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2857736295/yBEfqEzzz
