序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@政府微博助理: 校车司机心脏病发安全停车救下38名学生。好人一路走好！,是,【校车司机心脏病发安全停车救下38名学生】台湾高雄市树德家商校车司机李志明17日上午载学生上学途中身体突发不适，他强撑努力打空档，降低车速，车靠右滑行200多米后，卡在路旁民宅停住。李志明经送医不治，但车上的38名学生毫发无伤。O网页链接 ​​​​,2012-09-19 19:54,转发,评论,赞,专业版微博,https://weibo.com/2649708923/yCCVdD9Fj
1,早安！祝老师们身体健康，节日快乐！ ​​​​,否,,2012-09-10 08:53,转发,评论,赞,专业版微博,https://weibo.com/2649708923/yBbKJAmSu
2,惠新苑搪瓷厂院内一直存在道路坑洼不平，路边破损，居民车辆停放与出行造成不便。居民对此向社区提出希望改造院内道路要求。惠新苑社区对居民要求和道路情况作出充分调查，向街道作出汇报，街道本着为居民办实事的精神，筹措资金并在十八大之前争取为居民建成一条崭新的院内道路。 ​​​​,否,,2012-08-31 17:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708923/yzILexz3P
3,惠新苑社区组织学生观看《变暖的地球》科教影片，影片通过大量的科学数据和缜密的分析，讲述了全球变暖的趋势和危害。告诉学生要保护地球，创造美好的家园。 ​​​​,否,,2012-08-31 17:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708923/yzIGjzW8X
4,明天起，城镇居民2013年基本医疗保险参保缴费手续开始办理，时间截至11月30日，缴费标准不变。城镇老年人个人缴费300元；学生儿童个人缴费100元；城镇无业居民个人缴费600元，残疾无业居民个人缴费300元。 ​​​​,否,,2012-08-31 16:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708923/yzIyrpKwq
5,朝阳区现公开招考社区工作者，小关街道招考社区服务站专职工作人员14人，考生通过朝阳区人事考试中心网站（www.cpta.gov.cn)进行网上报名。 ​​​​,否,,2012-08-22 15:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708923/yylfrgXVW
6,惠新苑社区关注老年人健康生活，为80岁以上行动不便有需求的老年人家庭安装厕所扶手，希望通过安装扶手，可以更好地保障老年人行动安全，为老年人的生活提供方便。 ​​​​,否,,2012-08-18 15:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708923/yxJFU4rZ4
7,惠新苑社区举办一场别开生面的厨艺大比拼活动，前来参赛的9名选手各显神通，各自拿出看家本领，炒、炸、煮、煎一并用上，一盘盘美味菜肴呈现在大家面前。 ​​​​,否,,2012-08-13 14:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708923/ywY2z6J8p
8,惠新苑社区暑期活动，举行“学习弘扬雷锋精神，争做文明有礼的北京人”主题教育活动演讲比赛。激发同学们关爱他人、关心集体、奉献社会的热情。同学们的发言绘声绘色，声情并茂，彰显出现代青少年学生做雷锋精神传人，争当“五好少年”的精神风貌。 ​​​​,否,,2012-08-13 09:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708923/ywVXDr6Zw
9,转发微博,是,#聚焦奥运#【今日看点】２日，伦敦奥运会将决出１８块金牌，决赛项目包括游泳、体操、乒乓球、射击、射箭、柔道、击剑、自行车、赛艇、皮划艇。在柔道赛场，中国队有望迎来本届奥运第一金。乒乓球将决出男子单打金牌。中国女子射箭的年轻选手将冲击个人赛奖牌乃至金牌。一起为中国体育健儿们加油！ ​​​​,2012-08-02 15:32,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708923/yviH3FSha
