序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,愿这轮圆月给怀柔人民带来平安幸福！,是,但愿人长久，千里共婵娟！值此中秋佳节，愿天下人圆家圆事事圆！就如这轮圆月！@山水怀柔 @水中倒立的猪 @江洋的菜地 @一念牵愁 我在:O网页链接 ​​​​,2012-09-30 19:08,3,评论,赞,iPhone客户端,https://weibo.com/2590506210/yEikjhSVC
1,介个是重要讯息，想入伍的童鞋抓紧报名吧！[自行车],是,【今冬征兵全部网上报名】本市2012年冬季征兵已启动。男女适龄青年参军报名将全部在网上进行，不在网上报名将无法参加下一步的体检等。应征的适龄男青年可于10月1日8时—10月31日18时登录首都征兵网报名；女青年可于9月28日至—10月31日，登录首都征兵网或国防部女兵网上报名系统报名。 ​​​​,2012-09-30 18:14,转发,评论,赞,iPhone客户端,https://weibo.com/2590506210/yEhY5p4Za
2,愿今晚月圆人团圆，赏月的时候记得多加衣服，还有月饼很甜，也不要多吃哦~,是,【晴空皓月伴佳节 阳光普照庆国庆】30日16时北京气象信息：适逢中秋佳节天公作美，晴朗的月夜演绎着相思的旋律，借明月把祝福传递给你，但早晚气温较低，最低气温11℃，赏月的同时记着披件外套哦。明天是普天同庆的国庆佳节，晴空依旧，最高气温27℃，非常适宜外出休闲，但空气干燥，注意补水。 ​​​​,2012-09-30 16:52,2,评论,赞,微博 weibo.com,https://weibo.com/2590506210/yEhr32rQt
3,好的开始哦~//@怀柔区旅游发展委员会: 今天来怀柔的交通非常好，一切正常。//@怀北国际滑雪场:,是,长假有喜又有愁，出门堵车看人头？不与大众争景点，世外桃源在怀柔！怀北国际汽车营地，一小时车程，换一个世界，清幽自驾、烧烤、露营度假胜地，拒绝看人头！@怀柔信息网 @怀柔区旅游发展委员会 @爱怀柔 @文明怀柔 @山水怀柔 @策冰绢 ​​​​,2012-09-30 16:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2590506210/yEhpK5Y9m
4,#给您提个醒#9月29日中午12：00到9月30日中午12：00我区空气污染指数37，空气质量：一级优，主要污染物为可吸入颗粒物。这样的空气，还等什么！这个假期怀柔欢迎您！ 我在:O网页链接 ​​​​,否,,2012-09-30 15:26,转发,评论,赞,iPhone客户端,https://weibo.com/2590506210/yEgS47Gow
5,,是,【今夜赏月天作美】中央气象台消息，中秋夜，大部分城市以晴间多云为主，大气透明度好，风清月朗，适宜赏月。但新疆西部、四川南部山区和四川盆地、云南中西部等地天空云量较多，可能与明月无缘。正值秋季，昼夜温差大，尤其是北方地区更加明显，外出赏月注意添加衣物。 ​​​​,2012-09-30 15:17,2,1,赞,iPhone客户端,https://weibo.com/2590506210/yEgOkaEUy
6,美！ //@江洋的菜地:@山水怀柔,是,一路向北 秋风已将长哨营满族乡的树叶染红! ​​​​,2012-09-30 13:21,转发,1,赞,iPhone客户端,https://weibo.com/2590506210/yEg3vgUzi
7,好美的天河川，八天长假分一天给那里吧！,是,连续跑了两天 在放假的第一天终于交作业了！ 一组《天河晨曦》，愿大家十一快乐！@山水怀柔 ​​​​,2012-09-30 13:10,2,评论,赞,iPhone客户端,https://weibo.com/2590506210/yEfYVzNdo
8,但愿人长久，千里共婵娟！,是,此时的你在家？在旅行？还是在归乡的路上？小会长搜到一张[月儿圆]，你那里的月亮有这么圆吗？随手拍[满月]，微博送祝福，共贺双节愉快[得瑟] ​​​​,2012-09-30 12:19,转发,评论,赞,iPhone客户端,https://weibo.com/2590506210/yEfEb20Zi
9,这样的天气最适合爬长城了！走起！ //@怀柔区旅游发展委员会:慕田峪风景确实让人流连忘返，出发！,是,@遥儿-遥儿 @怀柔区慕田峪村 @怀柔区旅游发展委员会 @门昊门昊 @JH浩天 如洗的碧空，雄浑的长城，勾勒出一幅美丽的画面。在这里，只为等待每一双发现美丽的眼睛 ​​​​,2012-09-30 11:24,3,1,赞,iPhone客户端,https://weibo.com/2590506210/yEfhJf4K0
