序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,#给您提个醒#【秋雨送秋凉】酝酿多日的水汽将在今天转变成一场阵雨，预计中午前后到夜间会有持续降水，雨量不大，在小雨级别，南部地区降水略大。这场降雨将可能带来入秋来最低的气温，今日最高气温也仅22摄氏度，夜间更是低到14摄氏度。明天将转为多云天，但冷空气的影响可能要持续到后天哦。 ​​​​,2012-09-25 13:50,转发,评论,赞,专业版微博,https://weibo.com/2649762001/yDv6EktuD
1,转发微博,是,#交通微笑#+儿童们千奇百怪的睡姿！睡得那叫一个香！ O网页链接 ​​​​,2012-09-25 13:49,转发,评论,赞,专业版微博,https://weibo.com/2649762001/yDv67exTE
2,转发微博,是,【陕西榆林府谷县一煤矿发生缺氧窒息事故 致5人死亡】9月24日上午，榆林市府谷县一煤矿发生井下缺氧窒息事故，导致在井下作业的7人中5人死亡，目前事故原因调查和善后处理工作正在进行之中。O网页链接 ​​​​,2012-09-25 13:48,转发,评论,赞,专业版微博,https://weibo.com/2649762001/yDv5E0D0K
3,转发微博,是,,2012-09-20 08:38,转发,评论,赞,专业版微博,https://weibo.com/2649762001/yCHVA8GVK
4,转发微博,是,生命并没有价值，除非你选择并赋予它价值。没有哪个地方有幸福，除非你为自己带来幸福。 ——亨利·戴维·梭罗  早安 ​​​​,2012-09-20 08:37,转发,评论,赞,专业版微博,https://weibo.com/2649762001/yCHVccrDu
5,转发微博,是,#早安#【健康饮食】苹果牛奶原料：苹果250克、牛奶200克做法：将苹果洗净切块加入牛奶即可。减肥原理：苹果的膳食纤维含量很丰富，也含有大量的果胶，对于整肠及调整肠道菌有很大的帮助。另外，牛奶也是能加快燃脂的理想饮品哦! ​​​​,2012-09-20 08:36,转发,评论,赞,专业版微博,https://weibo.com/2649762001/yCHUFmYqd
6,转发微博,是,"【北京“阿甘”跑25公里去上班】家住金鱼池小区的49岁居民孟广平，6年来爱好长跑。他上班的工厂离家25公里，孟广平每周5天里至少3次跑着上班，风雨不误。在@挑战8小时慈善徒步越野赛 中，孟广平夺得40公里挑战赛第一名。""我做不了阿甘，跑步是我生活中的一部分，只是一个乐趣。""O网页链接  ​​​​",2012-09-14 14:37,转发,评论,赞,专业版微博,https://weibo.com/2649762001/yBPI3quOF
7,转发微博,是,#魅力朝阳#从今天起将连续四天向市民奉上科技“狂欢节”的第二届科学嘉年华，昨晚在奥林匹克公园国家体育馆东广场拉开帷幕。每天早9点到晚9点，市民都可以体验到200多个中外互动科普项目。在位于嘉年华会场西北角的航空飞行体验馆，市民还可通过航空飞行模拟体验，学习“开飞机”。 ​​​​,2012-09-14 14:36,转发,评论,赞,专业版微博,https://weibo.com/2649762001/yBPHO4ARF
8,转发微博,是,#安全自驾游#有些司机不相信后视镜，在超车变道时都要扭头，通过车窗查看汽车后面和两侧的情况。这种做法也不可取。汽车在路上高速行驶，前方的路况千变万化，说不定在你回头的一刹那，就会发生事故。所以，后视镜还是要看的，只要掌握了使用它的方法和技巧，就会大大减少后视镜盲区带来的危害。 ​​​​,2012-09-14 14:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yBPHeiUtn
9,转发微博,是,【解放军报：日本休想攫取我国半寸领土】日本政府强行推进钓鱼岛“国有化”进程的本质，是以“切香肠”方式蚕食中国固有领土。严重低估中国人民的智慧，更低估了中国人民捍卫领土主权的意志和力量。奉劝日本政府不要自作聪明，赶紧悬崖勒马！中国人民决不容许他国攫取半寸领土！ O网页链接 ​​​​,2012-09-13 09:43,转发,评论,赞,专业版微博,https://weibo.com/2649762001/yBEmdbAJn
10,转发微博,是,【向勇敢的记者致敬！】他连续四天在火车站假扮智障人，拣烟头、抢食地摊上吃剩的凉皮，最终“如愿”以500元的价格被卖进黑窑厂干活，卧底期间多次被打，趁喝水之机上演生死逃亡。后协助警方，控制了8名黑窑厂老板和招募人，解救智障奴工30名。他叫崔松旺，河南电视台记者。 O网页链接 ​​​​,2012-09-13 09:41,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yBElxcIBm
11,//@甘家口空军总医院社区: #健康知识#多吃水果，有益健康。,是,【凤尚志】水果吃掉癌。1芒果，芒果中的多酚可以抑制癌细胞，女性多食芒果，有预防乳腺癌的作用；2柑橘，富含维生素c，可防止亚硝胺生成，适宜胃癌、喉癌、乳腺癌和肺部肿瘤患者食用。3猕猴桃，维生素c含量为橘子的4-12倍，其所含的物质可阻断人体内亚硝胺生成，有良好的防癌抗癌作用。 ​​​​,2012-09-13 09:38,转发,评论,赞,专业版微博,https://weibo.com/2649762001/yBEklCoFv
12,转发微博,是,认识一个什么样的人，就是选择什么样的生活；知识达到什么样的层阶，就是瞩望什么样的未来。爱上一个人可以爱上一座城市，爱上一座城市可以爱上一种生活方式，爱上一种生活方式可以爱上一种人生道路，爱上一种人生道路可以成就一种人生梦想。好好牵一个人的手，闭着眼睛也不会迷路。 ​​​​,2012-09-12 14:55,转发,评论,赞,专业版微博,https://weibo.com/2649762001/yBwYm82kP
13,//@listentolife: 钓鱼岛是中国的//@杨锦麟: 转发微博,是,转发关于钓鱼岛的报纸头版总览@任志强@王利芬@袁岳@我是西蒙周@五岳散人@王永 戴小京@传媒老王@孙云晓@尹鸿@谢文@段郎说事@薛蛮子@传媒人苏见@刘兴亮@查立@作家天佑@行者孙冕@曹景行@主持人杨锐@韩仁均叔叔@袁莉wsj@王冉@顾一丹@老沉@许纪霖@赵晓@袁国宝@杨锦麟@张醒生@张书新 ​​​​,2012-09-12 14:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yBwXUExfJ
14,转发微博,是,昨夜的雨水过后，今天的北京阳光灿烂，空气格外清新，但刮起了4、5级的北风[bed凌乱]进入秋季，风干物燥，火险等级升高，大家要做好大风天气火灾防范工作，及时清理家中的可燃杂物，消除潜在的火灾隐患。喜欢抽烟的朋友不要乱丢烟头哦。[带感] ​​​​,2012-09-12 14:53,转发,评论,赞,专业版微博,https://weibo.com/2649762001/yBwXJ9dzX
15,转发微博,是,合肥晚报：29日孙先生将4岁儿子送往医院，称孩子服用过期药物，而原因居然是模仿电视剧里炼丹药情节。药品要放在孩子够不到的地方。发生误服，如清醒可饮入大量清水催吐，直到吐出的水与饮入水颜色基本相同，此时也可大量饮水，促进排尿。意识不清或症状严重，及时就医，心跳呼吸停止，立即心肺复苏。 ​​​​,2012-08-31 10:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yzGc6DaOA
16,转发微博,是,【四川攀枝花矿难已致37人遇难 107人生还】记者31日凌晨从攀枝花肖家湾煤矿瓦斯爆炸事故指挥部获悉，事故已致37人死亡，107人生还，54名伤员正在医院救治。事故发生时，下井人数为154人。104名矿工升井，其中3人送往医院途中死亡。截至31日凌晨1时，井下已找到34名遇难矿工遗体。O网页链接 ​​​​,2012-08-31 10:41,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yzGbHfCYL
17,转发微博,是,#正能量# 突发事件，在686公交车上，一位大姐低血糖晕倒，幸好车上有位医生，帮忙给她按摩穴位，给她补充糖份，这下可好了。事后我问大姐说是不认识那阿姨，只知道是301退休的医生，我没多问，只能心里默默的向那位阿姨致敬。谢谢您帮助陌生人，也感谢那几位陌生人提供你饮料。@高宇阳 提供 ​​​​,2012-08-31 10:40,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yzGbdFkAv
18,转发微博,是,"#小贴士#【可别空腹挤地铁】近日,地铁13号线霍营站、15号线望京西站接连发生乘客晕倒事件,获救助乘客存在一个共性—空腹出行挤地铁.夏季天闷热、气压低,高峰期间客流较大,不吃早餐就出门,很容易产生胸闷、头晕、低血糖等现象.小编提醒通心粉们:您要吃早餐,随身携带清凉油、十滴水等消暑药品.[药] ​​​​",2012-08-30 11:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yzwWCqR4Q
19,转发微博,是,昨天早上，南四环大红门东桥上一辆水泥罐车和一辆集装箱货车发生追尾，事故造成南四环暴堵7小时。6时40分，大红门消防中队参与破拆救援行动。8时30许，救援人员终于成功用吊车将两车分开，交通封锁解除。特别提示货车司机朋友们，不要疲劳驾驶，一定要注意交通安全！ ​​​​,2012-08-30 11:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yzwWu8Zw0
20,转发微博,是,,2012-08-30 11:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yzwW5jnRf
21,转发微博,是,韩联社：两艘中国渔船在济州海上沉船 致31人失踪 ​​​​,2012-08-28 12:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yzeISoqaG
22,转发微博,是,#妈妈的味道#专家评述：油菜鸡腿肉甜玉米粥，适合2岁左右的儿童，富含蛋白质、脂肪、维生素A、钙等。建议玉米粒剁碎，粥可以粘稠一些。@兜兜他妈lulu ​​​​,2012-08-28 12:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yzeIMtJe6
23,转发微博,是,世界上两件事情最难：一是把自己的思想装进别人的脑袋，二是把别人的钱装进自己的口袋。前者成功了，叫老师，后者成功了，叫老板，两者都成功了，叫老婆！ ​​​​,2012-08-28 12:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yzeIg0t58
24,转发微博,是,【海归辣妹翻车引热议 17厘米高跟鞋隐患大】25日凌晨，南京街头发生一起侧翻事故，交警现场初步调查认定是高跟鞋惹祸。警察蜀黍提醒大家：女司机出事故，多与穿鞋有关。穿高跟鞋开车，控制刹车时没有着力点，甚至容易出现卡住制动踏板的情况。建议喜欢穿高跟鞋的女性，在车里多放一双平底鞋。 ​​​​,2012-08-27 16:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yz6W5DPJ8
25,转发微博,是,#交通资讯#8月24日至26日三天，北京站、北京西站、北京南站、北京北站四站迎来了暑运返程旅客高峰。四站到发旅客总数超过215万人次，超过100万旅客集中到京。 ​​​​,2012-08-27 16:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yz6VI1vRR
26,转发微博,是,,2012-08-27 16:56,1,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yz6VEaV08
27,转发微博,是,【延安客车追尾伤亡大原因:乘客熟睡中遭遇大火】据央视消息，负责陕西延安客车追尾事故救援的消防人员介绍，事故发生在夜里2点20分，乘客均在熟睡，追尾后大量甲醇泄漏，迅速围住客车燃烧。火势凶猛，造成乘客无法逃生。事故共造成36人死亡。（头条新闻）O网页链接 ​​​​,2012-08-26 14:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yyWGUuBvw
28,转发微博,是,#地铁服务#【节能减排宣传进站区】近日，轨道交通15号线顺义站区在车站公共区内用展板宣传环保理念，从扶梯变频调速、空调温度定位、节水龙头、人走关灯、步行或骑车出行等方面向广大乘客介绍节能减排。 ​​​​,2012-08-26 14:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yyWGf7GLi
29,转发微博,是,女子地铁遭男子猥亵 女乘客非议】北京地铁5号线上，一男子连续3次挤向一女子，被认作流氓后，又以膝盖顶该女子。女子报案后，因无证据双方离开。目击者称，该女乘客受害，却在下车的一瞬间，被车厢内诸位女性乘客指责“车厢本就拥挤，何必骂人流氓”。 ​​​​,2012-08-26 14:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762001/yyWFK61U9
