序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,发表了博文 《大榆树镇开展“骑行识百草 环保我奉献”游园活动》 -  9月20日，延庆大榆树镇政府门口机关干部、大学生村官喜聚一堂，热情高涨，共同参加“骑行识百草 环保我奉献”游园活动。 随着镇长王艳 O网页链接 ​​​​,否,,2012-09-24 19:15,转发,评论,赞,新浪博客,https://weibo.com/2107036755/yDnO2kfUc
1,"发表了博文 《民间古韵----燕子李三的故事    孟广臣》 - 这不是附会，燕子李三确确实实是延庆高庙屯村人。那年播放电视剧《燕子李三》，高庙屯村的一些老年人,看着看着就乐了，说：“这不是咱们村的大 O网页链接 ​​​​",否,,2012-09-19 08:58,转发,1,赞,新浪博客,https://weibo.com/2107036755/yCyDjf1dA
2,发表了博文 《民间古韵----段八瓮的故事   孟广臣》 - 八瓮真名叫什么，没有流传下来，流传下来的则是他的外号。为了叙述方便，我们就叫他老段吧。传说明末的时候，老段领着两个未成人的儿子，从南边逃荒 O网页链接 ​​​​,否,,2012-09-19 08:57,转发,评论,赞,新浪博客,https://weibo.com/2107036755/yCyCH9AuZ
3,发表了博文 《民间古韵----发配莽山寨    孟广臣》 - 早先北红门村有个叫赵福的人，小时候因为家境贫寒，父亲带他逃荒到山西洮临，父亲给一家地主干活，赵福也给那家地主打杂干点小零活。那家地主请着私 O网页链接 ​​​​,否,,2012-09-19 08:32,转发,评论,赞,新浪博客,https://weibo.com/2107036755/yCysq3Lew
4,发表了博文 《民间古韵之-----赵留八的故事   孟广臣》 - 大榆树镇下辛庄村有个赵留八，是个大财主。他这个财主有多大呢?谁也说不清楚。因为他是八旗子弟后代，在他的前五辈，清兵入关，建立了大清朝， O网页链接 ​​​​,否,,2012-09-19 08:26,转发,评论,赞,新浪博客,https://weibo.com/2107036755/yCypXzsMn
5,发表了博文 《民间古韵之-----佛爷洼里的山榆为什么都拧着  孟广臣》 - 佛爷洼在小张家口村东，大约五六里的地方。传说这洼里有个洞，洞里有个和尚，和尚终日在洞里打坐，已经修炼成佛。南红门有个人，知 O网页链接 ​​​​,否,,2012-09-19 08:22,转发,评论,赞,新浪博客,https://weibo.com/2107036755/yCyoEAJM9
6,发表了博文 《咏簸箕营古榆》 - 阅尽沧桑五百秋， 龙争虎斗几时休？ 兴衰荣辱烟云过， 唯见古榆天地留。 O网页链接 ​​​​,否,,2012-09-17 14:31,转发,评论,赞,新浪博客,https://weibo.com/2107036755/yChXcgZdd
7,发表了博文 《走进大榆树  郎鹏飞》 - 是天空的一朵云 是地上的一缕风 带起驿动的心曲 走进了大榆树澎湃的旋律   我站在城南长满深情和厚爱的沃土上 愉悦地感受亮丽的视野 打量轻盈的脚步 聆听流光溢 O网页链接 ​​​​,否,,2012-09-17 08:59,转发,评论,赞,新浪博客,https://weibo.com/2107036755/yCfMutHzq
8,#新浪博客七周年#我的博客今天1岁144天了，我领取了新锐博主徽章。原文地址:O网页链接。你也来领取属于你的博客徽章吧:O网页链接 ​​​​,否,,2012-09-15 22:08,转发,评论,赞,新浪博客,https://weibo.com/2107036755/yC25Smrgx
9,分享带您走进大榆树的博文图片： O网页链接 ​​​​,否,,2012-09-03 10:26,转发,3,赞,新浪博客,https://weibo.com/2107036755/yA8n0gOQX
10,分享带您走进大榆树的博文图片：延庆大榆树镇小书屋搬上《书香北京》大课堂 O网页链接 ​​​​,否,,2012-08-31 11:37,转发,评论,赞,新浪博客,https://weibo.com/2107036755/yzGyopwbr
11,转发微博。,是,【鸟瞰妫河森林公园雅荷园】近日，县委宣传部与县园林绿化局合作，对八达岭长城、野鸭湖国家湿地公园等景区以及县城和妫河两岸风光进行了航拍，本报特约摄影搭乘直升机参与拍摄。图为妫河森林公园雅荷园鸟瞰全景。 ​​​​,2012-08-31 11:35,转发,评论,赞,政府版微博,https://weibo.com/2107036755/yzGxkweDY
12,分享带您走进大榆树的博文图片：把精彩的论文写在“北京林业大地”上 O网页链接 ​​​​,否,,2012-08-31 11:30,转发,评论,赞,新浪博客,https://weibo.com/2107036755/yzGvty63c
13,分享带您走进大榆树的博文图片： O网页链接 ​​​​,否,,2012-08-20 09:55,转发,评论,赞,新浪博客,https://weibo.com/2107036755/yy0bc1vut
