序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【北京大风蓝色预警】北京市气象台11时10分发布大风蓝色预警信号：午后本市风力逐渐加大，傍晚到夜间平均风力达5-6级阵风7级左右，明天白天仍有四五级北风，请注意防范。By气象北京 ​​​​,2012-09-27 13:37,转发,评论,赞,专业版微博,https://weibo.com/2308842053/yDNSel7CE
1,转发微博,是,【最强“双节”前北京堵绕方案】@中国微博汽车 表示，根据目前路况，从东三环到西三环的12公里最快路线：东三环——绕天津——河北保定——西三环，合计路程567公里，保证6小时能到。//小编提示：施行的前提是，记得先绕开京通快速路和京津唐高速 ​​​​,2012-09-27 13:36,转发,评论,赞,专业版微博,https://weibo.com/2308842053/yDNRKcHoY
2,转发微博,是,【专栏·京城生活：总在路上】9月，京城暴堵。有些人上下班时间甚至要花4小时，精力都在路上被消耗。这应该在城市规划上下功夫。通州、周边燕郊等地被称为“睡城”，那里缺少产业，只有居住功能，而其实城市的每一个区块都应该有业有城，工作、生活、购物在一处，才更容易有幸福感。O网页链接 ​​​​,2012-09-27 13:24,转发,评论,赞,专业版微博,https://weibo.com/2308842053/yDNNczBOy
3,【环球时报综合报道】韩国同日本在独岛（日本称竹岛）归属问题上的争端尚未冷却，却又把目光转向中国，声称要在中国专属经济区内的苏岩礁（韩国称离於岛）加强警备，与中国硬碰硬。 ​​​​,否,,2012-09-27 13:24,转发,评论,赞,专业版微博,https://weibo.com/2308842053/yDNMQoEBI
4,转发微博,是,#早安#今天天气多变，白天阴有阵雨转多云，最高气温23℃，傍晚前后风力逐渐加大到偏北风五六级，既要防雨也要防风。尾号是5和0的机动车今天限行，面对各种拥堵，心理上要有准备。由于高速免费及景区降价，据预测，两节8天长假将有3.62亿人旅游出行。小编提醒您，赶后不赶前，旅游也有错峰出行的学问。 ​​​​,2012-09-27 07:52,转发,评论,赞,专业版微博,https://weibo.com/2308842053/yDLCfpfar
5,转发微博,是,"【城区晚高峰秋雨""添堵""4小时】拥堵指数9.6！几乎追平了2010年9月17日9.68的最堵纪录。昨天晚高峰，城区严重拥堵达4个小时，很多市民回家耗时达两三个钟头。一位老司机在采访时说：其实越到拥堵时刻，司机越要学会谦让。抢一步，快不到哪儿去；大家都让一步，也许就不会这么堵了。O网页链接 ​​​​",2012-09-26 11:04,转发,评论,赞,专业版微博,https://weibo.com/2308842053/yDDrIealm
6,//@劲松东社区: 转发微博,是,【国庆自驾游手册】黄金周即将来临，高速公路免收通行费政策让这个假期的自驾游情况发生不少改变。准备自驾的驴友们，早做准备，提前了解假期自驾出行小技巧吧。 ​​​​,2012-09-26 10:38,转发,评论,赞,专业版微博,https://weibo.com/2308842053/yDDh4p70K
7,转发微博,是,【北京昨晚迎最堵日 未来几天恐难好转】昨天，京城下起秋雨。下午4点半就开始严重拥堵，晚高峰期间，中心城区拥堵指数最高达到9.8，整个路网的时速仅13.7公里，成为今年来最堵日。交通委提醒，今后4天本市仍会严重拥堵，希望市民尽量采用公共交通，错峰出行。（京华时报） ​​​​,2012-09-26 10:37,转发,评论,赞,专业版微博,https://weibo.com/2308842053/yDDgLtTx8
8,转发微博,是,“度中秋，迎国庆”文体成果展成功举办，居民喜爱这种新形式，希望以后多做这种展示，居民的肯定使居干倍受鼓舞。这种活动会继续不定期的搞下去。 ​​​​,2012-09-25 17:47,转发,评论,赞,专业版微博,https://weibo.com/2308842053/yDwEUlZlO
9,转发微博,是,"#""十一""游密云安全提示#【消防安全】外出前,要关闭家中的水电气总开关。住宿时要选择正规度假村、宾馆、民俗户、农家院入住,不可到没有接待资质的农户家中住宿,以免发生纠纷无法保障权益。入住主动出示有效证件,入住后要及时了解内部格局和安全疏散路线,切勿躺在床上吸烟,避免因疲劳入睡而引起火灾。 ​​​​",2012-09-25 17:45,1,评论,赞,专业版微博,https://weibo.com/2308842053/yDwDUAhlq
