序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,府东里社区国庆学习会 ​​​​,否,,2012-09-29 16:32,转发,评论,赞,专业版微博,https://weibo.com/1197197727/yE7SapFO4
1,府东里社区举办迎国庆庆中秋文艺演出 ​​​​,否,,2012-09-29 16:26,转发,评论,赞,专业版微博,https://weibo.com/1197197727/yE7Q2kjtm
2,温馨提示 ​​​​,否,,2012-09-29 10:06,转发,评论,赞,专业版微博,https://weibo.com/1197197727/yE5lC7NSr
3,府东里社区为残疾人发放意外伤害保险卡 ​​​​,否,,2012-09-29 10:00,转发,评论,赞,专业版微博,https://weibo.com/1197197727/yE5jaw1AF
4,通 知 居民朋友们请注意： 居委会于今天下午2点在门口广场举行“双节”文艺演出，欢迎广大居民前来观看。 府东里社区居委会 2012年9月29日 ​​​​,否,,2012-09-29 09:56,转发,评论,赞,专业版微博,https://weibo.com/1197197727/yE5hDmYuf
5,府东里社区迎“国庆”庆“中秋”节目排练 ​​​​,否,,2012-09-28 15:50,转发,评论,赞,专业版微博,https://weibo.com/1197197727/yDYb0xi1O
6,府东里社区举办交谊舞大课堂 ​​​​,否,,2012-09-27 14:48,转发,评论,赞,专业版微博,https://weibo.com/1197197727/yDOl4FF6z
7,通 知 城关街道首届全民运动会将于2012年10月1日至11月18日在房山体育场举行，社区组个人项目有：乒乓球、象棋、跳绳、踢毽、田径（跳远、铅球、竞赛：100米、400米、800米），集体项目有：乒乓球、门球、拔河、健身秧歌、10人8字跳绳。参赛的居民请于9月29日前到居委会报名。 ​​​​,否,,2012-09-27 14:45,转发,评论,赞,专业版微博,https://weibo.com/1197197727/yDOjKvNSf
8,府东里社区环境卫生志愿者积极参加环境卫生整治 ​​​​,否,,2012-09-26 15:43,转发,评论,赞,专业版微博,https://weibo.com/1197197727/yDFh4dP5P
9,府东里社区到辖区单位进行消防安全检查 ​​​​,否,,2012-09-26 14:49,转发,评论,赞,专业版微博,https://weibo.com/1197197727/yDEVg3JnM
10,通 知 在国庆、中秋双节来临之际，居委会准备让居民自娱自乐，于2012年9月29日下午2点在华冠门口广场演出一场节目，希望有才艺的居民踊跃报名参加，给居民一个展示的平台。 府东里社区居委会 2012年9月26日 ​​​​,否,,2012-09-26 14:44,转发,评论,赞,专业版微博,https://weibo.com/1197197727/yDETa3z7l
