序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,祝大家十一国庆节快乐！[呵呵] ​​​​,否,,2012-09-29 17:10,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yE87IBBwW
1,,是,以理性平和的姿态向年轻朋友讲负责任的观点，具有积极的社会意义与价值，正面引导青年不做蠢事也是一个社会日趋成熟的表现。 ​​​​,2012-09-24 17:23,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDn4Fvq72
2,转发微博,是,作为一个中国人，我们都深深地爱着自己的祖国，我们有爱国的热情，有民族的自豪感，在这关键时刻更应该通过合理方式理性地表达爱国诉求。 ​​​​,2012-09-24 16:42,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDmNWEqnk
3,舆论引导尽量不添“堵”，引导舆论朝正面发展。 ​​​​,否,,2012-09-24 16:30,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDmJclmHA
4,转发微博,是,爱国主义，从来不能只靠挥舞的旗帜、铿锵的言语。仅仅表达义愤是不够的，采取一些过激行动更无助于问题的解决。我们要善待、善用爱国热情——爱国需要激情，同时更需要理性。 ​​​​,2012-09-24 11:36,1,评论,赞,专业版微博,https://weibo.com/2649761881/yDkNQ38gK
5,爱国，不是喊喊口号，图一时之快，国与国之间的利益之争，最终是综合国力的较量。 ​​​​,否,,2012-09-24 11:25,1,评论,赞,专业版微博,https://weibo.com/2649761881/yDkJbEEcs
6,[呵呵],是,#警方提示#【中秋谨防三种网络诈骗】中秋节期间，很多人通过网购月饼传递祝福、通过短信等方式发送祝福，这些都有可能被别有他图滴坏蛋们加以利用，亲，擦亮双眼，因为，嫩稍有不慎就会造成个人财产损失。中秋国庆齐上阵，莫忘安全是第一~~~ ​​​​,2012-09-24 11:01,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761881/yDkzooV81
7,理性爱国！ ​​​​,否,,2012-09-23 14:09,转发,1,赞,专业版微博,https://weibo.com/2649761881/yDcnp5awq
8,要有爱国的激情，还要有大国理性。 ​​​​,否,,2012-09-23 14:07,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDcmpB4lz
9,坚决拥护我国政府为捍卫国家领土主权所采取的一切必要措施和正义行动，始终坚定地与党和政府、与全国人民站在一起，理性爱国。 ​​​​,否,,2012-09-23 14:01,2,1,赞,专业版微博,https://weibo.com/2649761881/yDckfa4Sm
10,祖国需要我们理性的热爱与保护。 ​​​​,否,,2012-09-23 14:00,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDcjtA9zn
11,团结自律，理性爱国。 ​​​​,否,,2012-09-23 13:52,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDcguAkvO
12,理性爱国，首先就要内部团结。 ​​​​,否,,2012-09-23 13:49,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDcffuIYg
13,坚决拥护我国政府为捍卫国家领土主权所采取的一切必要措施和正义行动，始终坚定地与党和政府、与全国人民站在一起，理性爱国。 ​​​​,否,,2012-09-23 13:48,转发,1,赞,专业版微博,https://weibo.com/2649761881/yDceDmNHJ
14,作为公民，我们有责任冷静理智地表达爱国热情，合法有序地表达爱国意愿。 ​​​​,否,,2012-09-23 13:27,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDc6eoD05
15,立场坚定，理性爱国。 ​​​​,否,,2012-09-23 13:24,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDc51mjsb
16,我们要以大局为重理性表达自己的爱国热情。 ​​​​,否,,2012-09-23 13:17,转发,1,赞,专业版微博,https://weibo.com/2649761881/yDc2fo7Ko
17,我们要坚决拥护我国政府为捍卫国家领土主权所采取的一切必要措施和正义行动，始终坚定地与党和政府、与全国人民站在一起。 ​​​​,否,,2012-09-23 13:12,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDc0nxQrr
18,团结稳定就是国家民族的最大利益，和平发展就是解决一切问题的关键，只有增强了实力，我们才能从容应对各种困难和挑战，牢牢把握主动权。 ​​​​,否,,2012-09-23 12:55,1,评论,赞,专业版微博,https://weibo.com/2649761881/yDbTpf8iT
19,爱国不需要理由，但需要方法，理智的表达爱国情感是一种胸襟，更是一种对民族负责的态度。 ​​​​,否,,2012-09-23 12:52,1,评论,赞,专业版微博,https://weibo.com/2649761881/yDbSg2XJI
20,保持理性，有序抗日，做一个真正的爱国者。 ​​​​,否,,2012-09-23 12:47,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDbQ7CRci
21,我们中国人要理性爱国，依法保钓。 ​​​​,否,,2012-09-23 12:40,转发,1,赞,专业版微博,https://weibo.com/2649761881/yDbN3mx8d
22,作为一个中国人，我们都深深地爱着自己的祖国，我们有爱国的热情，有民族的自豪感，在这关键时刻更应该通过合理方式理性地表达爱国诉求。 ​​​​,否,,2012-09-23 12:16,2,评论,赞,专业版微博,https://weibo.com/2649761881/yDbDr4fq7
23,立场坚定，理性爱国。坚决拥护我国政府为捍卫国家领土主权所采取的一切必要措施和正义行动，始终坚定地与党和政府、与全国人民站在一起! ​​​​,否,,2012-09-23 12:13,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDbCb3uSW
24,祖国需要我们理性的热爱与保护。 ​​​​,否,,2012-09-23 11:57,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yDbvMcRMM
25,作为世界公认的大国，我们的心态理当更加开放、包容、理性、自信，以国家核心利益为重，激情加理性才是我们表达爱国热情的正确态度。 ​​​​,否,,2012-09-22 09:43,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD1cLedIv
26,我们有表达爱国热情的权利；作为公民，我们有以大局为重、理性爱国的责任。这种“理性”也体现了一种以国家利益为重的眼界：只有以国家利益作为根本，我们的爱国之心，才能起到实实在在的作用。 ​​​​,否,,2012-09-22 09:42,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD1cgczdn
27,只有稳定心态、调节情绪，才能维护来之不易的和谐稳定局面 ​​​​,否,,2012-09-22 09:38,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD1aWCR8I
28,无论什么，都阻挡不了中华民族伟大复兴的坚定步伐；无论什么艰难险阻，都挡不住13亿中国人民的幸福追求。让我们把宝贵的爱国热情转化为干好本职工作的强大动力，以本职岗位的优异成绩为祖国强盛作出应有贡献。 ​​​​,否,,2012-09-22 09:37,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD1az0Jh4
29,理性爱国，关键在于心态要稳。 ​​​​,否,,2012-09-22 09:34,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD19iFX4C
30,理性爱国，首先就要内部团结。 ​​​​,否,,2012-09-22 09:33,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD18C8yvz
31,要有爱国的激情，还要有大国理性。 ​​​​,否,,2012-09-22 09:31,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD187ovTA
32,相信每个人心中都有一块爱国的丰碑，只要爱国就好！其实国家就像我们的父母一样，真的不会奢求我们多少回报。用我们一颗爱国之心，一颗感恩之心，向我们的祖国献上我们自己特有的爱吧。 ​​​​,否,,2012-09-22 09:24,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD151BAQi
33,我们都深爱我们的祖国。我们有爱国的热情，有民族的自豪感，有爱国的自强心。我们有知识、有文化，在爱国方面，更应该有理智、理性，从而使爱国更有深度。 ​​​​,否,,2012-09-22 09:22,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD14r0WED
34,爱国，不是喊喊口号，图一时之快，国与国之间的利益之争，最终是综合国力的较量。 ​​​​,否,,2012-09-22 09:21,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD13V4tdM
35,泄愤式的爱国，保卫不了钓鱼岛，更保卫不了国家利益、民族尊严。 ​​​​,否,,2012-09-22 09:20,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD13mdRee
36,爱国不一定就要喊口号，在表达爱国情感上更趋于理性。[呵呵] ​​​​,否,,2012-09-22 09:17,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD12lgQDs
37,当前，最强大的力量是团结一致，最有力的表达是理性守法，最该做的事情是立足本职。 ​​​​,否,,2012-09-22 09:15,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD11C4fnS
38,只有理性爱国、文明爱国、守法爱国，才能准确表达爱国热情，才能让世界感受到中国民众的强大力量！ ​​​​,否,,2012-09-22 09:11,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD0ZMAayp
39,爱国和害国，有时候只是一步之遥，理性是两者的分界线。有理有节，准确表达民意，才能赢得支持和尊重。 ​​​​,否,,2012-09-22 09:09,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD0Zg65rg
40,理性爱国才是真正的爱国。理性爱国首先是合法爱国，而不是违法爱国。 ​​​​,否,,2012-09-22 09:07,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD0Y6h7Qf
41,只有理性爱国、文明爱国、守法爱国，才能准确表达爱国热情，才能让世界感受到中国民众的强大力量！ ​​​​,否,,2012-09-22 09:04,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD0X03baF
42,我们都生活在文明社会，有权表达自己的诉求，更可以表达自己的爱国热情，但一定要选择正确的方式，以法制、文明、民主的方式来对祖国表达无比热爱。 ​​​​,否,,2012-09-22 09:01,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD0VUli51
43,我们是法制国家，任何诉求的表达，都应该在文明守法的前提下进行。 ​​​​,否,,2012-09-22 08:43,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD0OAtsxh
44,理性爱国、文明爱国、守法爱国。 ​​​​,否,,2012-09-22 08:41,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yD0NzeTAs
45,明辨是非，反对暴力。 ​​​​,否,,2012-09-21 14:52,1,评论,赞,专业版微博,https://weibo.com/2649761881/yCTNKnOrX
46,坚决拥护我国政府为捍卫国家领土主权所采取的一切必要措施和正义行动，始终坚定地与党和政府、与全国人民站在一起，理性爱国。 ​​​​,否,,2012-09-21 14:51,1,评论,赞,专业版微博,https://weibo.com/2649761881/yCTNlyo3r
47,立场坚定，理性爱国。 ​​​​,否,,2012-09-21 14:49,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCTMvgfOj
48,抵日有很多种方法，还是需要理智一些，别让有的人有机可乘。 ​​​​,否,,2012-09-21 14:20,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCTASgu1X
49,,是,,2012-09-21 09:17,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCRBQsgw8
50,,是,【自来水集团推出缴费通 居民可上网自动缴水费】今后居民水费可以通过工商银行或支付宝自动缴费了。近日，市自来水集团与工商银行合作推出“自来水缴费通”业务，同时与支付宝合作推出“水费网上缴费和自动代扣”业务，实现了居民水费自动缴费。O网页链接 ​​​​,2012-09-21 09:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761881/yCRBvb50P
51,理性爱国离我们不远，它就在我们身边！ ​​​​,否,,2012-09-20 17:40,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCLtGtLKE
52,作为公民，我们有责任冷静理智地表达爱国热情，合法有序地表达爱国意愿。[ ​​​​,否,,2012-09-20 17:39,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCLt96qEU
53,爱国主义，从来不能只靠挥舞的旗帜、铿锵的言语。仅仅表达义愤是不够的，采取一些过激行动更无助于问题的解决。我们要善待、善用爱国热情——爱国需要激情，同时更需要理性。 ​​​​,否,,2012-09-20 17:37,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCLsb7b5k
54,祖国需要我们理性的热爱与保护。 ​​​​,否,,2012-09-20 17:33,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCLqGEr5o
55,理智表达爱国情感，是一种强大的精神力量。 ​​​​,否,,2012-09-20 17:28,1,评论,赞,专业版微博,https://weibo.com/2649761881/yCLoK77oj
56,[呵呵]团结自律，理性爱国。 ​​​​,否,,2012-09-20 17:26,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCLnC5Cnr
57,我们要正确合理表达爱国热情，不参与非法抗议活动。[呵呵] ​​​​,否,,2012-09-20 17:17,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCLk5DMcA
58,我支持#我要诚信认证#倡议。转发是一种力量，更是一种责任。共建规范认证环境，见证微博诚信力量！O我要诚信V 新浪微博-随时随地分享身边的新鲜... ​​​​,否,,2012-09-20 17:14,转发,评论,赞,专题-我要诚信V,https://weibo.com/2649761881/yCLiR8YOI
59,,是,转发是一种力量，更是一种责任。我支持#我要诚信认证#倡议，通过我们的微博之力，共同建设一个美好的微博家园。欢迎大家一起来规范认证环境，见证微博诚信力量！点击参与：O我要诚信V 新浪微博-随时随地分享身边的新鲜... ​​​​,2012-09-20 17:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761881/yCLibdiFg
60,,是,#请理性爱国#对日本侵犯我国主权行为，我们坚决反对；对损害同胞财产与感情行为，我们也绝不容许！今天，我们用理性宣示力量：我们愤怒，但不失去理智；我们呐喊，但不传播谣言；我们热血，但不盲从暴力！今天，从你我开始，用理性宣示力量。点击呼吁：O微博呼吁理性爱国 新浪微博-随时随地分享身边... ​​​​,2012-09-20 17:10,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCLhrFIMd
61,转发微博,是,【出境提醒】鉴于当前形势，为保证在日本中国公民安全，特此提醒临时赴日或在日居住的中国公民注意人身安全。一旦人身遭受侵扰或财产受到侵犯，应及时向日本警方报案（电话：110），同时向就近的中国驻日使领馆通报情况，取得领事协助。各使领馆电话详见长微博 ​​​​,2012-09-20 15:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761881/yCKFQzeJ5
62,作为一个中国人，我们都深深地爱着自己的祖国，我们有爱国的热情，有民族的自豪感，在这关键时刻更应该通过合理方式理性地表达爱国诉求。 ​​​​,否,,2012-09-20 15:26,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCKBa5Drj
63,最强大的力量是团结一致，最有力的表达是理性守法，我们最该做的事情是立足本职。 ​​​​,否,,2012-09-20 15:20,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCKyOnoJQ
64,真正的爱国，是尽自己所能，让祖国安定繁荣！ ​​​​,否,,2012-09-20 15:15,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCKwt1ndn
65,我们要严格遵守国家各项法律法规，恪守法律和道德底线，以合法、理性的手段表达爱国诉求，不参与任何暴戾的、丧失理智的、违反道德和触犯法律的行动。 ​​​​,否,,2012-09-20 15:08,转发,评论,赞,专业版微博,https://weibo.com/2649761881/yCKtPAkY5
