序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,我在用刚刚发布的#新版微相册#，看起来还不错～是个分享照片的好地方，想看看朋友们的照片吗？猛击这个链接O网页链接 ​​​​,否,,2012-09-05 13:46,1,5,赞,微相册,https://weibo.com/2299397125/yAsx9ycfu
1,8月15日上午，北京燃气公司李玉保在开阳里第一社区举行了一场燃气安全知识讲座，就燃气使用中的注意事项、室内燃气设施日常维护与检查、灶具的科学使用、遇突发事件应对措施等方面内容进行了讲解，并现场设置燃气安全宣传展板，使燃气安全知识更加深入人心。 ​​​​,否,,2012-08-16 09:17,1,19,赞,微博 weibo.com,https://weibo.com/2299397125/yxoe3dim3
2,8月2日，开一社区充分调动社区中的青少年参与社区建设，以小楼门长活动为载体，组织青少年发放《文明素质300问》及《参与首都文明区创建 建设平安。洁净、文明、幸福右安门——致右安门街道居民的一封信》，在社区开展广泛的首都文明区创建工作的宣传。 ​​​​,否,,2012-08-13 18:21,转发,2,赞,微博 weibo.com,https://weibo.com/2299397125/ywZvmv2Nf
3,8月7日上午，在开阳里第一社区活动室开展了主题为“小鬼当家，今天我下厨”的青少年暑期活动。社区十余名青少年与家长们共同包起了饺子。孩子们还在社区工作者的陪同下为社区的高龄老人送去了一片爱的心意。孝道是中华民族的传统美德。孩子们用行动，学习尊老爱老高尚品德，争做“家庭小孝星”。 ​​​​,否,,2012-08-13 18:21,7,10,赞,微博 weibo.com,https://weibo.com/2299397125/ywZvaFKWy
4,8月2日，开一社区4名青少年代表来到右安门站台，与右安门公共文明引导员一起引导文明。孩子们肩上披着“创建首都文明区”的绶带，手中挥舞着指挥引导的“小红旗”，精神抖擞的站在站台上。仅仅20分钟孩子们就觉得手臂开始酸了，但引导文明的“小红旗”依然没有停止。 ​​​​,否,,2012-08-13 18:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2299397125/ywZufoaSD
5,8月11日上午，我社区干部、志愿者20余人，开展了城市清洁日活动。共清除张贴、喷涂在开阳里一区和二区的7个单元的楼道小广告以及各楼洞口处破损的广告牌，共计280余条（块）。 ​​​​,否,,2012-08-13 18:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2299397125/ywZtcny1E
6,8月8日，开一社区开展了青少年“学道德模范 诵中华经典 做有德之人”活动。促进了社区青少年道德修养的提高，寓教于乐，进一步丰富假期读书生活。 ​​​​,否,,2012-08-13 18:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2299397125/ywZrE2QD3
7,“7.21”北京经历的暴雨天气过后，开一社区在2012年8月6日上午9点，邀请自来水公司的专家，来到社区为居民讲解如何饮用放心的水。 ​​​​,否,,2012-08-13 17:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2299397125/ywZmxg3qy
8,8月2日上午，孩子们早早来到了社区，拿着小桶和刷子，开始了社区“环保小卫士”的第一次行动。孩子们粉刷了社区楼道中的小广告。 ​​​​,否,,2012-08-13 17:58,转发,评论,赞,微博 weibo.com,https://weibo.com/2299397125/ywZlWlG8Z
9,//@美食工场: 常吃13种食物让宝宝更聪明,是,【常吃13种食物让宝宝更聪明】每个孩子在出生时都还没发育完全，但是很多家长因为不了解孩子的脑发育时期，而错过了增进孩子智力的关键时刻。孩子的未来取决于家长为此怎么做，做的怎么样，如果做得好，就能培养出一个实现其智力潜能的更聪明的孩子。所以，辣妈们，加油哦~ ​​​​,2012-07-30 11:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2299397125/yuOIgfFj6
