序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,双节愉快～,是,【长假倒计时】#北京你好#今天会是个大晴天儿，最高气温25℃，北转南风2、3级。长假就要开始了。大家是不是也跃跃欲试了呢？今天可要再仔细检查一遍哦，工作完成了吗？出游计划安排好了吗？家里的水电煤气安全不？该带的物品带全了吗？最好能把家钥匙放在不出行的亲戚家一把，有紧急情况也好能关照下。 ​​​​,2012-09-29 08:11,转发,评论,赞,Android客户端,https://weibo.com/2620430495/yE4AXgvCZ
1,节前最后一天啦～,是,【晚安北京】9月29日升旗时间6:09，降旗时间18:00。夜间晴，北风3-4级，最低温度11℃；明天白天晴，最高气温25℃。持续多时的大风夜间渐弱，“金风荐爽，玉露生凉，丹桂飘香，银蟾光满。”窗外碧空皓月，你是不是也想赋诗一首呢？明天节前最后一个工作日，早点休息，明儿顺利完成工作任务迎接长假吧 ​​​​,2012-09-28 23:04,转发,评论,赞,Android客户端,https://weibo.com/2620430495/yE10Vrcis
2,静待假期~,是,【云白风清 假期将近】#北京你好#今日限行1和6，最高气温22℃，偏北风4、5级转2、3级。最后两天上班了，坚持住，坚持住，哈哈。这几天天空格外热闹，又是多云，又是小雨，又是大风。不过今天风清云淡，大家的工作也差不多了吧，只待假期啦。原创图片是咱北京的市花，从五月热热闹闹陪我们到了现在了。 ​​​​,2012-09-28 09:09,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDVxY5oVL
3,【雨情播报】9月27日，我区普降小雨，截止9月28日早8时，点均降雨量为2.98毫米（水务局22个站+气象局18个站共40个站的平均值），最大降雨量为凤河营站7.5毫米。黄村站降雨量2毫米，滨河公园站2.5毫米，南海子郊野公园站0.5毫米。今年累计降雨量为604.01毫米。 ​​​​,否,,2012-09-28 09:04,转发,评论,赞,Android客户端,https://weibo.com/2620430495/yDVvYgSWy
4,晚安北京~,是,【晚安北京】9月28日升旗时间6:08，降旗时间18:02。夜间多云转晴，偏北风5-6级，12℃；明天晴间多云，22℃。今天天气可谓一波三折，从早晨微风习习，到中午大风阵雨，再到傍晚日月同辉。其实这就像人生，有时会有乌云笼罩，但美丽的风景就很近很近的不远处。原创图片摄于今天雨后，愿你的梦一样美好。 ​​​​,2012-09-27 23:35,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDRNfu4yd
5,继续扩散~,是,"#交通资讯#【轨道交通6号线】国内首次提出快线模式.经由海淀区、西城区、东城区、朝阳区、通州区等五个行政区,是一条横贯中心城，连接CBD 功能区、定福庄居住区、通州新城与中心城的轨道交通走廊.地铁6号线采取大站快车的运行方式，在常营站、新华大街站设置越行,列车最高时速将达到100公里. ​​​​",2012-09-27 16:34,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDP26EEZn
6,6号线消息扩散~,是,【地铁6号线预计年底开通试运营】横贯京城东西的第二条交通大动脉——地铁6号线预计将于今年12月28日开通试运营。该条地铁线路是北京市内第一条时速为每小时100公里的全地下地铁快线，运载能力提高30%以上。全线开通后将于与目前运营的既有地铁线2号线、4号线、5号线、10号线一期实现换乘。 ​​​​,2012-09-27 16:28,转发,评论,赞,专业版微博,https://weibo.com/2620430495/yDOZNmy7Z
7,风大,是,#出行提示#今日11：10，市气象台发布大风蓝色预警信号，受较强冷空气影响，午后本市风力将逐渐加大，傍晚到夜间平均风力可达5-6级，阵风可达7级[风]。明天白天仍有4-5级偏北风。请大家做好防风准备，适时增加衣服，注意出行安全。[bed凌乱] ​​​​,2012-09-27 15:22,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDOyPtLbQ
8,赶紧扩散~,是,出行#微提示#京港地铁发布消息，本月30日至10月7日10时至18时，4号线动物园站将采取临时封站措施，列车通过不停车。提醒需要去往动物园周边的乘客，可在西直门或国家图书馆站下车。根据往年情况，节日期间西直门站客流量较大，建议乘客尽量选择在国家图书馆站下车，步行或改乘公交车前往目的地。 ​​​​,2012-09-27 15:18,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDOxflAPE
9,[呵呵],是,【本市老旧小区透水地面铺装改造项目全面启动】本次项目实施的范围和对象是2000年底以前建成的，且五年之内未进行过改造的城镇居民小区，本项透水地面铺装改造总面积为155297平方米。按地域分布于16个区（县），优先安排了雨天积水严重，居民出行困难的小区。 ​​​​,2012-09-27 15:13,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDOvj732y
10,,是,【青年思语】1、别人建议终归是一种参考，要知道自己的心在哪里跳动。2、漫长的一生中，你总有怦然心动的一刻，这一刻千万别错过。3、上天赋予你决策人生的权利，你的人生是你不断作出抉择的结果。4、如果真想活出精彩人生，那么请记住：当你面临人生重大选择时，请拒绝作出违心的选择。 ​​​​,2012-09-27 15:10,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDOu88leg
11,羊城建筑~,是,@中国广州发布 推荐【感知广州文化名城必看建筑】参观红线女艺术中心——浏览花城广场以及周边的广州大剧院、省博物馆、图书馆——远眺广州塔倩影——欣赏广东美术馆、星海音乐厅——外观新河浦别墅群——欣赏东濠涌新貌——参观大佛寺——拜谒五仙观——远赏石室教堂——外观粤海关大楼。 ​​​​,2012-09-27 15:10,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDOtW0o07
12,先行者 //@北京发布:东城区也有自己的政务微博群了，大家可以关注一下哦。,是,#东城新闻#【东城区政务微博群上线运行】今天，北京市东城区的政务微博群——“北京东城发布”正式上线啦！全区33家单位作为第一批成员单位集体亮相，点击链接 O我的首页 微博-随时随地发现新鲜事就可以看哦！通过微博这一网络平台，我区在推进政务公开、为民服务方面将发挥更加积极的作用！ ​​​​,2012-09-26 17:32,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDFZa8OAu
13,困难并不可怕，烦恼才可怕~,是,凡是诚实地过日子，并且遭遇到许多麻烦与失败而不气馁的人，要比那种一帆风顺，只知道安逸的人来得有价值。一个人永远不要相信天下会有毫无困难的事。——梵高《亲爱的提奥》 ​​​​,2012-09-26 17:30,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDFYy2xI0
14,,是,青春赚的钱，难赚回青春；生命赚的钱，难买回生命；幸福换来的钱，难换回幸福；爱情索取的钱，难索回爱情；时间挣来的钱，难挣回时间。即使用一生得到全世界的钱，全世界的钱也买不回你的一生，请记住金钱不是万能的。该休息的时候要休息，该放松的时候要放松，快乐生活才是最给力的。 ​​​​,2012-09-26 17:29,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDFXU8FUw
15,扩散,是,#青春中网#【 送票啦！！】2012年中国网球公开赛即将开始！如果你想到现场一睹为快，那么不要错过这次抢票机会！青，只需关注@青年说 同时转发本条微博，并@ 四名及以上有效好友，就有机会获得9月30日的中网门票哦~我们将在明天下午三点抽出中奖的五名幸运网友，让青春记录“网”事精彩~ ​​​​,2012-09-26 17:27,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDFX2CXA9
16,全市昨日雨情,是,【昨日雨情】9月25日，北京全市平均降雨量10毫米，城区平均降雨量12毫米，降雨最大点朝阳区朝阳站47毫米；密云水库流域降雨量为12毫米，官厅水库流域降雨8毫米。 ​​​​,2012-09-26 17:26,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDFWCCycv
17,【雨情播报】9月25日，我区普降小雨，局部地区为中雨，截止9月26日早8时，点均降雨量为5.45毫米（水务局22个站+气象局18个站共40个站的平均值），最大降雨量为南各庄站24.8毫米。黄村站降雨量3毫米，滨河公园站3毫米，南海子郊野公园站1毫米。今年累计降雨量为601.03毫米。 ​​​​,否,,2012-09-26 09:14,转发,评论,赞,Android客户端,https://weibo.com/2620430495/yDCIUl6FH
18,//@北京大兴: 转发微博,是,【“大兴”名称的由来】#最IN北京#金代时将当时的永安府改名为大兴府，将析津县改称大兴县，意思是：寓疆域辽阔，兴旺发达之意。“大兴”也因此定名，并且一直沿用至今。后来到了元明清三代成为“天下首邑”；如今的大兴区，是国内有名的“西瓜之乡”，还是北京市唯一一个拥有两座新城的郊区县。 ​​​​,2012-09-25 11:13,转发,评论,赞,专业版微博,https://weibo.com/2620430495/yDu53hymi
19,小到中雨,是,【25日6时北京天气预报】今天白天京城自西向东有小到中雨，大部分地区累计降水量在5到10毫米，偏南风二三级，最小相对湿度50%，白天最高气温22℃，晚高峰时段有降雨，请提前做好出行安排。夜间阴有小雨转多云，南转北风二三级，最大相对湿度90%，最低气温14℃。 ​​​​,2012-09-25 07:45,转发,评论,赞,Android客户端,https://weibo.com/2620430495/yDsIshU2P
20,一叶知秋,是,【阴转阵雨】#北京你好#今日限行3和8，最高气温22℃。昨天下班时，几滴秋雨，竟然发现落叶了，北京最早落叶的是白蜡树啊。春天时结出一团团褐色线头样的花，长出一串串黄绿色葵花仔一样的种子，树叶深绿浓密，树冠很大，种在道路边，常在天空相交，形成绿色隧道。到了秋天，树叶变成金黄色，灿烂美丽。 ​​​​,2012-09-25 07:44,转发,评论,赞,Android客户端,https://weibo.com/2620430495/yDsI4lKG7
21,向将军致敬,是,【致敬，林俊德！】他问医生，手术后能不能工作，医生说不能，他选择放弃治疗。重症监护室不能工作，他难得用将军的威严下命令搬去普通病房。他是院士，也是将军，一辈子隐姓埋名，坚守罗布泊。他参加过我国所有核试验。林俊德，或许陌生的名字，却值得最高的致敬！O网页链接（人民日报） ​​​​,2012-09-24 13:28,转发,评论,赞,专业版微博,https://weibo.com/2620430495/yDlx6DSD8
22,购票记得带好证件~,是,【19个车站两节实名进站】两节期间，计划去周边城市旅游的朋友需要注意了，北京铁路局下属的19个地市级客运站和高铁站，在9月25日至10月10日期间也将实行实名制验票验证制度。旅客记得携带有效身份证件。 ​​​​,2012-09-24 13:13,转发,评论,赞,政府版微博,https://weibo.com/2620430495/yDlr0q008
