序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,@水润京华 @Funhill房山 #路线#房山新城滨水森林公园路线图 ​​​​,2012-09-29 15:09,1,1,赞,360安全浏览器,https://weibo.com/2847676135/yE7kBy0Hv
1,//@水润京华: 想知道房山新城滨水森林公园在哪的同学看这里~,是,@水润京华 @Funhill房山 #路线#房山新城滨水森林公园路线图 ​​​​,2012-09-29 15:09,转发,评论,赞,360安全浏览器,https://weibo.com/2847676135/yE7kzuJwD
2,转发微博,是,祝大家中秋、十一双节快乐。 ​​​​,2012-09-29 15:09,转发,评论,赞,360安全浏览器,https://weibo.com/2847676135/yE7kxqEwO
3,祝大家中秋、十一双节快乐。 ​​​​,否,,2012-09-29 14:50,1,1,赞,360安全浏览器,https://weibo.com/2847676135/yE7cMn3j4
4,@水润京华 @Funhill房山 #路线#房山新城滨水森林公园路线图 ​​​​,否,,2012-09-29 14:38,22,1,赞,360安全浏览器,https://weibo.com/2847676135/yE78cpqYf
5,房山新城滨水森林公园国庆开门迎客@水润京华 @北京发布 @Funhill房山 @畅游公园 ​​​​,否,,2012-09-28 15:34,14,4,赞,360安全浏览器,https://weibo.com/2847676135/yDY4bF1ro
6,#提示#房山气象局下午发布大风蓝色预警信号：受较强冷空气影响，今天傍晚到夜间将有5、6级偏北风，阵风7级，明天白天偏北风4、5级，请注意防范。 ​​​​,否,,2012-09-27 13:43,转发,1,赞,360安全浏览器,https://weibo.com/2847676135/yDNUC5fbR
7,公园景色很好的。 //@开始有幻觉:@房山水务 @爱自己的肉肉鱼,是,#郑小坤的二三事#带着死鱼的爱狗，房山滨水森林公园一日游。 ​​​​,2012-09-19 17:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2847676135/yCBYoE8fV
8,@畅游公园 @带您游北京 @Funhill房山 @水润京华,是,房山新城滨水森林公园的黄昏。美吗？ 我在:2广阳西路 ​​​​,2012-09-15 18:31,1,评论,赞,iPhone客户端,https://weibo.com/2847676135/yC0Fwhopr
9,房山新城滨水森林公园的黄昏。美吗？ 我在:2广阳西路 ​​​​,否,,2012-09-15 18:08,4,评论,赞,iPhone客户端,https://weibo.com/2847676135/yC0wekZpr
