序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,夏末秋初老人孩子胃肠弱 “一场秋雨一场寒”，昼夜温差大、气温冷暖多变，易导致新病陡生或旧病复发。经过夏季的高温酷暑，贪食冷饮，脾胃功能较弱的人容易被“秋后算账”。秋季病菌繁殖快、食物容易腐败，易导致细菌性食物中毒、细菌性痢疾等肠道疾病。此时，体质较弱的老人和孩子要注意腹泻. ​​​​,2012-09-24 11:45,转发,评论,赞,专业版微博,https://weibo.com/2742992562/yDkRluGa6
1,转发微博,是,"梨，因鲜嫩多汁，含有85%的水分，酸甜适口，含有丰富的维生素和钙、磷、铁、碘等微量元素等，被称为""天然矿泉水""，自古就被尊为""百果之宗""。秋季空气干燥，水分较少，若能每天坚持食用一定量的梨，能缓解秋燥，生津润肺。 ​​​​",2012-09-24 11:45,1,评论,赞,专业版微博,https://weibo.com/2742992562/yDkRdelWH
2,转发微博,是,#健康知识#【秋季当心感冒来袭】预防秋季感冒，第一条就是要勤通风，保持室内空气流通。建议大家早晚开窗通风，每次15分钟左右，这样既保持了室内空气清新，又减少了细菌滋生的机会。 ​​​​,2012-09-24 11:38,1,评论,赞,专业版微博,https://weibo.com/2742992562/yDkOwA2k2
3,转发微博,是,#健康知识#【秋季当心感冒来袭】预防秋季感冒第二条就是要记得晚上睡觉关窗。这是因为秋季来临，夜晚温度很低，如果不及时关窗，冷风侵袭很容易引起哮喘等疾病的发作。 ​​​​,2012-09-24 11:37,1,评论,赞,专业版微博,https://weibo.com/2742992562/yDkOhvPmC
4,各位亲们。看看啊~最近感冒的人真是非常多！,是,#健康知识#【秋季当心感冒来袭】预防秋季感冒第三条就是要尽量做到规律的作息。很多朋友在夏天时睡的很晚。作息不规律，容易造成抵抗力下降，使疾病钻了空子。所以在季节交替期要保证规律的作息和生活节律，早点上床睡觉，适当延长睡眠时间，同时记得多喝水。 ​​​​,2012-09-24 11:34,1,评论,赞,专业版微博,https://weibo.com/2742992562/yDkN3hxuV
5,#吴莫愁唱痒遭吐槽#我选择不喜欢，非常难听 ​​​​,否,,2012-09-24 11:31,转发,评论,赞,微话题-《中国好...,https://weibo.com/2742992562/yDkLOu2Hg
6,//@医生护士那点事: 转发微博,是,#育儿#【幼儿能吃月饼吗】1、月饼是“三高”食品：高糖、高脂、高热量，过量进食对儿童的健康并无好处。2、所三岁以下的宝宝最好不要吃，三岁以上的宝宝，肠胃稍微成熟一点了，可以适当吃一点，但切勿过量 @首都儿科研究所 @新浪育儿 @医生护士那点事 ​​​​,2012-09-24 11:26,转发,评论,赞,专业版微博,https://weibo.com/2742992562/yDkJCv8NA
7,今天又是全天大雨，大家要小心啦~注意安全，老人和孩子没什么事情就不要出门啦！ ​​​​,否,,2012-07-31 09:27,转发,评论,赞,微博 weibo.com,https://weibo.com/2742992562/yuXs99l47
8,灾后健康“十要十不要”O网页链接 ​​​​,否,,2012-07-31 09:21,转发,评论,赞,微博 weibo.com,https://weibo.com/2742992562/yuXpDoMgZ
9,水灾后会发生哪些疾病？ 水灾灾区卫生条件差，特别是饮用水的卫生难以得到保障，首先要预防的是肠道传染病，如霍乱、伤寒、痢疾、甲型肝炎等。另外，人畜共患疾病和自然疫源性疾病也是洪涝期间极易发生的，如钩端螺旋体病、流行性出血热，疟疾、流行性乙型脑炎、登革热等。 ​​​​,否,,2012-07-31 09:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2742992562/yuXn25vfQ
10,//@大兴安定健康教育: 转发微博,是,,2012-07-09 12:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2742992562/yrD9T4Ydg
11,今天在我中心在首经贸中街居委会的大力协助下，在万年花城回迁楼广场举办了家庭医生进社区义诊活动，社区居民积极参与，从80岁老人到不满周岁的小朋友都有，非常感谢大家的支持！@北京健康教育 @北京丰台健康教育 @满脸粉丝 ​​​​,否,,2012-07-09 11:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2742992562/yrCGJfTBz
12,义诊进行时!有小美女参加!@北京健康教育 ​​​​,否,,2012-07-09 09:28,转发,1,赞,魅族手机,https://weibo.com/2742992562/yrC3K5WBH
13,出发义诊@北京健康教育 ​​​​,否,,2012-07-09 09:05,转发,评论,赞,魅族手机,https://weibo.com/2742992562/yrBU7coxR
14,@O4芝麻 看看~~~,是,,2012-07-05 09:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2742992562/yr0lpaxAe
15,昨天去万柳西园居委会进行《北京人健康指引》宣传及《慢性病夏季预防》的讲座，天气很热，还是有不少社区居民前来，很开心！@北京健康教育 @北京丰台健康教育 ​​​​,否,,2012-07-05 09:26,3,1,赞,微博 weibo.com,https://weibo.com/2742992562/yr0kyy41R
