序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,欢迎再来,是,流出了。。。#旧鼓楼社区欢乐的大半天# ​​​​,2012-08-01 09:23,转发,评论,赞,微博搜索,https://weibo.com/2735870561/yv6QWrWz0
1,好听的音乐，再转。,是,6.30 旧鼓楼社区 好妹妹乐队公益弹唱会  《恰似你的温柔》 O网页链接 ​​​​,2012-08-01 09:22,转发,1,赞,微博搜索,https://weibo.com/2735870561/yv6Qqfs0A
2,每周六10:00——14:00，欢迎。,是,正能量剧《以2的名义》排练场地@旧鼓楼社区公益小剧场 ，欢迎围观！ ​​​​,2012-08-01 09:21,转发,评论,赞,微博搜索,https://weibo.com/2735870561/yv6Qh4yxQ
3,静静聆听,是,热闹乐会的张北没去成，寻至#旧鼓楼社区公益小剧场#，不是我以为的话剧，是安静聆听的民谣原创乐，再次看到有梦想人的美好。 ​​​​,2012-08-01 09:20,转发,评论,赞,微博搜索,https://weibo.com/2735870561/yv6PNwrdR
4,精彩!感谢1,是,我上传了：【视频：6.30 旧鼓楼社区 好妹妹乐队公益弹唱会  《西窗的雨》】O网页链接（来 @优酷网 看我更多精彩视频：O网页链接） ​​​​,2012-08-01 09:19,转发,评论,赞,微博搜索,https://weibo.com/2735870561/yv6Pc1b4s
5,"很好听,感谢.",是,我上传了：【视频：6.30 旧鼓楼社区 好妹妹乐队公益弹唱会  《点亮霓虹灯》】O网页链接（来 @优酷网 看我更多精彩视频：O网页链接） ​​​​,2012-08-01 09:18,转发,评论,赞,微博搜索,https://weibo.com/2735870561/yv6OMihwE
6,无人居住房顶长出大树，屋漏墙塌，感谢西城园林师傅们的及时处理，感谢房屋主人的理解，感谢邻居们的帮助。（因为树木长的特殊，西城园林的师傅们上房是踩着邻居的房顶过去的。） ​​​​,否,,2012-08-01 09:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2735870561/yv6NxsmvZ
7,【暑假活动之“我的风筝”】今天的活动是做风筝，李和平老师是风筝世家，制作风筝的技艺是代代相传，非常之高。不过教小孩子做风筝仍然是件困难的事，本来是示范，同学们学习，这次只能一个一个手把手的教，因为刀子太... O网页链接 ​​​​,否,,2012-08-01 09:06,转发,评论,赞,豆瓣web,https://weibo.com/2735870561/yv6K3cZbF
8,【暑期活动之“快乐英语”】　　北京五中学生会的五名高二学生带领社区的青少年在暑假期间学习英语，在本次活动中以做游戏的方式、轻松愉快的氛围，增强孩子们对英语学习的兴趣，让他们更好的掌握学习英语的技巧。本次... O网页链接 ​​​​,否,,2012-08-01 09:06,转发,评论,赞,豆瓣web,https://weibo.com/2735870561/yv6JTaGaU
9,【小餐桌大文明——餐桌文化宣传】接到宣传部的通知，，我社区积极开展了相关宣传活动，采取形式： 一、社区宣传栏张贴宣传画，向广大社区居民宣传节约粮食，文明就餐的知识理念。倡导大家养成合理点餐，节约用餐，文... O网页链接 ​​​​,否,,2012-08-01 09:04,转发,评论,赞,豆瓣web,https://weibo.com/2735870561/yv6Jlt98s
10,【拒绝光污染系列活动】　　现代城市给大家带来了五光十色的绚丽，同时也给人们的生活带来了困扰，高楼大厦的林立是城市现代化的一种象征。然而，这些常用玻璃、铝合金装演的都市商店、宾馆、写字楼、舞厅等的反射效... O网页链接 ​​​​,否,,2012-07-20 23:01,转发,评论,赞,豆瓣web,https://weibo.com/2735870561/ytn4S5f0g
11,今天上午，我社区组织夏季预防心脑血管病知识讲座，主讲为原安贞医院医生丁大夫，她从心脑血管常见发病因素及夏季如何预防等方面进行了细致讲解，大家听的很认真，现在心脑血管的发病率越来越高，年龄段也逐步向年轻发展了，我社区希望组织多种形式的健康讲座，为居民带来防病知识，健康生活。 ​​​​,否,,2012-07-18 12:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2735870561/ysZZchk8x
12,好事情//@什刹海热线: 转给孩子们,是,#区县动态#暑假期间，西城区将开放辖区内的科技馆、少年宫等场所，向中小学生免费提供包括科技模型比赛、体能训练、智力运动会等30项活动。 ​​​​,2012-07-04 16:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2735870561/yqTHM4OFj
13,今天和大家一起参观了德胜民防宣教中心地震展。从地震发生的起源、地震发生的前兆、地震时的逃生，以及震后的自救互救等方面，以图、文、影、型四维并茂的形式，生动的介绍了防震、逃生、自救、互救等方面的科学知识。德胜宣教中心这是个好地方，免费为大家开放，下次希望组织更多的居民参观学习。 ​​​​,否,,2012-07-04 16:32,转发,评论,赞,微博 weibo.com,https://weibo.com/2735870561/yqTGWD13l
14,关爱健康 及时筛查,是,免费两癌筛查开始了。登记地点：旧鼓楼社区服务站（旧鼓楼大街145号）时间：7月3日-9日。登记人群：35-59岁的本社区户籍妇女。（户籍在北京市西城区什刹海街道旧鼓楼社区）。其他人员请持身份证到您户籍所在地居委会进行登记。 ​​​​,2012-07-02 23:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2735870561/yqDIEp0UG
