序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,在一起就是幸福，亲们，中秋节快乐！！你有跟家人团聚吗？,是,【夫妻俩的“高空共婵娟”】中秋节，空姐李霁轩恰巧和身为机长的丈夫陈亚伟值飞同一个航班。尽管夫妻两人无法与家人团聚，飞行途中也要各自忙碌，但万米高空的这场“千里共婵娟”也算是别样的浪漫。在一起就是幸福，中秋快乐，小夫妻！ ​​​​,2012-09-30 17:35,转发,评论,赞,诺基亚5238,https://weibo.com/2733235265/yEhImASMD
1,“长阳景点多，揽胜半岛河”这是生在长阳长在长阳的一个小朋友写得一首赞美家乡的诗歌~或许，只有热爱自己的家乡才能写出这么美的句子吧！ 在这阖家欢乐、团圆的日子里，感谢你们，也感谢我们共同的努力！  ​​​​,否,,2012-09-30 16:56,转发,评论,1,皮皮时光机,https://weibo.com/2733235265/yEhsukBdU
2,高楼大厦拔地而起，高速公路纵横交错。以前的旧瓦房现在变成了高楼林立。 长阳以及长阳人......几年的发展，长阳再也不是原来的模样。这些变化你感受到了吗？  ​​​​,否,,2012-09-30 14:44,1,1,赞,皮皮时光机,https://weibo.com/2733235265/yEgAR8yI1
3,如此健身，大家可以借鉴下哦！,是,【“爆肚”后来个“全民健身”】各路网友微博报料，拥堵的高速路上，有女士内急无奈在同行者“掩护”下径直在路边解决问题；也有市民下车做“俯卧撑”，在免费的高速路上演“全民健身”；还有一位阿姨干脆在路旁溜狗，被网友称为“淡定姨”。O网页链接 ​​​​,2012-09-30 13:55,转发,评论,赞,诺基亚5238,https://weibo.com/2733235265/yEgh5aCfr
4,“双节”出行温馨提示：由于黄金周期间客流高度密集，临时购票和取票旅客一旦集中，会出现排队时间较长耽误取票出行的情况。因此，建议在线上订票后有需要取票乘车的旅客，应当提前选择就近代售网点或前往火车站售票大厅及时将票取走，避免在乘车当日因集中取票人多而耽误回京行程。 @平安北京  ​​​​,否,,2012-09-30 13:23,转发,评论,赞,皮皮时光机,https://weibo.com/2733235265/yEg401wFn
5,垂柳下，荷叶田田；河水边，笑颜掩映。人文、休闲、绿化、生态、宜居，这就是长阳，仿佛是一个“浓妆淡抹总相宜”的姑娘。走在路上，你会发现最美的地方其实就在身边。  八天假期，不做“宅”人，外出发现身边的美吧！  ​​​​,否,,2012-09-30 11:27,转发,评论,赞,皮皮时光机,https://weibo.com/2733235265/yEfiTE6n1
6,期盼已久的8天长假终于华丽丽的开始喽！[撒花]这位名为“钟秋洁”的姑娘带着一轮明月翩翩而来。今日长阳天气晴朗，可爱的长阳人们可以吃着月饼一睹明月风采哦！但早晚温差较大，出门赏月的同时要记得加件外套以免着凉~~各位童鞋，开启节日模式，尽享节日快乐！祝中秋节快乐哦！ ​​​​,否,,2012-09-30 09:07,转发,评论,赞,专业版微博,https://weibo.com/2733235265/yEeo4d5DE
7,再忙碌也不能忘了“上有老”的责任，每逢佳节倍思亲，回家看看你的父母吧~,是,,2012-09-29 17:16,15,6,赞,专业版微博,https://weibo.com/2733235265/yE8am2CBC
8,双节期间总是免不了各种聚会应酬，所谓“病从口入”，大家饮食健康哦~,是,#生活小百科# 【这些食物是不能同时吃的，你知道吗？】药补不如食补，但食物搭配一定要注意，有些食物一起可是吃会导致中毒的. ​​​​,2012-09-29 16:58,14,8,赞,专业版微博,https://weibo.com/2733235265/yE82V4FGb
9,绿色，一个象征着生命、充满朝气的颜色。同时，它也是长阳的象征，绿色长阳也是长阳未来发展的方向。青春、朝气、绿色与和谐，这是一个充满时代气息与活力城市应该追寻的，长阳正在用行动打造那个青春向上的城市。智慧长阳，也是绿色长阳。 ​​​​,否,,2012-09-29 16:30,25,13,赞,专业版微博,https://weibo.com/2733235265/yE7Rwf8UN
10,放假倒计时中，不过不管回家的心情是怎样的急迫，还是要注意安全哦~//@北京地铁: #温馨提示卡# 今天是节前最后一个工作日，幸福的童鞋们都已经放假了吧。现在乘坐地铁出行乘客较多，要注意安全，特别是带小孩儿的家长要看好小朋友哦。,是,"在地铁西单站换乘时,看到一个身穿绿色衣服的小男孩和妈妈走丢了，找到地铁员工帮忙。地铁员工一边耐心地安慰，一边打电话寻找，最终帮着他找到了他的妈妈。[呵呵]@北京地铁@萌兔莎拉 ​​​​",2012-09-29 16:00,17,7,赞,专业版微博,https://weibo.com/2733235265/yE7Fx4awH
11,中秋未到，促销已爆根[月儿圆]据国家新版《食品添加剂使用标准》规定，2012年月饼的保质期一般为45天至60天。所以，在众商家打折促销之际，咱消费者一方面享受厂家竞争带来的实惠，另一方面也要注意产品的保质期，以免吃坏了肚子~@全国卫生12320 ​​​​,否,,2012-09-29 14:58,26,7,赞,专业版微博,https://weibo.com/2733235265/yE7g5spCx
12,出行自驾游的亲们，要牢记哦~//@房山区卫生局: 转播//,是,#自驾出行请注意#加油要特别注意，尽量在大地方的正规加油站。如果是车队行驶，车与车要保持安全距离，车队所有的车切忌急刹车，以防追尾。在车队超越慢车时，已通过的车辆负责为自己的后车报告前方路况并引导后车超越，在未明确前方路况时，切勿强行超车。一定不要疲劳驾驶，每3小时要休息一会。 ​​​​,2012-09-29 14:35,12,8,赞,专业版微博,https://weibo.com/2733235265/yE76Z5jQU
13,【“两节”故宫提前一小时迎客】随着“中秋节”、“国庆节”的一并来袭，故宫也将于9月30日至10月4日提前开馆，即由原来的8：30调整为7:30，以满足客流量高峰。节前充分的准备工作都是为了让游客有一个更顺畅更快乐的十一。十一准备出游的朋友们，也好做好旅行前的准备哦！ ​​​​,否,,2012-09-29 13:37,12,11,赞,专业版微博,https://weibo.com/2733235265/yE6JndYjc
14,双节来临，每个人都怀抱着急切的心情回家团圆，可是风风火火赶路的同时，也别忘了平安出发、幸福到达才是最重要的[放假啦],是,#迎双节 保畅通# 双节假期即将来临，“回家”成为了主题词，地铁里随处可见提着行李、拿着礼物的乘客，脸上喜气洋洋、脚下步履匆匆。每逢佳节倍思亲，回家团聚是我们送给家人的最好礼物。平安出发、幸福到达，则是地铁员工送给乘客的最好礼物。迎双节、保畅通，我们准备好了，祝大家节日快乐。[放假啦] ​​​​,2012-09-29 11:48,13,11,赞,专业版微博,https://weibo.com/2733235265/yE619AFFI
15,十一一直都是旅游黄金周，是各大旅行社最喜欢的节日，尤其是今年，双节齐至，可是纵观现在热门旅游线路，无一不是人山人海的场面，到底是看风景还是看游客呢？如果你还将视线集中在热门城市中，那么最终将无游可以旅。其实，有些美景，就在一转身的距离 ​​​​,否,,2012-09-29 10:51,191,64,赞,专业版微博,https://weibo.com/2733235265/yE5DN9bWY
16,周六还在加班的你表示“压力山大”吗？但是，普希金早在多年前就告诉我们：不要悲伤，不要心急！忧郁的日子将会过去；相信吧，快乐的日子将会来临。亲们，甩开不开心吧，带着今天的好心情迎接明天的假期吧！ ​​​​,否,,2012-09-29 09:55,20,11,赞,专业版微博,https://weibo.com/2733235265/yE5hlnJgT
17,充满活力的舞姿，充满朝气的长阳人，有没有瞬间让你感动？周围的观众都是对此舞赞不绝口呢~舞动长阳，赞！！[带感] ​​​​,否,,2012-09-28 16:25,20,9,赞,专业版微博,https://weibo.com/2733235265/yDYoXam0R
18,阳光明媚，鲜花簇拥，长阳文化宫开幕仪式真心隆重[噢耶]~~文化宫内的精彩更是不容错过哦，此时领导们的心情完全hold不住啦！准备揭开主题文化宫的神秘面纱啊~~[带感] ​​​​,否,,2012-09-28 15:12,16,9,赞,专业版微博,https://weibo.com/2733235265/yDXVm92P4
19,长阳文化宫微博直播游先告一段落喽，[带感] 午饭过后，更多精彩花絮为大家送上哦！敬请期待吧！！ ​​​​,否,,2012-09-28 12:20,19,13,赞,专业版微博,https://weibo.com/2733235265/yDWNpuZAD
20,各位童鞋，你们知道了吗？//@中国房山长阳冠军赛: 冠军赛原始奖杯永久留在房山长阳，以表彰北京房山中央休闲购物区（长阳核心区）管理委员会对于冠军赛创立和顺利举办所做出的莫大贡献。 冠军们拿到的奖杯是该奖杯的缩小复制版。,是,这个～有请@中国房山长阳冠军赛 来讲解一下咯～领导与参观群众们都赞不绝口耶～ ​​​​,2012-09-28 12:00,21,14,赞,专业版微博,https://weibo.com/2733235265/yDWFn1EGx
21,这个～有请@中国房山长阳冠军赛 来讲解一下咯～领导与参观群众们都赞不绝口耶～ ​​​​,否,,2012-09-28 11:56,36,9,赞,Android客户端,https://weibo.com/2733235265/yDWDHk9mt
22,长阳，正在努力用适合自己的发展模式，打造一个别样的长阳。未来的路还很长，长阳也将会更好哦！//@荣邦瑞明彭松: 2006年，这里还是一片荒芜，6年时间就成长为一个新市镇，长阳模式早就了长阳速度！,是,领导们与参观人群在倾听讲解，一个有朝气的城镇必然有它悠久的历史。长阳！无数人的目光在期盼～ ​​​​,2012-09-28 11:53,5,1,赞,360安全浏览器,https://weibo.com/2733235265/yDWCwiwgH
23,二楼最最魅力的当属这面“微笑之墙”啦！[呵呵]一张张迷人的笑脸，展示着长阳积极向上之精神面貌！突然发现，只要微笑，就会感染到身边每一个人，因为那些走过它的人群是那么的开心～这也许就是我们常说的正能量吧？！[做鬼脸] ​​​​,否,,2012-09-28 11:20,43,15,赞,Android客户端,https://weibo.com/2733235265/yDWpd11jN
24,示范之镇怎能缺少自身模式，关注长阳模式就是关注未来城镇发展趋势啊！智慧、生态、宜居走起～ ​​​​,否,,2012-09-28 11:01,24,16,赞,Android客户端,https://weibo.com/2733235265/yDWhwnX4k
25,中柬友好的见证！当年柬埔寨领导人来华访问，用这个铁锹栽下了“友谊长青树”～周围的领导们听得津津有味。[呵呵]不知道柬埔寨领导们要是也来参观该是多么美妙的一件事～ ​​​​,否,,2012-09-28 10:30,269,68,赞,Android客户端,https://weibo.com/2733235265/yDW52u8SK
26,领导们与参观人群在倾听讲解，一个有朝气的城镇必然有它悠久的历史。长阳！无数人的目光在期盼～ ​​​​,否,,2012-09-28 10:13,23,11,赞,Android客户端,https://weibo.com/2733235265/yDVXXoHyE
27,进馆参观啦～好多人呀！这才是传说中的“走进长阳”啊！ ​​​​,否,,2012-09-28 09:55,37,20,1,Android客户端,https://weibo.com/2733235265/yDVQKBmY7
28,工作人员紧张搭建。。。这么多鲜花，这么多OL美女，走过路过真心想帮忙呀～ ​​​​,否,,2012-09-28 08:41,12,6,赞,Android客户端,https://weibo.com/2733235265/yDVmPe3hv
29,早上好亲们～虽然外面有些凉意“更那堪冷落清秋节”之感，[落叶]让人不免回想往事，但同时神清气爽的感觉，也给人以憧憬未来之迫切希望～正是这样一个美妙的日子，我们的长阳历史文化博物馆开馆迎宾，向人们诉说这里的历史，展望它的未来。好啦！现场微直播即将开始，欢迎关注哦～ ​​​​,否,,2012-09-28 08:29,15,8,赞,Android客户端,https://weibo.com/2733235265/yDVhXwqVd
30,夜间风大，请注意防范~如果没什么重要的事情，各位童鞋还是早点回家吧！路上注意安全！,是,【夜间风大体感温度低 注意防风保暖】27日17时北京气象信息: 今天夜间多云转晴，北风五六级，最低气温12℃，刮风时不要在广告牌和临时搭建物等底下停留，注意避开易掉落物体。明天白天大部分时间还有五六级北风，气温下降，注意添加衣物预防感冒。明天白天晴间多云，北风五六转三四级，最高气温22℃。 ​​​​,2012-09-27 18:13,13,6,赞,政府版微博,https://weibo.com/2733235265/yDPGumrzm
31,期待建成后的窦店民族文化中心！！！,是,#房山新闻#【窦店民族文化活动中心奠基】近日，具备民族文化展示、会议、数字多媒体放映等多种功能的窦店民族文化活动中心正式奠基。中心建成后，不仅可以丰富窦店村农民的业余文化生活，也将为北京高端制造业基地的规模发展提供更加良好的城市配套功能。工程预计2013年年底竣工。 ​​​​,2012-09-27 17:59,11,5,赞,政府版微博,https://weibo.com/2733235265/yDPACl0c6
32,【数字设计中的智慧城市】从虚拟空间到城市策略，从设计改变城市到设计为人民服务，从精英主义到市民智慧共享，这些触角的盘结和交叉，在针对智慧城市这一概念的讨论中，展现了在数字时代，当以城市作为对象时，数字技术对于经济、社会和文化的影响。@智慧城市博览会 O网页链接 ​​​​,否,,2012-09-27 17:02,17,12,赞,专业版微博,https://weibo.com/2733235265/yDPdwkfZQ
33,“长阳半岛”是房山区距离北京最近的乡镇，在永定河与小清河的环绕下，它仿佛如一个清秀的姑娘，散发着特有的魅力与清新。而河道周边广阔的绿色原生态开放空间也将成为长阳未来建设的绿色背景，成为长阳半岛成为紧邻城市主要建设区的“绿色生态小镇”的依托条件。 ​​​​,否,,2012-09-27 15:25,23,15,赞,专业版微博,https://weibo.com/2733235265/yDOA9h11B
34,这个中秋，记得常回家看看！！如果你想去旅行，那么带上父母吧，月圆人圆才是幸福节哦~[呵呵],是,【中秋节，别忘了回家看看父母】这些天，不少人都满心欢喜地规划长假。长假规划里，有写上我们的父母吗？对一天天老去的他们来说，幸福也许不是钱和那么富饶的生活，而是子女最简单的问候和陪伴。中秋，本就带着团圆之意的佳节，别忘了回家看看他们，月圆人圆，幸福美好。O网页链接 ​​​​,2012-09-27 14:20,13,7,赞,专业版微博,https://weibo.com/2733235265/yDO9KgkHW
35,【北京进入“全年最堵周”】9月24日，受开学、中秋节、国庆节等综合“影响”，外地车进京增多，号称“全年最堵”的9月，有7个工作日更是“堵上加堵”，这其中又有4个工作日集中在本周后半段，即为9月26日至29日。交通部门提醒市民合理安排出行时间，更多选择公共交通出行。O网页链接 ​​​​,否,,2012-09-27 13:38,16,8,赞,专业版微博,https://weibo.com/2733235265/yDNSMiQb8
36,云智能的兴起与发展已经让智能家居甚至智能城市变得不再遥远，而智能锁是否是新兴的潜力产品还将拭目以待！,是,#智慧城市探索##【智能家居】现在智能家居被广为提出，门禁系统作为智能家居的一个重要部分，自然要慎重选择，现在市场上不仅出现了电子锁、指纹锁，还出现了云智能锁。据说可以用手机在千里之外就能控制门锁的开关。云智能锁究竟是噱头还是新兴的潜力产品？@智慧长阳 @陈迪先生 @物联网陈骥 ​​​​,2012-09-27 12:06,17,9,赞,专业版微博,https://weibo.com/2733235265/yDNhcCG0q
37,1971年，对于长阳来说注定是不平凡的一年，因为那一年国务院将房山县长阳人民公社命名为“房山县长阳中柬友好人民公社”，那一年，公社大院内栽下了五颗象征中柬友谊万古长青的松树。而如今，在长阳文化馆中，用图片与文字记录了两国几十年的友谊！ @Funhill房山 ​​​​,否,,2012-09-27 11:12,227,81,赞,专业版微博,https://weibo.com/2733235265/yDMVmpKhA
38,不乱于心，不困于情。不畏将来，不念过去，如此安好。送给这个秋天的自己。 今日长阳最高气温23℃，最低气温11℃，风力5-6级。风力较大外出工作的朋友要注意安全与保暖。长阳的童鞋在奋斗的同时，一定要坚信长阳永远是最温暖的家哦！ ​​​​,否,,2012-09-27 09:29,21,11,赞,专业版微博,https://weibo.com/2733235265/yDMfJgPg9
39,八天长假，骑车游北京也是个不错的选择哦！,是,【租辆公共自行车逛北京】　8天假期，您可以避开拥堵车流，租辆公共自行车逛逛大街小巷，看看金秋美景。本市首批2000辆公共自行车运营至今已近4月，第二批新增5000辆将在下月陆续投入运营。第二批试点的西城、丰台、石景山、通州、大兴、亦庄等6个区域。 ​​​​,2012-09-26 18:08,13,7,赞,专业版微博,https://weibo.com/2733235265/yDGdNy4bx
40,在南京项目成果汇报会上，IBM副总裁、大中华地区政府与公众事业部总经理范宇表示：“IBM在智慧城市建设方面，拥有大量先进的信息技术解决方案，以及成功的实践案例，遍布食品安全、医疗、环保、人口管理与社会保障、城市应急系统、水资源管理、高新技术产业园区等各个领域。”@IBM中国 ​​​​,否,,2012-09-26 17:51,转发,1,赞,专业版微博,https://weibo.com/2733235265/yDG6VbM3m
