序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,#语录# 无论大事还是小事，只要自己是认为办得好的，就坚定地去办，这就是性格。—— 歌德  ​​​​,2012-09-24 09:13,转发,评论,赞,专业版微博,https://weibo.com/1802439647/yDjRFg57U
1,//@北京朝阳:出行温馨提示,是,【12条公交线路明天起调整路线】#聚焦北京#为方便更多的小区居民出行、完善公交微循环，从本月21日将对12条公交线路进行调整，其中新开2条“专”字头线路，427、599、20、385、459、553、950、636路8条线路调整优化，1条线路分段优化，另配合线路分段优化启用91路路号。大家快看一下吧，以免坐错车哦！ ​​​​,2012-09-21 11:57,转发,评论,赞,政府版微博,https://weibo.com/1802439647/yCSEY2Px0
2,//@北京朝阳:假日出行新选择,是,根据《国务院关于批转交通运输部等部门重大节假日免收小型客车通行费实施方案的通知》（国发〔2012〕37号）要求，经市政府同意，2012年“十一”黄金周期间，7座以下（含7座）小型客车免收收费公路通行费，通告见链接O网页链接 ​​​​,2012-09-21 11:57,转发,评论,赞,政府版微博,https://weibo.com/1802439647/yCSEVm17k
3,//@北京朝阳:这是活动现场展示酿醋流程的山西醋文化展台。几位山西大汉不停地用铲子翻搅着大铁锅中的醋糟，浓浓的醋酸味儿随着搅拌飘向了现场的每个角落。,是,#魅力朝阳#【五省市非遗展亮相北顶娘娘庙】京剧表演、天津快板、山西提线木偶……昨天，华北五省市博物馆非物质文化遗产展示活动在位于奥林匹克中心区的北顶娘娘庙拉开帷幕，14家博物馆为大家带来了精彩的非物质文化遗产展览及演出。活动将持续3天，至21日结束。看看下面的图片，猜猜他们在干什么？ ​​​​,2012-09-21 11:57,转发,评论,赞,政府版微博,https://weibo.com/1802439647/yCSETACNh
4,转发微博。,是,#共同关注#【4条地铁新线昨日开始空载试运行】6号线1期、8号线南段、9号线北段和10号线二期等4条地铁线路昨起开始为期3个月的空载试运行，年底开通。市民们将会享受到更加便捷的公共交通啦！ ​​​​,2012-09-21 11:57,转发,评论,赞,政府版微博,https://weibo.com/1802439647/yCSERvsaz
5,转发微博。,是,#北京CBD商务节#【智慧城市与智慧CBD】“智慧城市与智慧CBD”专题研讨会正在@朝阳规划艺术馆 举办，国内外各界高层人士共同分享先进国家和城市在人口管理、智能交通、应急指挥、民生服务等方面的经验，研讨如何运用新一代信息技术打造智慧城市，提升城市生活品质，以此带动区域经济创新发展。 ​​​​,2012-09-21 11:57,转发,评论,赞,政府版微博,https://weibo.com/1802439647/yCSEQ30OY
6,转发微博。,是,#北京CBD商务节#【智慧城市与智慧CBD】启动“智慧社区”建设，引导居民使用智能家居、智能安防、家庭医生、节能管理、停车管理等社区服务；设定智能井盖，提前预警由污水溢出导致的街道堵塞问题；智慧城市创新展示中心年底开放……敬请关注“智慧城市与智慧CBD”专题研讨会：O网页链接 ​​​​,2012-09-21 11:57,转发,评论,赞,政府版微博,https://weibo.com/1802439647/yCSEO01kb
7,//@北京朝阳:#中国文化产业30人高端峰会#于明天在@朝阳区规划艺术馆 举办。届时，@朝阳规划艺术馆 将全程进行#微直播#和视频直播，欢迎大家关注交流。,是,2012年#中国文化产业30人高端峰会#定于9月22日（本周六）在北京市朝阳区规划艺术馆3层宴会厅举办。本届峰会将关注“文化与科技”这一文化产业领域的核心和热点议题，对科技与创新年在文化产业领域的应用和发展方向进行深入探讨。详情参阅O网页链接 ​​​​,2012-09-21 11:57,转发,评论,赞,政府版微博,https://weibo.com/1802439647/yCSEMdxq4
8,转发微博,是,#寻找最美安徽好人#请大家伸出援手帮助这个孩子【淮南9岁女童辍学照顾瘫母两年多】白天，琪琪为母亲擦洗伤口，清理褥疮，端屎端尿；夜里，她就坐在病房的椅子上睡觉，每隔两小时，她就要起来给妈妈翻身……O网页链接 @中国文明网 ​​​​,2012-09-18 09:09,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yCphbDLtL
9,转发微博,是,"#微话题#【畅通北京 绿色出行】穿梭于北京的大街,在路口、在公交车站、在地铁站台,无论酷暑严寒,无论刮风下雨,到处都能看到文明引导员的身影.他们身穿黄衣,手拿小旗,一句句亲切的“您好”、“XX路进站”、“请小心”,引导人们有序排队上车.今儿,咱就一起来说说您看见的、感受到的公共文明引导员. ​​​​",2012-09-17 09:33,转发,评论,赞,专业版微博,https://weibo.com/1802439647/yCg0lcbwh
10,,是,,2012-09-14 17:10,转发,评论,赞,专业版微博,https://weibo.com/1802439647/yBQIc2hfu
11,转发微博,是,【“北京榜样”投票开始】“2012北京榜样”年度评选活动的投票已启动。本次共有40位候选人进入投票名单，他们中有的掀起过全民打拐热潮；有的坚持公益事业。投票时间9月12日—10月12日，大家可登录北京广播网、腾讯新闻、搜狐新闻“2012北京榜样”投票专题页进行投票，评选出你心中的十大榜样人物。 ​​​​,2012-09-14 11:08,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yBOlg0WbF
12,转发微博,是,【非京籍人员下月可办理公租自行车租车卡】今日，北京市新闻办发布消息称，非京籍人员下月可办理公租自行车租车卡。据介绍，目前，东城第二批公租自行车租赁点已建设完成40个。与第一批不同，这40个点更多分布在东城区的北片，如北新桥、雍和宫等地铁沿线。（人民网记者 杨文彦） O网页链接 ​​​​,2012-09-13 17:07,转发,评论,赞,专业版微博,https://weibo.com/1802439647/yBHgyyqEQ
13,转发微博,是,不管去哪，不管什么天气，永远带上自己的小太阳。早安！ ​​​​,2012-09-13 08:56,转发,评论,赞,专业版微博,https://weibo.com/1802439647/yBE3li5Wx
14,转发微博,是,【智语】对自己，自珍但不自恋；对别人，要求但不苛求；对感情，专情但不痴情；对生活，感悟但不感叹；对成就，渴望但不奢望；对家庭，眷恋但不迷恋；对友谊，向往但不神往；对金钱，希图但不贪图；对财富，分享但不独享；对信仰，正信但不迷信；对人生，无悔但不后悔；对生命，热爱但不溺爱。 ​​​​,2012-09-11 16:23,转发,评论,赞,专业版微博,https://weibo.com/1802439647/yBo7PjRNL
15,转发微博,是,【生活八记顺口溜】1不要攀，不要比，不要自己气自己；2活多干，话少说，群众心里有称砣；3少吃盐，多吃醋，不打麻将多散步；4按时睡，按时起，跑步游泳健身体；5夫妻爱，子女孝，家和比啥都重要；6官再大，钱再多，阎王照往土里拖；7行点善，积点德，心里常念佛弥勒；8吃点亏，吃点苦，傻点笨点也是福 ​​​​,2012-09-10 10:51,转发,评论,赞,专业版微博,https://weibo.com/1802439647/yBcwBem4S
16,我刚换了“游览八方”模板 ​​​​,否,,2012-09-06 19:11,转发,评论,赞,专业版微博,https://weibo.com/1802439647/yAE5xh9HA
17,转发微博,是,#文明微评#【“道德讲堂”的真谛】道德需要“讲”，更需要“行”即践爱心，行善举。“道德讲堂”倡导“积小善为大善，积小德为大德”的理念，就是要通过发现和学习“身边好人”、“平民英雄”，用“凡人善举”传递道德的力量，让来自身边的感动转化为自觉的行动。O网页链接 ​​​​,2012-09-05 09:29,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yAqQPxof2
18,转发微博,是,"生命重量取决于自身积淀，看重并做厚自己,生命就力压千钧；看轻并菲薄自己,生命就薄如纸片。早安，各位。 ​​​​",2012-09-05 08:32,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yAqtvor8I
19,转发微博,是,#给您提个醒#【城镇居民医保本月起办理手续】2013年城镇居民医疗保险的缴费期为9月1日至11月30日。今年参保的150万城镇居民，应尽快办理参保手续，以免耽误2013年看病报销哦！了解下详情吧： ​​​​,2012-09-04 15:30,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yAjMM0hhd
20,转发微博,是,#文明出行秀达人#首都文明办副主任韩龙彬呼吁大家多选择步行，骑行，公共交通等绿色出行方式，倡导驾驶员遵守交规，文明驾驶……小编认为，绿色出行，你我一起努力哦…… ​​​​,2012-09-04 10:00,转发,1,赞,微博 weibo.com,https://weibo.com/1802439647/yAhCDmrG2
21,转发微博,是,#温馨提示#车辆限行：今日（星期 二）车辆限行尾号为 3 和 8 ；明日（星期 三） 车辆限行尾号为 4 和 9 ；出行的朋友们注意安全——开开心心出行，平平安安回家！ ​​​​,2012-09-04 08:30,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yAh2ixf8L
22,转发微博,是,#温馨提示#车辆限行：今日（星期 一）车辆限行尾号为 2 和 7 ；明日（星期 二） 车辆限行尾号为 3 和 8 ；出行的朋友们注意安全——开开心心出行，平平安安回家！ ​​​​,2012-09-03 09:15,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yA7TXekb6
23,转发微博,是,【大病医保自付费用至少报销50%】《关于开展城乡居民大病保险工作的指导意见》昨公布，为避免城乡居民发生家庭灾难性医疗支出，“意见”对大病医保实报实销比例进行明确，规定实际支付比例不低于50%。O网页链接恶性肿瘤、白血病等高花费病种有望首批入选“大病险”。O网页链接 ​​​​,2012-08-31 08:34,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzFlP5Okk
24,转发微博,是,#温馨提示#随着学生陆续返校准备开学，本周早高峰中小学周边地区车流较集中。伴随着暑期的结束，高校周边、交通场站、眼镜城、小商品批发市场将成为本周交通热点区域。请大家合理安排时间避开拥堵路段，尽量选择公共交通出行，注意孩子安全。 ​​​​,2012-08-30 17:10,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzzj2sZVl
25,转发微博,是,【十大用药误区可能致命】①服非处方药不看标签。②胃不好还总吃镇静药。③腹泻伴发烧先服止泻药。④没心血管风险服阿司匹林。⑤骤然停服抗焦虑药。⑥一种抗生素解决所有问题。⑦滥用抗精神病药。⑧空腹补钙。⑨湿疹药物擅自停。⑩自我诊断霉菌感染。 ​​​​,2012-08-30 14:31,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzygroTSt
26,转发微博,是,大卫.米切尔：“年轻不容易，因为每件让你困惑和焦虑的事情是你破天荒头一遭。” 早安 ​​​​,2012-08-30 08:56,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzw4b08Hk
27,转发微博,是,#温馨提示#2012.08.30  星期四， 白天至夜间: 晴转多云，气温 34℃～22℃，东风 2-3级，紫外线强。 ​​​​,2012-08-30 08:03,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzvIKaa8F
28,//@文明北京: 真辛苦呀，爱扔垃圾的注意了，多走几步路，让这些工作人员少弯几次腰,是,"34度高温,工作人员继续值守,捡烟头,清纸屑 ​​​​",2012-08-29 14:35,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzoRAc2Gy
29,转发微博,是,【外地人在京办护照先网上申请】9月1日起，非京籍人员在京办理出入境证件时，要先在首都之窗北京市公安局网站预申请，警方将对户籍、社保等信息进行初审。申请人在递交申请48小时后可查询结果。通过审核后，申请人可在网上预约现场办理时间及地点。按照流程，30天后拿到证件。O网页链接 ​​​​,2012-08-29 08:39,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzmwTkLlT
30,转发微博,是,早安，各位！今天是2012年8月29日星期三，限行尾号4和9。最近两天，本市气温呈上升趋势。今天，本市最高温度将上升至34℃，传说中的“秋老虎”开始发威了，中午前后会比较热，大家尽量避免外出。不过，早晚气温不高，年老体弱的朋友应注意调整着装。@李洪洋 ​​​​,2012-08-29 08:16,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzmnLsHrs
31,转发微博,是,#非常观察#【地铁14号线跨越永定河大桥整体贯通啦！】近日，地铁14号线永定河特大桥箱梁浇筑全部完工，至此大桥主体全部完工。永定河特大桥位于卢沟桥分洪枢纽上游，紧邻西五环，全长633.2米。地铁14号线在张郭庄站至大瓦窑站之间上跨永定河，呈“正十字”分布。 ​​​​,2012-08-28 16:17,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzg6mA8Ih
32,转发微博,是,"今晨，朝外大街上演了一幕“爱心指路接力行”。一位西班牙留学生从朝阳门地铁口出来后找不到所住酒店，向我们的服务站志愿者寻求帮助。服务站志愿者用英语和留学生进行沟通，并帮他将行李箱送过地下通道,找到了酒店。 ​​​​",2012-08-28 10:48,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzdWEzgcA
33,转发微博,是,#气象信息#：今天（8月28日）白天，多云间晴，早晨有轻雾，偏北风2、3级，最高气温33℃，最小相对湿度35%。（朝阳区气象局提供） ​​​​,2012-08-28 09:07,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzdhR9E6z
34,转发微博,是,【北京天气：今起三天，再体验夏日热情】今晨，雨后的北京飘着轻雾，感觉舒适，白天渐渐转晴，气温将快速上升，最高气温可达33℃，空气湿度也很大，会感觉比较热，中午前后外出要注意遮阳防晒。明后两天晴天持续，气温还将略升。北京常年入秋时间是9月5日，现在，夏天，还没走呢。O网页链接 ​​​​,2012-08-28 08:34,1,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzd4g6MUN
35,转发微博,是,#晨话# 人生的境界，说到底，是心灵的境界。唯有心灵的安静，方能铸就人性的优雅。早安。近期的凉爽天儿今天告一段落，天气转晴，最高气温达到32℃至34℃，城区气温还会更高。夏秋交替，昼夜温差大，身体会对冷热变化不适应，呼吸道、肠胃炎、感冒等疾病易发，大家更要关注天气、爱惜自己。 ​​​​,2012-08-28 07:49,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yzcMn9bZx
36,转发微博,是,#气象信息#：明天（8月28日）白天，多云转晴，偏北风2、3级，最高气温32℃，最小相对湿度30%。（朝阳区气象局提供） ​​​​,2012-08-27 17:18,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yz74Nt9Vi
37,转发微博,是,【北京气象台今晨发布暴雨蓝色预警信号】北京市气象台9时55分发布暴雨蓝色预警信号：预计未来3小时本市城区的南部将出现小时雨量达到20毫米的短时强降水。请注意防范。今天（27日）凌晨，京城大部出现降水，同时伴有雷电。预计今天白天到夜间仍有阵雨，出行民众请注意交通安全。O网页链接 ​​​​,2012-08-27 11:12,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yz4FT6s3a
38,转发微博,是,【朝阳开通为民服务综合平台】朝阳区“为民服务综合平台81890”正式开通运行， 81890是“拨一拨就灵”的谐音。市民、企业通过拨打朝阳区政府热线81890000，就能将自己的意见和建议传达给相关部门单位，而且行动不便的老人、残疾人还可以通过拨打该热线，预约送餐、护理等上门服务。 ​​​​,2012-08-27 11:10,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yz4FeDlsP
39,转发微博,是,志愿人生:临终老人的陪伴 残疾人的引路人O网页链接  做志愿服务既耽误功夫又耽误工作，张大诺内心也有过挣扎。但每每想到这些老人虽然可能不认识他，却会像盼望亲人一样眼巴巴地等待着他，再多困难他都吞进肚子里了。 ​​​​,2012-08-27 10:11,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yz4hgBhma
40,转发微博,是,#雨天行车请注意#注意降低车速，平稳转向。路面上的积水起着“润滑剂”的作用，使路面与车轮之间形成一 “滑油面层”，让路面附着系数大大降低。路面上的水越深，车速越快，这种现象越严重。路面变滑，将使制动距离延长，速度越快，制动距离越长。雨天车速一定要至少比平时降低20%，并注意平稳转向。 ​​​​,2012-08-27 09:10,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yz3Sp2t4T
41,转发微博,是,#气象信息#：今天（8月27日）白天，阴天间多云有阵雨，偏东风2、3级，最高气温27℃，最小相对湿度60%。（朝阳区气象局提供） ​​​​,2012-08-27 09:09,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yz3SlaX86
42,转发微博,是,#寻找最美北京好人#【赵红心：一颗红心永向党】扎根治安系统21年，恪尽职守，清正廉洁，勇于担当，甘于奉献，从一名普通民警成长为治安系统科技信通领域的行业先锋，是优秀基层领导干部的代表。今年全国“两会”安保工作中，赵红心同志忍受着巨大的病痛折磨团结带领全处民警……O网页链接 ​​​​,2012-08-26 16:19,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yyXgfz9eH
43,//@都市快报: 陕西省延安市境内凌晨发生的特大交通事故确认共有36人死亡。发生事故的客车核载39人，实载39人，仅3人逃生。,是,【陕西延安特大交通事故 已致28人死亡】据新华网报道，陕西延安包茂高速公路26日凌晨2时许发生一起特大交通事故，一辆双层卧辅客车和一辆罐车（装有甲醇）追尾，并致两车起火。发生事故的客车约有39个座位，事故发生后有3人逃生。目前事故已造成28人死亡。O网页链接 ​​​​,2012-08-26 10:33,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yyUZWhqTB
44,转发微博,是,【谨防虚假获奖信息】请大家注意，近期有不法分子通过微相册评论或@ 等方式，散步虚假获奖信息，要求获奖网友提供银行卡信息或交付押金换取奖品等非法行为，我们已经开始在处理，将对此非法行为进行严厉打击。另，微相册举办的任何有奖活动，都不会收取获奖人任何费用，请大家提高警惕，以防上当受骗！ ​​​​,2012-08-26 10:20,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yyUUqoHNI
45,转发微博,是,"【员工的5大需求】1、物质需求。这是第一要素，不争的事实；2、情感需求。花时间与员工交流，情感注；3、成长需求。帮助员工规划职业，提供成长机会；4、舞台需求。提供员工施展才华的舞台；5、希望需求。希望是员工生活与工作实践的动力，希望要贴近员工的需求,并一定要兑现。 ​​​​",2012-08-26 10:05,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yyUOn8F4M
46,吉庆里社区“践行北京精神，弘扬社区文化”夏日文化广场活动圆满成功，大家快来欣赏一下我们居民的风采吧[群体围观] ​​​​,否,,2012-08-25 09:03,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yyKYVDG2Y
47,转发微博,是,【北京天气：温差加大，记得添衣】近几天北京的天气可以这样形容：早起出门凉飕飕，得穿长袖才行；中午 阳光刺眼，比较热；傍晚又凉意陡升；夜里则是“天阶夜色凉如水”。今天北京仍延续晴天，最高气温29℃，不要忽视防晒哈。 周末天气不错，最高气温28℃，比较适合外出游玩。O网页链接 ​​​​,2012-08-24 08:42,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yyBpwvUax
48,//@海淀在线: 转发微博,是,【邮政代办“驾驶证”】驾驶证有效期满换证、遗失补证、损坏换证等业务都可到邮局办理了。您只需携带本人二代身份证原件和复印件、“身体体检证明”和近期免冠白底彩色一寸证件照片3张及驾驶证原件，到开办此业务的邮局填写“机动车驾驶证申请表”后即可办理。最后，邮递员将按预留地址投递到您手中。 ​​​​,2012-08-24 08:32,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yyBltE46d
49,转发微博。,是,【七夕防范提示】七夕将至，民警提示大家注意：1.网络交友需慎重，谨防色狼来侵犯。2.网购礼物多注意，防钓防骗需留心。3.逛街人多护好包，提高警惕防扒盗。4.孔明放灯是历史，防火需要你参与。5.灯红酒绿好热闹，饮酒无过承受量。6.情侣夜间散步时，僻静之处不要去。愿大家平安过节！ ​​​​,2012-08-23 09:58,转发,评论,赞,政府版微博,https://weibo.com/1802439647/yystVDLe3
50,转发微博,是,【北京公办幼儿园取消赞助费 月保教费不得超900元】从9月1日起，本市公办幼儿园将根据不同类别实行4类收费标准，其中，市级示范幼儿园保育费最高将达到900元。同时，本市加大对幼儿园收费的规范和监督，严禁幼儿园收取与入园挂钩的赞助费、捐资助学费、建校费等费用。O网页链接 ​​​​,2012-08-23 09:02,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yys7s7abH
51,转发微博,是,【今日处暑】今天我们迎来处暑节气。处，去也，暑气至此而止矣，意思是炎热的夏天即将过去。处暑期间，我国北方降温明显，昼夜温差加大，大部地区雨季结束，率先开始一年中最美好的秋高气爽，真正进入秋季的只有东北和西北地区；南方还会经常遭受“秋老虎”困扰，但早晚不是很热，不至于热得喘不过气。 ​​​​,2012-08-23 09:02,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yys7crj7O
52,转发微博,是,9月1日起，北京、天津、上海、重庆、广州、深圳6地允许非本市户籍就业人员（持户口簿、二代身份证、暂（居）住证，就业地一年以上社保证明）和在读大学生（户口簿、二代身份证、在学证明）异地办理普通护照、港澳通行证及签注、台湾通行证及签注（包括首次申请、换补发、失效重申及加注）。 ​​​​,2012-08-22 14:29,转发,评论,赞,微博 weibo.com,https://weibo.com/1802439647/yykPwoglA
