序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,运动会有杯水传球、快乐二指禅、两人三足等7个比赛项目。小选手们从热身活动开始，斗智斗勇，全程较量着体力与胆量、思维与智力。这次拓展活动不但丰富了孩子们的假日生活，更让大家实现了自我突破，自我超越，在娱乐中放松，在运动中创新，在激烈的竞争中提高团队合作能力并充分感受到集体的凝聚力。 ​​​​,否,,2012-08-24 18:43,1,4,赞,微博 weibo.com,https://weibo.com/1757560137/yyFlHv6TN
1,在体验中尽情欢乐，在欢乐中收获感悟。为培养辖区青少年的团队合作精神，增进友谊，学会社交礼仪、树立自信心，为今后进入社会打下坚实的基础，提高适应社会的能力，8月24日上午，雅宝里社区携手七彩昀社工事务所联合开展暑期青少年素质拓展运动会。30名青少年学生及家长参加了本次活动。 ​​​​,否,,2012-08-24 18:25,1,1,赞,微博 weibo.com,https://weibo.com/1757560137/yyFetx1cF
2,雅宝里社区文体队伍载歌载舞助推“创文”：为增强创文凝聚力，聚集人气，促进文明和谐社区建设，8月14日下午，雅宝里社区开展了文体队伍展示活动，参加本次活动的成员都是口琴爱好者。社区的文体队伍经过逐年的发展，已拥有合唱队、舞蹈队、踢毽队等多支文体活动队伍，队员人数已达到100余人。 ​​​​,否,,2012-08-15 01:05,转发,1,赞,微博 weibo.com,https://weibo.com/1757560137/yxbzGDHt9
3,座椅装好后，很快就有很多老人高兴地坐在上面，不住感叹社区办了实事，给居民提供了便利的同时也为他们提供一个干净整洁、环境优美的休闲场所。希望辖区广大市民，爱护好公共设施，共同维护社区美好家园。 ​​​​,否,,2012-08-13 17:55,转发,评论,赞,微博 weibo.com,https://weibo.com/1757560137/ywZkB33zU
4,雅宝里更换路边休闲椅 打造宜居社区：8月13日下午，朝阳门南大街甲12楼东侧更换了4把全新的座椅，既方便居民休息，又改善了社区环境。朝阳门南大街属老旧小区，时有居民反映这些残旧的休闲椅存在严重的安全隐患，并且重影响了小区整体环境，希望社区能够能及时修缮、安装结实牢靠的座椅。 ​​​​,否,,2012-08-13 17:53,转发,评论,赞,微博 weibo.com,https://weibo.com/1757560137/ywZjVoqhi
5,为了更好地完成创建工作，雅宝里社区拉开了“创建清洁环境周”序幕，8月11日上午，开展了“清洁环境卫生日”活动，组织了和谐促进员和居民30多人，参与了此次活动，清扫路面、捡拾白色垃圾、清洗垃圾桶、清除小广告，把辖区楼宇院内清理的干干净净。特别是其中一位87岁的老人自发积极参加了此次活动。 ​​​​,否,,2012-08-11 14:13,转发,4,赞,微博 weibo.com,https://weibo.com/1757560137/ywF1zchOu
6,该合作项目的签约，将给我社区持二代残疾人证的88名残疾人带来一份惊喜，政府“埋单”为每一位符合条件的残疾人购买价值万元的人身意外伤害保险。活动结束后，残疾人代表纷纷称赞此举的出台，真正体现了政府急残疾人所急，为残疾人所想的理念，也促进社会的和谐发展。 ​​​​,否,,2012-08-10 15:12,转发,评论,赞,微博 weibo.com,https://weibo.com/1757560137/ywvYVgQNL
7,惠民政策暖人心 雅宝里社区残疾人喜获人身意外险：为了进一步完善残疾人社会保障体系，减轻残疾人因意外人身伤害而产生的负担。8月10日上午，北京市残疾人联合会与中国人保财险在人保大厦十三楼会议室举行了“残疾人意外伤害保险”合作协议签约仪式。雅宝里社区残疾人代表也参加了本次活动。 ​​​​,否,,2012-08-10 15:11,1,评论,赞,微博 weibo.com,https://weibo.com/1757560137/ywvYLuw2N
8,此次志愿者活动的开展是以课业辅导、心理辅导等为主线，旨在为他们提供长期定向的成长教育支持，帮助他们消除成长中的负面因素，解决成长中的情感困惑，营造积极的成长环境。 ​​​​,否,,2012-08-09 23:20,1,2,赞,微博 weibo.com,https://weibo.com/1757560137/ywpKx9EoK
9,点亮希望 陪伴成长：北京七彩昀社会工作事务所专职社工借雅宝里社区开展“陪伴我成长---朝阳区低保家庭未成年子女成长教育支持计划”（大学生牵手中小学生，大朋友陪伴小朋友成长）志愿服务活动，结对帮扶朝外地区有困难的居民，并通过开展家访及心理健康预防等专业手段，重点做好青少年的帮扶工作。 ​​​​,否,,2012-08-09 23:19,3,2,赞,微博 weibo.com,https://weibo.com/1757560137/ywpKqDioi
