序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,祝大家中秋节、国庆节快乐！ ​​​​,否,,2012-09-30 18:30,转发,评论,赞,iPhone客户端,https://weibo.com/1269285514/yEi4EkDuk
1,9月30日0时至10月7日24时全国高速路免费，#这个假期你自驾游了吗？#不管怎么过节，都要注意安全哦！,是,【微评论：汽车文明折射国民素养】公路免费通行，不可避免的是车流激增，拥堵加剧。车水马龙，毂击肩摩间，是加塞斗气，还是遵规礼让，这体现汽车文明，更彰显国民素养。无论交通还是社会，良好秩序的实现，都离不开对规则的遵守、对他人的尊重、对权责关系的明晰。文明中国，请从“脚下路”开始。 ​​​​,2012-09-30 18:28,转发,评论,赞,iPhone客户端,https://weibo.com/1269285514/yEi3SoD6n
2,#居民文化活动#为了迎接十八大召开，2012年9月28日将台地区办事处举办了“迎接十八大，永远跟党走”将台地区合唱汇演，各社区、村、社会组织和残疾人联合会的合唱队伍参加了此次汇演，每支队伍各有特色，为现场一千多名观众奉献了一台精彩的歌曲盛宴。 ​​​​,否,,2012-09-29 09:26,转发,评论,赞,专业版微博,https://weibo.com/1269285514/yE55inRzj
3,#中秋欢乐会#中秋节是中国人举家团圆的日子，丽都社区秉承“牵手阳光”工作品牌，联合社区社会组织为中外居民营造和谐、欢乐的节日氛围，让居民们在这里增进了解，结识更多新邻居。将台地区办事处领导前来参加了此次活动，与中外居民一起热热闹闹的欢庆中秋这个中国传统佳节。 ​​​​,否,,2012-09-24 11:23,转发,评论,赞,专业版微博,https://weibo.com/1269285514/yDkIy5Tak
4,#中秋欢乐会#今天还有许多充满中国韵味的演出：来自社区民乐队的老师们用柳琴和巴乌演绎优美婉转的古曲诗朗诵《彩云追月》；社区京剧班的老师们为中外居民展现了国粹京剧的魅力所在；抖空竹表演吸引了众多外籍居民的阵阵喝彩；社区舞蹈队、长绸扇队的老师们精神抖擞的演出赢得了观众们的阵阵掌声。 ​​​​,否,,2012-09-24 11:10,转发,评论,赞,专业版微博,https://weibo.com/1269285514/yDkDftlYR
5,#中秋欢乐会#西班牙的阿里先生和他的瑜伽团队为居民们带来了精彩的双人瑜伽表演；美吉姆早教机构更是精心准备了热闹欢乐的歌舞表演，其间穿插的互动节目让现场的孩子们参与其中，把全场的气氛带到高潮。 ​​​​,否,,2012-09-24 10:57,转发,评论,赞,专业版微博,https://weibo.com/1269285514/yDkxOkviP
6,#中秋欢乐会#开场街舞热辣火爆[好棒]，来自“黑白兄弟”舞蹈社小朋友的表演赢得了大家的掌声和欢笑~ ​​​​,否,,2012-09-24 10:42,1,评论,赞,专业版微博,https://weibo.com/1269285514/yDkrXaZyg
7,#生活在丽都#2012年9月22日，丽都社区牵手阳光新业地产、赛特国际物业、第一太平戴维斯物业、克丽缇娜美容店、美吉姆早教机构、《点击望京》杂志社共同举办了“快乐将台迎中秋，牵手阳光映上东”中外居民欢乐会，居民们齐聚阳光上东文化广场，在这秋风送爽的日子一起共度美好佳节。[达人一周年] ​​​​,否,,2012-09-24 10:29,转发,评论,赞,专业版微博,https://weibo.com/1269285514/yDkml4dqf
8,给力！,是,首届《东湖杯》中韩围棋赛圆满落幕！12:6中方获胜！！！ 中韩围棋赛将由此次更名为《东湖杯》，前两次比赛名称为《点击望京杯》和《大益杯》，期待着明年有规模更大的活动。感谢所有支持和参与参与此次活动的朋友！ ​​​​,2012-09-23 23:40,转发,评论,赞,iPad客户端,https://weibo.com/1269285514/yDg7h4aKz
9,勿忘国耻，以史为鉴。,是,【你好，明天】明天九一八，中国国耻日。穿越81年的警报，记录民族屈辱，也见证国家兴衰。如今，力量格局正发生逆转，机遇之门向中国打开。然而，时间不等人。无惧外患的同时，我们应拿出决心和勇气，直面矛盾问题，推进改革发展。居安思危，革新图强，全面振兴，试看东海之岛，到底是谁的封疆！安。 ​​​​,2012-09-17 23:47,转发,评论,赞,iPad客户端,https://weibo.com/1269285514/yClB3D2ed
10,V5 //@江宁公安在线:。。。沉默的罗刹,是,作为北京的一名警察，我绝不容忍打砸抢烧的犯罪行为！为保护同胞的生命财产安全，彪马和同伴们的森森白牙，已经准备好了！摘下面罩，面对败类的时候，它们不再是萌犬，它们，就是罗刹！！ ​​​​,2012-09-16 20:16,转发,评论,赞,iPhone客户端,https://weibo.com/1269285514/yCaMY5oCS
11,#温馨提示#为了生命安全，开车一定要系好安全带！,是,“不系安全带开车、坐车简直就是自杀”——这并不是一句唬人的话，从以前的事故教训看来，事实的确如此，让我们从合理使用安全带常识看起，认真了解到安全带带来的作用吧。 ​​​​,2012-09-11 10:54,转发,评论,赞,iPhone客户端,https://weibo.com/1269285514/yBlY9DO07
12,#生活在丽都#丽都公寓外有一块便道被树根顶起一块坡，过往居民一不小心就会被绊一跤。今天参加巡逻的热心居民杨师傅拿来自家工具，把便道修平了！感谢杨师傅! ​​​​,否,,2012-09-10 15:48,转发,评论,赞,微博 weibo.com,https://weibo.com/1269285514/yBesR6vSk
13,今天地区办事处组织2012年将台社区工作者培训，来自德诚社会组织的汪文新老师为将台社工们讲解#社会管理与创新#。 ​​​​,否,,2012-09-10 10:36,转发,评论,赞,iPhone客户端,https://weibo.com/1269285514/yBcqqh40C
14,转发~,是,【警惕以“iPhone5”为诱饵的电信诈骗】近期有犯罪分子利用苹果手机品牌影响，以收取几百元海关税、快递费用为由，利用电话向大家推介所谓“iPhone5”体验手机。请童鞋们注意防范，不要因为“爱疯”而被骗哦，真的“iPhone5”可还没有上市哦！@常熟公安 ​​​​,2012-09-05 10:01,转发,评论,赞,微博 weibo.com,https://weibo.com/1269285514/yAr3CEQqw
15,[左抱抱]关注细节，保护好个人信息！[右抱抱],是,【如何保护个人信息】网络时代信息飞速传递，您的个人信息被泄露怎么办？要是被不法分子利用更加危险。在您注册个人账号时，在您办理各类业务时，在您填写各类问卷时，在您上网浏览信息时，您有没有保护好您的个人信息？#泉城警漫#系列漫画教您如何保护好自己的个人信息 ​​​​,2012-09-03 11:14,转发,评论,赞,微博 weibo.com,https://weibo.com/1269285514/yA8GsavlP
16,外地在京租房的童鞋们要注意了，这两天又有新的诈骗手段出炉，大家要有所警惕！,是,【亲历：最新版短信诈骗】总觉得自己智商还不到受骗的地步，然而最近这两天连续接到短信，竟也恍惚了一下，险些中圈套，虽然很快觉察了，但是发现骗子的手段还真是层出不穷，不得不防。在这里写出来让博友们有所警惕。收到的短信是这样的：你好，我是房东，我现在在外地出差…… O网页链接 ​​​​,2012-08-28 16:44,转发,评论,赞,微博 weibo.com,https://weibo.com/1269285514/yzghphKZe
17,#生活在丽都#全国文明城区复检拉开了帷幕，为了营造干净、平安、和谐、文明的社区氛围，8月25日起，社区全体工作人员停休，坚持每天从早8点至晚5点上岗巡逻。丽都社区发动社区“红袖标”治安志愿者、物业公司配合，参与到文明秩序疏导工作中，对不文明行为进行劝说，并及时清理路面的烟头和白色垃圾。 ​​​​,否,,2012-08-28 11:49,转发,评论,赞,微博 weibo.com,https://weibo.com/1269285514/yzelCoSjI
18,#生活在丽都#丽都社区牵手航天五院于2012年8月21日至25日，分别在丽都职工公寓、芳园南里西区小区和阳光上东c区特别举办“牵手阳光航天科普进万家”系列活动，宣传中国航天知识，丰富居民朋友的文化生活，让大家了解和走进中国航天。 ​​​​,否,,2012-08-28 10:43,1,评论,赞,微博 weibo.com,https://weibo.com/1269285514/yzdUFo7pJ
19,运气好当月就能摇上，运气不好等个一两年也是有的。,是,【北京购车摇号中签率不足2% 再创新低】昨天，北京第八期小客车指标摇号顺利完成，19926个中签者成为105万余申请者中的幸运儿，中签比例不足2%，再创新低。凭小客车配置指标确认通知书，8月27日起可到国税、车管等部门办理相关手续。您摇着了吗？O网页链接 ​​​​,2012-08-27 10:13,转发,评论,赞,iPad客户端,https://weibo.com/1269285514/yz4i0pxRN
