序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,#人文朝阳#【药监朝阳分局提醒居民安全用药】9月是全国安全药品宣传月。药监局提示市民公众自身要了解一些抗生素使用常识学会自我保护。抗生素不是普通药品，必须谨慎使用，建议市民面对抗生素应该做到“三不”：不自行购买不储存，不主动要求用药，不随便停药。 ​​​​,2012-09-27 14:53,转发,评论,赞,专业版微博,https://weibo.com/1706689177/yDOn0lytJ
1,"北京动物园白熊馆“十一""开放,带上家人去观看吧.",是,【北京动物园白熊馆“十一”开放，4只北极熊回家度中秋】“十一”期间，北京动物园的白熊馆将于正式对游客开放，到时候大家可能有机会看到美美、乐乐、平平、安安这4只可爱的北极熊。它们已阔别北京两年，如今“远游”回来正准备搬入新家。据了解，在新白熊馆里游客站在玻璃墙前近距离观看北极熊。 ​​​​,2012-09-21 13:39,1,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yCTkltz2U
2,八里桥社区迎“两节”美化社区环境 ​​​​,否,,2012-09-21 13:35,转发,评论,赞,专业版微博,https://weibo.com/1706689177/yCTivr45H
3,转发微博,是,【出境提醒】鉴于当前形势，为保证在日本中国公民安全，特此提醒临时赴日或在日居住的中国公民注意人身安全。一旦人身遭受侵扰或财产受到侵犯，应及时向日本警方报案（电话：110），同时向就近的中国驻日使领馆通报情况，取得领事协助。各使领馆电话详见长微博 ​​​​,2012-09-20 15:47,转发,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yCKJzjx9D
4,,是,根据《国务院关于批转交通运输部等部门重大节假日免收小型客车通行费实施方案的通知》（国发〔2012〕37号）要求，经市政府同意，2012年“十一”黄金周期间，7座以下（含7座）小型客车免收收费公路通行费，通告见链接O网页链接 ​​​​,2012-09-20 13:16,转发,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yCJKwD5il
5,转发微博,是,#征集启事#【“美言•美文•美图”征集启事】由朝阳区委宣传部主办的《美言美文》杂志从2012年1月创刊至今已半载有余。杂志发行期间，大量热心读者来信，字里行间充满了对《美言美文》的关注、喜爱及期待。现向广大读者征集“美言•美文•美图”，希望更多的朋友同《美言美文》一道远足！ 详情如下： ​​​​,2012-09-19 16:22,转发,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yCBxmDYB5
6,转发微博,是,【“十一”将免费发放10万张景区门票】“十一”期间，本市将免费向市民发放10万张门票。此外，黄金周期间，昌平、延庆、密云、怀柔等远郊区县将开辟临时停车场，增加数万个停车位。O网页链接 ​​​​,2012-09-19 10:50,转发,评论,赞,专业版微博,https://weibo.com/1706689177/yCzmMeKBJ
7,假日出行当心“特价机票”骗局,是,#防范诈骗#9月10日，深圳罗湖的孙小姐为国庆旅游计划在网上购买“特价机票”，遭遇不法分子冒充客服人员以“转账未成功须测试账户余额”诈骗。提醒网友：临近国庆假期，需警惕虚假机票网站新型诈骗手法，尽量访问信誉良好的知名网站，不要因贪图超低价机票诱惑而落入骗子的圈套。O网页链接 ​​​​,2012-09-19 10:49,转发,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yCzmhwtMh
8,转发微博,是,#给您提个醒#【夜来寒 知已秋】当连续5天平均气温降到22℃以下，且之后的气温稳定在这个水平，便是气象意义上正式入秋的体现。所以，北京已经正式入秋啦！不过昼夜温差大，今天如昨天一样，早上气温依然较低，但中午最高气温将升到28℃，紫外线辐射很强，要注意防晒，早晚外出记得带件薄外套。 ​​​​,2012-09-19 10:48,转发,评论,赞,专业版微博,https://weibo.com/1706689177/yCzlD3DJC
9,转发微博,是,【2012年北京市经济和信息化委员会直属事业单位面向社会公开招聘工作人员公告】根据《北京市事业单位公开招聘工作人员实施办法》要求和北京市经济和信息化委员会直属事业单位人才队伍建设需要，北京市经济和信息化委员会2012年9月至10月面向社会公开招聘直属事业单位工作人员32名O网页链接 ​​​​,2012-09-14 10:37,转发,评论,赞,专业版微博,https://weibo.com/1706689177/yBO8Tx5PM
10,北京科技嘉年华明日开放,是,#魅力朝阳#【北京科技嘉年华明日开放】2012全国科普日北京主场活动暨第二届北京科学嘉年华活动将于9月14日至17日举办，213个中外互动科普项目将集中亮相。嘉年华主场活动在奥林匹克公园国家体育馆东广场举行，整个嘉年华将连续四天，每天早9点到晚9点市民可免费参与体验。感兴趣的朋友们不要错过啦！ ​​​​,2012-09-13 16:54,1,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yBHbaohxz
11,常回家看看,是,【今天，我们如何尽孝？】从“卧冰求鲤”到“教父母学会上网”，传统“二十四孝”被赋予了新的时代内涵。新标准是种善意提醒，大多数内容属于精神沟通，做起来并不难，更强调唤醒公众的孝心，让老人外安其身、内安其心。你能“孝”仿几条？这个中秋，你回家看爸妈吗？O网页链接 人民日报 ​​​​,2012-09-13 13:43,转发,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yBFVDi9Mf
12,八里桥社区方便居民出行免费安装扶手: 为方便社区居民出行，八里桥社区在地区办事处和625所的大力支持下，经多方协调筹措资金于9月11日开始陆续为辖区165个楼门一楼免费安装扶手。受到居民的好评。 ​​​​,否,,2012-09-13 13:39,1,评论,赞,专业版微博,https://weibo.com/1706689177/yBFUjrW0z
13,转发微博,是,【针灸、拔罐将纳入新农合报销】国家中医药管理局昨天下发文件，将针灸和治疗性推拿、刮痧、拔罐等中医非药物诊疗技术纳入新农合报销范围，引导应用中医药适宜技术。据了解，目前北京已经将上述诊疗技术纳入新农合报销。O网页链接 ​​​​,2012-09-12 10:10,转发,评论,赞,专业版微博,https://weibo.com/1706689177/yBv6Hqy7t
14,如何正规提取公积金,是,【如何正规提取公积金】目前，公积金提取依然是“对公业务”，尚不接受个人提出的申请。所以符合提取条件的申请人，需将身份证、租房合同、发票、完税证明交给所在单位的公积金业务部门并填写申请，由单位统一向公积金管理中心提出申请。中心于受理申请之日起3日内作出准予或不准予提取的决定。 ​​​​,2012-09-07 16:45,转发,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yAMyQaimc
15,八里桥社区居民区拾金不昧品质高 2012年9月4日，我社区居民邓井章在去八里桥市场的路上拾到了一个黑色的钱包打开看到里面约有千余元人民币，还有多张银行的银行卡，不由得为那名粗心的失主担心起来。最后来到居委会，在工作人员的帮助下，经过多方联系，找到了失主，并在居委会将钱包交还给了失主。 ​​​​,否,,2012-09-07 16:38,转发,评论,赞,专业版微博,https://weibo.com/1706689177/yAMvYwWYL
16,转发微博,是,【7日6时北京天气预报】今日白露：处暑过后气温降低，夜间温度已达到成露的条件，露水凝结得较多，呈现白露。今天早晨有雾，白天大部分地区阴转多云，大兴、通州、平谷为阵雨转多云，北转南风2、3级，最高气温25℃，夜间多云，南转北风1、2级，最低气温17℃。 ​​​​,2012-09-07 15:30,转发,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yAM4q2Rcd
17,转发微博,是,【7日6时北京天气预报】今日白露：处暑过后气温降低，夜间温度已达到成露的条件，露水凝结得较多，呈现白露。今天早晨有雾，白天大部分地区阴转多云，大兴、通州、平谷为阵雨转多云，北转南风2、3级，最高气温25℃，夜间多云，南转北风1、2级，最低气温17℃。 ​​​​,2012-09-07 09:22,转发,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yAJEZaKot
18,转发微博,是,【医药分开试点 本市再增三家医院】北京市医改办主任韩晓芳昨天做客城市管理广播“城市零距离”时透露，继友谊医院和朝阳医院之后，同仁医院、积水潭医院、儿童医院也将试点“医药分开”。如果试点顺利，这一医改措施将于明年在全市推广。O网页链接  （分享自 @头条新闻） ​​​​,2012-09-07 09:19,转发,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yAJDvg7RS
19,转发微博,是,昨天位于晋元庄小区一住户打开炉灶烧上菜后就出了门，结果被反锁在大门外，她立即请人拨打了119。消防队员赶到现场后，支起梯子从这家三楼的阳台上砸开护栏入室灭火。由于消防队扑救及时，没有造成重大损失。这里提示大家使用燃气时千万不要离开或远走，离开时一定关闭燃气阀门，以免发生问题。 ​​​​,2012-09-06 16:26,转发,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yAD0qdi91
20,转发微博,是,【慧眼识转基因】美机构发布对24名中国湖南省儿童进行转基因大米人体试验结果，引发了一场关于食品安全、环境、健康和法律的轩然大波。我们总想给孩子最好的食物和最安全的环境。如何在食品挑选时远离转基因，绿色和平《避免转基因指南》的红绿名单告诉你 - O网页链接 ​​​​,2012-09-06 14:56,转发,评论,赞,微博 weibo.com,https://weibo.com/1706689177/yACpS5txz
