序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,提醒广大居民不要上当受骗！,是,#微提醒#昨天，北京稻香村发布紧急声明：公司根本就没销售过月饼提货券，网络上大量的“北京稻香村月饼券”全为假冒。北京稻香村副总经理尹博表示，不少卖家盗用北京稻香村的月饼图片，还有的直接标注“北京稻香村月饼”字样，堂而皇之在各大电子商城销售。（京华时报）更多热点：O网页链接 ​​​​,2012-09-25 10:23,1,评论,赞,专业版微博,https://weibo.com/2850605935/yDtKvnPGB
1,什么是社区？社区是若干社会群体或社会组织聚集在某一个领域里所形成的一个生活上相互关联的大集体，是社会有机体最基本的内容，是宏观社会的缩影。 构成社区要具备五个要素：有聚居的一群人，有一定的地域， 有一定的生活服务设施，居民群具有特定的文化背景和生活方式，居民群之间发生种种社会关系 ​​​​,否,,2012-09-21 14:47,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCTLUjVZ7
2,我也相信爱情。,是,【科大老教师的爱情】南徐学院学生称，一名快80岁教金属工艺的老师，每天带着他的老伴来上课，老伴因为某些原因，有些痴呆，他在台上讲，她就坐在下面，一脸幸福的聆听，有时，老伴会不时站起来要到他面前，老爷子经常向学生一脸歉意的又安排老伴坐下。我又相信爱情了。。  ​​​​,2012-09-21 14:40,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCTILj3zu
3,转发微博,是,#征集启事#【“美言•美文•美图”征集启事】由朝阳区委宣传部主办的《美言美文》杂志从2012年1月创刊至今已半载有余。杂志发行期间，大量热心读者来信，字里行间充满了对《美言美文》的关注、喜爱及期待。现向广大读者征集“美言•美文•美图”，希望更多的朋友同《美言美文》一道远足！ 详情如下： ​​​​,2012-09-20 14:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2850605935/yCKoayYJg
4,《篆刻老人》by林世彬 ​​​​,否,,2012-09-20 14:53,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCKnOphyI
5,《讲卫生》by林世彬 十一假期又要来了准备出游喽~~但要讲卫生保护环境呦 ​​​​,否,,2012-09-20 14:50,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCKmir3li
6,《歌頌党》by林世彬 ​​​​,否,,2012-09-20 14:45,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCKkvjsNf
7,《艳丽》by朱如华 ​​​​,否,,2012-09-20 14:44,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCKk0AsV0
8,《相依相恋》by朱如华 ​​​​,否,,2012-09-20 14:42,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCKjfiGJv
9,《山水情》by朱如华 ​​​​,否,,2012-09-20 14:40,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCKijF7zn
10,《大好河山》by朱如华 ​​​​,否,,2012-09-20 14:36,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCKgUeh1F
11,《欢乐腰鼓》by肖功岳 BTW这是我们社区自己的腰鼓队[跳舞花] ​​​​,否,,2012-09-20 14:35,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCKglDDWC
12,《绿色交响》by肖功岳 ​​​​,否,,2012-09-20 14:32,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCKf9tq05
13,《北京记忆》by肖功岳 ​​​​,否,,2012-09-20 14:31,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCKezrpiK
14,《国庆》by肖功岳 （接着上午的发） ​​​​,否,,2012-09-20 14:29,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCKdYv6a4
15,《敬老助老》by邹琴芳 （回家吃饭鸟，下午接着发~~~~） ​​​​,否,,2012-09-20 11:29,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCJ31FLNW
16,《娇艳》by邹琴芳 偷偷的说一句 这是邹奶奶半夜爬起来打着应急灯拍的，精神相当可嘉[晃] ​​​​,否,,2012-09-20 11:27,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCJ24i9gk
17,《96岁老寿星》by邹琴芳 ​​​​,否,,2012-09-20 11:22,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCJ06zezq
18,《乐》by邹琴芳 ​​​​,否,,2012-09-20 11:21,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCIZuat4b
19,《祥云角楼》by崔晓琪 ​​​​,否,,2012-09-20 11:19,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCIYDxhoN
20,《万寿山的晚霞》by崔晓琪 ​​​​,否,,2012-09-20 11:16,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCIXHD6bD
21,《鸟巢霞云》by崔晓琪 ​​​​,否,,2012-09-20 11:15,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCIX4CHrz
22,《北海的春天》by 崔晓琪 ​​​​,否,,2012-09-20 11:13,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCIWw4vou
23,[阳光]北苑一号院社区“迎十一庆中秋”居民摄影展，接下来是居民的大作，请欣赏 ​​​​,否,,2012-09-20 11:10,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yCIVbBvjq
24,重点强调一下，每年9--11月是一老一小集中参保时间。需要参保人员不要错过时间。 ​​​​,否,,2012-09-19 17:14,转发,评论,赞,iPhone客户端,https://weibo.com/2850605935/yCBShyERW
25,友情提醒：市民爱国情绪高涨，但宣泄的途径要依法依规地进行，要理性爱国呦~~~,是,因为抵制日货，深圳曾发生日系桥车被打砸的事件。13日记者从深圳警方获悉，个别人员借机滋事，故意侵害市民私有财产。警方证实，4名人员在抵制日货中打砸日系轿车，已经被检察院批捕。广州警方提醒：市民爱国情绪高涨，但宣泄的途径要依法依规地进行。广州警方对聚众滋事等违法犯罪绝不姑息容忍。 ​​​​,2012-09-14 17:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2850605935/yBQMAsfbn
26,关于开展过期药品回收活动的通知：1、活动时间：2012年9月15日上午9:30到10:30。2、活动地点：来广营地区北苑家园中心广场。 ​​​​,否,,2012-09-14 10:49,转发,评论,赞,专业版微博,https://weibo.com/2850605935/yBOdM5wPL
