序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,2012年9月5日，芍药居二社区居委会在红芍社，组织社区居民观看观看《岁月寻珍—朝阳区馆藏档案展》。社区居民积极参与，观展人员达到三百余人。通过观展，不少居民更加清楚的了解到公民在档案事务中应有的权利和义务，详细掌握了如何查阅自己所需档案的一些相关知识。 ​​​​,否,,2012-09-13 10:18,转发,评论,赞,专业版微博,https://weibo.com/2649708983/yBEAza6Ip
1,2012.9.12芍药居二社区居委会联合北京市养犬协会在芍药居北里203楼前红芍广场，举办“科学文明养犬，和谐健康家园”的宣萱活动。此次活动得到广大群众支持和相应。活动中养犬户免费领取狗粮，并持狗证免费享受狗狗体检和剪指甲服务。 ​​​​,否,,2012-09-12 11:35,转发,评论,赞,专业版微博,https://weibo.com/2649708983/yBvFfoAaP
2,本社区微博现更名为朝阳区芍药居二社区 ​​​​,否,,2012-09-11 17:32,转发,1,赞,专业版微博,https://weibo.com/2649708983/yBozCl6MH
3,按照朝阳区统一要求，微博昵称由“红芍社”改为“朝阳区太阳宫地区芍药居二社区”，欢迎大家继续关注！ ​​​​,否,,2012-09-10 14:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708983/yBdVPAcDV
4,大家可以拨一拨试试,是,#人文朝阳##朝阳区政府为民服务热线开通运行#朝阳区81890为民服务中心日前正式成立并运行。该中心通过7×24小时朝阳区政府为民服务热线81890000和www.81890000.gov.cn社区服务网及覆盖整个朝阳的便民服务企业加盟网点和志愿者队伍，以统一的标准和统一的管理为广大居民提供服务。 ​​​​,2012-09-01 18:03,转发,评论,赞,政府版微博,https://weibo.com/2649708983/yzSvokHTT
5,【重要通知】2012年8月25日下午最新得到的消息，小区内的人大附中幼儿园于8月30日上午8:30报到注册，通知和“居住在二社区的孩子的名单”详情见图，其他社区请咨询该社区居委会或幼儿园。同事们都下去各楼贴通知去了，请大家相互转告。若图片不够清楚请登录社区网站O网页链接通知一栏查看！ ​​​​,否,,2012-08-25 17:44,转发,1,赞,微博 weibo.com,https://weibo.com/2649708983/yyOo4xdgi
6,【重要通知】2012年8月25日下午最新得到的消息，小区内的人大附中幼儿园于8月30日上午8:30报到注册，通知和名单详情见图。同事们都下去各楼贴通知去了，请大家相互转告。楼道里的通知请勿撕取，方便你我，方便大家。若图片不够清楚请登录社区网站O网页链接通知一栏查看！ ​​​​,否,,2012-08-25 17:40,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708983/yyOmMaMCd
7,转发微博,是,@小飞老师:逸丝风尚美容美发芍药居店为小区的居民志愿服务，只为居民生活更美好！@逸丝风尚芍药居总店 @芍药居社区网 @红芍社 @邓奇逸丝 @逸丝风尚张元ys @逸丝风尙刘建 @柯斯佳 我在:2北四环东路辅路 ​​​​,2012-08-25 17:36,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708983/yyOkLcFZP
8,关于学生社区实践活动的通知】接下来还将陆续进行以下活动： 8月 9日 社区律师讲解未成年人保护法 8月16日 “阳光自护”青少年心理安全建设及日常安全常识讲座 8月23日 “阳光自护”弘扬传统文化，做践行北京精神的小先锋讲座 8月30日 快乐电影放映，暑期实践结束 ​​​​,否,,2012-08-07 09:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708983/yw1jW7TCm
9,【关于学生社区实践活动的通知】我社区团支部此次暑假试行新形式暑期实践方案，方案定于7-8月开展，每周四上午9:00将开展不同内容的社区实践活动。截止至目前，我社区已开展3次实践活动，分别是： 7月19日爱国喜剧电影放映《举起手来》 7月26日关爱老人送温暖 入户发放养老卷 8月2日防灾减灾知识讲座 ​​​​,否,,2012-08-07 09:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2649708983/yw1jK0DdJ
