序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,天冷了，请注意保暖加衣。。。。。,是,【大风蓝色预警信号】市气象台11时10分发布大风蓝色预警信号：午后本市风力逐渐加大，傍晚到夜间平均风力达5-6级阵风7级左右，明天白天仍有四五级北风，请注意防范。 ​​​​,2012-09-27 16:57,转发,评论,赞,专业版微博,https://weibo.com/2930446061/yDPby1dfd
1,转发微博,是,#微提醒#昨天，北京稻香村发布紧急声明：公司根本就没销售过月饼提货券，网络上大量的“北京稻香村月饼券”全为假冒。北京稻香村副总经理尹博表示，不少卖家盗用北京稻香村的月饼图片，还有的直接标注“北京稻香村月饼”字样，堂而皇之在各大电子商城销售。（京华时报）更多热点：O网页链接 ​​​​,2012-09-25 10:39,转发,评论,赞,专业版微博,https://weibo.com/2930446061/yDtR2dcTD
2,康瑞普施工噪音补偿最后一次发放领取时间已定，请佳兴园602、603号楼还未领取补偿的业主（携带房产证、户主身份证、代办人身份证，均需原件） 于2012年9月28日下午2点——下午5点 到康瑞普厂新建住宅楼1单元门前（施工工地西100米）领取。。。。 ​​​​,否,,2012-09-25 09:29,转发,1,赞,专业版微博,https://weibo.com/2930446061/yDtoL4xh0
3,交通委预测：北京进入“最堵周” 出行最好公交（来源：北京晨报）O网页链接 ​​​​,否,,2012-09-24 10:05,转发,评论,赞,专业版微博,https://weibo.com/2930446061/yDkcO3o7x
4,好消息：经居委会协调，瑞尔口腔医院兹定于9月21日（本周五），为居民免费洗牙。名额有限，请有需要的居民从速报名，集体乘车前往。 洗牙时间：9月21日上午9点 集合地点：居委会门前 ​​​​,否,,2012-09-18 15:37,转发,评论,赞,专业版微博,https://weibo.com/2930446061/yCrOs1gak
5,康瑞普施工噪音补偿发放领取通知 发放对象：佳兴园602、603号楼业主（携带房产证、户主身份证、代办人身份证，均需原件） 发放时间：2012年9月20日、21日早10点——晚8点 发放地点：康瑞普厂新建住宅楼1单元门前（施工工地西100米） ​​​​,否,,2012-09-18 15:35,转发,评论,赞,专业版微博,https://weibo.com/2930446061/yCrNPjHjp
6,提醒：父母一方有居住证的孩子要办一小的，除了要收取孩子户口本本人页和首页复印件外，还需收取父母的居住证复印件、孩子出生证明复印件、其父母的结婚证复印件各两份。 ​​​​,否,,2012-09-17 10:21,转发,评论,赞,专业版微博,https://weibo.com/2930446061/yCgjZuxsL
7,钓鱼岛及其附属岛屿自古以来就是中国固有领土，中国对此拥有充分的历史和法律依据，日方对钓鱼岛及其附属岛屿采取所谓“购买”等单方面行动完全是非法和无效的，丝毫改变不了日本窃取中国领土的历史事实，丝毫动摇不了中国对钓鱼岛及其附属岛屿的领土主权。 ​​​​,否,,2012-09-14 21:40,转发,评论,赞,专业版微博,https://weibo.com/2930446061/yBStNa4ih
8,由中央组织部、解放军总政治部和北京市委共同举办的“永远跟党走—首都老干部喜迎党的十八大文艺演出”的实况录像将于2012年9月14日（星期五）21：35在北京卫视频道播出，据朝阳区老干部局《关于认真组织收看“永远跟党走—首都老干部喜迎十八大文艺演出”电视转播的通知》要求，请老干部收看。 ​​​​,否,,2012-09-14 16:43,转发,评论,赞,专业版微博,https://weibo.com/2930446061/yBQxldehj
9,为提高居民安全用药的意识，加大药品安全知识的宣传力度，营造安居乐业的居住环境，我社区定于2012年9月15日上午9:30到10:30在北苑家园中心广场（绣菊园东南侧）开展过期药品回收换礼品活动，请居民朋友积极参与。 ​​​​,否,,2012-09-14 10:42,转发,评论,赞,专业版微博,https://weibo.com/2930446061/yBOaT2nBR
