序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,感谢居民们的大力帮助，这次西部计划的捐助中，大家都纷纷伸出了援助之手，有的捐出了衣服、有的捐出了书和学习用品，[xb小花]我们代表西部灾区的小朋友及他们的家长对大家的爱心表示感谢，愿好人一生平安！ ​​​​,否,,2012-09-21 11:43,转发,3,赞,专业版微博,https://weibo.com/1393009092/yCSyYj4PQ
1,[xb小花]“智慧城市与智慧CBD”专题研讨会正在@朝阳规划艺术馆 举办，有兴趣的朋友们关注起来,是,#北京CBD商务节#【智慧城市与智慧CBD】“智慧城市与智慧CBD”专题研讨会正在@朝阳规划艺术馆 举办，国内外各界高层人士共同分享先进国家和城市在人口管理、智能交通、应急指挥、民生服务等方面的经验，研讨如何运用新一代信息技术打造智慧城市，提升城市生活品质，以此带动区域经济创新发展。 ​​​​,2012-09-21 11:39,转发,评论,赞,微博 weibo.com,https://weibo.com/1393009092/yCSxC4YWf
2,转发微博,是,日本政府决定最快明天就与所谓钓鱼岛“岛主”签署“买卖合同”！我国政府今天发声明宣布中华人民共和国钓鱼岛及其附属岛屿的领海基线，意味着不再承认钓鱼岛存在主权争议。总理讲话说：中国政府和人民绝不会退让半步！发微博#钓鱼岛是中国的#，一起转起来，发出我们的最强音！O网页链接 ​​​​,2012-09-11 14:30,转发,评论,赞,微话题-钓鱼岛是...,https://weibo.com/1393009092/yBnnXxb4T
3,衣+衣=爱，文明朝阳 公益有我 温暖西部 青年先行。[xb小花]西部温暖计划已经开始，伸出您的援助之手捐出一件棉衣、一床棉被、一身运动服、可以让大山里的孩子度过一个温暖的冬季......一本书、一支笔、一个本、可以让大山里的孩子使用一个学期...... ​​​​,否,,2012-09-11 11:53,转发,2,赞,专业版微博,https://weibo.com/1393009092/yBmm8z2SI
4,[xb小花]2012年9月10日，祝亲爱的老师们节日节日快乐！您们辛苦啦！ ​​​​,否,,2012-09-10 09:36,转发,评论,赞,专业版微博,https://weibo.com/1393009092/yBc2eCjrP
5,[xb小花]明天早上九点，山水蓝维小区的热心业主将要在时代庄园社区居委会三层会议室沟通交流有关成立山水蓝维小区业主委员会的事儿。如果您有兴趣来听听，发表一下自己对社区建设的意见，我们将热烈欢迎您的光临啊，期待着您的宝贵意见噢。 ​​​​,否,,2012-09-05 16:51,转发,评论,赞,微博 weibo.com,https://weibo.com/1393009092/yAtK8wQCx
6,[ali扑倒]孩子们，开学了，要好好听老师的话啊！ ​​​​,否,,2012-09-03 12:19,转发,评论,赞,微博 weibo.com,https://weibo.com/1393009092/yA96Hp0vQ
7,时代庄园社区今天下午有个文明养犬的宣传活动，就在咱们会所门前，您看您要是有时间就过来捧个场呗，了解了解文明养犬的政策，何乐而不为呢，[ali扑倒]您说是不 ​​​​,否,,2012-08-31 10:19,转发,评论,赞,微博 weibo.com,https://weibo.com/1393009092/yzG2vvFAb
8,可爱的孩子们，你们以后要早关注社区实践的通知啊，别等到快开学了都忙着跑到居委会盖章啊，[lt羞]这样可不是好孩子噢 ​​​​,否,,2012-08-30 10:55,1,1,赞,微博 weibo.com,https://weibo.com/1393009092/yzwQKkXTa
9,2012年8月28日上午，时代庄园社区工作者走上街头进行安全治安巡逻，为维护文明城区建设作出自己的贡献。 ​​​​,否,,2012-08-29 10:00,转发,评论,赞,微博 weibo.com,https://weibo.com/1393009092/yzn3HetRm
10,2012年8月28日时代庄园社区开始入户灭蚂蚁活动了，请进行登记的居民朋友们家里留人噢！ ​​​​,否,,2012-08-28 09:57,转发,评论,赞,微博 weibo.com,https://weibo.com/1393009092/yzdC16WHz
11,分享图片 ​​​​,否,,2012-08-25 10:35,转发,评论,赞,新浪邮箱,https://weibo.com/1393009092/yyLzXnmxM
12,炫舞朝阳 ​​​​,否,,2012-08-25 10:26,转发,评论,赞,新浪邮箱,https://weibo.com/1393009092/yyLweATn4
13,时代庄园社区民族情艺术团在鸟巢参加炫舞朝阳才艺展示活动 ​​​​,否,,2012-08-25 10:24,转发,评论,赞,新浪邮箱,https://weibo.com/1393009092/yyLvuuN5X
14,社区道德讲堂开课啦 ​​​​,否,,2012-08-25 10:16,转发,评论,赞,新浪邮箱,https://weibo.com/1393009092/yyLsc2TV9
15,2012年8月20日上午，时代庄园社区迎来了40名小朋友到会所一层参加我们的反对邪教从我做起健康生活签字活动。 ​​​​,否,,2012-08-21 09:42,转发,1,赞,微博 weibo.com,https://weibo.com/1393009092/yy9wKpCy4
16,2012年8月16日，时代庄园社区举办暑期青少年跳绳比赛，大家都积极踊跃的参与到比赛中，最终比赛在小朋友的笑声中结束，大家都期待着下次的比赛。 ​​​​,否,,2012-08-20 13:18,转发,评论,赞,微博 weibo.com,https://weibo.com/1393009092/yy1vEhNYc
17,2012年7月20日，时代庄园社区组织青少年朋友到清友园科普基地参观学习食品安全科普知识，孩子们都积极踊跃参与，表现出极大地热情。 ​​​​,否,,2012-07-25 09:43,转发,评论,赞,微博 weibo.com,https://weibo.com/1393009092/yu2ZHpils
18,2012年7月20日，时代庄园社区将组织青少年朋友们参观科普社区，学习科普知识，开阔眼界。 ​​​​,否,,2012-07-16 12:34,转发,评论,赞,微博 weibo.com,https://weibo.com/1393009092/ysHgkoYDH
19,2012年暑期将至，时代庄园社区的图书阅览室里已经迎来了暑期第一批青少年朋友来借阅书籍，看，他们看得多认真啊！ ​​​​,否,,2012-07-12 14:37,转发,评论,赞,微博 weibo.com,https://weibo.com/1393009092/ys6mA4xW2
20,[cai开心]时代庄园社区暑期社会实践活动报名开始了，请各位中小学生及时到社区居委会报名登记。 ​​​​,否,,2012-07-12 14:22,转发,评论,赞,微博 weibo.com,https://weibo.com/1393009092/ys6giB1NB
