序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,十一是出游的好时节，大家在游玩的时候一定注意安全 ​​​​,否,,2012-09-29 09:26,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yE55kpUlE
1,昨天下午在东八间房广场内举行了大型红歌会活动，梵谷水郡社区歌唱团演唱了一首《走向复兴》，获得了大家的赞扬！！ ​​​​,否,,2012-09-29 09:25,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yE54X5neG
2,祝所有社区居民盆友们节日快乐，阖家团圆，万事如意！！1 ​​​​,否,,2012-09-29 09:22,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yE53Vxbjw
3,社区叔叔阿姨们！要改变观念了！“春捂秋也捂”！,是,[舆情搜搜看]俗话说“春捂秋冻”。27日，中日友好医院中西医结合心脏内科贾海忠主任医师接受《健康时报》采访时指出：春捂秋冻主要是对年轻人而言，老年人建议改成“春捂秋也捂”，而且还得早捂。天气变冷血管处于收缩状态，血压容易升高。而保暖对大多数心脑血管病人更是要时时注意。【医发办】 ​​​​,2012-09-27 17:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709023/yDPzJkw36
4,居民爸爸妈妈们都注意宝宝的这些行为了吗！,是,【宝宝令人头疼的8大行为是否要制止】手指啃得津津有味；玩具总喜欢乱丢一地；爬上爬下好危险……在宝宝成长的过程中，总会出现一些让妈妈头疼的行为。这些行为是宝宝的年龄所决定的吗？要不要阻止？让我们一起解读它们背后的意义，以更好地引导宝宝探索和认知。 ​​​​,2012-09-27 17:47,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yDPvO9ZJ6
5,如果真的都有的话，真的会方便居民朋友们呢！,是,#交通资讯#[彩虹]【智慧北京交通信息亭】交通信息亭您见过没？近日它亮相在长安街永安里一带哦！[闪闪红]它不仅方便广大群众的公交出行，更为国庆节前的首都街头增添一道亮丽的风景线。预计到2015年，北京市区内的所有公交站台都将安装上这种新颖的多功能交通信息亭。 ​​​​,2012-09-27 16:40,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yDP4ObYBz
6,晚间气温会变冷！居民亲们要添衣！,是,【风力较大气温降 及时添衣防感冒】26日17时北京气象信息：夜间天空逐渐转阴，最低气温15℃。明日受冷空气影响，大部地区有阵雨，雨量一般不足5毫米。午后风力逐渐增大，傍晚到前半夜可达五六级阵风七级，注意防风并远离广告牌等悬挂物。冷空气也使气温明显下降，最高气温23℃，适当添衣防感冒。 ​​​​,2012-09-26 17:06,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709023/yDFOJ0cfo
7,昼夜温差大！妈妈们要注意宝宝的身体状况！物理降温！,是,【宝宝发烧 物理降温 多饮开水】如果发现宝宝发热的话，应及时进行物理降温。如果温度过高或高烧不退，应及时就医。此外，还要注意多给宝宝饮白开水，少食或不食油腻食物。可购买新鲜的芦根或者干芦根、菊花、金莲花煎水给宝贝频频饮用。 ​​​​,2012-09-26 10:58,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yDDpmgYqs
8,居民朋友们要学会“吃醋”哦,是,#锦囊妙计#【营养专家教你如何吃醋】1.睡前一杯冷开水，加一汤匙醋，喝后可助眠；2.打嗝时饮醋一小杯，一口气喝下即可不打嗝；3.便秘者逐日酌量喝白水加醋，可润肠通便；4.用醋涂抹蚊虫叮咬处，可减轻痒痛、消肿；5.坐车前喝醋兑开水，防晕车；6.在加热的洗澡水中，加少许醋，洗浴后会觉得特别凉快。 ​​​​,2012-09-25 17:06,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709023/yDwofk1vC
9,2012年9月25日梵谷水郡社区“邻里情满金秋---幸福花开梵谷”庆中秋、迎十一文艺演出的序幕 ​​​​,否,,2012-09-25 15:21,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yDvHGyCzq
10,居民亲们~~看到这个有感触吗~~,是,【十一长假日期图】受弱冷空气和低层切变线影响，今明两天我市多云间阴天，有阵雨，26日起天气明显转好，早晚较为清凉。十一长假很快就要到了，到底几号上班，几号放假呀？天气先生送大家一张简单明了的“十一长假日期图”，看看各种表情，现在的你，是哪种表情呢？～～ ​​​​,2012-09-24 14:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709023/yDm5P07UZ
11,关注身体健康！不要吃撑啊！,是,【吃太饱撑出病】所有人都有吃撑的经历，但专家提醒哪怕是短期暴饮暴食，都会带来健康灾难。1、肥胖 2、胃病 3、肠道疾病：肠阻塞 4、疲劳：会引起大脑反应迟钝 5、癌症 6、老年痴呆 7、骨质疏松：长期饱食易使骨骼过分脱钙 8、肾病 9、急性胰腺炎 10、神经衰弱 。 ​​​​,2012-09-24 14:26,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yDlUwDH2b
12,转发微博,是,#中秋欢乐会#开场街舞热辣火爆[好棒]，来自“黑白兄弟”舞蹈社小朋友的表演赢得了大家的掌声和欢笑~ ​​​​,2012-09-24 11:11,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yDkDo1o5u
13,尊老爱幼是咱们中华民族的传统美德！让咱们关爱老人吧！,是,,2012-09-21 10:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709023/yCS7k9MVx
14,大家有时间的话，每月都读本书吧~,是,【中国陷入阅读危机】2011年，中国的人均图书阅读量是4.3本，韩国是10本，俄罗斯20本，以色列60本左右。以微博为代表的数字阅读，将传统阅读逼到了更为严峻的境地。阅读危机的原因可以归结为二：一是心态功利化，二是文化娱乐化，两个原因都与中国社会的发展现状有关。 O网页链接 人民日报 ​​​​,2012-09-20 10:04,1,1,赞,专业版微博,https://weibo.com/2649709023/yCIug4G5G
15,[xb小花]9月25日上午广场有“迎十一”、“迎中秋”表演哦！欢迎大家前来观看哦~~ ​​​​,否,,2012-09-20 10:02,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yCItzwpfl
16,9月25日二层活动室开展厨艺大赛，拿上自己的特色菜品，参与就有小礼品哦！ ​​​​,否,,2012-09-20 10:01,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yCIt4d8mk
17,居民朋友们积极参加哦~,是,#征集启事#【“美言•美文•美图”征集启事】由朝阳区委宣传部主办的《美言美文》杂志从2012年1月创刊至今已半载有余。杂志发行期间，大量热心读者来信，字里行间充满了对《美言美文》的关注、喜爱及期待。现向广大读者征集“美言•美文•美图”，希望更多的朋友同《美言美文》一道远足！ 详情如下： ​​​​,2012-09-19 17:27,转发,评论,赞,微博 weibo.com,https://weibo.com/2649709023/yCBXQoDW4
18,转发微博,是,#气象交通#多云转晴28-15度，气象条件对空气污染物稀释、扩散和清除无明显影响，易感人群应适当减少室外活动时间；属中等强度紫外线辐射天气，外出时建议涂擦SPF高于15、PA+的防晒护肤品，戴帽子、太阳镜；天气较好，赶快投身大自然参与户外运动，尽情感受运动的快乐吧；较适宜洗车，限行尾号4和9 ​​​​,2012-09-19 08:56,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yCyCslfOS
19,居民亲们！理性消费~,是,【目前市面销售的“阳澄湖大闸蟹”全是假的】真正的阳澄湖大闸蟹要到9月22日才开捕上市，但一些地方“阳澄湖大闸蟹”却已开始热销。苏州阳澄湖大闸蟹行业协会称，今年阳澄湖大闸蟹产量仅2300吨，还要供应出口，即便苏州当地，要买到正宗的阳澄湖大闸蟹也不容易。O网页链接 ​​​​,2012-09-19 08:53,转发,评论,赞,专业版微博,https://weibo.com/2649709023/yCyB4ntlI
