序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【男子脾脏手术后左肾失踪续：已向省卫生厅报告】去年，岳阳人刘勇在湘岳医院做了脾脏切除手术，今年刘勇再次做B超检查时，检查报告说找不到左肾9月25日，岳阳市卫生局组织相关专家进行探讨分析，专家们尚未形成结论，岳阳市卫生局医政科已向湖南省卫生厅报告此事。（潇湘晨报） O网页链接 ​​​​,2012-09-26 09:55,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yDCZFzga4
1,良心何在？,是,【湖南12小学生喝学生奶得胃肠炎 乳企已认错道歉】9月21日，湖南省石门县蒙泉镇夏家巷完小12名学生饮用“金健学生奶”（属营养餐供奶、系以政府采购方式由湖南阳光乳业股份有限公司供应）后，出现呕吐、腹痛症状，学校当即将他们送往医院救治。经检查12名学生均系急性胃肠炎症状。O网页链接 ​​​​,2012-09-26 09:53,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yDCYU0WYf
2,转发微博,是,【每日微语】一杯清澈的水，不停地摇晃，它不会清澈；一杯浑浊的水，不去摇晃它，会自然清澈。心亦如此！如总摇晃不停，会处于混乱状态，每天给自己一点时间沉淀，和自己沟通，这样你的心会相对清静，不再那么烦躁。 ​​​​,2012-09-26 09:47,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yDCWA6jRp
3,转发微博,是,【@李双喜 ：乌兰布统，唯美震撼的秋之胜景】去年夏天到过乌兰布统，漫天的花海很是醉人，而草原的金秋，更是壮美无边，浓浓的秋意正沿着微颤的晚风静静袭来，连同斑驳的清光撒向草原和山岗，瑰丽的草原之秋，似有一种晕绚的感觉，那样的美，斑斓的令人无法想象。O网页链接 ​​​​,2012-09-26 09:46,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yDCVXnxyb
4,转发微博,是,【戴相龙确认养老金存缺口 将来可能63岁退休】昨日全国社保基金理事会理事长戴相龙坦承养老金确有缺口，并建议通过完善养老制度，以达到收支平衡。“比如养老金交30年，就可以获得养老金了。那今后30年不行，可能要交35年。现在60岁退休了，将来可能63岁退休。”（京华时报） O网页链接 ​​​​,2012-09-26 08:59,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yDCCTp7XE
5,转发微博,是,【每日微语】好朋友里面，一定要培养出一个知己，不要以为你有多么八面玲珑，到处是朋友，最后真心对你的，只有一个，相信我。 ​​​​,2012-09-14 09:57,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yBNSABX9V
6,经常乘坐地铁的同学们要注意啦~,是,【女士们小心了！南京抓获地铁偷拍女性隐私“猥琐男”】南京女子李某乘坐地铁时，一男子鬼鬼祟祟将一个环保袋往其裙底挪动，李某男友仔细一瞧，袋子里竟藏着反光镜和具有摄录功能的电子设备！警方接报后迅速抓获了嫌疑人傅某。#警方提示#女乘客要格外警惕、注意防范；对此类行为不要姑息，抓紧报警！ ​​​​,2012-09-14 09:41,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yBNLZ4ZZf
7,转发微博,是,【日媒：我海监船接近钓鱼岛 日首相称“做好万全准备”】据日本新华侨报网消息，9月14日清晨，中国2艘海监船相继驶入钓鱼岛周边海域。为此，日本首相野田佳彦提前一小时出现在首相官邸，并对日本各大媒体宣称，会“做好万全的准备继续警戒和监视”。（人民网记者 覃博雅）O网页链接 ​​​​,2012-09-14 09:35,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yBNJAqzlw
8,转发微博,是,【日本提8套方案蚕食钓鱼岛 欲派自卫队长期驻岛】日本政府拟定从A案到H案的8套方案，A案是维持现状，B案是实施环境保护，C案是修建灯塔，至于东京度知事石原慎太郎要求在岛上建避难设施是D案，E案是进行海洋资源调查，最强硬的是H案派自卫队常驻。（央视） O网页链接 ​​​​,2012-09-14 09:33,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yBNIHu5Lr
9,事态很严重,是,【日本使馆附近12条公交不停车】今天上午，位于亮马桥路北日本大使馆附近的12条公交线路在“安家楼”站实行双向甩站通过的临时措施，亮马桥路部分路段的自行车道封闭。恢复时间未定。（法制晚报）O网页链接 ​​​​,2012-09-13 15:30,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yBGD7mynX
10,感兴趣的童鞋们千万不要错过呦,是,【9月14日招聘会安排】北京人才市场·雍和宫桥分部：生物医药、医疗器械及相关专业专场招聘会（地址：北二环雍和宫桥北侧50米路西，北京人才市场）；北京人才市场·海淀分部：大学生专场招聘会（海淀南路19号时代网络大厦一层）。 ​​​​,2012-09-13 15:26,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yBGBLqvrN
11,准妈妈们要注意呦~,是,#健康知识#【预防出生缺陷】这二级预防主要是指孕早期保健，包括合理营养、谨慎用药、产前筛查。准妈妈们可以在孕12—14周、孕20—22周及32周左右各进行一次B超检查，通常来讲，有70%—80%的出生缺陷可以被检测出来。 ​​​​,2012-09-13 15:25,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yBGBlqTcL
12,#iPhone5来了#我选择不考虑买 ​​​​,否,,2012-09-13 15:22,转发,评论,赞,微话题-iPhone5发...,https://weibo.com/2844856763/yBGA0anxu
13,郭静文，8月31日被其生母章某以23000元卖予他人，至今下落不明，现福建晋安警方正在全力追找中。大家帮忙转发，一起找找孩子。,是,#举手之劳，帮找孩子！#@福州市公安局 求助：郭静文，女，3岁，8月31日被其生母章某以23000元卖予他人，至今下落不明，现福建晋安警方正在全力追找中。知情者积极向警方提供线索，电话：0591-87913941、87951671，林警官；或私信@福州市公安局 @陈士渠 @随手拍照解救乞讨儿童 @温州微博力量 ​​​​,2012-09-13 15:09,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yBGuKtqG5
14,没有最贵 只有更贵,是,【微调查: 你怎么看长沙全城禁售千元以上天价烟】长沙市全城禁售“天价烟”的举措引发热议。有人认为这是对商品价格的合理调控，有利于预防腐败遏止奢靡之风，但也有法律专家认为，“天价”香烟本身只是腐败的一种载体，禁售只能治标不能治本。你咋看？ O网页链接 ​​​​,2012-09-13 15:08,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yBGuheg2R
15,"我投给了""建议，治本更需加强社会监督"" 这个选项。",是,【微调查: 你怎么看长沙全城禁售千元以上天价烟】长沙市全城禁售“天价烟”的举措引发热议。有人认为这是对商品价格的合理调控，有利于预防腐败遏止奢靡之风，但也有法律专家认为，“天价”香烟本身只是腐败的一种载体，禁售只能治标不能治本。你咋看？ O网页链接 ​​​​,2012-09-13 15:08,转发,评论,赞,投票-你怎么看长...,https://weibo.com/2844856763/yBGu8DTkS
16,瞰都居民 参与扮靓阳台的信息报道~Oauto_craw_user。auto_craw_user的微博主页、... ​​​​,否,,2012-09-11 14:42,转发,评论,赞,微博 weibo.com,https://weibo.com/2844856763/yBnsGDrrj
17,对@朝阳梵谷水郡社区 说：加关注 加关注 瞰都的 ​​​​,否,,2012-09-11 10:15,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yBlIuFLgd
18,对@朝阳水岸家园社区 说：加关注 加关注 加关注 瞰都的~~~ ​​​​,否,,2012-09-11 10:11,转发,评论,赞,微博 weibo.com,https://weibo.com/2844856763/yBlGKvgYz
19,喜欢的童鞋千万别错过呦,是,#魅力朝阳#【2012北京798艺术节即将开幕】“2012北京798艺术节”将于9月22日-10月21日在798艺术区举行。本届艺术节以“艺象•幻彩”为主题，将呈现开闭幕式、主题系列展、音乐演出、电影、学术研讨、夜场活动等十大项近百小项艺术活动。特别展中，将以海报展的形式表现798的历史演变及发展历程。 ​​​​,2012-09-11 09:44,转发,评论,赞,微博 weibo.com,https://weibo.com/2844856763/yBlvGo0do
20,家庭中的隐形杀手，你注意到了吗？,是,【近九成家庭空调成毒库】一项由中国疾控中心牵头，针对家庭空调卫生状况的调查数据日前发布，调查范围包括北京、上海、深圳等主要一线城市。数据显示，被调查家庭中近九成存在空调散热片细菌超标的问题，有可能造成使用者罹患呼吸道疾病、气管炎甚至肺癌。By深圳商报 ​​​​,2012-09-11 09:41,转发,评论,赞,微博 weibo.com,https://weibo.com/2844856763/yBluHwMTg
21,电信诈骗又出新招，外来租户要注意啦！！,是,【亲历：最新版短信诈骗】总觉得自己智商还不到受骗的地步，然而最近这两天连续接到短信，竟也恍惚了一下，险些中圈套，虽然很快觉察了，但是发现骗子的手段还真是层出不穷，不得不防。在这里写出来让博友们有所警惕。收到的短信是这样的：你好，我是房东，我现在在外地出差…… O网页链接 ​​​​,2012-09-11 09:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2844856763/yBltx7MXq
22,保护好个人信息，提高安全防范意识,是,【如何保护个人信息】网络时代信息飞速传递，您的个人信息被泄露怎么办？要是被不法分子利用更加危险。在您注册个人账号时，在您办理各类业务时，在您填写各类问卷时，在您上网浏览信息时，您有没有保护好您的个人信息？#泉城警漫#系列漫画教您如何保护好自己的个人信息 ​​​​,2012-09-11 09:36,转发,评论,赞,专业版微博,https://weibo.com/2844856763/yBlsnkwWP
23,天气渐凉~请大家注意添衣保暖~ ​​​​,否,,2012-09-11 09:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2844856763/yBlq5tXs3
24,分享图片 ​​​​,否,,2012-09-11 09:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2844856763/yBlpB3N50
