序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,#十一游北京# 【故宫】——紫禁城皇家风范，来到皇城根，不可不去的地方！这里曾居住过24个皇帝，是明清两朝的皇宫，无与伦比的古代建筑杰作，世界现存最大、最完整的木质结构的古建筑群。 ​​​​,2012-09-23 14:07,转发,评论,赞,专业版微博,https://weibo.com/2649762041/yDcmwqq3w
1,//@北京朝阳: 出行温馨提示！,是,【19个车站两节实名进站】两节期间，计划去周边城市旅游的朋友需要注意了，北京铁路局下属的19个地市级客运站和高铁站，在9月25日至10月10日期间也将实行实名制验票验证制度。旅客记得携带有效身份证件。 ​​​​,2012-09-23 14:07,转发,评论,赞,专业版微博,https://weibo.com/2649762041/yDcmroZkd
2,//@文明北京: //@北京发布: 中国政府在维护领土主权问题上立场坚定不移。,是,【人民日报：中国钓鱼岛岂容他人肆意“买卖”】从日本处理与周边邻国领土主权争端中，丝毫看不出其对过去侵略战争和殖民统治有真诚悔意。无论日本政府如何辩解粉饰，都掩盖不了这一行径的实质是在拿别人的东西进行“买卖”。这种行为是荒唐的，也是非法的，且注定是不可能得逞的！O网页链接 ​​​​,2012-09-11 10:40,转发,评论,赞,专业版微博,https://weibo.com/2649762041/yBlSp26HV
3,转发微博,是,中秋国庆双节将至，您可以回家，可以旅游，可以购物，当然更不能忘了关爱家人。为了让广大游客朋友在“双节”过得休闲而充满爱意，北京圣泉山旅游风景区精心筹备第五届中秋文化节既国庆庆典活动，隆重推出三大板块十余项活动。 ​​​​,2012-09-11 10:39,转发,评论,赞,专业版微博,https://weibo.com/2649762041/yBlSjp3Yx
4,//@北京市商务委: 中国钓鱼岛岂容他人肆意“买卖”,是,【人民日报：中国钓鱼岛岂容他人肆意“买卖”】从日本处理与周边邻国领土主权争端中，丝毫看不出其对过去侵略战争和殖民统治有真诚悔意。无论日本政府如何辩解粉饰，都掩盖不了这一行径的实质是在拿别人的东西进行“买卖”。这种行为是荒唐的，也是非法的，且注定是不可能得逞的！O网页链接 ​​​​,2012-09-11 10:39,转发,评论,赞,专业版微博,https://weibo.com/2649762041/yBlSenEXk
5,//@微博客服: 第六枚金牌[奥运金牌]诞生更多奥运最新资讯猛戳O网页链接；微博帮助奥运专题O网页链接,是,【跳水首金出炉！吴敏霞/何姿折桂】O网页链接 伦敦奥运会第一枚跳水金牌产生！女子双人三米板中国新一代无敌组合吴敏霞/何姿以346.20分轻松夺冠，5跳之后她们领先第二名多达24.3分，中国队在这个项目取得奥运三连冠，前两次夺冠的是郭晶晶和吴敏霞组合，中国队拿下本届奥运会的第6枚金牌！ ​​​​,2012-07-30 08:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762041/yuNy77p1T
6,转发微博,是,宜昌出台文件，规范社工待遇O网页链接城区社工全员合同管理，工资随发展适当增长，每年都有业绩考核。近日，为保障众多“小巷总理”和社工安心社区，宜昌市委办、市政府办出台《加强宜昌城区社区专职工作者人事管理的意见》（试行）。 ​​​​,2012-07-30 08:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762041/yuNy3z2Sw
7,//@北京市民政局: 200社区今年将建救援队,是,【200社区今年将建救援队】今年，本市200个社区将建设救援队。当社区及周边发生如车祸、火灾、煤气泄漏、治安等事件时，救援队将第一时间赶到现场，解决黄金5分钟的救援空白带。等专业救援队赶到后，再将情况汇报并从旁协助。目前，60余个小区已建成救援队，未来三年完成2600余个小区的救援队建设。 ​​​​,2012-07-30 08:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762041/yuNy1uXKN
8,//@交通北京: #转发微博# 进入中伏后，天气越发的闷热，大家注意防暑；入夜有小雨，晚归的朋友带把伞。,是,【白天较闷热 夜间小雨注意防范】30日7时北京气象信息：今天白天晴转阴，最高气温31℃，但天气较闷热，应注意防暑，可适当喝些盐开水或盐茶水，补充体内失去的盐分，达到防暑功效。傍晚天气转阴，入夜有全市性小雨，请注意防范，最低气温22℃。明天白天阴有小雨，南部中雨，请及时关注气象信息。 ​​​​,2012-07-30 08:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762041/yuNxZ8FFb
9,转发微博,是,#防范汽车自燃#要按规定在车上配备灭火器，并注意有效期。大部分自燃发生之前都会有前兆，如局部冒烟、有焦煳味等。如果车主发现车辆异常，应迅速停车，万万不可紧张慌乱。火灾发生后，要在保障自身安全的前提下尽快报警，并应尽量利用车载灭火器或其他灭火设备做初期扑救。 ​​​​,2012-07-13 08:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762041/ysdpm9bFw
10,转发微博,是,进入7月，新疆和布克赛尔县查干库勒乡松树沟夏牧场连续遭遇雷雨天气。 7月10日，新疆和布克赛尔县查干库勒乡松树沟夏牧场再度出现雷雨天气，该牧场巴音查干村牧民巴生·革玛家的羊群在这次雷雨天气中遭到雷击，共有173只羊被雷电击中死亡，牧民经济损失严重。 O网页链接 ​​​​,2012-07-13 08:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762041/ysdpgx7jV
11,//@交通北京: #转发微博#今儿的天气还算不错，傍晚西部地区有阵雨。,是,【云渐增天转阴 午间较热需防护】13日7时北京气象信息：屡屡晨光透过薄云洒向大地，阳光普照的日子总是让人感到心情舒畅，最高气温30℃，午间感觉较热，注意适当补水、休息；傍晚云量增多，阴云将遮住太阳的光辉，西部地区有阵雨；夜间阴转多云，最低气温22℃，出去散散步，感受夏夜的宁静和温馨。 ​​​​,2012-07-13 08:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762041/ysdl4d86I
12,转发微博,是,#早安心语#生活中难免要遇到各种各样的沟沟坎坎。每次面临进退的选择，当你感到有恐惧和疑虑时，就如同面临一条拦路的小河沟，其实你抬腿就可以跳过去，就那么简单。在许多困难面前，人需要的，只是那一抬腿的勇气。早安，朋友。 ​​​​,2012-07-07 08:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762041/yriS4ekfB
13,“掌上生活”数码摄影竞赛 O网页链接 ​​​​,否,,2012-07-07 08:37,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762041/yriRZwaUE
14,转发微博,是,"【汛期天气】2012年7月7日，北京 今天白天,阴有雾转雷阵雨,北转南风2、3级,最高气温28℃;夜间,阴天间多云,最低气温22℃。（出行注意雷阵雨哦） ​​​​",2012-07-07 08:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2649762041/yriQD16Wa
