序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,英美人看国家性格：中国成功日本可靠 O网页链接 ​​​​,否,,2012-09-28 11:19,转发,评论,赞,网易新闻,https://weibo.com/1070858904/yDWoVhBMw
1,【国防部证实军舰曾巡航钓鱼岛】核心提示：9月27日，国防部发言人杨宇军证实，上周两艘中国海军护卫舰在钓鱼岛海域进行例行战备巡逻。杨宇军还称，中国军队将结合日常战备，与海监、渔政等部门配合，为国家海上执法... O网页链接 ​​​​,否,,2012-09-28 10:52,转发,评论,赞,网易新闻,https://weibo.com/1070858904/yDWdQyATK
2,【美国国会质询华为中兴：私企为何有党委（二）】核心提示：当地时间9月13日，华为和中兴出席美国众议院听证会，据悉，这是中国企业首次在美国国会参加此类听证。美国议员们在听证会上质问，为什么一个私人企业有党... O网页链接 ​​​​,否,,2012-09-28 10:43,转发,评论,赞,网易新闻,https://weibo.com/1070858904/yDWalmGlw
3,适合自己就是时尚。//@中国社工时报:转发微博,是,【】湖北女研究生杨某去年6月毕业后，一年内跳槽4次：外贸业务员，工作太枯燥工资不高；教育机构英语老师，要发传单；四星酒店培训主管，伙食不好；亲戚家具公司销售，压力太大。今年8月，她成了一名社工，扣除五险月薪1650元。她说“不会再跳了，因为环境亲切、轻松、没什么压力”。@长江商报 ​​​​,2012-09-28 09:16,转发,评论,赞,新浪邮箱,https://weibo.com/1070858904/yDVAHpkeI
4,菲律宾以最优惠条件拉在华日企转移投资  O网页链接  （分享自 @头条新闻） ​​​​,否,,2012-09-27 14:44,转发,评论,赞,新浪新闻中心,https://weibo.com/1070858904/yDOjpwQve
5,韩国就苏岩礁表态：加强警备与中国硬碰硬  O网页链接  （分享自 @头条新闻） ​​​​,否,,2012-09-27 14:35,转发,评论,赞,新浪新闻中心,https://weibo.com/1070858904/yDOfWqo58
6,汪洋给广东各级一把手授课:独断专行就是走绝路  O网页链接  （分享自 @头条新闻） ​​​​,否,,2012-09-27 14:33,转发,评论,赞,新浪新闻中心,https://weibo.com/1070858904/yDOeYavBP
7,少将称航母不适合直接用于保钓：杀鸡不用牛刀  O网页链接  （分享自 @新浪军事） ​​​​,否,,2012-09-27 14:19,转发,评论,赞,新浪军事,https://weibo.com/1070858904/yDO9gaQsP
8,外交部：岂有战败国霸占战胜国领土之理 - 视频：O网页链接 全文：  O网页链接  （分享自 @头条新闻） ​​​​,否,,2012-09-27 14:18,转发,评论,赞,新浪新闻中心,https://weibo.com/1070858904/yDO8OnVLa
9,一看就是老崇文的理念：文化立区。,是,【离枣苑社区酸枣树文化节开幕还有0天】第五届枣苑社区酸枣树文化节今天准时开幕。17:00-18:00进行猜谜语，晚上18:00-18:40举行开幕式，18:40-19:40文艺晚会。欢迎居民届时积极参加！！@首都文明网 @文明东城 @北京市东城 @文明北京 @中国文明网 @交通北京 @新东城报 ​​​​,2012-09-27 11:44,1,评论,赞,新浪邮箱,https://weibo.com/1070858904/yDN8BBwZB
10,又一个让老百姓受益的好政策！,是,#宜居朝阳#【朝阳区首批900套公租房交钥匙】26日，朝阳区首个公租房项目——原叶美苑交付使用，900余户低收入家庭将于“十一”之后陆续入住新家。据介绍，房租每月每平方米38元，低收入者可根据个人情况向户口所在街道申请补贴，最高补贴95%。[呵呵] ​​​​,2012-09-27 11:42,转发,评论,赞,新浪邮箱,https://weibo.com/1070858904/yDN7Qkatc
11,九·一八纪念策划——让日本敬畏中国 让我们敬畏历史 O网页链接 ​​​​,否,,2012-09-27 09:46,转发,评论,赞,新浪新闻中心,https://weibo.com/1070858904/yDMmrmgTA
12,日本经济新闻：超过日货 中国才能抵制日货  O网页链接  （分享自 @头条新闻） ​​​​,否,,2012-09-27 09:28,转发,评论,赞,新浪新闻中心,https://weibo.com/1070858904/yDMfd7iVR
13,外交部批野田在联大演讲 称其做法自欺欺人 - 视频：O网页链接 全文：  O网页链接  （分享自 @头条新闻） ​​​​,否,,2012-09-27 09:13,转发,评论,赞,新浪新闻中心,https://weibo.com/1070858904/yDM9fsk5x
14,透明给人民群众！,是,【价格举报热线提醒：假期理性消费存好凭证】中秋国庆将至，提醒大家在任何场所消费或缴纳任何费用时，记得核对交费清单并索要正规票据，出现价格纠纷后，请保存好票据、消费明细单等相关证据，拨打行业服务监督电话或价格举报电话，维护自身合法权益。北京市价格举报热线：12358 ​​​​,2012-09-26 16:50,转发,评论,赞,微博 weibo.com,https://weibo.com/1070858904/yDFIbjjcW
