序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,,2012-08-31 09:22,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzFFjDFCa
1,转发微博,是,[lb咦]近日位于朝阳区望京西园三区一住户家中出现小青蛇，消防员接到报警后赶到现场，经过“地毯式”搜索后，消防员在花盆土壤中发现了8颗空蛇卵消防员找到了四条蛇后，确定家中没有其他小青蛇后返回。这里提示大家如果家中绿植里出现了小青蛇，可购买一些药剂置于蛇曾出没的地方，或打119救助。 ​​​​,2012-08-29 14:14,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzoIZpx1T
2,转发微博,是,,2012-08-29 14:09,1,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzoGL9x7F
3,转发微博,是,#交通微笑# 很久很久以前，我们的18点半…您还记得哪几部？[想一想] ​​​​,2012-08-29 14:06,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzoFwzBiv
4,转发微博,是,【辽外逃市委书记被双开 一家逃到美国】辽宁凤城原市委书记王国强曾于2010年7月以赴美参加女儿毕业典礼为由，办理因私出国护照，因故未成行。2012年3月，王国强在美驻沈阳总领事馆办理了一年多次赴美签证，4月24日擅自与妻从沈阳机场出境赴美，疑卷款2亿。5月，王国强被双开。O网页链接 ​​​​,2012-08-29 13:53,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzoAuy5o9
5,//@文明北京: 这个不错呀，怕苦的朋友赶紧收藏吧,是,牙医冯大夫今日教我一个小妙招，说是好多人都怕喝中药，觉得苦涩难咽，其实只要用吸管喝药就能解决这个问题。（注意：亲，得把药放凉些，才能用吸管，否则就杯具鸟。） ​​​​,2012-08-29 13:53,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzoAftoSM
6,//@实用小百科: 你的爷爷敢不敢这么潮？这个潮可不是潮湿的“潮”哦！ 想学穿衣搭配，马上关注@8090穿衣搭配学堂,是,【你的爷爷敢不敢这么潮？】这个潮可不是潮湿的“潮”哦！  想学穿衣搭配，马上关注@8090穿衣搭配学堂 ​​​​,2012-08-29 13:52,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzoA2tKmn
7,转发微博,是,【区县动态】近日，顺义区提高一级至四级伤残军人护理费标准，伤残军人护理费标准按照北京市上年度职工平均工资水平的一定比例确定，因战、因公一级和二级伤残军人的护理费为每人每月2336元；因战、因公三级和四级伤残军人的护理费为每人每月1869元；因病一级至四级伤残军人的护理费为每人每月1402元。 ​​​​,2012-08-29 10:33,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yznh44ufL
8,//@唯美英文: 鱼香肉丝家庭版美味而简单@美食零食控,是,鱼香肉丝家庭版美味而简单 来源网络  ​​​​,2012-08-29 09:20,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzmNM06eh
9,转发微博,是,#温馨提示#2012年8月29日 星期三 白天至夜间：晴，34°C~23°C，微风，紫外线强。 ​​​​,2012-08-29 09:09,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzmJbqPDE
10,转发微博,是,#历史上的今天#迈克尔•杰克逊，1958年8月29日出生，被誉为流行音乐之王，魔幻般的舞步更是被无数明星粉丝效仿。对于他，可说的故事太多，出身黑人家庭，自幼组建乐队，打破白人对流行乐界的垄断，热衷慈善……他的一生，满载殊荣，却饱受争议；他的生活，谣言不断，以致最后的死亡也都疑点重重。 ​​​​,2012-08-29 09:05,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzmHoBUNw
11,//@唯美英文: 很实用的百科微博推荐大家关注@超级实用小百科,是,【洗水果的学问】为了自己和家人一定要知道  ​​​​,2012-08-29 08:59,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzmEYdpzE
12,//@唯美英文: 发现一个非常棒的心理学微博，强烈推荐关注@心理学秘语,是,上帝关上了一扇门，必然会为你打开另一扇窗。你失去了一种东西，必然会在其他地方收获另一个馈赠。关键是，我们要有乐观的心态，相信有失必有得。要舍得放弃，正确对待你的失去，因为失去可能是一种生活的福音，它预示着你的另一种获得。大舍大得，小舍小得，不舍不得。  ​​​​,2012-08-29 08:57,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzmEcCEIO
13,转发微博,是,,2012-08-29 08:57,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzmE9EgZC
14,"分享个好玩的活动给你们，都来看看吧。""小旋风快送超市，注册赠送50元，转发赢取大礼包！"" O网页链接",是,#小旋风快送超市，注册赠送50元# 小旋风快送超市，一万种商品，一小时送达，满99免运费，货到再付款，现场无条件退货！现在注册立即获得50元消费券哦~ 关注@小旋风快送超市，转发评论此微博，并@3位好友，便可赢取生活大礼包 >>> O网页链接 O网页链接 ​​​​,2012-08-28 16:03,转发,评论,赞,微活动-小旋风快...,https://weibo.com/1587345722/yzg0EzqOO
15,//@文明北京: 转发微博,是,【夏天：其实不想走其实我想留】#北京你好#今日限行3和8，最高气温33℃。几天来凉快的让人以为秋天来早了，打今儿起，夏天奋起余勇，誓要给大家一个回马枪，32至34度的高温要持续到周末，呜……不带这样的，夏秋拉锯，苦了我们，冷热变化易造成呼吸道、肠胃炎、感冒。大家可一定要多注意饮食起居。 ​​​​,2012-08-28 10:41,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdTNyQ6r
16,转发微博,是,,2012-08-28 10:40,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdTGsjNl
17,转发微博,是,#历史上的今天#列夫•托尔斯泰，俄历1828年8月28日出生，自幼丧父丧母，姑妈抚养长大，出身名门贵族，从小接受贵族式教育。《战争与和平》、《复活》，以及塑造150多个人物形象的《安娜•卡列尼娜》被称为他一生中的“三大巨著”。除作品以外，他天父般翻滚着滔滔白浪的大胡子也给人留下了深刻印象。 ​​​​,2012-08-28 10:39,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdT4md3i
18,//@郑渊洁: 美国为神马不将中国卷公款潜逃美国的贪官都引渡回中国呢？这是最正义的事啊。//@老妖茶座 ：估计不是，又去美国当公民去了！//@等下下 ：其实才2亿，已经是清官了！,是,人民网信息：辽宁省凤城市市委书记王国强卷款2亿离境O网页链接  希望是谣言。 ​​​​,2012-08-28 10:34,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdRjjPIP
19,转发微博,是,,2012-08-28 10:33,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdQEfmxe
20,//@实用小百科: 保护脸的16条偏方，收藏！,是,今天为亲们介绍保护脸的16条偏方：超实用哒知识贴 ~~妞儿们必看！！ 男孩纸们记得转给你关心的妹子哟~ [亲一口] ​​​​,2012-08-28 10:29,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdPijWLG
21,转发微博,是,,2012-08-28 10:24,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdN67qS9
22,//@北京消防:,是,#救援成功#刚刚通过北京消防已成功获救，消防兄弟很给力，健壮又帅气。谢谢 @北京消防 你们辛苦了~^o^ @豆瓣妈 @好狗好猫流浪狗义工团 @诺爱流浪动物救助之家 ​​​​,2012-08-28 10:23,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdMKvVpW
23,转发微博,是,新浪新闻中心：福建省霞浦县一维稳中心主任游某某涉嫌强奸幼女O网页链接 维稳中心主任强奸幼女，有利于维稳？ ​​​​,2012-08-28 10:23,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdMBDXES
24,//@实用小百科: 很实用！分享了！,是,,2012-08-28 10:22,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdMomeKf
25,转发微博,是,【央视足球评论员陶伟济南身亡】网传前北京足球队球员、现央视足球评论员陶伟在济南去世。据悉，陶伟的妻子和姐姐已于昨天赶到济南。据@济南公安 通报，27日，央视足球评论员陶伟被发现在济南倪氏海泰大酒店1307号房间死亡，未发现他杀迹象。陶伟与影星吕丽萍曾有过一段婚姻。O网页链接 ​​​​,2012-08-28 10:17,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdKnF3fs
26,//@平安北京: 感谢您的支持，这都是我们应该做的[呵呵]。危难时刻，请拨110[电话]。,是,昨天真切地体验了一把：有困难 找警察！@平安北京 谢谢警察叔叔！辛苦了！他们也是普通人，也有他们的困惑和苦恼！亲们！遇到意外要报警啊！牢记：110！！！昨天一同事掉井里了，警察同志及时赶到使事情处理得顺利了很多！一说报警了，各部门态度明显不一样！希望人民警察的形象在人民心中越来越高大！ ​​​​,2012-08-28 10:16,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdK0C7vb
27,//@唯美英文: 幸福是一种淡然。 @一句诗一段情,是,在生命的过程中，快乐是一种心态，幸福是一种淡然。 ​​​​,2012-08-28 10:16,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdJIBAKo
28,//@实用小百科: 全宇宙最有爱意的婚戒狂送68枚，很给力，有木有,是,【转发狂送68枚第二波】全宇宙最有爱意的婚戒#你的名字我的姓氏铂金版# 8月30日上午10点6999元特价抢购，限30日0点前预订的用户参与。即日起8月28日，关注@BLOVES婚戒定制中心 转发本条微博，每天送2枚铂金版，次日10点公布，第三方抽奖公信平台。友情提示：猛击O网页链接 中奖概率翻5倍!!! ​​​​,2012-08-28 10:15,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdJyhbEe
29,//@文明北京: 社区“小总理”,是,【走进居委会 我做社区“小总理”】社区居委会主任是城市行政管理最基层的岗位，被人们亲切的称为“小巷总理”。那么，“小巷总理”们平时是怎样工作的呢？近日，来自中关村街道的青少年们走进社区，当一天“小巷总理”，亲身体验社区主任的工作。[xb喵]O网页链接 ​​​​,2012-08-28 10:14,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdJ5114E
30,//@首都粮食: //@新浪农业: 【行业动态】中国蔬菜协会将于今日举行成立大会。协会发起人有王乐义、杜永臣、周杰三、马德华等。更多资讯，可关注@有粮不慌 等网友微直播。,是,中国蔬菜协会即将于8月28日上午成立。我国蔬菜面积已达2.95亿亩，年产量6.79亿吨。2012年3月15日，民政部同意中国蔬菜协会发起人按社团管理条例成立中国蔬菜协会。该协会由农业部主管，挂靠中国农科院蔬菜花卉研究所。 我在:2北苑路 ​​​​,2012-08-28 10:13,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdIKCmM6
31,转发微博,是,#安全提示#【儿童游泳注意事项】警惕儿童游泳的安全问题！1.游泳时不要吃东西，过饱或过饿都不宜游泳；2.不要在太冷的水中游泳，不要在水中打闹、逞强；3.切忌儿童独自游泳；4.感冒、疲劳不可游泳；5.随时留心水底的障碍物；6.即使使用浮具也不要到深水区游泳。 ​​​​,2012-08-28 10:13,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yzdIyuu7o
32,转发微博,是,,2012-08-27 14:59,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yz6an8lIo
33,转发微博,是,,2012-08-17 09:35,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yxxLUA5EO
34,//@实用小百科: 萌翻了！！,是,,2012-08-17 09:35,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yxxLy8NmC
35,//@甘家口进口社区: 用第七种方法是怒不了了，全麻了,是,【快速息怒的7个小方法】1、降低你的音量和语速；2、闭上你的的眼睛，可以快速浇灭怒火；3、转转你的脖子，放松心情，缓解僵硬；4、拥抱你自己，用双臂交叉紧紧拥抱自己一下；5、闻闻植物，离健康的绿色植物10厘米左右，深呼吸5次；6、发扬阿Q精神，自我解嘲；7、击掌、跺脚，两三分钟即可。 ​​​​,2012-08-17 09:34,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yxxLo6Zsd
36,//@实用小百科: 给准妈妈们留着！,是,,2012-08-14 09:57,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yx5D6r46X
37,转发微博,是,,2012-08-14 09:54,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yx5C0un7R
38,转发微博,是,数据显示，中国每年心脏性猝死人数达到54.4万，每天至少有1000多人猝死，男性猝死发生率高于女性。【四类人最易发生猝死】冠心病患者；暴饮暴食、情绪易激动的人；工作压力大、过于劳累的人；吸烟的人。此外，寒冷容易导致心血管痉挛，对于心脏病人来说，可能诱发大面积心梗，导致猝死。 ​​​​,2012-08-14 09:51,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/yx5AOiVec
39,//@唯美英文: 挖到了个很不错的微博，强烈推荐关注@懂点社交礼仪,是,【这么看员工辞职】员工的离职原因林林总总，只有两点最真实：1、钱，没给到位；2、心，委屈了。这些归根到底就一条：干得不爽。员工临走还费尽心思找靠谱的理由，就是为给你留面子，不想说穿你的管理有多烂、他对你已失望透顶。仔细想想，真是人性本善。作为管理者，定要乐于反省。 ​​​​,2012-08-13 09:30,转发,评论,赞,微博 weibo.com,https://weibo.com/1587345722/ywW1LmmJZ
40,龙年戴龙帽，@活动小队长 龙年送勋章。只要参与微活动的任意一个活动就可以领取龙年专属勋章“生龙活虎”。快来领取吧！O网页链接 ​​​​,否,,2012-08-10 15:16,转发,评论,赞,勋章馆,https://weibo.com/1587345722/yww0Jx6mX
