序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【北京市19家医院有婚检资质】北京市卫生局昨天公布，目前本市共有19家医疗机构有资质开展婚前保健技术服务。卫生部门呼吁，有结婚意愿的青年男女可以到这些医院享受免费婚检。市民可以拨打12320公共卫生热线查询这19家有婚检资质的医疗机构名单和地址。详见O网页链接 ​​​​,2012-08-30 11:08,2,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yzwVUCBKY
1,二西居委会“6S”工作正有条不紊地进行，现在进行整理、整顿。 ​​​​,否,,2012-08-30 11:06,4,2,赞,微博 weibo.com,https://weibo.com/2650648181/yzwVfiq5c
2,正义的审判。,是,#微言大义#我感到这个判决是公正的，它全面体现了我们法庭对于法律的特别尊重，对于现实的特别尊重，特别是对生命的尊重。 ——薄谷开来谈自己因杀人被判死缓。 O网页链接 ​​​​,2012-08-21 16:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yyc7V3Kw5
3,有惊无险？,是,近日，有网民质疑王刚在北京电视台“鉴宝”节目中把真文物当成假的砸了。北京市文物局对此事高度重视，立即请北京市文物鉴定委员会的专家前往鉴定。经对砸了的文物残品鉴定，所有被砸文物都是假的。北京市文物局表示欢迎广大网民监督。 ​​​​,2012-08-21 16:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yyc49k8Lj
4,//@中国新闻周刊: 【盘点：电商丑闻与暴动】当电商们为市场份额杀得头破血流，利用“低价格”穷尽各种手段讨好消费者的同时，另一面却是间或爆出的行业“丑闻”：有假货甚至有天价机票，有死亡甚至还有暴动，令人遗憾的是，淘宝、京东、当当、凡客等无一不上榜。 O网页链接 #深度中国#,是,【电商 请别让我总受“伤”】九年前，一场非典，把国人推入网购时代。九年后，电商界群雄并起，裂土封侯，各种大战顺势风声水起。然而，消费者才是上帝，不容亵渎。他们期待的不是“闹剧”，而是商家的真诚与诚信。 O网页链接 #深度中国# ​​​​,2012-08-21 16:06,转发,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yyc2ioz3L
5,小心为妙。,是,#警方提示#【“中国好声音”正热 谨防上当受骗】小陈想报名参加 “中国好声音”，在网上找到 “报名网站”便打电话咨询。对方称为防止虚报，让小陈先通过银行转账交了1200元钱。汇款后却再联系不到对方。 特别提示有关节目报名要认准官方网站，不要轻信收取保证金名义的说法。发现类似骗局及时报警。 ​​​​,2012-08-21 16:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yyc1yhbEO
6,今早九点，二西居委会组织青少年参加暑期社区公益劳动，擦拭健身器材，大家的积极性很高，有的端水换水，有的擦拭器材，忙得不亦乐乎，其中储少琨、张森硕、郑京梅、关佳帅同学表现尤为突出。 ​​​​,否,,2012-08-21 15:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yybVlxs7J
7,8月14日，二西居委会特邀北京复兴博爱眼科中心，对二西社区60岁以上老人开展免费的眼健康检查活动。二西社区共有70多位居民参加，大家踊跃咨询专家，体验健康检查，纷纷称赞这是一次普惠于民的好活动。 ​​​​,否,,2012-08-16 14:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yxqbgrT53
8,//@中国新闻周刊: 【警方披露细节：周克华反身连射警察三枪】据击毙周克华的民警讲，他们在蹲守网点接到消息，发现疑似周克华踪迹并尾随。嫌犯在巷子里转身并自己说走错了，随即朝民警连开三枪。两名民警各开两枪还击并将其击毙。（央视网） O网页链接,是,【周克华今晨被警方击毙】据央视报道，重庆持枪抢劫嫌犯周克华今晨被警方击毙。10日，沙坪区中国银行储蓄所门前发生持枪抢劫杀人案。下午，重庆市公安局发布关于缉捕周克华的通告，称已查明，2004年以来，周克华在江苏、重庆等地多次作案，杀死杀伤多人。（中国新闻网） O网页链接 ​​​​,2012-08-14 15:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yx7JTCSiA
9,,是,发现个问题，对于伦敦奥运会！我们是：赢！不行！你肯定用兴奋剂了！；平！也不行！！！国旗给你放下面！！；输！还是不行！！！你消极比赛，对不起体育精神！！！ 那是要怎样？！@我hold不住了 投稿 ​​​​,2012-08-02 14:22,转发,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yviePud4p
10,为支援“7.21”特大自然灾害受灾群众，二西社区居民自发捐款，截至8月2日，已收得捐款1200余元。 ​​​​,否,,2012-08-02 14:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yvidgfUga
11,“八一”建军节快乐！ ​​​​,否,,2012-08-01 09:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yv71NhevO
12,向民警致敬！,是,7月28日·4版·#警事映像#风雨中定格民警最美身影：21日，北京遭遇61年不遇的特大暴雨，77人遇难；24日，台风“韦森特”在广东台山登陆。重庆遭1981年来最大长江洪峰；26日，天津遭暴雨；27日夜，北京再遇降雨；灾难袭来，民警是风中的旗帜、水中的路标。哪里有险情，哪里有灾情，哪里就有他们的身影。 ​​​​,2012-07-31 14:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yuZskrbko
13,小雨绵绵，注意安全。 ​​​​,否,,2012-07-31 14:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2650648181/yuZqnh455
