序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博。,是,祝全体社区的同事们：中秋国庆双节快乐！向值班的同仁致敬！ ​​​​,2012-09-30 06:30,转发,评论,赞,iPhone客户端,https://weibo.com/2032581945/yEdmw94Nw
1,希望小强一切安好，早日康复！大家一定要注意安全！,是,党工处小强周四下午6点左右，下班骑车经过阜玉路口时，被一辆左转弯的汽车撞倒，头撞到挡风玻璃上，自行车被撞飞。截至此微博发送之时，头上有大血肿，大腿有血肿，一侧膑骨内侧骨折，是否需要手术治疗还需等明日会诊完毕再定。急切呼吁大家，一定一定注意交通安全，切记切记！ ​​​​,2012-09-07 09:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2032581945/yAJU241BQ
2,//@721李月:这些政策真的要知晓哟,是,【政策问答】#医疗保险# 问：参加“一老、一小”的人员，何时可以变更定点医院？  答：参保人员需要变更定点医疗机构的，于每年的9月1日至11月30日办理变更手续。 ​​​​,2012-09-06 21:42,转发,评论,赞,iPhone客户端,https://weibo.com/2032581945/yAF4Tao15
3,跳梁小丑，无耻之极！,是,【日政府达成20.5亿日元购买钓鱼岛协议】日本媒体5日称，日本政府已就“购买”钓鱼岛事宜与“岛主”栗原家族达成买卖协议，近期将以20.5亿日元（约合1.659亿人民币）的价格正式“收购”钓鱼岛及其周边的3座岛屿。日政府希望通过实施“国有化”方针，强化日方在钓鱼岛上的“实效支配”权。（环球时报） ​​​​,2012-09-05 16:47,1,评论,赞,微博 weibo.com,https://weibo.com/2032581945/yAtIkAyM8
4,//@海淀区永定路健康教育: 永定路社区卫生服务中心为方便有需求的居民，深入社区开展#家庭保健员#慢病防治知识培训，并讲授中医适宜技术，很受居民欢迎！,是,#永定路社区卫生服务中心#为方便又需求的居民，深入社区开展#家庭保健员#慢病防治知识培训，并讲授中医适宜技术，很受居民欢迎！  #拼图# ​​​​,2012-09-05 08:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2032581945/yAqwebR3W
5,孩子们的学杂费交来都干嘛了？//@721李月: 这就是我们国家的九年义务教育吗？//@阳光meili: 城市里的孩子感受不到的,是,#早安# 昨日，湖北麻城市顺河镇3000余名学生自带课桌报到一事牵动了不少人的心。“自带课桌”提醒我们，如今的教育不仅仅穷在金钱，更穷在缺乏远见、缺乏责任。孩子们带的不是课桌，是对知识的渴望、对未来的憧憬，我们应给予呵护。今天是2012年9月5日星期三，早安!  ​​​​,2012-09-05 08:37,转发,评论,赞,微博 weibo.com,https://weibo.com/2032581945/yAqvLeaJA
6,赞！,是,#巴林右旗义诊#半年前，医院派出的对口支援专家姚宝福医生，成功救治的一位胰腺癌患者家属听说航天中心医院的专家要来，特意制作了锦旗以表达感激之情，张向群副院长代表医院接受了锦旗。 ​​​​,2012-09-05 08:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2032581945/yAqv20i02
7,中国媒体人的权益保护还有很长的道路要走。//@大青花儿: 高唱国歌转发！//@tracycanada:还有没有正义了？ //@任峤://@初蓝晨语1: //@H零夏:,是,【调查地沟油的记者李翔，死了】 身中10余刀，惨死。他为全国不能吃特供的十多亿草泥马的食品安全努力过。他付出了年轻的生命。草泥马们，请动一下鼠标，转发，表达一下谢意。不过分吧？恭请转发！！！。 ​​​​,2012-09-05 08:34,2,1,赞,微博 weibo.com,https://weibo.com/2032581945/yAquC12ha
8,,是,祝贺：由王毅敏、王璇、石丽霞、李若朴组成的永定路社区卫生服务中心代表队在海淀区岗位练兵大赛中获得第二名的好成绩 ​​​​,2012-09-04 18:17,4,1,赞,微博 weibo.com,https://weibo.com/2032581945/yAkSGtkmG
9,请今日有出行安排的通知注意出行安全 //@航天中心医院://@首都健康:转发,是,市国土资源局和市气象局联合发布地质灾害黄色预警：9月1日下午到明天白天，我市房山、门头沟、昌平、延庆、怀柔、密云、平谷的部分山区及海淀、石景山、丰台等浅山地带发生泥石流、崩塌、滑坡、地面塌陷等地质灾害的可能性较大。请有关乡镇加强监测、注意防范并采取避让措施。（黄色区域为易发区） ​​​​,2012-09-01 14:47,转发,评论,赞,iPhone客户端,https://weibo.com/2032581945/yzRdHnAw1
