序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,哈哈哈哈,是,【轻松一刻，雪姨版放假表走红！】中秋十一长假即将来临，网上各种放假表开始流传起来。而最受网友欢迎的，则是在《情深深雨蒙蒙》中的王琳扮演的雪姨版放假表，一度爆红网络。网友“一颗星”说雪姨版放假表很好笑，就算没放假，看着也很欢乐，所以才那么爆红。你还有更经典的么？O网页链接 ​​​​,2012-09-29 09:53,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yE5gcoUNR
1,请先默念“芝麻开门”五百遍！看看会发生什么？ O永定路街道三街坊北社区 ​​​​,否,,2012-09-29 09:51,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yE5fK4e7z
2,评论的很到位~~~太形象了~~~,是,苹果是王菲，没几个人敢说不爱；诺基亚是刘德华，没明显缺点一直很努力；摩托罗拉是黄秋生，有经典但总出烂片；三星是吴镇宇，总那么一点邪气；索爱是林志玲，相对于内涵，更欣赏她的胸型；西门子是张国荣，是传奇但已经结束；HTC是郭富城，他总是想证明自己，可是每次都一样！ ​​​​,2012-09-28 15:36,1,1,赞,微博 weibo.com,https://weibo.com/1628473894/yDY5gsQZW
3,//@每天懂点风水学: 【一个学中医的女生写出的保养大法！】太全了！分享给大家！这个微博每天更新生活中的小窍门，总有你遇到的！推荐大家关注@窍门百科,是,【一个学中医的女生写出的保养大法！】教你怎么解决头发油、毛孔问题、美白、牙齿、细纹、太全了！自我感觉挺不错的，就分享给大家 ​​​​,2012-09-28 14:43,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDXJzFUBQ
4,这个必须转~~,是,【身体清理法】1清肺：多吃苹果，苹果皮中的果胶和抗氧化物能减轻肺部的炎症。2清肠：多吃香蕉等水果，多吃粗粮。3清胃：不熬夜；少吃过甜咸辣酸冷烫食物。4清肝：每天运动10分钟。5清胆囊：多吃芹菜、谷物、红薯等高纤维食物。少吃动物内脏、蛋黄等含胆固醇的食物。6清肾脏：少吃盐，多喝水。 ​​​​,2012-09-28 14:37,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDXH7edfg
5,请转发：智力残疾人爱心大联盟中，玉华职康站的工作人员在北京朝阳区捡到王晓霞的钱包（武汉市洪山区1986年3月出生），含身份证及火车票及一些卡，有认识她的请让她和我联系，13466403064. 请各位及时在各个群转发，因为有29号的火车票，别耽误她坐车。 帮忙转发~~O网页链接 ​​​​,否,,2012-09-28 14:32,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDXF7Fz7h
6,我也喜欢~~~//@最爱装饰我的家: 一个很棒的情书微博强烈推荐关注@情书丶心语,是,,2012-09-28 14:18,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDXzs4udj
7,实用呗~~,是,【家中无人时怎样让盆花不会缺水】有史以来最长的国庆假期即将来了，你打算好这八天要怎么过了吗？出行这么久，可千万别忘了家里的花花草草，不能让它们缺水哟~分享几个方法，让你在假期期间也可以后顾无忧哦~在花开花落间感悟生活，请关注@养花丶养草丶养闲情 ​​​​,2012-09-28 14:13,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDXxvdHA4
8,天哪，看看这个~~,是,【[争吵不断是非不绝 家庭矛盾风水五大害]】一、镜子安放不当， 二、家居格局中的门对门 ， 三、家居装饰色彩要尽量避免大面积的粉红色、红色、橘红色（红色在有纷争的时候会更刺激人斗争的欲望） ，四、居室光线不利也会影响家人的情绪。 五、家居中不要摆放寓意不吉的装饰品。切记！ ​​​​,2012-09-28 14:10,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDXw4ynwl
9,不错，赞~~~,是,#出行提示# “十一”黄金周期间本市所有收费公路将对7座以下（含7座）小客车免费通行，预计节日期间市域内主要高速公路车流量将有大幅上升，易出现交通拥堵。@交通北京 为您准备了市域内8条主要高速公路拥堵绕行路线图，请您参考：[推荐] ​​​​,2012-09-28 14:09,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDXvGkz8N
10,真的不错呀~~~//@IQ脑震荡: 如何拍出“梦中仙境” 雾气拍摄技巧全攻略,是,,2012-09-28 14:07,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDXv6z39g
11,忍不住转一下，好东东呀，价格~~~~~@沙漠的幽灵 @又见沙漠 @东管头社区,是,【支持国产-高端钩针不再只有可乐】比可乐钩针更好用的国产钩针—可钩钩针，原价240元一套，现在9折包邮还送精美针包！关注@胖森李阿呆 转发此微博并@ 3位好友，截至9月28日23时将由@转发抽奖平台 抽出一名幸运粉丝免费送出一套，如果转发过千，胖森再多送一套！详情点击 O网页链接 ​​​​,2012-09-28 14:05,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDXui3ky2
12,呵呵，和月份一样的名次~~,是,【10月国庆节最开心的星座排名】冠军（射手座）；亚军（天蝎座）；季军（摩羯座）；第四名（巨蟹座）；第五名（处女座）；第六名（水瓶座）；第七名（双鱼座）；第八名（白羊座）；第九名（狮子座）；第十名（天秤座）；第十一名（金牛座）；第十二名（双子座）。 ​​​​,2012-09-28 13:48,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDXnjrDAD
13,实用~~,是,,2012-09-28 13:47,1,1,赞,微博 weibo.com,https://weibo.com/1628473894/yDXn0feRE
14,不错的角度~~,是,,2012-09-28 13:44,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDXlGnLZR
15,哇哈哈呀哇哈哈~我的脸上笑开了花~ O永定路街道三街坊北社区 ​​​​,否,,2012-09-28 13:42,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDXkNpQu9
16,我正乐着呢~哈哈哈哈哈~~ O永定路街道三街坊北社区 ​​​​,否,,2012-09-26 20:13,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yDH2A5Gq8
17,哈哈哈，看一看，十年少//@每天懂点DIY:看一次笑一次！！！,是,【非幽默】鸡蛋们的别样幽默。。。 看一次笑一次！！！ ​​​​,2012-09-24 15:03,转发,评论,赞,享拍微博通,https://weibo.com/1628473894/yDm9T4fVz
18,社区的亲子活动，真的不错，希望更多的孩子们来参与，要是场地是专属的就好了了 ​​​​,否,,2012-09-24 15:01,转发,评论,赞,享拍微博通,https://weibo.com/1628473894/yDm94vSN2
19,这个真赞~~~,是,只需10平，床、书桌、衣柜、储物柜一应俱全。再也不怕蜗居了！ ​​​​,2012-09-20 12:55,1,评论,赞,专业版微博,https://weibo.com/1628473894/yCJBSlO1N
20,转发微博,是,【有胃病的女孩注意了，8个伤胃坏习惯】1、吃饭吃的太快；2、午餐后立即午睡；3、用餐没有规律；4、暴冷暴热混着吃；5、一边吃一边喝；6、经常喜欢吃刺激性食物；7、过度的依赖米饭；8、半夜还吃东西。 ​​​​,2012-09-20 12:54,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yCJBteLNK
21,转发微博,是,#秋日小站话京铁#【黄村站】亲们，黄村站停靠的列车如下，供您乘火车出行、游玩参考@中国铁路 ​​​​,2012-09-20 11:42,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yCJ870gOu
22,女人可以吃苦受穷，但前提一定得是：那个男人对她的爱，值得让她去熬煎。,是,女人这一生，最看重的永远是婚姻。女人会把婚姻的成功当成是人生最大的成功。其实，很多姑娘，并不是不敢裸婚，只是害怕柴米油盐浸透了浪漫，爱情在贫贱面前无处容身。一个男人，可以不够有钱，但一定要给你爱的女人信心。女人可以吃苦受穷，但前提一定得是：那个男人对她的爱，值得让她去熬煎。 ​​​​,2012-09-20 11:41,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yCJ7HybS5
23,#李双江儿子放出来了# 淡定，有意思，他儿子出来了，怎么大家都不淡定了~~~ ​​​​,否,,2012-09-20 11:39,转发,评论,赞,微话题-李双江儿...,https://weibo.com/1628473894/yCJ6Lnwdl
24,哈哈哈，看看~~,是,,2012-09-20 11:38,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yCJ6mvZ5a
25,转发微博,是,【吃它们 再多也不会胖！】1.肠胃清道夫：木耳；2.超低热量能手：冬瓜；3.燃脂瘦身高手：口蘑；4.低卡高纤冠军：西兰花；5.代谢多余脂肪的行家：土豆；6.零热量美食：海带；7.好莱坞明星青睐的瘦身美味：魔芋；8.吸脂专家：冻豆腐；9.最佳早餐瘦身品：香蕉；10.瘦身大餐：鱼。 ​​​​,2012-09-20 11:34,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yCJ4Tw8p0
26,珍惜身材！远离熬夜。,是,【少睡80分钟=1个汉堡+1个薯条】美一家健康公司的研究人员发现，睡眠越少越容易肥。夜间少睡80分钟的人，体内热量会上升 549卡，相当于多吃了一个汉堡加一袋薯条。因睡不够，人体内抑制食欲的瘦蛋白会减少，饥饿激素会相应增加。珍惜身材！远离熬夜。 ​​​​,2012-09-20 11:32,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yCJ4cFaCH
27,看着这个地方眼熟~~~难道是拍摄基地？,是,,2012-09-20 11:31,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yCJ3TsMT0
28,我愿意~~~,是,,2012-09-20 11:31,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yCJ3Dvku1
29,真的很感动~~~,是,【中国最帅男人】周恩来手术前工作日历：有9天每天工作了12--14小时；74天工作14--18小时；38天超过18小时；5天工作24小时；1975年6月他体重只有30.5公斤，却仍坚持超负荷工作。作为一国家领袖掌管世界上五分之一的人口，却无儿无女，在海外没有一分钱的存款，如果你感动，请转发怀念。 @全球奇事趣闻 ​​​​,2012-09-20 11:29,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yCJ2LrIz2
30,回家去试试~~~,是,【鱼香藕片】1．莲藕去皮切薄片用清水浸泡，葱姜蒜泡椒切碎；2．取一小碗加入酱油，醋，糖，盐，料酒，水淀粉，搅拌均匀至糖融化；3．炒锅倒油倒入葱姜蒜和泡椒，翻炒出香味；4．倒入藕片翻炒至透明；5．浇入调好的鱼香汁快速翻炒均匀；6．藕片都勾上汤汁；7．淋入香油翻炒均匀关火。 ​​​​,2012-09-20 11:28,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yCJ2nuwSv
31,快乐没有彩排，天天都是现场直播！ O永定路街道三街坊北社区 ​​​​,否,,2012-09-20 11:27,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yCJ1TEHBB
32,楼顶漏水，社区组织居民代表开会，研究北综合楼楼层层面改造。 ​​​​,否,,2012-09-19 10:30,转发,评论,赞,享拍微博通,https://weibo.com/1628473894/yCzewcUzx
33,我怎么这么有钱呀,是,"【其实你是个有钱人】在合法人体器官市场，眼角膜是24400美元一只；心脏价值997700美元；肝脏价格为557,100美元；肾，中国62,000美元，美国262900美元。假如你没病没痛脏腑无损，就已经是个百万富翁了。所以啊，赚钱别太拼，别和身体过不去。。。 ​​​​",2012-09-13 19:58,1,评论,赞,享拍微博通,https://weibo.com/1628473894/yBIoaxFdi
34,//@每天学点风水学:镜子为什么不能对着床？,是,,2012-09-13 19:57,1,评论,赞,享拍微博通,https://weibo.com/1628473894/yBInDr1qY
35,帮忙扩散//@羊坊店科技社区://@我的佛慢: 愿失散的家庭快速得以团聚！,是,,2012-09-13 19:56,转发,评论,赞,享拍微博通,https://weibo.com/1628473894/yBInl7LlW
36,转发微博,是,【麻婆茄子】1茄子去蒂洗净，切成块状，用淡盐水浸泡10分钟，葱花、大蒜切碎，姜切末；2热锅油热后放入茄子，小火慢煎至茄子微软后盛出；3锅中倒油，放入蒜末和姜末爆香，下豆瓣酱煸炒出红油；4将茄子放入炒匀，加料酒，白糖、生抽、倒入清水焖煮一会，调入辣椒油、花椒油，待汤汁收干，撒上葱花即可。 ​​​​,2012-09-11 12:03,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yBmqkkmMG
37,快乐没有彩排，天天都是现场直播！ O永定路街道三街坊北社区 ​​​​,否,,2012-09-11 11:16,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yBm7fs5jJ
38,转发微博,是,,2012-09-10 15:57,1,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yBewPdtHp
39,不错~~~,是,70平米二居室，彩色糖果之家~~~喜欢这样的么？ ​​​​,2012-09-10 15:41,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yBeq7s4mw
40,教师节快乐~~~~~ ​​​​,否,,2012-09-10 15:24,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yBejc6hkD
41,离开吧~~~说的好心酸，突然想起一句：“最熟悉的陌生人~”,是,很久了，我们不说话，已很久了。不说，那就不说吧！我知道这样的开始，就已意味着什么了。没有放不下的东西，伤心了自然会放下。等到某月某日，你我变成陌生人，那就什么都没有了。那时候我会对你说 ：祝你幸福！这或许很乏味，却是我对你感情的全部倾注。你带着这句话，离开吧。 ​​​​,2012-09-10 15:23,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yBeiXjFND
42,学习了~~~,是,,2012-09-10 15:22,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yBeiuDHKB
43,真是很符合王菲~~,是,既不应抗拒赞赏，也不用放在心上。 遇到诋毁最好无动于衷，对各式评价一视同仁。 如果厌倦就放弃，可以留恋，但不应被它刺痛。——王菲 ​​​​,2012-09-10 15:22,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yBeip4cKE
44,太厉害了，真这样就离成仙不远了~~,是,【人生十度修炼】1、忍得住孤独；2、耐得住寂寞；3、挺得住痛苦；4、顶得住压力；5、挡得住诱惑；6、经得起折腾；7、受得起打击；8、丢得起面子；9、担得起责任；10、提得起精神。 ​​​​,2012-09-10 14:46,转发,评论,赞,微博 weibo.com,https://weibo.com/1628473894/yBe3Ruq0U
