序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,,2012-09-27 12:44,转发,评论,赞,360安全浏览器,https://weibo.com/2879186425/yDNwUAFOi
1,这个必须注意！,是,#安全提示#【电器设备较多的办公室防火事项】1、使用插座供电时切忌插用电器过多，以免造成插座、插头啮合不良发热失火。2、便携式电器一般体积较小，散热性差，易自燃，使用时应远离桌面、台布等可燃物体，并随时查看其工作温度。3、最好每个办公室设置一个双连开关，下班时随手切断室内电源。 ​​​​,2012-09-27 12:36,转发,评论,赞,360安全浏览器,https://weibo.com/2879186425/yDNtFlbc7
2,转发微博,是,【大风蓝色预警信号】市气象台11时10分发布大风蓝色预警信号：午后本市风力逐渐加大，傍晚到夜间平均风力达5-6级阵风7级左右，明天白天仍有四五级北风，请注意防范。 ​​​​,2012-09-27 12:36,转发,评论,赞,360安全浏览器,https://weibo.com/2879186425/yDNtoutP8
3,型男啊,是,“摄影穷三代，单反毁一生”(转) ​​​​,2012-09-27 12:35,转发,评论,赞,360安全浏览器,https://weibo.com/2879186425/yDNti1Tdq
4,转发微博,是,你可以失望但不能绝望，你要始终相信，明天是新的一天!  爱视觉 就关注@全球视觉图宴 ​​​​,2012-09-27 12:34,转发,评论,赞,360安全浏览器,https://weibo.com/2879186425/yDNsP48VV
5,我社区电话故障，正在抓紧修理中！ ​​​​,否,,2012-09-25 09:26,转发,评论,赞,360安全浏览器,https://weibo.com/2879186425/yDtnnnKXy
6,转发微博,是,【历史上的今天：中华人民共和国国徽图案及说明公布】1950年9月20日，毛泽东主席签署中央人民政府命令，公布中华人民共和国国徽图案及说明。O网页链接 ​​​​,2012-09-20 09:40,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yCIkM3zVz
7,转发微博,是,【中秋、国庆“双节”渐近 景区门票价格“涨”声不断】中秋、国庆“双节”渐近，与准备出游的消费者同样具热度的是国内景区门票的涨价声。过去5个月内，已有不少景区宣布涨价，幅度都在20%以上，多的甚至涨价100%。调查显示，超九成网友可接受的5A级景区门票心理价位在100元以内。O网页链接 ​​​​,2012-09-20 08:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yCHSKyQ6m
8,//@海淀公安分局: 他，用实际行动告诉我们，爱国可以这样做！好孩子,是,#传播正能量#【今天必须为这个孩子发条微博】转自网络上的一组图片：大街上，一路爱国抗日的游行队伍走过之后，一个学生默默的拾起游行队伍留下的垃圾。他，用实际行动告诉我们，爱国可以这样做！ ​​​​,2012-09-19 09:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yCyFM1Ea1
9,高层建筑发生火灾时，低楼层发生火灾，不能盲目往下跑，如果上层的人都往下跑，反而会给救援曾加困难。要针对具体情况，采取不同的逃生措施。避难区域有：避难层、屋顶平台、室外地坪、防烟楼梯间及其前室、封闭楼梯间，其中室外地坪为首选。超高层公共建筑（100米以上）每隔15层左右设有避难层。,是,#警情追踪#今天中午12:26分，位于朝阳区华威桥西侧弘善家园一在建工地发生火灾。119指挥中心调派4个消防中队、12部消防车赶往现场扑救。14:20分，火被完全扑灭，消防员共救出9名被困工人。现场无人员伤亡，火灾原因及财产损失正进一步核查中。图片来自：@不普通的白开水 ​​​​,2012-09-19 09:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yCyEYnpR2
10,深爱五街坊的居民们纷纷前来，说我们五街坊上报纸了，查了查得知是六街坊上报，用的五街坊照片，哈哈哈，露一小脸，也同时发现我们五街坊的居民心中对五街坊社区的情谊是很深厚的，让我们感觉非常开心~ ​​​​,否,,2012-09-18 10:22,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yCpKGseq5
11,转发微博,是,"今天是""九·一八""事变81周年，铭记历史，就是最好的纪念，勿忘国耻，振兴中华！团结自律 理性爱国，愿中国更强大！中国加油！ ​​​​",2012-09-18 10:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yCpJrCh1E
12,转发微博,是,每个公主都有一个城堡梦~~~~~~~喜欢中国风 就关注@唯美丶中国风 ​​​​,2012-09-17 16:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yCiSGduoq
13,转发微博,是,一叶知秋。  ​​​​,2012-09-17 16:39,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yCiNbuBec
14,转发微博,是,一叶知秋。  ​​​​,2012-09-17 16:07,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yCiAsx9Ei
15,转发微博,是,【天气与生活：好天气也有秋燥烦恼】最近很多地方都是雨水稀少、阳光灿烂，感觉会比较舒适。但早晚凉，但太阳出来后气温回升较快，也把空气烤得比较干，很多人会觉得皮肤干涩、鼻燥、唇干、咽痛等，这就是秋燥症。建议大家多喝水，多吃润肺润燥的食物，比如，百合、银耳、梨、大枣等，少吃辛辣烧烤。 ​​​​,2012-09-17 14:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yChMgq2IK
16,转发微博,是,换个城市生活，你愿意去哪儿？！！ ​​​​,2012-09-17 14:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yChLQoTSw
17,转发微博,是,【央视今晨就理性爱国发出声音】少数人的不理智行为，完全无助于钓鱼岛问题的解决。我们捍卫领土主权，也要捍卫法治与文明；我们爱护国家寸土，也要爱护国民寸金。理性爱国，就是支持中国政府维护主权的行动，就是以热爱和建设祖国为最大光荣，以损害祖国利益和尊严为最大耻辱。O网页链接 ​​​​,2012-09-17 14:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yChLku0NA
18,转发微博,是,用手中的笔普及垃圾减量垃圾分类知识吧，作品将有机会在各种生活垃圾减量垃圾分类活动中使用哦14日“做文明有礼的北京人”2012年垃圾减量垃圾分类宣传活动向全市中小学生发出邀请，面向全市中小学生征集“做文明有礼的北京人垃圾减量垃圾分类”文学作品、绘画作品、标语口号。[得瑟] ​​​​,2012-09-17 14:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yChKyCzb4
19,转发微博,是,#网警提示#理性爱国、依法表达，过激行为、害人害己。对于借机煽动打、砸、抢、烧等违法行为，或散布谣言、扰乱公共秩序的，公安机关将依法查处。请做守法公民、为中国加油！ ​​​​,2012-09-17 13:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yChKrx5f8
20,转发微博,是,#旅游消费提示#市消协介绍，一些景区商户采用多种形式诱导游客购物。比如，商户自称老乡推销劣质品，使消费者丧失警觉，设下“老乡”陷阱；或者抓住消费者买当地“特色”心理，利用“特色”陷阱将普通产品吹嘘得神乎奇神；或是忽悠游客为保家人健康，买摆件、佩饰等。北京市消费者协会电话：96315。 ​​​​,2012-09-17 10:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yCgiouUit
21,转发微博,是,【人民日报：中国扣动经济扳机日本将倒退20年】日本经济对中国的经济手段缺乏免疫力。中国一旦扣动经济扳机，日本制造业、金融业、投资企业、进口战略物资等，都有可能成为目标。中日间会互有损伤，但中国有“杀敌一千，自损八百”的承受力。难道日本做好倒退20年准备了吗？O网页链接 ​​​​,2012-09-17 10:17,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yCgifCWoJ
22,"奖品！一定要HOLD住！一起来抢啊！""爱的一斤米！您祈福，我捐米"" O网页链接",是,首批赈灾大米送抵彝良过程中，我们深切感受到灾区人民最需要的，除了物资还有各地人民的鼓励与支持。我们特发起向灾区儿童祈福的#爱的一斤米#活动，只要按规则参与，我们就通过@免费午餐 向灾区儿童追加捐助一斤米。快用您的微博之力为灾区儿童送上爱的祝福吧 O网页链接 ​​​​,2012-09-14 08:45,转发,评论,赞,微活动-爱的一斤...,https://weibo.com/2879186425/yBNpmEQ3s
23,"分享个好玩的活动给你们，都来看看吧。""爱的一斤米！您祈福，我捐米"" O网页链接",是,首批赈灾大米送抵彝良过程中，我们深切感受到灾区人民最需要的，除了物资还有各地人民的鼓励与支持。我们特发起向灾区儿童祈福的#爱的一斤米#活动，只要按规则参与，我们就通过@免费午餐 向灾区儿童追加捐助一斤米。快用您的微博之力为灾区儿童送上爱的祝福吧 O网页链接 ​​​​,2012-09-14 08:45,转发,评论,赞,微活动-爱的一斤...,https://weibo.com/2879186425/yBNplcoMo
24,转发微博,是,你来人间一趟，你要看看太阳，和你的心上人，一起走在街上。——海子。| 摄影：brandonhuang   爱视觉 就关注@全球视觉图宴 ​​​​,2012-09-13 08:36,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yBDVe4dSW
25,转发微博,是,荷兰海牙老图书馆，美得不像话。 ​​​​,2012-09-11 13:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yBn65qslM
26,转发微博,是,【女人这辈子千万不能做的9件傻事】1 .脑袋一热给情人生了个孩子；2 .多次透支信用卡买奢侈品；3.和上司发生一夜情；4.和一个男人说：“你妈有问题。”5 .坚信一个男人真的可以爱你一辈子；6.等待一个变了心的男人回心转意；7.任由体型发展；8.为了一个男人换工作；9.不工作。[转] ​​​​,2012-09-11 13:23,转发,评论,赞,专业版微博,https://weibo.com/2879186425/yBmWAd3x9
27,转发微博,是,【针对日本购岛闹剧 新党呼吁各党一致对外】据台湾“中央社”报道，台湾新党昨天发表声明，指日本政府决定将钓鱼岛“国有化”，台湾各党却仍各有主张，呼吁各党一致对外，两岸合作保卫钓鱼岛。新党建议，台当局应该与大陆展开对话，两岸协商共同保卫固有疆域。O网页链接 @人民网 ​​​​,2012-09-11 13:21,转发,评论,赞,专业版微博,https://weibo.com/2879186425/yBmVOCiMa
28,转发微博,是,11年前的今天，2001年9月11日，恐怖分子劫持飞机撞击美国纽约世贸中心和华盛顿五角大楼。四架民航客机在美国的上空飞翔，然而这四架飞机却被劫机犯无声无息地劫持。当美国人刚刚准备开始一天的工作之时，纽约世贸中心连续发生撞机事件，世贸中心的摩天大楼轰然倒塌，化为一片废墟，造成3000多人丧生。 ​​​​,2012-09-11 10:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yBlGxeQfm
29,转发微博,是,【人民日报：中国钓鱼岛岂容他人肆意“买卖”】从日本处理与周边邻国领土主权争端中，丝毫看不出其对过去侵略战争和殖民统治有真诚悔意。无论日本政府如何辩解粉饰，都掩盖不了这一行径的实质是在拿别人的东西进行“买卖”。这种行为是荒唐的，也是非法的，且注定是不可能得逞的！O网页链接 ​​​​,2012-09-11 10:06,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yBlEyj2Et
30,转发微博,是,"#预防银行卡被盗刷#【密码输入谨慎小心】银行工作人员就预防银行卡被盗刷建议:刷卡消费时不要让银行卡离开自己的视线范围,在各类交易后的票据要妥善保管或者销毁,不要给犯罪分子可乘之机。在公共场所消费输入密码时,尽量用手遮挡住按键的手指,防止密码被偷窥。交易后修改密码可以减少被盗刷的危险。 ​​​​",2012-09-11 10:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yBlCc2wwb
31,教师节到了，在此送上一份祝福~ ​​​​,否,,2012-09-10 13:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2879186425/yBdA8fjHy
32,#0元竞购别克登场转发赢取新iPad大奖# 地址：O网页链接 ​​​​,否,,2012-09-10 13:30,转发,评论,赞,微活动-0元竞购别...,https://weibo.com/2879186425/yBdyT6G4J
