序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【北京交通委：节前可能出现大范围长时间拥堵】北京市交通委今日称，临近双节假期，北京工作日交通拥堵情况将趋于严重，预计26日至29日4天的晚高峰将达严重拥堵程度，其中26日和28日晚高峰极有可能出现大范围严重拥堵。北京市交通部门提醒市民尽量少开车，更多选择公共交通出行。O网页链接 ​​​​,2012-09-24 19:17,转发,评论,赞,专业版微博,https://weibo.com/2654995005/yDnOXDLC1
1,"紧急停电通知：居民朋友们：因电路检修，9月21日及22日两天部分时段停电，具体时间为：9月21日 14:00-14:30；23:00-23:30,9月22日 23:00-23:30，停电区域为：二街坊、三街坊、四街坊及北综合楼，请大家提前做好安排，请互相转告，谢谢！[挤火车] ​​​​",否,,2012-09-20 09:21,1,评论,赞,专业版微博,https://weibo.com/2654995005/yCIcQCXRy
2,居民朋友们：四西居委会定于9月17日起开始装修，时间估计为2-3个星期，办公地点现改在四西服务站南侧，办公电话不变，施工期间给您带来的不便敬请谅解。 ​​​​,否,,2012-09-19 15:12,转发,评论,赞,专业版微博,https://weibo.com/2654995005/yCB50a5hU
3,"2012年全国科普宣传日主题活动正式拉开帷幕! 此次活动由永定路街道科协主办,四西和二西协办,向居民们分发科普宣传册,讲解了注重食品安全及合理科学用药的重要性,得到了居民的热烈响应! ​​​​",否,,2012-09-16 16:06,转发,评论,赞,专业版微博,https://weibo.com/2654995005/yC99ty20h
4,爱国热情可嘉，但切记要理性爱国，不做抗日暴徒！,是,【你好，明天】划海基线，派海监船，面对反制，日本东京都知事称“中国疯了”。石原先生，你罔顾历史！百年坎坷，中国人的家国情怀已深入骨髓。激愤之下，同胞们也要相互提醒：砸车打人或可逞一时之快，却会使爱国心受到歪曲玷污。今日中国，强大的不仅是国力，更应是民族心。团结奋斗，保钓到底！安。 ​​​​,2012-09-15 17:46,转发,评论,赞,微话题-抵制日货...,https://weibo.com/2654995005/yC0nh739C
5,//@北京市民政局: 明年考研考点全配身份证识别仪,是,【明年考研考点全配身份证识别仪】#聚焦北京#2013全国硕士研究生考试所有考点都将配足配齐第二代身份证识别仪、金属探测仪等设备，以防止发生替考和各种考试作弊行为，维护考试安全。有条件的地区可统一配备考试文具、考场电子挂钟和指纹识别仪等，为考生提创造较为完善的考场环境。 ​​​​,2012-09-13 16:25,转发,评论,赞,专业版微博,https://weibo.com/2654995005/yBGZskCnr
6,书中自有黄金屋！//@触碰心灵的台词: 学会自我增值,是,『学会自我增值』1、每天读书；2、学习新的语言；3、战胜你的恐惧；4、升级你的技能；5、承认自己的缺点；6、向你佩服的人学习；7、减少在QQ微博上的时间；8、培养一个新的习惯；9、好好休息；10、帮助他人；11、让过去的过去；12.从现在开始。 ​​​​,2012-09-13 15:22,转发,评论,赞,专业版微博,https://weibo.com/2654995005/yBGzYk0By
7,欢迎越来越多的便民利民举措出台，方便大众，造福百姓！,是,【9月底可用手机购买火车票 铁道部拟常客实行积分奖励】铁道部昨天宣布，为进一步满足旅客购票乘车需求，9月底拟推出名为“掌上12306”的手机购票业务，并实现在线支付。根据规划，未来铁路客票系统还将建立旅客积分，铁路旅客可像民航旅客一样，用出行累积的积分换购火车票。@青岛全搜索官方微博 ​​​​,2012-09-13 15:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2654995005/yBGyggEbP
8,有时候，停下匆忙的脚步，等一等落在身后的灵魂！,是,【让你的心灵沉静的8本书】《灵魂只能独行》《一个人的好天气》《荆棘鸟》《平凡的世界》《那些忧伤的年轻人》《活出意义来》《唤醒内心的巨人》《当下的力量》。这个世界很浮华，不要走得太快，是时候停一停，静一静，想一想，沉淀思绪后，重新出发，你一定要相信，没有到不了的明天。 ​​​​,2012-09-13 15:07,转发,评论,赞,专业版微博,https://weibo.com/2654995005/yBGtLiM22
9,爱好科技的童鞋们记得不要错过哦//@首都社区服务: 北京科技嘉年华明日开放,是,#魅力朝阳#【北京科技嘉年华明日开放】2012全国科普日北京主场活动暨第二届北京科学嘉年华活动将于9月14日至17日举办，213个中外互动科普项目将集中亮相。嘉年华主场活动在奥林匹克公园国家体育馆东广场举行，整个嘉年华将连续四天，每天早9点到晚9点市民可免费参与体验。感兴趣的朋友们不要错过啦！ ​​​​,2012-09-13 15:00,转发,评论,赞,专业版微博,https://weibo.com/2654995005/yBGreo1Xu
