序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,9月28日上午定慧东里社区党支部召开创先争优总结大会。闫红书记宣读了三年总结，随后观看了总结视频，又向各位党员通报了最近社区的情况，并宣读了“十八大”期间安防工作安排。会议结束后党员们纷纷响应号召，主动参加值班维稳工作。总之我们将继续努力开展各项工作，以优异的成绩迎接十八大的召开。 ​​​​,否,,2012-09-29 14:57,转发,评论,赞,专业版微博,https://weibo.com/2653324637/yE7fT2rRb
1,转发微博,是,【每日天气】市气象台：今天中午城区气温达到22-23度，天气干燥，还有点小北风，户外活动要及时补充水分。长假期间，10月2日有一次冷空气活动，会带来阵雨，雨后有四五级北风。其他时间都是晴天，[阳光]最高气温 24-25度，最低气温13-14度，天气非常好啦，适宜大家外出。 ​​​​,2012-09-29 14:46,转发,评论,赞,专业版微博,https://weibo.com/2653324637/yE7b9A7R0
2,转发微博,是,#出行提示#从2009年至2011年的十一黄金周期间的数据来看，在出京方向上，京藏高速、京承高速、京港澳高速、机场高速等4条线路交通量较大。这些线路的易发拥堵时段可推测为每日上午6:00-12:00。请出行的通心粉们注意选择避开拥堵路段和时段。 ​​​​,2012-09-29 14:45,转发,评论,赞,专业版微博,https://weibo.com/2653324637/yE7b0qyNI
3,,是,#公交服务#[茶] 公交集团180辆以LNG（液化天然气）为能源的新型 18米铰接空调公交车，目前正在南四环外新宫公交场站进行最后的检查调试，并将陆续投入到长安街部分线路运营，市民将在节日期间感受到这种舒适的新型公交车。 ​​​​,2012-09-29 14:44,转发,评论,赞,专业版微博,https://weibo.com/2653324637/yE7akdbWL
4,[大巴],是,#公交服务# [大巴]十一期间，天安门地区公交线路将采取临时绕行甩站措施。特别提示广大乘客提前安排好出行时间和路线。详情请参考附图： ​​​​,2012-09-29 14:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2653324637/yE79X8jTG
5,定慧东里社区自今日起开始发放2012年第四季度老年券，以及第三季度90周岁以上高龄津贴，请涉及居民相互转告，在节前可以把补贴拿到手里 ​​​​,否,,2012-09-27 17:05,转发,评论,赞,专业版微博,https://weibo.com/2653324637/yDPeO8NLC
6,//@海淀区政府网站: 扩散~,是,【北京稻香村紧急声明：没有销售过月饼提货券】北京稻香村昨日发布紧急声明说，公司根本就没销售过月饼提货券，网络上大量的“北京稻香村月饼券”全为假冒。大家买稻香村月饼的时候一定要注意啦，一定要去正规店铺购买月饼。 ​​​​,2012-09-27 17:02,1,评论,赞,专业版微博,https://weibo.com/2653324637/yDPdI9xNE
7,,是,#交通资讯#[彩虹]【智慧北京交通信息亭】交通信息亭您见过没？近日它亮相在长安街永安里一带哦！[闪闪红]它不仅方便广大群众的公交出行，更为国庆节前的首都街头增添一道亮丽的风景线。预计到2015年，北京市区内的所有公交站台都将安装上这种新颖的多功能交通信息亭。 ​​​​,2012-09-27 17:01,转发,评论,赞,专业版微博,https://weibo.com/2653324637/yDPdbmI0r
8,2012年9月26日，定慧东里社区代表街工委慰问了社区内的民主党派人士。在中秋、国庆双节来临之际，向他们送上月饼等慰问品，并祝他们中秋节、国庆节快乐。对领导的深情关怀，民主党派人士深受感动，纷纷表示一定为和谐社区建设继续献计出力，发挥余热。 ​​​​,否,,2012-09-27 17:00,转发,评论,赞,专业版微博,https://weibo.com/2653324637/yDPcT2gZW
9,,是,【25日6时北京天气预报】今天白天京城自西向东有小到中雨，大部分地区累计降水量在5到10毫米，偏南风二三级，最小相对湿度50%，白天最高气温22℃，晚高峰时段有降雨，请提前做好出行安排。夜间阴有小雨转多云，南转北风二三级，最大相对湿度90%，最低气温14℃。 ​​​​,2012-09-25 09:44,转发,评论,赞,360安全浏览器,https://weibo.com/2653324637/yDtuQ8bei
