序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,您的孩子注意力集中吗?很多的家长都谈到这个问题，孩子上课注意力不集中，思想经常开小差，上课坐不住等等问题，非常让父母苦恼。孩子注意力不集中不容忽视，要引起做父母的重视，发现问题，及早解决，以免造成不良的后果。 ​​​​,否,,2012-09-26 15:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2857962883/yDF9jsI6T
1,"发表了博文 《结核病监督化疗工作者心得》 - 作为一名结核病监督化疗大夫,“结核病监化服药固然重要，心理辅导也必不可少 ”，吸取前辈结核防护工作的经验，通过结核病人及家属的接触，更加感觉到结核病监化工 O网页链接 ​​​​",否,,2012-09-21 10:06,3,评论,1,新浪博客,https://weibo.com/2857962883/yCRVGfXT8
2,社会各界有能力的人士帮帮孩子吧，看着都心痛！,是,【10岁男孩下身瘫痪 每天倒立行走3小时上学】倒立走、爬着走、拄着拐杖走……坚持3个多小时，才能“走”完上学的路，这一切10岁的颜玉宏每天都要经历。但这样的上学路无论刮风下雨，他已坚持4年多。是什么让他执着？他说：“我要好好读书，读书是我的理想，将来才能报答奶奶。” O网页链接 ​​​​,2012-09-18 16:46,3,评论,赞,微博 weibo.com,https://weibo.com/2857962883/yCsgHoSC7
3,这种精神值得大家学习，我们支持你。,是,【10岁男孩下身瘫痪 每天倒立行走3小时上学】倒立走、爬着走、拄着拐杖走……坚持3个多小时，才能“走”完上学的路，这一切10岁的颜玉宏每天都要经历。但这样的上学路无论刮风下雨，他已坚持4年多。是什么让他执着？他说：“我要好好读书，读书是我的理想，将来才能报答奶奶。” O网页链接 ​​​​,2012-09-18 16:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2857962883/yCsgc4wGR
4,开学第一天背着课桌去上学  O网页链接  （分享自 @看见） ​​​​,否,,2012-09-18 16:38,转发,评论,赞,新浪新闻中心,https://weibo.com/2857962883/yCsdoBJjs
5,9.18l历史不该被遗忘，牢记历史，并不是要延续仇恨，而是要以史为鉴，面向未来，珍爱和平，维护和平 ​​​​,否,,2012-09-18 16:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2857962883/yCs7iFQPK
6,发表了博文 《社区卫生服务走进民心》 - 9月5日参观了上海古美社区卫生服务中心，现代化的设备，人性化的服务，病人信息医院共享，让我长了知识，开阔了眼界，原来社区卫生服务可以如此便捷、贴心。 O网页链接 ​​​​,否,,2012-09-11 09:25,转发,评论,1,新浪博客,https://weibo.com/2857962883/yBlofrej2
7,践行北京精神从我做起：到电影院看电影后，将随身带进的饮料瓶和小食品带出影院扔进垃圾箱，做一点小事，提高一些素质。 ​​​​,否,,2012-09-11 09:14,转发,评论,1,微博 weibo.com,https://weibo.com/2857962883/yBljwAzl6
8,中国人拍的《金陵十三钗》日本票房为零。小日本拍的《贞子》3D将于9月12日在中国大陆上映。而9月12日既是南京大屠杀纪念日，又是国难日。勿忘国耻！！作为中国人，敢不敢让 贞子3D 9月12日票房为零。 ​​​​,否,,2012-09-11 09:13,转发,评论,1,微博 weibo.com,https://weibo.com/2857962883/yBljnpLtm
9,#钓鱼岛是中国的#捍卫领土主权。 ​​​​,否,,2012-09-11 09:12,转发,评论,1,微话题-钓鱼岛是...,https://weibo.com/2857962883/yBliW0UjJ
