序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,【免手续费转账】支付宝可以跨行转账了。现在可以领免手续费机会，有需要的同学赶快去领。O网页链接 O网页链接 ​​​​,否,,2012-09-26 16:45,转发,评论,赞,分享按钮,https://weibo.com/1234467410/yDFG23kHM
1,“做讲法制守纪律的海淀人”主题宣传活动 ​​​​,否,,2012-09-24 15:27,转发,评论,赞,专业版微博,https://weibo.com/1234467410/yDmji2mW0
2,畅通北京绿色出行 ​​​​,否,,2012-09-24 15:26,转发,评论,赞,专业版微博,https://weibo.com/1234467410/yDmj6d51H
3,黄庄社区开展防控美国白蛾宣传活动 ​​​​,否,,2012-09-24 15:25,转发,评论,赞,专业版微博,https://weibo.com/1234467410/yDmiJb4mw
4,人大代表莅临黄庄社区检查指导养老服务工作 ​​​​,否,,2012-09-20 12:12,转发,评论,赞,专业版微博,https://weibo.com/1234467410/yCJkeq40U
5,9.18日中关村医院眼科进社区，免费为老人进行视力白内障监测 ​​​​,否,,2012-09-19 09:46,转发,评论,赞,专业版微博,https://weibo.com/1234467410/yCyWId269
6,加强社区巡逻 ​​​​,否,,2012-09-19 09:37,转发,评论,赞,专业版微博,https://weibo.com/1234467410/yCyT1uOlg
7,居委会、物业清理社区楼道垃圾 ​​​​,否,,2012-09-19 09:36,转发,评论,赞,专业版微博,https://weibo.com/1234467410/yCySF3wbd
8,祝老师们节日快乐 ​​​​,否,,2012-09-10 08:40,转发,评论,赞,专业版微博,https://weibo.com/1234467410/yBbFscEjy
9,"我刚更新了#微博客户端秋季版#，1.全新个人主页, 2.信息流新增趋势：热门文章、推荐好友, 3.新增微博专属二维码, 4.新增智能排序，浏览微博更高效, 5.新增个性会员主题，赶快成为微博会员吧！ App Store下载地址：O网页链接 ​​​​",否,,2012-09-09 13:16,转发,评论,赞,iPhone客户端,https://weibo.com/1234467410/yB431ymnd
10,黄庄社区党支部创先争优总结会 ​​​​,否,,2012-09-07 08:40,转发,评论,赞,专业版微博,https://weibo.com/1234467410/yAJnNzGgc
