序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,,是,辛辣食物养生功效: 芥末呛鼻的主要成分是异硫氰酸盐。这种成分不但可预防蛀牙，而且对预防癌症、防止血管斑块沉积、辅助治疗气喘也有一定的效果。此外，芥末还有预防高血脂、高血压、冠心病，降低血液黏稠度等功效。 ​​​​,2012-09-28 11:49,转发,评论,赞,新浪邮箱,https://weibo.com/1785616645/yDWAX8KK4
1,,是,,2012-09-21 16:32,转发,评论,赞,微博 weibo.com,https://weibo.com/1785616645/yCUsftfRJ
2,,是,【细菌潜伏最多的地方】一、钱包；二、遥控器；三、洗衣机:一件内裤有相当于1亿个大肠杆菌 ；四、案板:病菌要比马桶座圈多出200倍；五、电话； 六、饮水机龙头的；七、按钮:其中电梯里第一层的按钮最脏；八、坐垫；九、飞机、火车卫生间；十、购物推车。大家平常要多加注意卫生哦！ ​​​​,2012-09-21 16:28,转发,评论,赞,微博 weibo.com,https://weibo.com/1785616645/yCUqQ0wiD
3,转发微博,是,如果你有鼻炎，留下这篇微博吧，绝对有帮助！为有需要的童鞋转~   ​​​​,2012-09-18 20:52,转发,评论,赞,专业版微博,https://weibo.com/1785616645/yCtSocRV6
4,,是,【#图说#超简单倒车技巧图解】超级简单的倒车方法，开车的人都来看看！ ​​​​,2012-09-18 20:51,转发,评论,赞,专业版微博,https://weibo.com/1785616645/yCtRPkD49
5,,是,,2012-09-11 10:40,转发,评论,赞,专业版微博,https://weibo.com/1785616645/yBlSquy0v
6,,是,,2012-09-11 10:31,转发,评论,赞,专业版微博,https://weibo.com/1785616645/yBlOGuZ0U
7,转发微博,是,,2012-09-11 10:23,转发,评论,赞,专业版微博,https://weibo.com/1785616645/yBlLtDAHS
8,转发微博,是,,2012-09-11 10:20,转发,评论,赞,专业版微博,https://weibo.com/1785616645/yBlKqmEo5
9,转发微博,是,长期过量饮酒与脂肪肝、肝静脉周围纤维化、酒精性肝炎及肝硬化密切相关；过量饮酒会增加患高血压、中风等疾病的风险；过量饮酒会导致交通事故及暴力的增加，对个人健康和社会安定有害；饮酒会增加消化道癌症和女性患乳腺癌的风险；长期过量饮酒还可导致酒精依赖症、成瘾症以及其他严重的健康问题。 ​​​​,2012-09-11 10:11,转发,评论,赞,专业版微博,https://weibo.com/1785616645/yBlGEBVqH
10,转发微博。,是,#全国安全用药月#【家庭慎用抗菌药】许多患者病情严重时，为使疾病早日痊愈同时使用多种抗菌药物，这样用药也不妥，轻则达不到理想疗效或药效降低，重则会增加药物的副作用，对健康不利。需不需要用，如何用必须遵循医瞩，自己不能自作主张！ ​​​​,2012-09-11 10:10,转发,评论,赞,政府版微博,https://weibo.com/1785616645/yBlGqc5HX
11,转发微博。,是,#健康知识#【卫生间里的健康】事实上，各种空气清新剂基本上都是由乙醚、香精构成的，只是通过散发香气掩盖异味，给人一种空气被净化的错觉。而且空气清新剂和劣质香水中可能含“人造麝香”，这是一种已被证实的有毒和致癌物质，会造成肝肾负担加重、畸胎和肿瘤。 ​​​​,2012-09-11 10:09,转发,评论,赞,政府版微博,https://weibo.com/1785616645/yBlG9CU6a
12,//@北京市社区卫生服务管理中心:生活小意外错VS对,是,【生活小意外错VS对】①流鼻血：错--把头用力向后仰，对--头微后倾捏住鼻梁下端5~15分钟；②异物入眼：错--揉眼睛，对--多眨几次眼打开水龙头用流水冲洗眼睛；③脚部扭伤：错--用力按摩扭伤的部位，对--先冷敷扭伤部位；④烫伤：错--把冰块直接放到烫伤位置；对--迅速流水冲洗。 ​​​​,2012-09-11 10:04,转发,评论,赞,政府版微博,https://weibo.com/1785616645/yBlE82kLD
13,转发微博。,是,【静坐】这是一门祛病保健、调养身心的修养方法，也是改变气质、培育品德的重要功夫，通过静坐可以居敬养气，致虚养生。静坐时两腿必须盘起来，盘时可随各人的习惯，或将左胫加到右股之上，或将右胫加到左股之上，初学盘腿的时候，必将发生麻木或酸痛，必须忍耐，练习久后，自然渐进于自然。 ​​​​,2012-09-11 10:04,转发,评论,赞,政府版微博,https://weibo.com/1785616645/yBlE565XN
14,,是,偷偷告诉你，这就是美瞳+眼线之后的效果！区别老大了！！@微博精选 #搞笑# #各种萌#【欢迎关注@环球百科荟萃】 ​​​​,2012-09-10 15:56,转发,评论,赞,微博精选,https://weibo.com/1785616645/yBewrhiFB
15,转发微博,是,,2012-09-10 15:44,转发,评论,赞,微博精选,https://weibo.com/1785616645/yBerokYXo
16,转发微博,是,,2012-09-10 15:40,转发,评论,赞,微博精选,https://weibo.com/1785616645/yBepOyqFH
17,我刚刚开通了 #新浪短信提醒#服务，可以随时随地短信实时接收新评论、新私信，还有您最想关注的那个TA的微博更新提醒哦！重要消息从此绝不错过！短信发送KT到1069009030或登陆O网页链接 一起来免费体验吧（详见@新浪短信微博 ）   ​​​​,否,,2012-09-08 07:43,转发,评论,赞,新浪短信微博,https://weibo.com/1785616645/yASrlo7fi
18,转发微博,是,"【我把儿子送到美国, 竟然这样被教育】网上热传的故事，家长们可以看看，值得深思！ ​​​​",2012-08-31 09:19,转发,评论,赞,微博 weibo.com,https://weibo.com/1785616645/yzFEgEacl
19,转发微博,是,【见行堂语】 人就是要在顺境、逆境中磨练，顺境中不倒，逆境中起的来，才能够成长，有成就。  原文地址： O网页链接 ​​​​,2012-08-31 09:17,转发,评论,赞,微博 weibo.com,https://weibo.com/1785616645/yzFDA68kq
20,@小添爱摄影 的照片很棒(来自专辑 微博配图)，推荐给大家！ O网页链接 ​​​​,否,,2012-08-24 23:56,转发,评论,赞,微相册,https://weibo.com/1785616645/yyHoQmQqj
21,@小添爱摄影 的照片很棒(来自专辑 微博配图)，推荐给大家！ O网页链接 ​​​​,否,,2012-08-24 23:56,转发,评论,赞,微相册,https://weibo.com/1785616645/yyHoB0o3T
22,@小添爱摄影 的照片很棒(来自专辑 微博配图)，推荐给大家！ O网页链接 ​​​​,否,,2012-08-24 23:56,转发,评论,赞,微相册,https://weibo.com/1785616645/yyHovnN1o
23,#微吧来了#矮油~微博都露出尾巴了，我在找和我一样尾巴的人，是你么？O网页链接 ​​​​,否,,2012-08-24 23:23,转发,评论,赞,微吧,https://weibo.com/1785616645/yyHbuE3sY
24,丢掉一切包袱，绽放笑容。 O海淀区北下关健康教育 ​​​​,否,,2012-08-24 10:01,转发,评论,赞,微博 weibo.com,https://weibo.com/1785616645/yyBVWcn8R
25,此时此刻，我泪流满面，微博给我颁发了【三好学生】勋章，我终于成为一名有身份的人！快去完善你的教育信息领取三好学生勋章吧！  O网页链接 ​​​​,否,,2012-08-24 09:38,转发,评论,赞,勋章馆,https://weibo.com/1785616645/yyBMrydSK
26,//@北太平庄社区卫生服务中心: 你的宝宝有几颗牙了？,是,【乳牙萌出时间及顺序】妈妈们，宝宝都有几颗牙了？   ​​​​,2012-08-24 09:18,转发,评论,赞,微博 weibo.com,https://weibo.com/1785616645/yyBEpEafw
27,//@北太平庄社区卫生服务中心: 很实用！收藏起来吧[呵呵],是,,2012-08-24 09:18,转发,评论,赞,微博 weibo.com,https://weibo.com/1785616645/yyBEc4PXn
28,生活有我更精彩~ O海淀区北下关健康教育 ​​​​,否,,2012-08-23 16:34,转发,评论,赞,微博 weibo.com,https://weibo.com/1785616645/yyv4LlneF
29,我刚刚绑定了手机，获得了【如来神掌】勋章，微博已经尽在我掌中！也想练成此神功？快来绑定吧！O网页链接 ​​​​,否,,2012-08-23 16:09,转发,评论,赞,勋章馆,https://weibo.com/1785616645/yyuUxu8ul
30,《6种最常见的掺假食物》 橄榄油：是掺假最严重的油脂，常见的冒名顶替油品包括：玉米油、花生油、大豆油等。选择橄榄油有四个要点：一是酸性值，可食用的橄榄油酸性值不超过3.3%；二认准“特级初榨”；三看产地，从西班牙、意大利、希腊这3个国家进口的橄榄油质量较好；四看色泽，一般越清亮越好。 ​​​​,否,,2012-08-23 15:48,转发,评论,赞,微博 weibo.com,https://weibo.com/1785616645/yyuM5zpDH
31,转发微博,是,#新兵报到#微博是不超过140字的短消息。你可以随心记录生活、分享快乐，即便只有一句话、一张照片、一个视频、一条链接。也可以随时随地发微博，无论是用电脑、手机，还是短彩信。还可以获得最新最酷的咨询，第一时间将它分享给朋友们。亲爱的朋友，要记得常来哦！O网页链接 ​​​​,2012-08-23 15:44,转发,1,赞,微博 weibo.com,https://weibo.com/1785616645/yyuKFfjCB
