序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,8月31日医院开始与北京市预约挂号平台对接，开始实施电话和网络预约挂号。 电话预约挂号的电话为：010-114。网络预约挂号网址为：O网页链接 ​​​​,2012-08-30 16:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yzySit6no
1,农科院社区现在正在筹备成立社区模特队，并扩大社区合唱队、舞蹈队和书画摄影班的规模，有喜欢这些项目的居民朋友可以到社区居委会报名[呵呵] ​​​​,否,,2012-08-28 09:13,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yzdkomVQq
2,昙花之美，不仅在于它的花期短，更在于人们对它绽放那一刻的等待，经过漫长的黑夜，那种美才给人无尽的惊喜和震撼！,是,#海淀新闻#植物园昙花白天盛开。昨日，北京植物园热带展览温室内的一株昙花悄然开放，美丽的花朵吸引了众多游客的目光。植物园的工作人员使用了“颠倒黑白”的养护措施，使得在夜间开放的昙花可以在白天与大家见面。由于昙花的花期较短，植物园的工作人员预计今天将进入这株昙花的末花期。 ​​​​,2012-08-28 09:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yzdicq64u
3,转发微博,是,【绿道将串联“三山五园”】下半年海淀将启动一条40公里的绿道建设，串联起香山、颐和园等三山五园景区。该绿道实际是一套具有休闲、健身功能的城市慢行系统，包括人行步道和自行车道，分别供市民漫步和骑行，沿途还将建设座椅、卫生间、果皮箱、小卖部等游憩设施。预计明年上半年投入使用。 ​​​​,2012-08-27 16:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yz6CR1dDM
4,转发微博,是,#地铁服务#北京地铁公司所辖13条线路的367台自动扶梯已全部完成加装围裙板防夹装置工程，经市质监部门验收符合相关标准，全部安全上岗。安装防夹装置后，乘客在乘梯时，能降低因裤脚、背包带、小物件等被卷入或掉进自动扶梯梯级与围裙板间的缝隙内而导致电梯事故发生的概率，有效保障乘客安全。 ​​​​,2012-08-23 09:01,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yys71vfUX
5,转发微博,是,【周三成人高考开始网报】#生活提示#本周三（22日）成人高考开始网上报名了。普通考生网上报名截止为8月29日。8月30日、31日只接受免试生报名。今年考生可就近选择确认点，成招录取批次也由以往的三批次录取改为两批次录取。网上报名、交费说明请见 O网页链接 ​​​​,2012-08-21 11:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yyakIlI5t
6,8点多的时候是掉了几个点，要在户外行走的居民朋友注意防雨，注意交通安全,是,#出行提示#目前，我市局部地区已出现降雨，请出行的朋友注意防雨，开车、骑车的朋友注意交通安全。 ​​​​,2012-08-14 09:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yx5lCiG0R
7,转发微博,是,,2012-08-13 10:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/ywWrdz7xP
8,今天上午十点，在农科院社区活动室，举行了农科院社区“小哨兵”成立启动仪式。此次活动社区邀请了辖区小学阶段的部分学生，社区治保主任和文体委员共同担任社区“小哨岗”的管理员和辅导员，希望通过对孩子们的治安教育，使孩子们以点带面加强和促进社区的人防工作。 ​​​​,否,,2012-08-09 15:11,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/ywmybjLHi
9,转发微博,是,#过往寻踪# 为了满足广大人民群众日益增长的体育运动需求，纪念北京奥运会成功举办，经国务院批准，从2009年起，每年8月8日为“全民健身日”。今年的主题口号是“每天锻炼一小时，健康生活一辈子”。今儿您运动[bed踏步]了吗？ ​​​​,2012-08-08 11:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/ywbHR9z7m
10,转发微博,是,【市区到机场八毛钱】从市区到机场，市民大多选择出租车、机场地铁和机场专线大巴。其实，您还可以选择359路、640路等公交车，到了“机场道口”站，换乘可以划公交卡的“空港巴士”就能到达航站楼。此路线不仅价格便宜（全程八毛），发车数量还多，每隔几分钟就来一辆车，全程1小时左右。 ​​​​,2012-08-06 14:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yvUbFlQ8m
11,转发微博,是,【明起全市统一京V油 排放标准9月出台】明天起，我市加油站将全部供应京V油。89、92、95标号将分别取代之前的90、93、97号，油价暂不变。这次置换的京V油品从硫含量或总体污染物的排放等方面，都有减少。9月份出台第五阶段机动车排放标准后，本市机动车节能减排会上升到一个新的高度。 ​​​​,2012-07-31 14:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yuZul9qgT
12,转发微博,是,【建议收藏——本市下凹式立交桥】从交通北京微博中看到的信息，交通北京的小编为了大家看着不眼晕分了几条发布，小布整理成一条长微博，建议大家收藏。以后再有比较大的雨情时您先查看一下自己回家路上是否要经过这些桥区，看看能否找到更好的绕行路线。感谢交通北京小编辛苦整理。 ​​​​,2012-07-30 16:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yuQG5iVpo
13,转发微博,是,"【野三坡13辆京牌车等认领】野三坡“7•21”大雨后打捞出的部分京牌车已被车主认领，现还有13辆等认领。京PX8102,京AH1454,京P5VH59,京J44307,京YA9915,京FU0551,京N6K517,京KL7325,京GDB200,京NL7H17,京PS2265,京NL0V02,京NBX950。以上车辆车主拿本人相关证件、车钥匙等到野三坡百里峡商业街口认领。 ​​​​",2012-07-30 15:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yuQinwsdS
14,转发微博,是,"【中考生31日可查录取结果】#聚焦北京#今年中考统招计算机初录已结束，共录取考生62443人。本月31日起，考生可登录北京教育考试院网站查询录取结果。市教育考试院网站日前还公布了补录学校名单和计划数,未被录取的考生可从中选择报考的学校，持“补录考生登记表”于8月4日、5日到补录学校参加补录。 ​​​​",2012-07-30 15:13,1,1,赞,微博 weibo.com,https://weibo.com/2091555100/yuQi5uVsh
15,普及防灾自救知识,是,【图说·遭遇暴雨山洪如何成为“逃脱大师”】据@天气预报 报道，今明两天，京津局部地区有暴雨。遭遇暴雨山洪怎样办？别慌！面对危险只要头脑冷静知识足够，你也可能成为逃脱大师。变身逃脱大师请猛击大图！via@新浪图解新闻 @北京发布@Funhill房山@宜居密云@山水怀柔@海淀在线@北京朝阳 ​​​​,2012-07-25 09:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yu2RxdwpB
16,请社区居民做好防雨防雷电准备[雨伞],是,【白天小到中雨，伴有雷电 夜间中到大雨】25日7时北京气象信息：今天白天阴，午后有小到中雨，夜间阴有中到大雨，气温29到23℃。经过21-22日强降雨，土壤饱和，河塘、水库、沟渠较满，这次降雨极易引起新的灾害，请及时收听收看北京气象信息及路况信息，提高警惕，尽量不到远郊去，确保安全。 ​​​​,2012-07-25 09:07,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yu2L58NCi
17,//@海淀区政府网站: 帮转~大叔~找个阴凉地儿待会吧~//@青年说: 环卫大叔这里没有！但如果有网友在暴雨过后捡到车牌号：AD0057 请速与@why情况 联络！他的车牌也不见了！扩散 //@山小帅://@鑫楠人XN:帮转 //@躁躁楠:环卫大哥，北京今儿这天儿，您倒是坐路边儿树荫儿里等啊！瞅着直心疼！,是,今天很热，四季青桥附近这位环卫大叔一直在认真等待丢车牌的车主前去认领，昨晚他应该也战斗在一线吧。车牌有京NK3W89、京N0A179、京HF3994、京P2CH89、京N6B378、京N79P29，大叔电话13011154052。求扩散，让大叔能早点回去歇歇。@北京人不知道的北京事儿 @北京城你不知道的事儿 @交通北京 @安居北京 ​​​​,2012-07-23 09:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/ytJXbdX3K
18,这个确实很重要，已有社区居民因此得了急性胃肠炎进医院了，提醒居民朋友们注意保护自己的身体健康。,是,夏季是海鲜市场的旺季，无论是正规的餐厅还是路边的大排档，海鲜是大部分人美食菜单中的必点项。海鲜虽好，但只有正确食用，才能使人吃得放心，吃得健康。[群体围观]1.海鲜要全熟 2.禁忌死贝类 3.忌啤酒 4.忌水果 O网页链接 ​​​​,2012-07-20 09:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/ythBR4QPN
19,很强悍，很有用//@海淀区政府网站: 呃。。。酸梅汤居然也躺中,是,【小心“被酒驾”食品】#生活#没喝酒，也真心的没吃酒心巧克力，为什么还是被测出酒驾呢？今天我们来看看5种躺着也中枪的“被酒驾”食物排行榜……不过大家先别急，看过长微博您就知道了，警察同志见多识广，此种情况早就知道怎么处理，不会冤枉大家的~~O网页链接 ​​​​,2012-07-18 17:22,转发,评论,赞,微博 weibo.com,https://weibo.com/2091555100/yt20weE8q
