序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,发表了博文 《曙光街道召开创先争优活动经验交流会》 - 9月25日上午，怡丽北园社区支部委员参加了曙光街道开展创先争优经验交流会。会上，世纪城西区社区、怡丽北园社区、合众人寿保险公司的党组织负责人介绍 O网页链接 ​​​​,否,,2012-09-26 17:03,2,评论,赞,新浪博客,https://weibo.com/1253274585/yDFNgyuue
1,发表了博文 《怡丽北园社区九九重阳节主题活动方案》 - 活动名称：重温激情燃烧岁月，乐享晚年幸福生活 活动主题：夕阳晚情重温甜蜜 活动目的：1. 帮助老人回忆过去的往事，从而引导老人重温过去的快乐生活 O网页链接 ​​​​,否,,2012-09-20 17:20,2,评论,赞,新浪博客,https://weibo.com/1253274585/yCLlv9iO8
2,发表了博文 《认真总结  推进工作 再攀新高》 - 9月14日下午，怡丽北园社区党支部在党员电教室召开党员大会，对社区创先争优工作、分类定级工作进行了总结。支部20余名党员参加了大会。会议由支部书记许 O网页链接 ​​​​,否,,2012-09-17 15:10,2,评论,赞,新浪博客,https://weibo.com/1253274585/yCidfcawT
3,发表了博文 《免费理发进社区  真情服务献爱心》 - 9月7日，北京市商务管理学校学生再次来到怡丽北园社区开展服务社区社会实践系列活动。上午8点半，16名学生在老师带领下早早来到居委会，为闻讯而来的社 O网页链接 ​​​​,否,,2012-09-10 10:17,转发,评论,赞,新浪博客,https://weibo.com/1253274585/yBcivs8zb
4,发表了博文 《免费理发通知》 - 社区居民朋友们： 社区党支部、居委会为完善社区服务，弥补社区服务的缺项，与北京市商务管理学校携手共建，为解决社区老年人理发不便的难题，社区与学校协商，定期组织美容美发 O网页链接 ​​​​,否,,2012-09-05 10:27,转发,评论,赞,新浪博客,https://weibo.com/1253274585/yArenhuGL
5,发表了博文 《网格化管理  服务全覆盖》 - 2012年8月31日下午，“怡丽北园社区网格化社会服务管理工作启动仪式”在文明市民学校召开。街道综治工作部副部长郭新鹏、信访办主任汪宏、社区民警李守庆、工 O网页链接 ​​​​,否,,2012-09-03 10:49,转发,评论,赞,新浪博客,https://weibo.com/1253274585/yA8wb3Pxv
6,发表了博文 《开展疏散演练   确保社区平安》 - 为了使社区提高防震减灾意识，远离地震灾难，保障生命财产安全，促进国家级地震示范社区建设，怡丽北园社区于8月29日下午组织开展了一次实战防震减灾演练。 O网页链接 ​​​​,否,,2012-08-30 11:36,转发,评论,赞,新浪博客,https://weibo.com/1253274585/yzx7pEFDp
7,发表了博文 《丰富老年人生活   社区重组合唱队、舞蹈队》 - 为丰富社区老年人的业余文化生活，由居委会牵头，近日怡丽北园社区重组了老年舞蹈队、合唱队。舞蹈队、合唱队每周都定时排练。社区舞蹈队队员已有 O网页链接 ​​​​,否,,2012-08-22 15:32,转发,评论,赞,新浪博客,https://weibo.com/1253274585/yyleY1Mli
8,发表了博文 《践行北京精神  争当社区文明小使者》 - 为充分发挥社会教育平台的重要作用，让孩子们度过一个愉快、充实的假期，怡丽北园社区组织青少年开展了形式多样、丰富多彩的“践行北京精神，争当社区文明 O网页链接 ​​​​,否,,2012-08-16 16:30,转发,评论,赞,新浪博客,https://weibo.com/1253274585/yxr3D9ptz
9,发表了博文 《关注消防安全  确保社区平安》 - 为进一步弘扬北京精神，做文明有礼的北京人，鼓励社区家庭关注消防安全、重视消防安全、参与消防安全，为党的十八大胜利召开创造良好的消防安全环境。 2012 O网页链接 ​​​​,否,,2012-08-14 15:26,转发,评论,赞,新浪博客,https://weibo.com/1253274585/yx7MRr7Xx
10,发表了博文 《未雨绸缪  确保社区安全》 - 为了防止暴雨再次袭击，确保辖区居民群众安全渡汛，把汛期出现的各类损失降到最低点，保障居民的生命财产安全，让更多人了解特大暴雨的信息，27日下午，怡丽北园社 O网页链接 ​​​​,否,,2012-07-27 16:32,转发,评论,赞,新浪博客,https://weibo.com/1253274585/yuowBckEw
