序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,2012年8月18日下午，在望塔园中心小花园举办了一个别开生面的“儿童跳蚤市场”。下午14:30，市场还没开始，孩子们早早就提着一袋袋玩具和书来到现场，在家长的协助下忙活着“摆摊”。此次活动得到了家长的大力支持，很多家长都很愿意让孩子通过跳蚤市场锻炼自己。 ​​​​,否,,2012-08-21 15:46,27,评论,赞,微博 weibo.com,https://weibo.com/1254381263/yybUs0pZJ
1,8月12日，望塔园社区中心小花园内杰睿教育学校的专业人员，以专业的教育知识和丰富的实践经验，围绕当前家长在亲子教育、亲子沟通问题等方面的教育困惑，用幽默、生动的讲解语言，和现场互动、精彩解答等方式，把真正适合孩子成长的亲子教育理念和方法，有效地传递给了在场的家长和孩子们。 ​​​​,否,,2012-08-15 09:19,转发,评论,赞,微博 weibo.com,https://weibo.com/1254381263/yxeOb5AeL
2,8月11日，我们组织社区家庭参加了以“创建温馨幸福家庭，打造诚信计生”为主题的幸福家庭活动。通过活动领悟“爱与责任并重”的家庭观念，增进家庭成员之间的情感沟通，体验生活乐趣。促进了家长与孩子间的行为互动和情感交流，营造了浓厚的幸福家庭氛围，让幸福家庭、诚信计生的观念逐步深入人心。 ​​​​,否,,2012-08-15 09:15,转发,1,赞,微博 weibo.com,https://weibo.com/1254381263/yxeMxqdUU
3,“曙光地区创建全国文明城市”动员大会吹响了曙光地区创建的号角，会上传达了海淀区创建全国文明城市工作的部署及精神。同时动员部署了曙光地区在创建工作的相关工作安排。形成人人参与、人人创建，创文明城市、建美好家园，社区广大居民的要大力支持与配合，为海淀区创建文明城市尽一份力。 ​​​​,否,,2012-08-15 09:04,转发,评论,赞,微博 weibo.com,https://weibo.com/1254381263/yxeIm11Dy
4,望塔园社区10余名青少年在社区带领下来到了四季青敬老院看望老人。孩子们即兴表演了歌曲、乐器演奏及诗朗诵等节目，敬老院里的老人们也兴奋的演唱了一首首歌曲。这次活动不仅为生活在敬老院的老人们带去了心灵上的慰藉，同时还锻炼了孩子们， 增强了他们的社会责任感，使他们从小就富有爱心和同情心。 ​​​​,否,,2012-08-07 15:07,转发,评论,赞,微博 weibo.com,https://weibo.com/1254381263/yw3FC8CfX
5,望塔园社区组织计生宣传员参加了曙光街道的“推进诚信计生、走向生育文明、共建幸福家庭”的大型活动。这次活动活动来到了水上公园的雁西湖，让这些生活在城市里的计生宣传员们放松心情，充分感受大自然的和谐与美丽，大家在质朴的自然环境中尽情地享受，平日工作和生活的压力也得到了释放。 ​​​​,否,,2012-08-06 10:54,转发,评论,赞,微博 weibo.com,https://weibo.com/1254381263/yvSAjuuQ6
6,支持，望塔园社区”亲情树“人口文化沙龙将围绕这个做好宣传服务工作,是,“亲情树”人口文化沙龙是围绕着青春期、新婚期、孕产期、育儿期、更年期，不同阶段的人群展开的计生公共服务系统，引导大家树立正确的婚姻观、生育观、道德观和发展观，倡导以计划生育、优生优育、男女平等、尊老爱幼等为主要内容的新型生育文化、两性文化和人口家庭文化。 ​​​​,2012-07-25 09:46,转发,评论,赞,微博 weibo.com,https://weibo.com/1254381263/yu30Jf7mZ
7,望塔园社区也组织社区的计生宣传员和小朋友参加了这次的启动仪式。,是,曙光街道在社区服务中心下沉广场举办了“曙光人口•家庭文化沙龙”启动仪式。海淀区计生委刘彦主任、曙光街道党工委书记苗燕荣、曙光街道办事处主任孙玉芝、副主任杨凡参加了启动仪式并讲话。活动主要以“儿童跳蚤市场”、“中华瑰宝书法展”、“幸福家庭图片展”、“30年回顾展”四个板块展开。 ​​​​,2012-07-25 09:45,转发,评论,赞,微博 weibo.com,https://weibo.com/1254381263/yu30c8nUK
8,"这也是今年望塔园社区计生的主线工作,社区根据街道计生办的总体策划,也陆续开展相应的活动。",是,标志整体由舞动的三口之家为设计元素，构成树干和果实，体现幸福家庭。同时叶子围成圆形树冠，体现沙龙追求圆满和谐之意。亲情树以家庭为支撑并在亲情的关怀下枝繁叶茂，硕果累累。 颜色上用绿、红、黄、蓝、橙五色。表现人生五期。O网页链接 ​​​​,2012-07-25 09:44,转发,评论,赞,微博 weibo.com,https://weibo.com/1254381263/yu2ZNjWlG
9,望塔园社区昨天举办了“国民体质测试”活动，对居民进行体质测试并提供健身方面的咨询和宣传。此次测试内容为身高、体重、肺活量、握力、反应时间、闭眼单脚站立、坐位体前屈等。参加测试的有60周岁以下的老、中、青各年龄段的人员。测试人员还在现场为居民们解读测试结果，进行了详细的健康咨询。 ​​​​,否,,2012-07-25 09:20,转发,评论,赞,微博 weibo.com,https://weibo.com/1254381263/yu2QehrAb
