序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,在9.25公开信发表32周年之际，为普及医疗健康与保健知识，方便社区广大居民就医，9月25日上午，远大园社区邀请四季青医院的医生在社区内举办了“义诊进社区，相约健康行”活动。本次医生进社区义诊活动，受到了群众的好评，收到了预期效果，促进了社区健康知识教育工作的开展。 ​​​​,否,,2012-09-25 16:32,转发,评论,赞,专业版微博,https://weibo.com/2647350063/yDwakcp9h
1,为了迎接国庆节和十八大的顺利召开，营造一个干净、卫生的社区环境，居委会组织社区党员、志愿者、计生宣传员等社区骨干人员，于2012年9月24日上午，开展了清除白色垃圾、小广告和清理花坛绿地杂物、清洁社区宣传栏及邮箱、清理废旧横幅等爱国卫生清洁活动. ​​​​,否,,2012-09-24 16:25,转发,评论,赞,专业版微博,https://weibo.com/2647350063/yDmHasdPO
2,近日，远大园社区居委会在社区多功能厅共同举办了“迎中秋•庆国庆”文艺联欢会。 此次演出内容丰富，有远大艺术团精心编排的大合唱、京剧联唱、有欢快的歌舞、还有搞笑的三句半节目，整个演出现场掌声不断、笑声连连，洋溢着节日欢庆的气氛。 ​​​​,否,,2012-09-24 16:15,转发,评论,赞,专业版微博,https://weibo.com/2647350063/yDmD3avwB
3,转发微博,是,【战史今日：九一八事变】1931年9月18日，日军在柳条湖制造假现场后，向北大营发起进攻，拉开了“九一八”事变的序幕。我大好东北三省短短数月沦丧敌手。81年后的今天，中国非当年之中国，世界亦非当年之世界。但九一八国耻不能忘！“不抵抗”政策之屈辱不能忘！望各位同胞牢记国耻，兴我中华！(高凯) ​​​​,2012-09-18 11:44,转发,评论,赞,微博 weibo.com,https://weibo.com/2647350063/yCqi22zIV
4,#请理性爱国#对日本侵犯我国主权行为，我们坚决反对；对损害同胞财产与感情行为，我们也绝不容许！今天，我们用理性宣示力量：我们愤怒，但不失去理智；我们呐喊，但不传播谣言；我们热血，但不盲从暴力！今天，从你我开始，用理性宣示力量。点击呼吁：O微博呼吁理性爱国 新浪微博-随时随地分享身边... ​​​​,否,,2012-09-18 11:42,转发,评论,赞,专题-理性爱国,https://weibo.com/2647350063/yCqhm4RWh
5,转发微博,是,#请理性爱国#对日本侵犯我国主权行为，我们坚决反对；对损害同胞财产与感情行为，我们也绝不容许！今天，我们用理性宣示力量：我们愤怒，但不失去理智；我们呐喊，但不传播谣言；我们热血，但不盲从暴力！今天，从你我开始，用理性宣示力量。点击呼吁：O微博呼吁理性爱国 新浪微博-随时随地分享身边... ​​​​,2012-09-18 11:42,转发,评论,赞,专业版微博,https://weibo.com/2647350063/yCqh43kOq
6,领土问题是国家的核心利益，一寸山河一寸血，半步也不能退让，不容谈判，谁想占我河山，唯有拼死捍卫，然而随着钓鱼岛事件争端的不断的升级大多数人对砸车、袭击日餐店、抵制日货的过激行为并不看好，钓鱼岛之争以及中日关系，错综复杂，希望这份爱国热情要做到冷静克制、理性...... ​​​​,否,,2012-09-18 11:31,转发,评论,赞,专业版微博,https://weibo.com/2647350063/yCqcNxR6C
7,民族情绪这个事，历朝历代都是个很难消解的东西，听说上海一车主烧毁自己的日系车，为什么？仇恨面前感情是占主导地位的，作为政府自然会从大局出发，妥善处理，但作为百姓，杀我同胞、掳我财产、辱我姊妹的仇恨绝不能忘。一寸山河一寸血，半步也不能退让，犯我中华者，虽远必诛！！——小娥 ​​​​,否,,2012-09-14 11:50,转发,评论,赞,专业版微博,https://weibo.com/2647350063/yBOCmeUDA
8,【健康资讯】在所有材质的杯子里，玻璃杯可是最健康的。玻璃杯在烧制的过程中不含有机的化学物质，当人们用玻璃杯喝水或其他饮品的时候，不必担心化学物质会被喝进肚里去，而且玻璃表面光滑，容易清洗，细菌和污垢不容易在杯壁孳生，所以人们用玻璃杯喝水是最健康、最安全的。 ​​​​,否,,2012-09-13 09:57,转发,评论,赞,专业版微博,https://weibo.com/2647350063/yBEsacPi4
9,转发微博,是,人生需要“归零”。每过一段时间，都要将过去“清零”，让自己重新开始。不要让过去成为现在的包袱，轻装上阵才能走得更远。人的心灵就像一个容器，时间长了里面难免会有沉渣，要时时清空心灵的沉渣，该放手时就放手，该忘记的要忘记。删除心灵的垃圾，每天刷新自己，这样才能重获新生。 ​​​​,2012-09-10 11:44,转发,评论,赞,专业版微博,https://weibo.com/2647350063/yBcSermyh
