序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@健康时报孟宪励: 转发微博,是,【颈椎病引发伪痴呆】颈椎病，尤其是椎动脉型颈椎病极易造成颈部通过的血流量减少，引发脑供血不足，使患者出现健忘、头晕等“伪痴呆”症状。健忘患者可先到神经内科、心脑血管科以及耳鼻喉科检查，排除其它原因后再到骨科就诊。但如果伴有眩晕、颈肩部僵硬等症状，基本可以肯定为有颈椎病“作祟”！ ​​​​,2012-09-22 19:09,13,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yD4UHwBad
1,转发微博,是,【6种衰老征象】①反应速度变慢，平衡、协调能力有所下降。②你会越来越矮，骨头也越来越脆；③肠道表面积会轻微缩小，便秘次数明显增加。④肾脏为血液清 除“垃圾”的能力下降。年过65，还将有10%的人会体验到尿失禁。⑤泪腺分泌的泪液越来越少，视网膜变薄，眼珠发黄，视力模糊；⑥深度睡眠减少。 ​​​​,2012-09-22 19:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yD4U7bWo8
2,转发微博,是,【最适合午餐的4种食物】1、西兰花-抗衰老和抗癌，营养全面丰富。2、鱼肉-最佳蛋白质来源，丰富且消化吸收，同时胆固醇低，热量低。3、洋葱-降脂食物，可清血，降低胆固醇，不易困倦。4、豆腐-蛋白质丰富，可助女性延缓衰老，补钙美容。更多健康资讯请点：O健康频道（康康） ​​​​,2012-09-22 19:06,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yD4ThrEIB
3,转发微博,是,【最适合午餐的4种食物】1、西兰花-抗衰老和抗癌，营养全面丰富。2、鱼肉-最佳蛋白质来源，丰富且消化吸收，同时胆固醇低，热量低。3、洋葱-降脂食物，可清血，降低胆固醇，不易困倦。4、豆腐-蛋白质丰富，可助女性延缓衰老，补钙美容。更多健康资讯请点：O健康频道（康康） ​​​​,2012-09-22 19:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yD4SxEuEo
4,转发微博,是,【8种生活方式易致癌】1.吸烟。肺癌、喉癌、食管癌与吸烟密切相关；2.饮酒；3.每天锻炼少于30分钟，久坐增加癌症风险；4.常饮含糖饮料。导致肥胖，肥胖是癌症的“罪魁”；5.蔬果摄入过少。果蔬可减少咽癌、食道癌；6.红肉摄入过多。增加胰腺癌、前列腺癌风险；7.盐摄入超量。8.缺乏母乳喂养。 ​​​​,2012-09-22 19:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yD4Sjtwud
5,转发微博,是,【宠物型儿童易成啃老族】家长对孩子有求必应，孩子很容易形成“宠物型人格”。“宠物型儿童”在进入青春期之后容易缺乏责任心，对周围的事情比较漠视，不喜欢劳动和创造，所以很难找到生活目标和成就感，精神上也难以得到满足，长大后成为“啃老族”的可能性也较大！via@呼吸科麻辣医生张永明  ​​​​,2012-09-22 19:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yD4RRpbGe
6,转发微博,是,【秋分饮食指南】秋分饮食方面要注意多吃一些清润、温润为主的食物，如芝麻、核桃、糯米等。在秋分时节，可适当多吃些辛酸味、甘润或具有降肺气功效的果蔬，特别是白萝卜、胡萝卜。秋分养生虽然以多吃“辛酸”果蔬为主，但也不可吃得太饱，以免造成肠胃积滞。更多健康资讯O网页链接  ​​​​,2012-09-22 19:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yD4RM6bz8
7,转发微博,是,【秋老虎天气喝绿豆汤可清热解秋燥】①秋老虎亦称之为秋燥，喝绿豆汤可缓解秋燥。②绿豆汤煮的时间不能太长，用大火煮沸15分钟即可。③喝绿豆汤时适当加点盐，还可补充人体因出汗过多而带来的矿物质流失。④若为清热解毒，最好把豆子煮烂，连汤带豆子一起吃，虽消暑效果较差，但清热解毒效果更强。 ​​​​,2012-09-22 19:01,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yD4RszLVL
8,转发微博,是,【如何判断炒菜油温是否合适】炒菜过火并不会增添多少美味，反而增加致癌物产生。炒菜过程中油温不能太高。有种方法可以判断油温是否合适：扔一小片葱花到锅里，如果葱花周围冒出大量的泡泡，就说明温度可以炒菜了；如果葱花变色了甚至变焦了，则说明温度过高。更多健康资讯O健康频道 ​​​​,2012-09-22 19:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yD4QXy7aF
9,转发微博,是,【推脾经孩子吃得香】脾经在拇指最上面一节平时按指纹的地方。孩子吃饭不香，家长可用拇指螺纹面顺、逆时针方向旋推其脾经，也可把孩子的拇指稍微弯曲一下，从指尖到指根，沿着侧面往下推。脾主运化，脾胃好，孩子的消化吸收一定不错。日常保健推100次即可，有的孩子瘦弱、吃饭不好，可推400-500次。 ​​​​,2012-09-22 18:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yD4QrlC8f
10,转发微博,是,,2012-09-22 18:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yD4Pi8Ja8
11,转发微博,是,【腹泻，选黄连？选藿香正气？】黄连性凉，黄连素等以黄连为主的中成药均用于湿热型腹泻，症状以“热”为主，表现为舌苔厚黄腻，大便黄褐色、味臭，伴腹痛，且肛门灼热甚至脓血便。藿香正气主要用于寒湿型腹泻，表现为舌苔白腻，呕吐泄泻，大便清稀甚至水样便，可伴有头痛昏重、食欲不振、轻微发烧等。 ​​​​,2012-09-18 18:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yCsRfwpJV
12,转发微博,是,【宝宝便秘，奶粉加点“料”】吃奶粉的宝宝比吃母乳的宝宝更容易便秘。这是因为奶粉中的乳糖含量不及母乳，导致婴儿肠腔内缺乏发酵物质，大便干燥。这时可以酌减奶粉总量，同时在奶粉里增加糖的含量，还可加些枣汁、白菜水等，刺激宝宝肠蠕动。 ​​​​,2012-09-18 18:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yCsR3pwR4
13,转发微博,是,【上班族保健：你的工作姿势正确吗】很多人工作时含胸驼背，看不清楚电脑就弓背伸头。长此以往导致颈椎、肩膀前屈，诱发腰背、颈椎疼痛。正确姿势：1选择高度、后背角度可调节的座椅；2坐时保持大腿和后背呈90度；3内收下巴，使胸腔和肩膀打开，有助于呼吸顺畅。4头、脖子和身体尽量朝正前方。（康康） ​​​​,2012-09-18 18:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yCsQWk2Oo
14,转发微博,是,【视频：第18期--控油限盐】 O网页链接  （分享自 @优酷网） ​​​​,2012-09-17 21:14,转发,评论,赞,专业版微博,https://weibo.com/2962070871/yCkB0kIUX
15,转发微博,是,【怎么洗苹果最干净彻底】苹果皮虽然很有营养，但连皮吃还是让人担心，下面就介绍一种简单健康的清洗苹果皮小窍门。将苹果放在水里浸湿，在其表皮放上一点盐，用双手握着苹果来回轻轻地搓，这样苹果表面的脏东西和残留物很快就能搓干净，然后放在水龙头底下冲洗干净即可。O网页链接（康康） ​​​​,2012-09-17 21:10,转发,评论,赞,专业版微博,https://weibo.com/2962070871/yCkzqfuZW
16,转发微博,是,【怎么洗苹果最干净彻底】苹果皮虽然很有营养，但连皮吃还是让人担心，下面就介绍一种简单健康的清洗苹果皮小窍门。将苹果放在水里浸湿，在其表皮放上一点盐，用双手握着苹果来回轻轻地搓，这样苹果表面的脏东西和残留物很快就能搓干净，然后放在水龙头底下冲洗干净即可。O网页链接（康康） ​​​​,2012-09-17 20:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yCkryE8se
17,//@北京海淀健康教育: 支持,是,【碘酒红药水别混用】皮肤擦伤，很多人都会涂碘酒或红药水，但这两种药千万别一起用。碘酒中的碘和红药水中的汞会发生化学反应，二者结合生成碘化汞，使消毒杀菌作用消失并刺激皮肤，引起皮肤红肿、水疱等。和红药水相比，碘酒的杀菌力更强。 ​​​​,2012-09-17 20:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2962070871/yCkq27Qb5
