序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,恭喜进入面试[呵呵],是,#通知公告#【海淀区2012年下半年考试录用公务员面试公告】面试时间：2012年10月10日—10月12日，面试地点：海淀区委党校（海淀区行政学院），携带材料：1.网上打印的报名表；2.身份证原件~具体内容请戳右边[最右]O网页链接 ​​​​,2012-09-28 10:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2405704391/yDVZkbEpi
1,[不要],是,#海淀新闻#一条长约一米，由千头山西忻州大蒜精心“打造”的黄河鲤鱼亮相海淀玉渊潭公园。山西忻州优质杂粮展示周活动正在这里举办，有600多年历史的中华烘焙老字号、非物质文化遗产自永和神池月饼正在展出。（自北京晚报） ​​​​,2012-09-25 16:39,转发,2,赞,微博 weibo.com,https://weibo.com/2405704391/yDwd2jg7A
2,截止目前，海淀区的百望山是4.5毫米,是,【雨情快播】9月25日8时至13时，北京全市平均降雨量2毫米，城区平均降雨量1毫米，降雨最大点顺义区向阳闸站10毫米；密云、官厅水库流域降雨分别为2毫米和3毫米。 ​​​​,2012-09-25 16:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2405704391/yDwcJq3Tn
3,坚决支持,是,【某房地产开发企业因未取得临时用水指标用水被处罚】日前，某房地产开发企业因未取得临时用水指标用水被处罚。经过调查发现，位于北京市海淀区的某建筑施工工地未取得临时用水指标用水。依据《北京市节约用水办法》第四十九条第二款之规定，市水政监察大队对其处以罚款壹万元的行政处罚。 ​​​​,2012-09-25 16:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2405704391/yDwaUvv8C
4,以后提前广而告之,是,"#区域共建#中国人民大学新闻学院院长、原国新办主任赵启正在海淀区中关村展示中心为300余名社区居民作“开拓公共外交的意义”讲座，拉开了人大75周年校庆“百场社区公益讲座”的序幕。赵院长的讲座深入浅出，异常生动，赢得了阵阵掌声,更让人感动的是，两个多小时的讲座，赵院长坚持站立进行。 ​​​​",2012-09-25 16:27,转发,评论,赞,微博 weibo.com,https://weibo.com/2405704391/yDw8gwOsh
5,会是9月的最后一场雨吗？,是,【晚安北京】9月25日升旗时间6:05，降旗时间18:07。夜间多云转阴，偏南1-2级，最低温度17℃；明天白天阵雨，最高气温23℃。明天冷空气将会光临京城带来阵雨降温，所谓一场秋雨一场寒，大家要适当增加衣服，记得带雨具哦。预计本周四还会迎来入秋后的第二场大风，不过大风之后，中秋节将回归到晴好天气 ​​​​,2012-09-25 04:40,转发,评论,赞,iPad客户端,https://weibo.com/2405704391/yDrviDU5b
6,转发微博,是,【21日早晨6点北京天气预报】今天白天阴转阵雨，北转南风二三级，最高气温25℃，最小相对湿度50%。夜间阵雨转阴，南转北风一二级，最低气温15℃，最大相对湿度90%。降雨使得路面湿滑，请注意交通安全。 ​​​​,2012-09-21 06:17,转发,1,赞,iPad客户端,https://weibo.com/2405704391/yCQqCu8B9
7,//@海淀区政府网站: 转发微博,是,【晴间多云，最高气温29℃】#北京你好#今日限行5和0，北转南风二三级，最小相对湿度25%。干燥的日子持续了近两周了，小雨的身影有可能出现在周五。不过就目前看，应该不会是所有人都有缘得见啊。预防秋燥，各位同学还是各家用各家的高招吧。 ​​​​,2012-09-20 09:24,1,评论,赞,微博 weibo.com,https://weibo.com/2405704391/yCIeelQEa
8,转发微博,是,#通知公告#【关于海淀区政府公共服务委员会变更办公地点相关事宜的公告 】现海淀区政府公共服务委员会（简称公共委）已搬迁至海淀区甘家口小区12号楼办公，海淀区卫生局机关值班室和公共委机关值班室合并，详情请戳右侧链接查看~[最右]O网页链接 ​​​​,2012-09-19 16:38,转发,1,赞,微博 weibo.com,https://weibo.com/2405704391/yCBDQw1Z3
9,好样的！,是,#传播正能量#【今天必须为这个孩子发条微博】转自网络上的一组图片：大街上，一路爱国抗日的游行队伍走过之后，一个学生默默的拾起游行队伍留下的垃圾。他，用实际行动告诉我们，爱国可以这样做！ ​​​​,2012-09-19 10:17,转发,1,赞,微博 weibo.com,https://weibo.com/2405704391/yCz9akZp7
