序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,又要下大雨了！,是,【北京明日下午到夜间有大雨到暴雨】北京市气象台今天17时发布预报：今天夜间阴天间多云，有雾，明天下午到夜间有大雨到暴雨，伴有雷电。降雨的时段主要集中在夜间，周日白天仍有阵雨，下午转晴。O网页链接 ​​​​,2012-08-31 19:44,转发,3,赞,iPhone客户端,https://weibo.com/2373496463/yzJK0oHUM
1,转发微博。,是,【燕京八景】#最IN北京#燕京八景是老北京著名的八处景点，哪位同学能一口气都说出来？请举手。哈哈哈，现在还是让小布来揭晓答案吧！它们是：太液秋风、琼岛春阴、 金台夕照、蓟门烟树、西山晴雪、玉泉趵突、卢沟晓月、居庸叠翠。至于它们具体的位置，在接下来几天中小布将一一为大家揭晓。 ​​​​,2012-08-31 19:43,转发,评论,赞,iPhone客户端,https://weibo.com/2373496463/yzJJt0EX9
2,电影进社区 ​​​​,否,,2012-08-31 19:42,转发,评论,赞,iPhone客户端,https://weibo.com/2373496463/yzJJ6xeun
3,转发微博。,是,#北京突发提醒#  【大雾黄色预警信号】市气象台30日22时30分发布大雾黄色预警信号: 未来12小时内本市平原地区可能出现能见度低于1000米的大雾天气，东部和南部的部分地区能见度可能小于500米，请注意交通安全。 @气象北京: ​​​​,2012-08-30 23:49,转发,评论,赞,iPhone客户端,https://weibo.com/2373496463/yzBUVrPmU
4,夏日文化广场，热热闹闹开场！ ​​​​,否,,2012-08-24 16:33,转发,评论,赞,iPhone客户端,https://weibo.com/2373496463/yyEuPkAAJ
5,垃圾减量垃圾分类从我做起 ​​​​,否,,2012-08-23 09:25,转发,评论,赞,iPhone客户端,https://weibo.com/2373496463/yysgJsKOl
6,警惕警惕,是,"【最新骗术】近日，有骗子自称快递公司人员，由于天气潮湿看不清地址、姓名，请你提供，然后投递上门送来包裹（假烟或假酒)，只要你签收，随后就有电话来：快递你已收了，必须按他们给的账户给钱,一般索要数万，如果不给，便会有讨债公司或黑社会上门要债。望您在签收快递时务必提高警惕！ ​​​​",2012-07-26 09:40,转发,评论,赞,iPhone客户端,https://weibo.com/2373496463/yucoQCsHO
7,//@北京全攻略:#北京快讯#北京市人大常委会决定任命王安顺为北京代市长,是,【北京市人大常委会决定任命王安顺为北京代市长】@头条新闻 北京市十三届人大常委会第三十四次会议今天上午决定，任命王安顺、李士祥为北京市副市长，会议决定任命王安顺为北京市代市长。 ​​​​,2012-07-25 10:28,转发,评论,赞,iPhone客户端,https://weibo.com/2373496463/yu3hIoWTb
8,转发微博。,是,【实时解读：北京最新雨势】北京今天的降雨成东西夹击之势，东部雨区较大。最新雷达显示，房山、门头沟、延庆、昌平部分地区已经出现降雨。预计未来2小时内，房山、门头沟和昌平西部将出现大于20毫米的降水，并伴随着雷电。 ​​​​,2012-07-25 10:24,转发,评论,赞,iPhone客户端,https://weibo.com/2373496463/yu3gnkrfb
9,,是,2012年海淀区社区防范处理邪教工作培训ing... ​​​​,2012-07-25 10:24,转发,评论,赞,iPhone客户端,https://weibo.com/2373496463/yu3g0BHXj
10,转发微博。,是,【遇暴雨躲开30处积水区（一）】京港澳高速南岗洼、大红门桥下西、玉泉营北铁道桥下、大瓦窑桥下、莲花桥下、方庄桥下、六里桥、正阳桥下、木樨园桥下、赵公口桥下、西站北广场隧道、会城门桥南铁道桥下、科丰桥下、杜家坎西侧、岳各庄桥南北向南主路（丰台）；金安桥下、麻峪桥下（石景山）@京华时报 ​​​​,2012-07-25 10:23,转发,评论,赞,iPhone客户端,https://weibo.com/2373496463/yu3fKDAsd
11,今天外出的朋友一定要注意安全。,是,【实时解读：北京最新雨势】北京今天的降雨成东西夹击之势，东部雨区较大。最新雷达显示，房山、门头沟、延庆、昌平部分地区已经出现降雨。预计未来2小时内，房山、门头沟和昌平西部将出现大于20毫米的降水，并伴随着雷电。 ​​​​,2012-07-25 10:20,转发,评论,赞,iPhone客户端,https://weibo.com/2373496463/yu3eFxXvo
12,北京北京，加油加油！,是,#爱心接力*北京加油#北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！ 北京加油！！  ​​​​,2012-07-21 22:50,转发,评论,赞,iPad客户端,https://weibo.com/2373496463/ytwqW4DmC
13,转发微博,是,#北京提醒#@北京卫生监督 北京暴雨，在此提醒农村地区采用自备水源井作为水源的大家提高警惕，做好防护工作，防止雨水冲击使异色物质进入水井或通过破损管道渗入村中供水管线而使水染异色。如您发现水质异样，请立即拨打12320向我们反映情况！@首都健康 @北京12320在聆听 ​​​​,2012-07-21 22:49,转发,评论,赞,iPad客户端,https://weibo.com/2373496463/ytwqyq1mK
