序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,"近日社区召开残疾人趣味运动会，比赛项目有，夹乒乓球、水上漂、赶球进门等，到会者非常积极踊跃参加每一项活动,愉悦心身。 ​​​​",否,,2012-09-06 09:39,1,评论,赞,微博 weibo.com,https://weibo.com/2519691092/yAAlgcw8W
1,"近日社区召开了残疾人换届选举大会,社区残疾人代表,部分家长参加,大会选举出新一届领导班子. ​​​​",否,,2012-09-06 09:21,转发,评论,赞,微博 weibo.com,https://weibo.com/2519691092/yAAe5uuYi
2,近日，社区林园健身场在街道的关心下安装完毕，为社区居民有提供了一个休闲、锻炼、交流的场地。 ​​​​,否,,2012-09-06 09:01,转发,评论,赞,微博 weibo.com,https://weibo.com/2519691092/yAA61ehbK
3,转发微博,是,"近日社区召开残协换届选举大会,并取得圆满成功 ​​​​",2012-08-29 09:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2519691092/yzmTdt4eK
4,转发微博,是,"前日人民大学社区举办了残疾人趣味运动会,比赛项目有夹乒乓球、水上漂、赶皮球等，参加活动的居民兴致勃勃参加了比赛，活动受到社区居民欢迎。 ​​​​",2012-08-29 09:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2519691092/yzmT8qSON
5,"前日人民大学社区举办了残疾人趣味运动会,比赛项目有夹乒乓球、水上漂、赶皮球等，参加活动的居民兴致勃勃参加了比赛，活动受到社区居民欢迎。 ​​​​",否,,2012-08-28 16:43,1,评论,赞,微博 weibo.com,https://weibo.com/2519691092/yzggT6Fqo
6,"近日社区召开残协换届选举大会,并取得圆满成功 ​​​​",否,,2012-08-28 16:18,1,评论,赞,微博 weibo.com,https://weibo.com/2519691092/yzg6Z4ayq
7,人民大学社区举办“安正杯”家庭消防知识竞赛，社区消防积极分子参加了笔试。 ​​​​,否,,2012-08-28 14:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2519691092/yzfyIaFsX
8,"我上传了5张照片到专辑""共创文明城市启动大会"" O网页链接 ​​​​",否,,2012-08-24 14:48,转发,评论,赞,微相册,https://weibo.com/2519691092/yyDOjf41g
9,转发微博,是,人大社区利用学校资源计算机房，暑期请信息系老师义务为社区居民讲授计算机知识，由浅入深，答疑解惑，深受居民欢迎，讲座还将继续下去。 ​​​​,2012-08-24 14:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2519691092/yyDy0Erv1
