序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,明天是＂九一八＂   正视历史，理性爱国 好么？好的！ ​​​​,否,,2012-09-17 19:15,2,评论,赞,iPhone客户端,https://weibo.com/2647375861/yCjOGBKgi
1,孩纸们！下雨啦！！！快小跑回家收衣服[自行车],是,#出行提示#本市部分地区已经开始飘起小雨，通心粉们，路面湿滑，请您注意安全出行。 ​​​​,2012-09-06 18:33,转发,评论,赞,iPhone客户端,https://weibo.com/2647375861/yADPTbMqe
2,角落里的画笔，落满灰尘的球拍 你还记得最初的梦想么？周一 阴天 早安 ​​​​,否,,2012-08-20 09:17,转发,评论,赞,微博 weibo.com,https://weibo.com/2647375861/yxZVS1X7a
3,社区的小型人偶展~[din爱你] ​​​​,否,,2012-08-17 10:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2647375861/yxyfMaSxE
4,小胖！小胖！！金牌能换很多土豆~王导不会嫌你吃的多了~,是,【第32金！冯喆夺奥运会体操男子双杠金牌】O网页链接 伦敦奥运会体操男子双杠决赛，冯喆以15.966分夺得金牌！这是@冯喆小胖 在伦敦奥运会上拿到的第二枚金牌，是中国体操队在伦敦奥运会上得到的第3金，也是中国代表团在伦敦奥运会上得到的第32金！ ​​​​,2012-08-07 21:46,转发,评论,赞,iPhone客户端,https://weibo.com/2647375861/yw6hrybl8
5,这小哥还自带横幅啊~可以的~ ​​​​,否,,2012-08-05 21:40,转发,评论,赞,iPhone客户端,https://weibo.com/2647375861/yvNoc73Ix
6,超级丹~爆发吧,是,【林丹逆转李宗伟夺中国第26金】O网页链接 伦敦奥运羽毛球男单决赛一场万众瞩目的天王对决，中国选手林丹在15-21先失一局的情况下以21-10和21-19连扳两局，2-1战胜马来西亚选手李宗伟，夺得中国代表团第26金。林丹也成为历史上首个卫冕奥运羽毛球男单冠军的选手。 ​​​​,2012-08-05 21:32,转发,评论,赞,iPhone客户端,https://weibo.com/2647375861/yvNkYkVT6
7,神马黑蚂蚁红蚂蚁大蚂蚁小蚂蚁~~~受死吧[ppbbibi] ​​​​,否,,2012-08-02 09:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2647375861/yvghxxztj
8,~~~这样下着，我们会不会进化出鳃？~早安~~卟噜卟噜~~~~,是,【北京天气：白天小雨持续】雨一直下，气温也一路下滑，8月初的北京竟有了一丝秋天的味道。今晨6点的气温在20℃左右，非常凉爽，大家出门要适当增加衣物，短袖短裤有些招架不住。预计今天白天有小雨，东部小到中雨，最高气温只有24℃，外出还是要带上雨伞，出行注意交通安全。O网页链接 ​​​​,2012-08-01 09:42,转发,评论,赞,iPhone客户端,https://weibo.com/2647375861/yv6Ysq1cn
9,[din分身1][din分身2] ​​​​,否,,2012-07-31 15:06,转发,评论,赞,微博 weibo.com,https://weibo.com/2647375861/yuZFvdmK9
10,[群体围观]//@海淀街道立新社区: //@海淀区政府网站: 转~//@安居北京: 路面沉降抢修电话88465055，存在手机里会有用。,是,#媒体报道#交通部门提示，如果平整的路面出现缓慢沉降的迹象，可能是地下有土体病害的先兆。市民可拨打88465055等抢修电话。如果市民驾车陷入路面的坑中，应先保证人员的安全撤离，再拨打电话报警，或联系救援车。O网页链接 ​​​​,2012-07-31 15:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2647375861/yuZE7eniZ
11,,是,【伦敦奥运中国首金诞生】刚结束的伦敦奥运会射击女子十米气步枪的决赛中，中国选手易思玲以502.9环夺冠，这是中国体育代表团的首枚金牌，也是本届奥运会的首枚金牌。O网页链接 ​​​​,2012-07-28 19:57,1,评论,赞,iPhone客户端,https://weibo.com/2647375861/yuzid7y57
12,下班都回家~哪也别瞎跑~大家说好么？好的！[同意],是,【傍晚到夜间还将有明显降雨 注意加强防范】25日11时北京气象信息：目前北京部分地区已经开始下雨，下午有时有阵雨，傍晚到夜间有大雨，东部地区将出现暴雨，气温29到23℃。目前土壤饱和沟渠较满，极易引发内涝，请注意出行安全。驾车不要去低洼地区或山区，以减少安全隐患。 ​​​​,2012-07-25 11:39,1,评论,赞,微博 weibo.com,https://weibo.com/2647375861/yu3KQoOGL
13,想说点什么又不知道还能怎么说~,是,#悼念北京暴雨遇难者#7月21日，北京遭遇61年以来最大暴雨，37人遇难。在这场暴雨中，无数人用自己的方式参与爱心互助，有人获救，也有人离去。请大家点一支蜡烛，愿逝者安息，生者坚强。 O网页链接 (微吧长微博) ​​​​,2012-07-24 09:20,转发,评论,赞,话题-悼念北京暴...,https://weibo.com/2647375861/ytTpHnCOI
14,孩纸们啊~会游泳的出门记得换泳衣，不会游泳的就不要瞎跑了。。。 ​​​​,否,,2012-07-21 18:23,转发,评论,赞,iPhone客户端,https://weibo.com/2647375861/ytuGDA7Is
