序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,2012年8月25日上午，合建楼居委会召集楼门长进行花园除草，经过一个半小时的劳动，花园里的杂草清理的干干净净，为了给居民一个干净凉爽舒适的乘凉环境，大家不计个人得失，只有一个念头就是让大家的居住环境越来越好。为我们的社区居民做最好的服务。 ​​​​,否,,2012-09-26 16:50,4,评论,赞,专业版微博,https://weibo.com/2655355655/yDFI4tFOb
1,转发微博,是,【温家宝在外交学院讲话称钓鱼岛问题不退让】国务院总理温家宝10日在外交学院发表讲话时表示，中国政府和人民比任何人都珍惜来之不易的国家主权和民族尊严，即使在极其艰难困苦的情况下，也是铮铮铁骨。钓鱼岛是中国固有领土，在主权和领土问题上，中国政府和人民绝不会退让半步。O网页链接 ​​​​,2012-09-12 15:46,转发,评论,赞,微话题-钓鱼岛是...,https://weibo.com/2655355655/yBxj4kodb
2,我社区倒座庙2号楼6门一老人。前几天晚上遛弯时，不幸被蜱虫叮咬，后经空军医院治疗，取出蜱虫。知道此事后，主任及居干们去老人家探望，老人身体很好，并无大碍。 ​​​​,否,,2012-08-20 16:31,1,1,赞,微博 weibo.com,https://weibo.com/2655355655/yy2M2x61S
3,8月17日下午，合建楼社区“和谐杯”乒乓球赛在社区活动室举行，赛场上，无论是八旬老人，还是中小学生，打起球来都不甘示弱，充分展示了各自的风采，赛出了友谊，赛出了水平。整场比赛气氛热烈、和谐。观众和选手们纷纷表示希望多参与此类活动，以加强身体锻炼，活跃暑期生活。 ​​​​,否,,2012-08-20 16:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2655355655/yy2KQEuaG
4,我社区77号院2号楼有一处装修垃圾，为了居民的健康安全，防止细菌繁殖，居委会决定自行清理。经过三个小时努力，共清理10小车垃圾，随后用消毒液喷洒在地面上，并张贴出通知，告诉居民们共同维护我们的居住环境卫生。 ​​​​,否,,2012-08-14 14:58,转发,评论,赞,微博 weibo.com,https://weibo.com/2655355655/yx7Bbd0QZ
5,我社区77号院1号楼有11个天井，10日下午2点卫生委员和77号院保洁陈师傅共同清理天井。经过两个半小时的努力，全部清理干净。虽然天气闷热，垃圾气味难闻，但是给居民们创造一个舒心的、干净的居住环境是我们义不容辞的工作。 ​​​​,否,,2012-08-14 14:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2655355655/yx7y2uEnA
6,2012年8月07日上午，合建楼社区进行了花园除草。大家一起来到花园内，有的用筢子将拔出的草拢到一起，不好装袋子，就用手将杂草装进袋子，手和胳膊都被剌出一道道血印子，有的用铁锨将枯树根挖掉，大家的头发、衣服都被汗水浸湿了，经过一个半小时的劳动，花园里的杂草清理的干干净净 ​​​​,否,,2012-08-10 17:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2655355655/ywwQM2xeu
7,2012年8月6日上午，我社区居干门一起进行花园打药灭蚊行动。早上8：30分，大家一起将灭蚊药稀释后，装进喷药器里，喷药瓶不够使，大家索性用大饮料瓶代替，在瓶盖上扎好眼，直接喷洒在草坪里。 ​​​​,否,,2012-08-10 17:10,转发,1,赞,微博 weibo.com,https://weibo.com/2655355655/ywwL0aLF6
8,//@海淀区政府网站:#温馨提示# 给大家提个醒儿~,是,北京连日大雨，池塘、湖泊、河道内的水涨了不少，岸边的土壤也变的松软、湿滑，这时走在岸边，可要小心了，脚一滑就有可能跌进水里。常在河边走，哪有不湿鞋啊，建议您这几天离河岸远点儿。尤其小孩子玩心大，见水就高兴，又是暑假，大人可要叮嘱孩子不要在这些“危险地带”玩耍，以免发生危险。 ​​​​,2012-08-01 10:08,转发,评论,赞,政府版微博,https://weibo.com/2655355655/yv79fs1jR
9,今天凌晨，雷声、叶诗文和林清峰?0分钟内分别在男子花剑、女?00米个人混合泳和男子举重连夺三金?20O网页链接 ​​​​,否,,2012-08-01 10:03,转发,评论,赞,分享按钮,https://weibo.com/2655355655/yv77fDoig
10,多年来，合建楼社区党委居委会，将救助政策落实到每个生活困难家庭，尤其是在子女学业上给予最大的物质上的帮助与精神的支持。今年，本社区一低保家庭子女实现了上大学的梦想，7月23日，其家人送来锦旗，表达党和政府的感激之情。 ​​​​,否,,2012-07-27 16:03,转发,1,赞,微博 weibo.com,https://weibo.com/2655355655/yuokC1etW
11,//@海淀区政府网站:又要轮换了~注意咯~//@海淀在线: 各位开车的童鞋注意啦,是,#温馨小贴士#自7月9日起限行机动车车牌尾号将进行轮换，7月8日至10月6日，星期一至星期五限行尾号分别为：2和7、3和8、4和9、5和0、1和6（含临时号牌，机动车车牌尾号为英文字母的按0号管理）。小编提醒您，7月6日星期五和7月9日周一的停驶尾号都是2和7，因此这两个车号将连续两个工作日限行。 ​​​​,2012-07-06 15:23,转发,评论,赞,政府版微博,https://weibo.com/2655355655/yrc5Zj77g
12,//@海淀区政府网站:【阶梯电价如何买电】[群体围观],是,,2012-07-06 14:28,转发,评论,赞,政府版微博,https://weibo.com/2655355655/yrbJE43Qc
