序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,为创建文明城区，社区挂宣传横幅，社区居民会以实际行动共同为创建海淀区的文明形象而努力 ​​​​,否,,2012-09-27 14:08,转发,评论,赞,专业版微博,https://weibo.com/2649440641/yDO573O2P
1,关注[xb眼镜]社区白蛾情况，搞好预防工作 ​​​​,否,,2012-09-21 11:09,转发,评论,赞,专业版微博,https://weibo.com/2649440641/yCSlorspB
2,转发微博,是,【最短命的活法】1.长时间对着电脑 2.晚上十一点以后睡觉 3.不能保证睡眠时间 4.极度缺乏体育锻炼 5.有病不求医 6.吃饭口味偏重，特别喜食咸的和辣的 7.不饿不吃，不困不睡，不累不息 8.与家人缺少交流 9.长时间用手机打电话，享受近距离辐射 10.三餐饮食无规律。赶紧转给自己在乎的人吧。 ​​​​,2012-09-20 16:20,转发,评论,赞,专业版微博,https://weibo.com/2649440641/yCKWWtpPs
3,//@北京消防: 掌握一定的消防安全知识是很必要的哦。[带感],是,【家中发生火灾10岁男孩冷静处置 火势未蔓延】近日，洛阳一小区发生火灾，消防官兵赶到现场扑救，发现除了客厅里的电视机和空调室内机被烧毁，其他地方均未着火。当时只有10岁的孩子在家，他想到开学典礼上消防队的阿姨教导，果断切断电源并及时报警，避免了更大的损失。了解消防小常识，安全用处大哦~ ​​​​,2012-09-12 10:07,转发,评论,赞,专业版微博,https://weibo.com/2649440641/yBv5xjphA
4,社区又要放映电影啦，欢迎社区居民都来观影哦！ ​​​​,否,,2012-09-04 16:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2649440641/yAk0I1dKr
5,【社区文教】今天上午，我社区文教委员带领三名社区中小学生一起参加了街道举办的“周末社区大讲堂——远离毒品，珍爱生命”讲座。大家认真听讲，收益很大~[奥运金牌] ​​​​,否,,2012-08-09 16:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2649440641/ywmZi5thV
6,【社区廉政】为了给大家营造一个良好的居住生活环境，邀请广大社区居民，尤其是喜爱上网的社区青少年，一起做好社区廉政的舆论监督工作。用你们的“慧眼”时刻监督我们、督促我们，让我们的社区更干净、更优美！ ​​​​,否,,2012-08-09 15:58,转发,评论,赞,微博 weibo.com,https://weibo.com/2649440641/ywmR20jJH
7,【社区文教】为了丰富社区中小学生的暑假生活，我社区特举办 “少儿手工、画画班”。有想参加的同学和家长，请及时关注社区楼门前的通知哦！ ​​​​,否,,2012-08-07 16:25,转发,1,赞,微博 weibo.com,https://weibo.com/2649440641/yw4b0wGTb
8,【社区文教】由市委组织部、市委宣传部和北京广播电视台共同拍摄的系列影片，《为你而歌》（第十部）共12集，将要播放。首播时间——8月6日至8月17日在北京电视台卫视频道每晚18:10播出，重播时间——科教频道8月13日至8月24日每晚18:49播出。请广大党员和入党积极分子及时观看！ ​​​​,否,,2012-08-07 16:21,转发,评论,赞,微博 weibo.com,https://weibo.com/2649440641/yw49qqk0F
9,转发~~活动举办得好,是,近日，海淀街道温馨家园举办了模拟保龄球比赛，近100名残疾人选手参加了激烈角逐，场面温馨而激烈。 ​​​​,2012-08-07 14:22,1,1,赞,微博 weibo.com,https://weibo.com/2649440641/yw3nkjvsE
10,转发，深刻悼念,是,"#悼念亲人 致敬英雄#截至22日17时,7.21北京暴雨已致37人死亡。在抗击暴雨过程中:燕山公安分局向阳路派出所所长李方洪在救援被困群众时不幸牺牲,密云大城子镇镇长李建民、房山韩村河镇副镇长高大辉、房山长阳供水厂抢险队郭云峰牺牲在抗灾一线……让我们在微博上点燃蜡烛,向逝者致哀!向英雄致敬! ​​​​",2012-07-23 17:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2649440641/ytN6l2FET
11,转发，请大家关注,是,#安居速递#大雨之后，小区内电梯和电气设备间可能积水、漏水。今天，市物业管理行业协会通过“安居北京”公布小区共用设施设备紧急维修咨询热线：63397262；63397002；63396255；63397860(传真)，有需要的物业企业和业主可以求助。协会还针对易发情况制定了故障处理办法，大家可到www.bpma.org.cn查询 ​​​​,2012-07-23 16:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2649440641/ytMXl95yJ
12,【社区关注】海淀区2012年度兵役登记活动开始咯！！请社区男性公民多关注公告内容，被通知到的18周岁男性公民及时进行网上登记，19~22岁男性公民及时进行核验和补登。不要错过时间哦~ ​​​​,否,,2012-07-23 14:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2649440641/ytM7GzPhe
13,【社区文教】中小学生暑期社会实践开始咯~~~~请要参加暑期社区实践的同学们，先提前将社会实践表交到居委会来哟！暑假其他活动，敬请大家多关注社区通知[cai开心] ​​​​,否,,2012-07-23 14:37,转发,评论,赞,微博 weibo.com,https://weibo.com/2649440641/ytM3Jl0dP
14,【社区文教】社区又要放映电影啦，欢迎社区居民都来观影哦！ ​​​​,否,,2012-07-23 13:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2649440641/ytLKpp1cP
