序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,发表了博文 《北京市海淀区人民政府征兵办公室公告》 - 北京市海淀区人民政府征兵办公室 公  告 根据《中华人民共和国兵役法》和《北京市征兵工作条例》有关规定，现将海淀区二〇一二年度兵役登记有关事项公 O网页链接 ​​​​,否,,2012-07-18 14:44,转发,评论,赞,新浪博客,https://weibo.com/1665987945/yt0YfwS2e
1,发表了博文 《海淀南路南社区关于“安正杯”家庭消防安全知识竞赛活动的通知》 - 海淀南路南社区关于“安正杯”家庭消防安全知识竞赛活动的通知   社区居民朋友、物业单位员工： 你们好！ 由首都精神文明建 O网页链接 ​​​​,否,,2012-07-10 15:10,1,评论,赞,新浪博客,https://weibo.com/1665987945/yrNIW3DUT
2,转发微博,是,北京市2012年用人单位申报安排残疾人就业情况和征缴残疾人就业保障金通告 O网页链接 ​​​​,2012-07-09 11:04,转发,评论,赞,微博 weibo.com,https://weibo.com/1665987945/yrCGn3IZa
3,各位家长暑期要看好自己的孩子！不要去危险水域游泳！,是,【本市进入溺水事故高发期】#生活提示# 7到9月份是本市溺水高发期。发生溺水事故的地点通常都在郊区河道。比如京密引水渠、潮白河、昆玉河等都是野泳比较集中又容易发生溺水事故的地点。提醒广大市民，特别是中小学生家长，假期不要让孩子在非指定区域河道内游泳或玩耍，以免发生意外事故。 ​​​​,2012-07-09 10:00,转发,评论,赞,微博 weibo.com,https://weibo.com/1665987945/yrCgueUg6
4,收到~,是,【蚊子叮咬破皮别喷花露水】太阳公公这两天很给力，蚊子们大量活动了。被蚊子叮后皮肤会留下创口，加上很多人会因痒挠破皮肤。这时如果大量喷洒花露水，酒精、驱蚊酯会直接通过创口刺激皮肤，不但不能减轻炎症，反而会加重皮肤损伤。正确的方式：用肥皂水或小苏打水冲洗，疗效8错。 ​​​​,2012-07-09 09:58,转发,评论,赞,政府版微博,https://weibo.com/1665987945/yrCfykUxq
5,转发微博,是,【未来3个月全市入户灭蚁】 #提醒#家里有小蚂蚁捣乱吗？即日起至9月30日，市爱卫办启动了全市首次统一集中灭蚁行动。未来三个月，市民均可向居委会预约登记，专业人员将免费入户灭蚁。要提醒大家的是这次活动全程都有居委会的人员陪同。大家可以先给居委会打电话了解。 ​​​​,2012-07-09 09:56,转发,评论,赞,微博 weibo.com,https://weibo.com/1665987945/yrCeS4uiA
6,下雨也不凉快。。,是,【北京天气：昨夜暴雨 今天东部有小阵雨】昨夜北京出现雷雨，降水集中在城区，最大出现在朝阳奥体中心101.6毫米，大暴雨啊！目前雷雨云带主体已移出，但天空阴沉、雾气弥漫，大家出门要注意安全。预计今天白天阴天间多云，东部有小阵雨，并有雾，最高气温30℃，夜间阴有雷雨。O网页链接 ​​​​,2012-07-09 09:26,转发,1,赞,微博 weibo.com,https://weibo.com/1665987945/yrC2S1nYF
7,发表了博文 《海淀南路南社区入户签订《家庭拒绝邪教承诺卡》》 -  海淀南路南社区入户签订《家庭拒绝邪教承诺卡》   2012年7月3日至4日，海淀南路南社区深入社区各楼、院入户签订《家庭拒绝邪教承诺 O网页链接 ​​​​,否,,2012-07-07 09:38,转发,评论,赞,新浪博客,https://weibo.com/1665987945/yrjgKAmQ6
8,发表了博文 《海淀南路南社区开展2012年“共产党员献爱心”捐献活动》 - 海淀南路南社区开展 2012年“共产党员献爱心”捐献活动 2012是建党91周年，在“七一”前后，海淀南路南社区党支部组织开 O网页链接 ​​​​,否,,2012-07-07 09:32,转发,评论,赞,新浪博客,https://weibo.com/1665987945/yrjeglSBP
9,一路走好！！！,是,#优酷独家#陈佩斯送走了老爷子。陈强老师一路走好。 ​​​​,2012-07-04 10:53,1,1,赞,微博 weibo.com,https://weibo.com/1665987945/yqRtsiZSJ
