序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【白天小到中雨，伴有雷电 夜间中到大雨】25日7时北京气象信息：今天白天阴，午后有小到中雨，夜间阴有中到大雨，气温29到23℃。经过21-22日强降雨，土壤饱和，河塘、水库、沟渠较满，这次降雨极易引起新的灾害，请及时收听收看北京气象信息及路况信息，提高警惕，尽量不到远郊去，确保安全。 ​​​​,2012-07-25 10:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2649659713/yu3tpe9oM
1,开车的朋友请小心这些路段//@文明北京: 北京今天再迎强降雨，你知道有哪些积水路段吗？//@北京交通广播: //@1039Luo: 转发微博,是,北京今天再迎强降雨，你知道有哪些积水路段吗？ (详见长微博) ...  O网页链接  （分享自 @长微博原文） ​​​​,2012-07-25 10:54,1,评论,赞,微博 weibo.com,https://weibo.com/2649659713/yu3sf6Rhc
2,转发微博,是,#出行提示# 今日13时，市气象台发布雷电黄色预警，[闪电]预计未来6小时内，本市自北向南将先后出现雷雨天气，局地短时雨量较大，请朋友们做好防雨、防雷电准备。[雨伞] ​​​​,2012-07-11 14:48,转发,评论,赞,微博 weibo.com,https://weibo.com/2649659713/yrX0z0fCv
3,转发微博,是,2012年7月11日是世界人口日[cai晃头]，今年的活动主题是“关爱流动人口的健康”。关注人口，关心健康，我们在行动。 ​​​​,2012-07-11 09:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2649659713/yrV3W6at8
4,开车的朋友要注意。。。,是,#夏季小心这些车载“危险品”#车载香水、罐装碳酸饮料和空气清新剂等物件放于车内，随着太阳暴晒车内气温急剧飙升，可能导致二氧化碳喷涌而出，产生爆炸危险。CD光盘主原料的聚碳酸酯中含有大量的双酚A和苯，遇高温散发的气体对人体有害，车内的老花镜、电池等也是引发汽车自燃的危险因素。@私家车107 ​​​​,2012-07-09 09:43,1,评论,赞,微博 weibo.com,https://weibo.com/2649659713/yrC9CqUSz
5,转发微博。,是,虽然我们知道现在停车位很紧张，但还是要呼吁大家不要将车停到消防队门口，这样会影响我们出警、拖延救援时间。希望大家帮忙扩散，请大家让开生命通道！ ​​​​,2012-07-09 09:37,转发,评论,赞,政府版微博,https://weibo.com/2649659713/yrC7gtqvV
6,转发微博,是,“八戒”养心法。1戒躁—别轻易发脾气。2戒卑—别认为处处不及旁人。3戒傲—别总是自鸣得意，需知山外有山。4戒妒—别妒忌别人，总希望别人栽跟头。5戒愁—不要生活在忧虑中。6戒慎—不要提心吊胆。7戒悲—别让不幸的事常浮现。8戒疑—别总以为别人暗算自己。 ​​​​,2012-07-08 21:11,转发,评论,赞,Xperia neo MT15i,https://weibo.com/2649659713/yrxex7Tu6
7,喜欢的朋友可以去看看,是,#魅力朝阳#【奥林匹克森林公园百亩葵花绽放 游客可免费前往观赏】奥林匹克森林公园百亩向日葵进入盛花期。7月3日起，游客可前往免费观赏这片城区最大的向日葵园。向日葵园位于森林公园北园花田野趣景区，目前正处于赏花最佳时节。向日葵的花期为一个月左右，想去的朋友们不要错过啦！（图片来自网友） ​​​​,2012-07-06 16:05,转发,评论,赞,政府版微博,https://weibo.com/2649659713/yrcndwxo1
8,转发微博。,是,【阶梯电价如何买电】7月1日起阶梯电价开始实施。对于预付费用户以年为计算周期，您可以购买（240度×12个月）2880度一档电。如果一年没用完，已购买的电明年可继续使用，第二年依然可以购买2880度一档电。但未购买的额度不累积。因为今年还有半年，一档电为1440度。如误买大量高档电，未输入电表可退。 ​​​​,2012-07-06 09:38,转发,评论,赞,政府版微博,https://weibo.com/2649659713/yr9Qcw8uA
9,转发微博,是,#防盗知识之六#在窗户外您可安装护栏铁栅，且最好制成“井”字形。若没有安装护栏您可采用单扇移窗防盗法：即您可在移窗的滑槽内放一条质地坚硬的填充物，如木条、瓷条等，可有效防止窗户从外被打开。选择适合的填充物长度在睡觉前放置即可，您便可安心进入梦乡。 ​​​​,2012-07-05 11:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2649659713/yr1fq1YmE
