序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,北京进入最堵周,是,#北京突发提醒#【北京进入全年最堵周】受开学、中秋、国庆走亲访友，外地车密集进京等多方面影响，今天起北京将进入传说中的“全年最堵周”！26日起北京市内极有可能变成一个大停车场…周三限行4、9，限行数量最少，周四是节前第三天，周五晚高峰且节前第二天，周六工作日、不限行、节前最后一天 ​​​​,2012-09-24 14:46,转发,评论,赞,专业版微博,https://weibo.com/2643699813/yDm2Esvmf
1,关爱流动妇女健康，街道计生办组织各社区流动育龄妇女免费孕检！ ​​​​,否,,2012-09-18 15:24,转发,评论,赞,专业版微博,https://weibo.com/2643699813/yCrJaB9Su
2,敏感期，社区志愿者点位巡逻... ​​​​,否,,2012-09-18 10:03,转发,评论,赞,Weico.iPhone,https://weibo.com/2643699813/yCpCT4oGk
3,今日上午，海淀街道陈国企主任一行来到我社区，和社区工作人员一起，了解民情，倾听民意，关心社区建设，谋求解决最迫切的民生问题。 ​​​​,否,,2012-09-17 14:36,转发,2,赞,专业版微博,https://weibo.com/2643699813/yChZnA8wV
4,,是,iPhone5 简直弱爆了，iPhone20 更轻更长更耐用。。。（via：@上街里） ​​​​,2012-09-13 17:24,转发,评论,赞,Weico.iPhone,https://weibo.com/2643699813/yBHnG3SFm
5,//@海淀街道苏州街路社区: //@文明北京: #便民消息#这个好，广征民意,是,【征集民意】从今天开始，“北京市2013年为群众拟办重要实事”开始向社会公众征求意见与建议，涉及教育、医疗、社保、养老等多个民生方面。公众可以把自己的意见建议寄往：北京市东城区台基厂大街3号 北京市政府人民建议征集办公室收，并在信中留下姓名和联系电话。 ​​​​,2012-09-10 15:44,转发,评论,赞,专业版微博,https://weibo.com/2643699813/yBerD7ADl
6,各位老师们节日快乐,是,教师节的来历：尊师重教是中国优良传统，早在公元前11世纪的西周时期，就提出“弟子事师，敬同于父”。教师节，旨在肯定教师为教育事业所做的贡献。1985年，第六届全国人大常委会第九次会议同意了国务院关于建立教师节的议案，会议决定将每年的9月10日定为教师节。1985年9月10日，是中国第一个教师节。 ​​​​,2012-09-10 08:17,转发,评论,赞,Weico.iPhone,https://weibo.com/2643699813/yBbw2CLM7
7,//@海淀在线: 租房的童鞋看过来，这个粉有用！[带感],是,会上，市工商局公布了房地产经纪行业首批10种不公平格式条款，并提醒广大消费者，在签订租房合同或二手房买卖合同时，尽量选择从“北京工商”网站上下载的合同示范文本；使用中介提供的合同时，如发现存在此10种不公平格式条款，可拒绝签订并向12315热线投诉或举报，我们将依法予以处理。 ​​​​,2012-09-06 11:50,转发,评论,赞,Weico.iPhone,https://weibo.com/2643699813/yABchheTL
8,//@滅絕小師太倪小賤求女王范儿: //@一本书一句话一段情:冰箱食物存放期，不知道的补补,是,不同食物在冰箱里存放的时间限度，为了健康，好好补补课吧！（转） ​​​​,2012-09-06 11:28,转发,评论,赞,Weico.iPhone,https://weibo.com/2643699813/yAB3F23A0
9,//@甘家口新街社区: [群体围观]//@首都社区服务: 城乡互助式公益小店亮相北京,是,#商情速递#【城乡互助式公益小店亮相北京】在北京市东城区五道营胡同，许多特色小店坐落其中。在这些小店中，有一家店在网络上小有名气，它就是被冠以“北京第一家慈善店”的Brandnu。这家店通过与农村妇女的女红合作，把部分利润回馈给农村妇女项目，以改善她们的生活（via新华网） ​​​​,2012-09-03 09:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2643699813/yA83oznBP
10,海淀街道维稳十八大推进会 ​​​​,否,,2012-08-31 13:15,转发,评论,赞,Weico.iPhone,https://weibo.com/2643699813/yzHbREHgK
11,2012社区残协换届选举顺利完成 ​​​​,否,,2012-08-28 17:01,转发,评论,赞,微博 weibo.com,https://weibo.com/2643699813/yzgo8ccdX
12,消防连着你我他，平安幸福进万家... ​​​​,否,,2012-08-27 15:56,转发,评论,赞,Weico.iPhone,https://weibo.com/2643699813/yz6xj6IFD
