序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【北京中秋国庆天高气爽宜出游】北京发布中秋国庆天气预报，中秋国庆期间天公作美，北京大部分时间晴间多云，白天太阳高照，夜晚朗月当空，是出游、赏月和探亲访友的好日子。预计中秋当日和国庆首日，早晨气温比较低，10月2日，或现短暂的阴天。从10月3日起，太阳将重露笑脸。O网页链接 ​​​​,2012-09-29 09:54,转发,评论,赞,专业版微博,https://weibo.com/2652382951/yE5gFnK7d
1,//@海淀公安分局: 我们在十一出行时，最好不要显露太多家里没人的迹象[挖鼻屎] 。对于一些比较明显的环节，比如我们日常订的报纸、杂志等，不妨可以找我们熟悉的邻居或者朋友代为保存。而对于门上的一些小广告等，我们也要劳烦邻居不时的进行清理，以免成为小偷下手的参考。,是,"#招招可防入室盗#最被爷爷奶奶们喜欢的防盗小窍门：养盆刺头[打针]！那真是经热又经晒[阳光]、经渴又经坏[落叶]。不仅皮实好养活，还能净化空气，而且更能让小偷无法下手下脚！不信，您看下面这位，把仙人掌都养管子上了！缺德孩子,我让你再爬[不要]! ​​​​",2012-09-29 09:52,转发,评论,赞,专业版微博,https://weibo.com/2652382951/yE5fU727C
2,祝所有社区居民，中秋、国庆双节快乐，注意假期出行安全，身体健康，家和万事兴！ ​​​​,否,,2012-09-29 09:50,转发,评论,赞,专业版微博,https://weibo.com/2652382951/yE5fhFQDP
3,转发微博,是,"【今年“十五的月亮十五圆”】据中科院紫金山天文台，今年农历8月月亮最圆的具体时刻为30日11时19分......虽然有俗语""十五的月亮十六圆""，但据统计，满月出现在十五的概率是50%，出现在十六的概率是40%，剩下10%左右的概率会出现在十四和十七。[满月]“摄影吧”O网页链接 ​​​​",2012-09-28 16:54,转发,评论,赞,专业版微博,https://weibo.com/2652382951/yDYALnLtT
4,还是自家做的月饼好吃,是,#惠生活#中秋节吃月饼是咱的民族传统，这些年月饼花样不断翻新，让人眼花缭乱，不知该买哪种。有些朋友决定干脆不买，想自己做。我从网上找来了冰皮月饼的制作方法和大家分享下，感兴趣的来围观吧。各位记着点击‘查看大图’，图片、文字会更清楚些哦。 ​​​​,2012-09-28 16:42,转发,评论,赞,微博 weibo.com,https://weibo.com/2652382951/yDYvY7QTv
5,很可爱的小狮子[呵呵],是,"南非，小狮子过马路...""这条路是我的！！你们，都不许过~~~！！""...........然后就被狮妈妈叼走了......来自“旅行吧”O网页链接 图片来自：@深游天下 ​​​​",2012-09-28 16:39,转发,评论,赞,专业版微博,https://weibo.com/2652382951/yDYuOzW1n
6,十一的八天，天气不错,是,【国庆期间北京各种预报】预计双节期间，北京人多、车多，晴天多，降水少，风力不大，气温适宜。其中10月2日受冷空气影响，有4级左右偏北风，北部山区有短时小阵雨。天气有利于外出郊游等户外活动，但空气干燥，需及时补充水分，注意防火。早晚天气较凉，外出要带外套。部分结论来自@气象北京  ​​​​,2012-09-28 16:34,转发,5,赞,微博 weibo.com,https://weibo.com/2652382951/yDYsS3Zbu
7,转发微博,是,#自驾游全攻略# 自驾游可能会遭遇天气突变，咱从雷雨天开始说[闪电]。首先，车厢是躲避雷击的理想地方。只要把车的门窗都关好，即使车被电击了，也能很好的保护到车内人员和设备的安全。其次，雷雨天不要将车停在危险地带，如：大树、大型广告牌和电线杆的下面，尽量不要把车开到山顶等易雷击的区域。 ​​​​,2012-09-27 15:03,转发,评论,赞,专业版微博,https://weibo.com/2652382951/yDOrh5SOi
8,转发微博,是,【健康食物口诀】苹果入心梨入肺，大枣入脾栗入肾。韭菜补肾暖膝腰。萝卜化痰消胀气，芹菜能降血压高。大蒜抑制肠胃炎，绿豆解暑最为妙。香蕉通便解胃火，健胃补脾食红枣。番茄补血美容颜。 ​​​​,2012-09-27 14:25,转发,评论,赞,微博 weibo.com,https://weibo.com/2652382951/yDOc0j99g
9,转发微博,是,【北方大部降温4-6℃ 东北内蒙古迎中到大雨】今天开始，新一股中等强度冷空气将影响我国，给西北地区东部、华北大部、东北地区南部、黄淮、江淮等地带来大风降温天气，内蒙古东部、东北地区等地将再度与雨水“结缘”，迎来中到大雨，北方大部地区气温将顺势出现4～6℃下滑。O网页链接 ​​​​,2012-09-27 14:21,转发,评论,赞,微博 weibo.com,https://weibo.com/2652382951/yDOafgIJa
