序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,慰问社区94岁黄浦老人 我在:O网页链接 ​​​​,否,,2012-09-27 08:50,转发,评论,赞,MOTO锋丽智能手机,https://weibo.com/1775089793/yDLZNaLnl
1,//@海淀街道苏州街路社区: 转发微博,是,#微言微语#很多人说眼里揉不下沙子，那试问一下，自己眼中除了沙子还揉得下什么。伸开手，五个手指可以长短不一，那凭什么要求世界必须要顺眼。狭隘没有借口，心宽才有出路。包容啊，真的不是一句口头禅。 ​​​​,2012-09-26 10:05,转发,评论,赞,专业版微博,https://weibo.com/1775089793/yDD3R038H
2,大家小家是一家 文明海淀靠大家 ​​​​,否,,2012-09-25 10:45,转发,评论,赞,专业版微博,https://weibo.com/1775089793/yDtTxD6Cf
3,今天上午9：30我社区开展 ——“庆十一”“迎十八大”社区清洁日活动！ 社区居民积极热情，把我社区清理的非常干净 ​​​​,否,,2012-09-21 14:15,转发,评论,赞,专业版微博,https://weibo.com/1775089793/yCTyQEwcn
4,请需要办理的人员关注：小帮手电子服务器办理方式及申购途径 ​​​​,否,,2012-09-20 15:45,转发,评论,赞,专业版微博,https://weibo.com/1775089793/yCKIXv4Fw
5,我社区定于明天9：30开展“社区清洁日”活动！望大家积极参与！[xb小花] ​​​​,否,,2012-09-20 15:33,转发,评论,赞,专业版微博,https://weibo.com/1775089793/yCKE4iNZ1
6,参加海淀街道网格化培训 ​​​​,否,,2012-09-20 15:32,转发,评论,赞,专业版微博,https://weibo.com/1775089793/yCKDr0OsQ
7,重点防控日！飞达社区90岁老人在社区及周边巡查 ​​​​,否,,2012-09-18 10:32,转发,1,赞,专业版微博,https://weibo.com/1775089793/yCpOCx6wl
8,立案知识点，为社区调解工作提供必要知识普及和服务 我在:O网页链接 ​​​​,否,,2012-09-13 09:44,转发,评论,赞,MOTO锋丽智能手机,https://weibo.com/1775089793/yBEmIu79t
9,飞达社区qq号：2218609647 ​​​​,否,,2012-09-11 16:06,转发,评论,赞,专业版微博,https://weibo.com/1775089793/yBo0M1jS7
10,//@政府微博助理: 祝所有的教师们节日快乐！,是,【教师节】“人民教师光荣，是因为他们需要有崇高的献身精神。教师的岗位，就是奉献的岗位；教师的职业，就是献身的职业。”－－1985年9月10日人民日报社论。向全天下所有教师，特别承担着6600万农村中小学生教育任务的800万乡村教师致以崇高的敬意，祝您们“教师节快乐”！[花] ​​​​,2012-09-10 13:53,转发,评论,赞,专业版微博,https://weibo.com/1775089793/yBdIwjkQi
