序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,随着吉克隽逸的淘汰，在我心中的好声音已经结束！ ​​​​,否,,2012-09-30 23:31,转发,评论,赞,Android客户端,https://weibo.com/2752475273/yEk2Ss5tK
1,看不懂的“好声音”，志文的声音绝对值得好声音这个称号，吉克隽逸的歌是谁选的，总决赛难道不应该展现自的己的优势吗？如果吉克隽逸被PK掉，我将鄙视中国好声音！支持好声音，支持公平的竞争，观众抉择会公平吗？  ​​​​,否,,2012-09-30 23:20,转发,评论,赞,Android客户端,https://weibo.com/2752475273/yEjYmmyWB
2,祝大家中秋节快乐！ ​​​​,否,,2012-09-30 06:46,转发,评论,赞,Android客户端,https://weibo.com/2752475273/yEdtbd3Vc
3,密云天气预报-今日_明日_一周天气预报:29日星期六夜间至30日星期日白天 晴 6/25℃#7d#7d#7d O网页链接  （分享自 @中国天气网） ​​​​,否,,2012-09-29 22:59,转发,评论,赞,分享按钮,https://weibo.com/2752475273/yEapycBqK
4,国安是冠军，顶起来,是,国安是冠军 ​​​​,2012-09-27 17:40,转发,评论,赞,Android客户端,https://weibo.com/2752475273/yDPsZgCJ5
5,北庄镇与教工委比赛结束，最终比分90比89北庄镇胜！ ​​​​,否,,2012-09-27 17:37,转发,评论,赞,Android客户端,https://weibo.com/2752475273/yDPrPa4gc
6,现在，北庄镇篮球队正在二中篮球馆内与密云教工委进行篮球交流赛，现在比分80比78北庄领先。 我在:O网页链接 ​​​​,否,,2012-09-27 16:51,转发,评论,赞,Android客户端,https://weibo.com/2752475273/yDP997EAs
7,当我们一家团圆的时候，别忘了还有很多山区的孩子吃不饱饭、上不起学。我刚刚在@360手机卫士 #摇一摇中秋送祝福#活动中，摇出了爱心书包一个，卫士将替我把这份爱心送到山区孩子们的手上！希望孩子们能过一个快乐的中秋！ 参与活动：O网页链接 ​​​​,否,,2012-09-27 10:59,转发,评论,赞,360手机卫士,https://weibo.com/2752475273/yDMQ6uzY7
8,//@多彩果: 转发微博,是,【局势图】形象，有才！ ​​​​,2012-09-25 06:31,转发,评论,赞,360安全浏览器,https://weibo.com/2752475273/yDseyDM7D
9,#我爱中超#这俩主持人真是贫蛋 看直播： O网页链接 我看到了这里： O网页链接 ​​​​,否,,2012-09-22 20:27,转发,评论,赞,看点-直播间,https://weibo.com/2752475273/yD5q8Bc3j
