序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,您可以来我们村爬山看野长城，进响水湖逛养生谷。现在还有新上市的正宗怀柔板栗和核桃哦~~,是,@渤海镇大榛峪村 打扰一下，帮忙解答下这个问题吧：“你好哇，我是初级驴友，想请问北京有什么好玩的？我挨个记下，到时候 ...” 麻烦了，谢谢您！ O网页链接 (本求助信息由问我应用自动发出，如打扰请点击设置O网页链接 ) ​​​​,2012-09-11 22:24,转发,评论,赞,微博 weibo.com,https://weibo.com/1769444511/yBquioupa
1,#新浪博客七周年#我的博客今天2岁69天了，我领取了先锋博主徽章。原文地址:O网页链接。你也来领取属于你的博客徽章吧:O网页链接 ​​​​,否,,2012-09-11 22:18,转发,评论,赞,新浪博客,https://weibo.com/1769444511/yBqrS0Uvn
2,那就赶紧来我们大榛峪村吧，亲//@cocotas2293034694: 一眼就喜欢。,是,分享渤海镇大榛峪村的博文图片：【景区景点】山泉水浇出甜脆口感&nbsp;&nbsp;渤海镇响水脆梨香飘荧屏 O网页链接 ​​​​,2012-08-29 15:27,转发,1,赞,微博 weibo.com,https://weibo.com/1769444511/yzpcuuLYf
3,回复@海畔凝红:谢谢鼓励我们的小村官！ //@海畔凝红:小村官文章写得很棒 //@渤海镇大榛峪村:永远支持我们村的小李！,是,#南海村官体验基地#北京市怀柔区渤海镇大榛峪村党支部书记助理李学文+作为外来者，没有时间和情感的积淀，是很难融进当地人圈子当中的。所幸的是，大榛峪已经成为了我的第二故乡并融入到其中+全国大学生村（居）官征文：“第二故乡”里收获亲情O网页链接 @南海发布 @大学生村官南海体验基地 ​​​​,2012-08-29 15:26,转发,评论,赞,微博 weibo.com,https://weibo.com/1769444511/yzpc4eD57
4,分享渤海镇大榛峪村的博文图片：【景区景点】山泉水浇出甜脆口感&nbsp;&nbsp;渤海镇响水脆梨香飘荧屏 O网页链接 ​​​​,否,,2012-08-29 15:25,3,1,赞,新浪博客,https://weibo.com/1769444511/yzpbN7hzx
5,"【景区景点】山泉水浇出甜脆口感  渤海镇响水脆梨香飘荧屏 - 【景区景点】山泉水浇出甜脆口感  渤海镇响水脆梨香飘荧屏_渤海镇大榛峪村_新浪博客,渤海镇大榛峪村,   O网页链接 ​​​​",否,,2012-08-29 15:25,4,3,赞,新浪博客,https://weibo.com/1769444511/yzpbInXLZ
6,分享了一篇文章：《【景区景点】山泉水浇出甜脆口感&nbsp;&nbsp;渤海镇响水脆梨香飘荧屏》 O网页链接 ​​​​,否,,2012-08-29 15:25,转发,评论,赞,Qing,https://weibo.com/1769444511/yzpbG0Rjq
7,发表了博文 《【景区景点】山泉水浇出甜脆口感  渤海镇响水脆梨香飘荧屏》 - 　　千龙网北京讯（通讯员 魏明俊 宋卫民）“这儿的梨皮薄肉厚，又甜又脆，真爽口！”一位从天津到响水湖景区旅游的小姑娘一边品 O网页链接 ​​​​,否,,2012-08-29 15:24,转发,评论,赞,新浪博客,https://weibo.com/1769444511/yzpbqAUoC
8,永远支持我们村的小李！,是,#南海村官体验基地#北京市怀柔区渤海镇大榛峪村党支部书记助理李学文+作为外来者，没有时间和情感的积淀，是很难融进当地人圈子当中的。所幸的是，大榛峪已经成为了我的第二故乡并融入到其中+全国大学生村（居）官征文：“第二故乡”里收获亲情O网页链接 @南海发布 @大学生村官南海体验基地 ​​​​,2012-08-27 16:07,2,3,赞,微博 weibo.com,https://weibo.com/1769444511/yz6BGi4xq
9,【视频：第六届全国大学生村官论坛宣传片】 O网页链接  （分享自 @优酷网）难忘的会议，永远的怀念！ ​​​​,否,,2012-08-16 16:03,3,4,赞,优酷土豆,https://weibo.com/1769444511/yxqSR4RSk
10,"中国组织人事报：京郊首家游客书屋背后的故事 - 中国组织人事报：京郊首家游客书屋背后的故事_李学文_新浪博客,李学文,   O网页链接 ​​​​",否,,2012-08-16 15:50,转发,评论,赞,分享按钮,https://weibo.com/1769444511/yxqNro20A
11,欢迎大家来到大榛峪村！ ——看到李学文的博文《中国组织人事报：京郊首家游客书屋背后的故事》有感而发的评论。O网页链接 ​​​​,否,,2012-08-16 15:50,转发,评论,赞,新浪博客,https://weibo.com/1769444511/yxqNhiQ5Y
12,"京郊日报《拯救郊游》应给大榛峪村郊游发展有所启示 - 京郊日报《拯救郊游》应给大榛峪村郊游发展有所启示_渤海镇大榛峪村_新浪博客,渤海镇大榛峪村,   O网页链接 ​​​​",否,,2012-08-15 08:02,转发,评论,赞,bshare,https://weibo.com/1769444511/yxeiR8wyU
13,转发微博,是,,2012-08-15 07:58,转发,评论,赞,微博 weibo.com,https://weibo.com/1769444511/yxehlabBW
14,转发微博,是,【马光远：谁为京东苏宁的价格战买单】京东商城CEO刘强东表示：“京东大家电三年内零毛利！苏宁易购李斌强势回应：其所有产品价格将低于京东。后国美电器也加入了战团，表示：国美电器网上商城全线商品价格将比京东商城低5%。不管是谁为这场战争提供军援，参战者的目的很明确……O网页链接 ​​​​,2012-08-15 07:58,转发,评论,赞,微博 weibo.com,https://weibo.com/1769444511/yxehhBe6b
15,发表了博文 《京郊日报《拯救郊游》应给大榛峪村郊游发展有所启示》 -  　　十渡部分受损不严重的民俗户已打出正常营业的招牌。 赵语涵 摄 JJ030 　　拒马乐园的工作人员正在修复坍塌的围墙。 赵语涵 O网页链接 ​​​​,否,,2012-08-15 07:48,转发,评论,赞,新浪博客,https://weibo.com/1769444511/yxed8eCEs
16,秀才江湖：贪官为何床照曝光才落马_网易新闻中心 O网页链接  2012年1月，一组据称涉及段一中的床照在网络上疯传。广西区纪委决定对段一中生活腐化问题予以立案调查。因涉嫌受贿罪，段一中随后被刑事拘留。后查出段一中共收受他人财物100.7万元。 ​​​​,否,,2012-07-30 20:42,1,1,赞,分享按钮,https://weibo.com/1769444511/yuSrGsikZ
17,吴敏霞母亲患癌对女儿隐瞒多年 外公外婆去世也瞒着 O网页链接  北京时间29日，伦敦奥运女子双人3米板决赛展开争夺，何姿吴敏霞组合毫无悬念夺得金牌，而吴敏霞更是创造了奥运双人项目3连冠的纪录。但在成功背后，吴敏霞所付出的何其多，父母善意的谎言，骗了她8年之久。 ​​​​,否,,2012-07-30 20:36,2,2,赞,凤凰网,https://weibo.com/1769444511/yuSp86c0f
18,分享渤海镇大榛峪村的博文：【村庄动态】北大博士实践团大榛峪村“挖”历史 推荐给@头条博客 O网页链接  （分享自 @头条博客） ​​​​,否,,2012-07-30 20:26,1,1,赞,新浪博客,https://weibo.com/1769444511/yuSkXxy2i
19,发表了博文 《【村庄动态】北大博士实践团大榛峪村“挖”历史》 - （通讯员 李学文） 7月24日—7月28日，北京大学物理学院博士生党支部一行15人走进渤海镇大榛峪村，开展主题为“青春激昂展风采，社会 O网页链接 ​​​​,否,,2012-07-30 20:22,1,1,赞,新浪博客,https://weibo.com/1769444511/yuSjuu3XC
20,分享渤海镇大榛峪村的博文：【村庄文化】大榛峪村蹦蹦戏《刘云打母》专场演出（三） 推荐给@头条博客 O网页链接  （分享自 @头条博客） ​​​​,否,,2012-07-16 20:06,转发,评论,赞,新浪博客,https://weibo.com/1769444511/ysKe9hD3C
