序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,发表了博文 《演乐社区“月满中秋 情系社区”联谊会》 -  9月25日下午，演乐社区举办了“月满中秋 情系社区”联谊会，社区积极分子、居民代表、辖区单位代表等40余人参加了联谊会。会上，社区书记杨翊预 O网页链接 ​​​​,否,,2012-09-25 17:05,1,评论,赞,新浪博客,https://weibo.com/1277478350/yDwnCj9Gv
1,发表了博文 《演乐社区党员大会》 -  9月25日上午，演乐社区召开了党员大会，暨社区党员积极分子张超颖同志入党发展会和预备党员刘金玲同志转正大会，社区党员三十五人参加，党委副书记杨丽君同志主持。根据 O网页链接 ​​​​,否,,2012-09-25 16:46,转发,评论,赞,新浪博客,https://weibo.com/1277478350/yDwfTk7aI
2,发表了博文 《朝阳门地区第七届运动会》 - 9月11日上午，朝阳门地区第七届运动会在地坛体育场举行。地区综合运动会每2年举办一次，此次运动会以“全民健身 快乐生活”为主题。   东城区委副书记常卫、区 O网页链接 ​​​​,否,,2012-09-14 17:00,转发,评论,赞,新浪博客,https://weibo.com/1277478350/yBQEggqqi
3,好文章。儿时的记忆，勾起了许多回忆，真有味道。 ——看到骚客的博文《周日——胡同串子串胡同之三——本司胡同》有感而发的评论。O网页链接 ​​​​,否,,2012-08-25 14:02,转发,评论,赞,新浪博客,https://weibo.com/1277478350/yyMVYgXAk
4,发表了博文 《参观首都博物馆》 -  8月22日上午，演乐社区组织社区党员、辖区单位党员、社区青少年及社区工作者共40人参观了首都博物馆。北京，一座举世闻名的历史文化名城，在中国历史长河中，作为千年帝 O网页链接 ​​​​,否,,2012-08-22 17:27,转发,评论,赞,新浪博客,https://weibo.com/1277478350/yylZT7PpS
5,发表了博文 《演乐社区道德讲堂》 -  8月10日下午，演乐社区开展了道德讲堂活动。道德讲堂有“唱歌曲、学模范、诵经典、发善心、送吉祥”五个环节。主持人带领现场小朋友们学唱了《我的北京我的家》，观看了 O网页链接 ​​​​,否,,2012-08-10 16:16,转发,评论,赞,新浪博客,https://weibo.com/1277478350/ywwpadP3S
6,发表了博文 《2012年07月30日》 -  O网页链接 ​​​​,否,,2012-07-30 16:12,转发,评论,赞,新浪博客,https://weibo.com/1277478350/yuQFZoCBT
7,发表了博文 《演乐社区庆“八一”联欢会》 -  7月27日，演乐社区在朝阳门街道四楼举办“迎八一联欢会”。到场嘉宾有朝阳门街道伊主任、武装部王部长、彭处长、民政高科长、文体么科长等，还有来自社区的居民 O网页链接 ​​​​,否,,2012-07-30 16:10,1,评论,赞,新浪博客,https://weibo.com/1277478350/yuQFc3Ph6
8,发表了博文 《社区集中灭蚊蝇》 -  夏季是蚊蝇繁殖的高发季节，为了居民少受蚊蝇侵扰，演乐社区7月19日、20日开展环境整治、杀灭蚊蝇活动，社区工作者们对下水道、花坛、垃圾箱等地方进行喷雾施药，很多居 O网页链接 ​​​​,否,,2012-07-19 17:25,转发,评论,赞,新浪博客,https://weibo.com/1277478350/ytbsguupB
9,发表了博文 《讲座》 -  7月18日，演乐社区联合北京市社会生活心理卫生咨询服务中心举办“扬起青少年心理健康的风帆”讲座。主讲人是北京市社会生活心理卫生咨询服务中心的刘老师。20余位家长及学生参加， O网页链接 ​​​​,否,,2012-07-18 11:18,转发,评论,赞,新浪博客,https://weibo.com/1277478350/ysZCB53Hp
10,发表了博文 《2012年07月18日》 -  O网页链接 ​​​​,否,,2012-07-18 11:16,转发,评论,赞,新浪博客,https://weibo.com/1277478350/ysZBYDS6A
11,发表了博文 《2012年07月02日》 -  O网页链接 ​​​​,否,,2012-07-02 11:02,转发,评论,赞,新浪博客,https://weibo.com/1277478350/yqyG87P8u
12,发表了博文 《演乐社区庆七一》 -  O网页链接 ​​​​,否,,2012-07-02 10:54,转发,评论,赞,新浪博客,https://weibo.com/1277478350/yqyCNyvb9
