序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#燕园街道残疾人联合会第三次代表大会#燕园街道残联第三次代表大会，9月28日上午在中关园市民学校举行，理事长林思会做第二届工作报告。选举燕园街道第三届残联主席及委员，会议取得圆满成功，海淀区残联副理事长王雪梅对大会取得圆满成功表示祝贺。 ​​​​,否,,2012-09-28 16:29,转发,评论,赞,专业版微博,https://weibo.com/2661975851/yDYqOpnlO
1,必须对自己狠一次，否则永远也活不出自己！,是,【必须狠一次，否则你永远也活不出自己！】你是否经常狠不下心来做事，对自己不够狠，对别人也不够狠。所以，你总是黏黏糊糊，总是不忍心去拒绝别人，总是下不了决心让自己过的更好，总是缠绵过往不能自拔……优柔寡断的你，聪明的人必须狠一次，否则你永远也活不出自己。 ​​​​,2012-09-27 23:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2661975851/yDRyXAjGI
2,做人要厚道，对人要宽容，这样的人健康长寿！晚安，平安喜乐！,是,把时间发生在进步上，而不是抱怨上。晚安，祝各位平安喜乐。 ​​​​,2012-09-27 22:54,转发,评论,赞,专业版微博,https://weibo.com/2661975851/yDRwymy7P
3,,是,【北京市发布10月1日天安门广场交通管制措施】北京市交管局27日发布，10月1日10时，天安门广场将举行向人民英雄纪念碑敬献花篮仪式。为确保仪式安全顺利进行，根据有关规定，活动期间将对天安门广场及周边地区实施临时交通管制。管制时间自早7时30分开始，至活动结束后解除。By京华时报 ​​​​,2012-09-27 22:44,转发,评论,赞,专业版微博,https://weibo.com/2661975851/yDRsvt5rA
4,经常换密码把自己都搞晕了！,是,#帐号安全#密码用得时间太长了密码太简单别担心，密码是随时可以修改滴修改密码可以在微博首页-帐号-帐号设置-帐号安全进行修改：输入当前密码和新密码，确认后即可使用新密码登录啦这样的密码更安全O网页链接；这样可以提高帐号安全系数 O网页链接 ​​​​,2012-09-27 16:49,转发,评论,赞,专业版微博,https://weibo.com/2661975851/yDP8qcmxC
5,拿自己的性命开玩笑，是对自己的不尊重！,是,【小伙拼酒憋炸膀胱尿进腹腔 医生：中国男性极限6瓶】一河南小伙与哥们喝酒时商定席间不能上厕所否则罚一瓶酒。小伙连灌6瓶啤酒后腹部剧痛，医院抢救发现膀胱裂了个口，尿液流进腹腔差点丢性命。医生：急性扩张时中国男性膀胱承受极限2000毫升左右，相当于6瓶355毫升啤酒。河南商报 ​​​​,2012-09-27 14:35,转发,评论,赞,专业版微博,https://weibo.com/2661975851/yDOfKkKx5
6,好运相伴！,是,,2012-09-27 14:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2661975851/yDOdxuEIQ
7,,是,#历史上的今天#十大元帅授勋：1955年9月27日，由国家主席毛泽东主持的授元帅军衔和勋章的典礼在北京中南海怀仁堂举行，授予朱德、彭德怀、林彪、刘伯承、贺龙、陈毅、罗荣桓、徐向前、聂荣臻、叶剑英10人以中华人民共和国元帅军衔。 O网页链接 ​​​​,2012-09-27 09:20,转发,评论,赞,专业版微博,https://weibo.com/2661975851/yDMbUk5HO
8,9月26日在中关园市民学校，召开了第八届居委会阶段工作总结会和消防安全讲座，并观看了消防安全教育片，张寅主任做换届工作总结，从8个方面讲述为居民办的实事。 即将在园区安装方便居民的小帮手自助缴费机，治安赵主任讲述关于家庭防火、预防盗窃等方面的措施。避免发生不安全隐患。 ​​​​,否,,2012-09-27 08:52,转发,评论,赞,专业版微博,https://weibo.com/2661975851/yDM0xzeJY
9,有爱心的朋友，帮助这些可怜的孩子度过这个冬天吧！,是,"青海藏区需要6一12岁小孩的衣服和鞋子，新旧不限。洗干净就可以。 地址：青海省共和县湖东种羊场寄宿小学。 如果有合适的衣服可以邮寄，帮忙转一下,能给孩子们一个幸福的明天。天气冷给孩子们添加些棉衣寄过去吧！青海湖生态文化与保护普氏原羚公众教育基地，扎西 13639747884， ​​​​",2012-09-26 23:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2661975851/yDIaoFFum
