序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,床前明月光，十五思故乡，秋风又黄枝头叶，明月何时照我还；人比黄花瘦，犹念父母恩，君问归期未有期，十五月圆游子归。我劝天公重抖擞，中秋月下话团圆；在天愿作比翼鸟，在外愿归会家人！八月十五中秋节，愿你月圆家圆事事圆，中秋十五笑开怀！ ​​​​,否,,2012-09-30 13:07,转发,评论,赞,专业版微博,https://weibo.com/2662515871/yEfXysOwn
1,喜欢跑步的人很多，但天天跑步的人不多；拥有梦想的人很多，但坚持一个梦想的人不多；喜欢回家的人很多，但天天回家的人不多。现实生活中，每个人的思想都很丰富，但是能够持之以恒地坚持做一件事情的人并不多。所以，有人成功有人失败，有人笑有人哭，关键是一开始你的意志是选择笑还是哭了。 ​​​​,否,,2012-09-29 13:01,转发,评论,赞,专业版微博,https://weibo.com/2662515871/yE6uClGEL
2,分享图片: ​​​​,否,,2012-09-28 18:08,转发,评论,赞,专业版微博,https://weibo.com/2662515871/yDZ4H4Ti4
3,燕园街道残疾人联合会第三次代表大会9月28日上午在中关园市民学校举行，理事长林思会做第二届工作报告。会上选举出燕园街道第三届残联主席及委员，会议取得圆满成功海淀区残联副理事长王雪梅对大会的圆满成功表示祝贺并对燕园街道残联工作给与了肯定和表扬。 ​​​​,否,,2012-09-28 17:58,转发,评论,赞,专业版微博,https://weibo.com/2662515871/yDZ0IAUZ7
4,《纽莫法23价肺炎球菌多糖疫苗》一份预防胜于十分治疗---肺炎球菌性疾病是由肺炎球菌引起的肺炎、脑膜炎、菌血症、中耳炎等一系列疾病的统称。发病率高，特别是老年人及慢性病患者，比健康人群更易感染。肺炎+流感=1+1大于2.肺炎和流感疫苗同时接种，可降低两种疾病的住院率和死亡率。 ​​​​,否,,2012-09-28 08:12,转发,评论,赞,专业版微博,https://weibo.com/2662515871/yDVaWgSkZ
5,天儿凉了...注意增加衣服哦 ​​​​,否,,2012-09-28 08:01,转发,评论,赞,专业版微博,https://weibo.com/2662515871/yDV6fuHTd
6,接种流感疫苗60岁以上老人免费、学生在学校统一安排下接种。其他人群需自费：90元 ​​​​,否,,2012-09-27 19:04,转发,评论,赞,专业版微博,https://weibo.com/2662515871/yDQ0Zgdqf
7,流感疫苗接种时间：2012年10月10日----2012年11月30日期间，周一至周五上午8:00--11:00；下午1:30---4:30 ​​​​,否,,2012-09-27 16:56,转发,1,赞,专业版微博,https://weibo.com/2662515871/yDPbcu8K1
8,[放假啦]祝园区居民中秋快乐平安幸福[玫瑰] 欢度国庆 ​​​​,否,,2012-09-27 16:51,转发,评论,赞,专业版微博,https://weibo.com/2662515871/yDP97DVqZ
9,流感疫苗2012年10月10日开始接种！本市居民60岁以上老人免费接种在校医院保健科：携带身份证！参加北京市城镇职工基本医疗保险的60岁以上外地老年人持医保卡！学生在学校统一接种 ​​​​,否,,2012-09-27 16:42,转发,评论,赞,专业版微博,https://weibo.com/2662515871/yDP5fFw4C
