序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,9月27日晚，燕东园居委会举办了---燕东园社区“庆中秋、迎国庆”联欢晚会。晚会共八个节目。有学校舞蹈队、居委会合唱队、陈式太极队。。。。感谢大家的积极参与，大家幸苦了。 ​​​​,否,,2012-09-28 15:54,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yDYcvCwSw
1,,是,市气象台11时10分发布大风蓝色预警信号；午后本市风力逐渐加大，傍晚到夜间平均风力达5-6级阵风7级左右明天白天风力仍有四五级北风，注意防范！ ​​​​,2012-09-27 13:10,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yDNHzkLxa
2,燕东园的妇联工作，在海淀妇女儿童活动中心学做的菜，不错吧。 ​​​​,否,,2012-09-26 14:43,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yDESyx553
3,感觉还不错转一下[呵呵]梅里雪山，世界上最美的雪山之一，那里常年云雾缭绕，当地人开玩笑说，梅里雪山的真容，只给最善良的人展露，所以能看到梅里的人，都是善良人，哈哈 ​​​​,否,,2012-09-26 10:31,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yDDemj9Hu
4,表示欢迎,是,文化委来电，真的要给燕园配流动电影放映车了@燕园街道燕北园社区 @燕园北大校内社区 @燕园承泽园社区 @燕园蔚秀园社区 @燕园燕东园社区 @燕园中关园社区 @燕园畅春园社区 ​​​​,2012-09-25 12:27,转发,评论,赞,微博 weibo.com,https://weibo.com/2662312483/yDuyMh6Qj
5,燕园街道的秋景[呵呵] ​​​​,否,,2012-09-24 15:51,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yDmt6ciVz
6,21日燕东园居委会组织园区居民迎两节卫生大扫除，园区居民积极参加，有楼组长、党员、积极分子。共计70多人参加。 ​​​​,否,,2012-09-24 15:22,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yDmhh6t9K
7,请输入转发理由幸福，祝福他们,是,老爷爷104岁，婆婆100岁，结婚81年相濡以沫，却从未有过一张照片！当为婆婆穿上婚纱后，爷爷嘴里不停的说着老伴乖、漂亮。婆婆穿着婚纱，哭了...    [来自 #爱情 精选：O网页链接 ] ​​​​,2012-09-24 09:50,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yDk6Fu3ur
8,9月19日燕园街道的王杰老师带领同事和燕东园居委会居干去看望了因公受伤的垃圾分解员阮文杰，给他带去了温暖和关怀。 ​​​​,否,,2012-09-21 11:05,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yCSjxwQOI
9,9月19日，燕东园居委会的王主任和居干看望了7公寓112的特困孤寡老人宋淑华，在两节前将街道发放的过节慰问品送到她家，给她送去了温暖和居委会的关怀。 ​​​​,否,,2012-09-21 10:58,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yCSgKEzoR
10,"两节将近，燕东园社区举办了消防安全讲座，普及消防知识,园区居民积极参加。 ​​​​",否,,2012-09-19 10:22,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yCzbfc3TA
11,北大园林为燕东园4-7公寓绿化，他们辛苦了。 ​​​​,否,,2012-09-18 10:47,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yCpUR6HT8
12,为丰富园区的儿童的课余生活，燕东园社区举办了儿童涂鸦大赛。并在现场评出了一二三等奖。园区居民反映活动办的很好。 ​​​​,否,,2012-09-18 09:34,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yCprqqc0f
13,燕东园社区的好人好事。40楼304李桂珍老师在小花园捡到一个乒乓球拍和一件绿色小孩上衣，送到居委会来，请失主到居委会来领。 ​​​​,否,,2012-09-17 10:58,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yCgyLyttk
14,听别人推介过《正者无敌》是个不错的片子，有机会可以看看 ​​​​,否,,2012-09-12 13:20,转发,1,赞,专业版微博,https://weibo.com/2662312483/yBwm2Eq4s
15,吉永庄二个月的施工扰民问题，历经多方四次勾通交流，终于得到妥善处理。本月10-11日吉永庄居民开始领取施工扰民费。 ​​​​,否,,2012-09-12 10:50,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yBvna58UX
16,转一下,是,,2012-09-12 10:36,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yBvhlxh5o
17,感谢园区居民的支持，我们会更加努力工作，继续为园区居民服务的 。[黑板] ​​​​,否,,2012-09-11 15:44,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yBnRN40i8
18,燕东园居民送的手工作品，美一下。共享 ​​​​,否,,2012-09-11 15:40,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yBnQtcbRA
19,//@黄熙颖: 转发微博...生活常识，有小孩的要知道[呵呵],是,【男孩误食滴水观音中毒 通缉“有毒植物”】杭州一位13岁男孩，误以为滴水观音是芋头，好奇舔一口，脸色发白直冒冷汗，抢救8小时捡回一命。滴水观音属于天南星科，这科很多植物都是有毒的，像万年青、绿萝、龟背竹。夹竹桃、常春藤、一品红、杜鹃花、鸢尾、水仙，茎秆中的白色乳汁也有毒。-广州日报 ​​​​,2012-09-11 15:05,转发,2,赞,专业版微博,https://weibo.com/2662312483/yBnBUb0RF
20,[呵呵]太多的聪明，是上天的恩宠，当然要感谢，但也是上天的陷阱，让你少了执著、坚忍的力量。最好的搭配是“一点聪明一点痴”，有足够的聪明分析难易、好坏，但有时也要能有耐性，做一些短期看起来并不聪明，但长远有利、有益的事，每个人最终的格局，决定的关键是“痴”，而不是聪明。 ​​​​,否,,2012-09-10 10:44,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yBctzAoV3
21,最好的思考是，不论你是聪明人还是痴人，常常替自己留一点“痴心”，然后发挥你的决心，考验你的能力，激发你的坚持，磨炼你的执著，成就你的耐性。 ​​​​,否,,2012-09-10 10:43,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yBctndSxs
22,读了一段文章，觉的还不错。大家共享。台湾财经前辈汪彝定先生的一句话：他常念着“慧女不如痴男”，如果剔除性别眼光，这句话是最好的批注，任何人“慧”不如“痴”，慧易成事，但难成大局；痴似呆拙，但孜孜矻矻，一点一滴，最后终能成就不凡的格局。。。。 ​​​​,否,,2012-09-10 10:43,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yBctff6zT
23,祝老师们节日快乐[玫瑰],是,,2012-09-10 10:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2662312483/yBcq6tHdJ
24,燕东园32楼王老师家的南瓜[呵呵] ​​​​,否,,2012-09-07 15:58,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yAMfOxu3Q
25,蔡国强是低保智力残疾，在外出时不慎受伤住院，出院后卧床在家。在医治过程中有一定的经济困难，园区的居民对他伸出了援助之手，进行了捐款捐物。燕东园居委会干部带慰问品去家中看望，表达了居委会对他的关心。并从各方面对他的伤病进行积极救助。 ​​​​,否,,2012-09-07 15:09,转发,评论,赞,专业版微博,https://weibo.com/2662312483/yALVRBYNI
26,,是,秋天来，大风起。[风]平日里一个未灭的烟头，在大风的作用下可能引起意想不到的灾难。[bed凌乱]请大家不论是在路上还是在车里，无论是谁留下的，不要留情的“灭了它”！[bobo抓狂]在此特别提醒所有吸烟的同学，吸烟时请注意禁烟标识，吸完烟一定要掐灭烟头！[挖鼻屎] （下图源于网络） ​​​​,2012-09-06 15:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2662312483/yACB4bxDI
27,石蒜红花中国花语：优美纯洁。粟老师为它作诗一首，红花石蒜，园中奇葩，色彩艳丽，布局尤佳，蕊若游丝，瓣似龙爪，中秋盛开，观者惊讶，深秋来临，花调叶发，墨绿深深，临寒挺拔，春来欢笑，端午休假，归去护根，来秋再发。 ​​​​,否,,2012-09-05 15:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2662312483/yAtnGe4vz
28,32楼王老师家的石蒜红花开了，石蒜红花能消肿、杀虫、治淋巴结结核、疔疮疖肿、风湿关节痛、蛇咬伤、水肿、灭蛆、灭鼠、防瘟疫等，所以又被称健康的守护神，又名舍子花或舍利子。球根含有生物碱利克林毒，可引致呕吐、痉挛等症状，对中枢神经系统有明显影响，可用于镇静、抑制药物代谢及抗癌作用。 ​​​​,否,,2012-09-05 15:55,转发,评论,赞,微博 weibo.com,https://weibo.com/2662312483/yAtnpoxd0
29,有33楼的信老师来居委会说1门栋楼前有一个平台，老是有人放一些没用的瓶瓶罐罐，希望能够治理一下，这样关心园区卫生的居民我们在这里提出表扬。 ​​​​,否,,2012-09-03 14:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2662312483/yAa4iiCcB
30,"耳闻4-7公寓有一只小喜鹊，只会跳,不会飞.前两天遇见了，正好手中有刚收集的花种，就凑上前去，说：“小喜鹊，来，这有吃的，”它很听话，跳了过来。那时我们的距离好近。30厘米。(手机照的)[呵呵] ​​​​",否,,2012-08-30 13:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2662312483/yzxS7eWP6
31,燕东园的文体活动，[呵呵] ​​​​,否,,2012-08-29 13:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2662312483/yzolh6BGa
32,[呵呵],是,#生活资讯#记者从车管所京顺分所了解到，市民可拨打4000046858免费报名参加水下自救逃生专业培训。 ​​​​,2012-08-08 15:58,转发,评论,赞,微博 weibo.com,https://weibo.com/2662312483/ywdqLnKg0
33,启动7.21募捐以来，燕东园热心居民纷纷捐款捐物，在7月31日8月1日这两天，也有不少居民冒雨捐赠，截止今天下午，累计捐款人数97人，捐款总额4730元，捐衣物总计606件。感谢园区的居民朋友们，在这里为您们送上最热烈的掌声。 ​​​​,否,,2012-08-01 15:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2662312483/yv9fPDY2m
34,7.21捐款感人事迹，燕东园38楼的李老师，已86岁，捐款500元，支援灾区重建工作。她家的保姆生活困难，将自己卖废品的60元钱捐赠给灾区，体现我们愿与灾区人民携手共渡难关，我们将传递这份爱心，燕东园居委会感谢每一位积极参加捐助活动的社区居民。 ​​​​,否,,2012-07-27 15:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2662312483/yuoejqBk4
35,启动7.21自然灾害捐赠活动后，燕东园居民勇跃捐款捐物。 ​​​​,否,,2012-07-26 10:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2662312483/yucEd3Xpx
