序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,9月27日北大园林的职工为我们园区5层的住户，剪断挡在护栏的树枝。 ​​​​,否,,2012-09-28 09:53,转发,评论,赞,专业版微博,https://weibo.com/2662546531/yDVQ2hJO4
1,9月26日上午畅春园社区迎“中秋”庆“国庆”联欢会在畅春园社区老年活动室召开，这次活动，内容丰富多彩，即有演出，又有问答题，丰富了居民的生活，也使居民增长了许多知识，使这次活动更有意义。 ​​​​,否,,2012-09-28 09:06,转发,评论,赞,专业版微博,https://weibo.com/2662546531/yDVwWfi1K
2,【健身族】活动脚趾健肠胃！站立或坐姿，双脚放平紧贴地面，与肩同宽，连续做脚趾抓地动作60-90次，常活动脚趾能帮胃减负。 ​​​​,否,,2012-09-27 16:28,转发,评论,赞,专业版微博,https://weibo.com/2662546531/yDOZJvXPw
3,转发微博。,是,【你好，明天】双节并至，许多大城市拥堵不堪。车流骤增，秋雨复来，堵车固有客观原因。然而，车水马龙中，礼尚往来的公车有多少，又有多少礼物进了寻常百姓家。年年岁岁最堵周，考验交通管理，拷问社会风气：节日文化需回归本义，官场文化要正本清源。就像中秋明月，斫去铅华，让世间清光朗照。安。 ​​​​,2012-09-27 09:53,转发,评论,赞,媒体版微博,https://weibo.com/2662546531/yDMpmdeYR
4,转发微博。,是,【日经：东亚形成“对日包围网”？】日经新闻今日发表分析文章称，在领土主权问题上，中国和韩国已经开始显示出联合对日施压的迹象。25日，台湾多艘渔船进入钓鱼岛海域，台湾也开始显露出对日本的不满。相关国家和地区在东海构建“对日包围网”的可能性浮出水面。全文：O网页链接 ​​​​,2012-09-27 09:49,转发,评论,赞,媒体版微博,https://weibo.com/2662546531/yDMnUFznr
5,转发微博。,是,【辽宁盘锦民警击毙拒拆村民续:检方称开枪合规】新华社记者重访辽宁村民王树杰被警方开枪致死：开枪者张研称当时王树杰身上着火，“向我扑来，我前襟全是汽油，担心被引燃，出于本能对着王树杰开了一枪。”当地官员称所涉及是国有土地，严格说不是征地，而是将承包权收回。详细:O网页链接 ​​​​,2012-09-27 09:48,转发,评论,赞,媒体版微博,https://weibo.com/2662546531/yDMnxCfDg
6,转发微博。,是,【日本首相称日方在钓鱼岛问题上不会妥协】日本首相野田佳彦今晨在纽约举行记者会，表示日本政府不可能在钓鱼岛“国有化”问题上向中国作出退让和妥协；“钓鱼岛都是日本固有领土”，希望此事在不要给日中两国关系带来恶劣影响的情况下，日方将坚持以理性而冷静的方针予以对应。O网页链接 ​​​​,2012-09-27 09:48,转发,评论,赞,媒体版微博,https://weibo.com/2662546531/yDMnpEP74
7,O网页链接,是,【盘锦枪杀村民警察回忆现场:相距1米下意识开枪】盘锦征地事件中开枪警察回应质疑，称当时下意识开枪想控制局面、并未想到射击要害部位。他称，他曾遭死者哥哥泼汽油、女子持镰刀猛砍以及1名持刀男子拉拽，为此开枪警告；由于衣服已沾汽油，面对着火扑来的村民下意识抬手臂开枪。O网页链接 ​​​​,2012-09-27 09:45,转发,评论,赞,微话题-盘锦拆迁...,https://weibo.com/2662546531/yDMm4Cadv
8,【健康小知识】1.发芽、发青的土豆有毒，不能吃。2.新鲜的黄花菜（金针菜）有毒，不能吃。3.没有炒透的四季豆、扁豆有毒，吃不得。4.老鸡头（5年以上鸡头）有大毒，吃不得。5.嫩炒猪肝，含有毒素，不宜吃。6.皮蛋、爆米花含铅特别多，儿童不宜吃。7.久煮的水含有亚硝酸盐，吃则易生癌。 ​​​​,否,,2012-09-27 09:42,转发,评论,赞,专业版微博,https://weibo.com/2662546531/yDMkRhLgo
9,天然食物缓解头痛：1.升降缓解肌肉痛。2.三文鱼缓解颈背痛。3.酸奶缓解腹痛和胀气。4.咖啡缓解头痛。5.毛豆缓解关节痛。 ​​​​,否,,2012-09-25 15:41,转发,评论,赞,专业版微博,https://weibo.com/2662546531/yDvPyt4VN
10,转发微博。,是,【凤凰：台渔船距离钓鱼岛仅2海里 遭日方水炮攻击】据凤凰卫视记者从钓鱼岛前方发回的报道，台湾渔船已进入钓鱼岛2-3海里附近水域，日本船舰进行围堵，并且发射水炮进行攻击，目前形势紧张。O网页链接 ​​​​,2012-09-25 10:43,转发,评论,赞,媒体版微博,https://weibo.com/2662546531/yDtSOsI3a
11,【营养百科】熬夜族来顿双A餐！餐中要有肝，动物肝脏富含维A，维护眼睛，主要要有面汤易消化，护肠胃。 ​​​​,否,,2012-09-25 10:37,转发,评论,赞,专业版微博,https://weibo.com/2662546531/yDtQpf7YM
12,孩子在成长过程中常出现膝盖疼，这多数是一种生长痛，无需特殊治疗。若持续疼痛并伴有跛行，则警惕是否为股骨头坏死。 ​​​​,否,,2012-09-24 16:46,1,评论,赞,专业版微博,https://weibo.com/2662546531/yDmPA1Le7
13,转发微博。,是,【日媒：日中关系短期无望改观 日担忧更多报复性措施】共同社报道，钓鱼岛争端加剧之际，中方突然通知日方取消纪念中日邦交正常化40周年招待会。日政府看到反日游行逐渐平息，原正寻求打开局面。得知纪念仪式取消后，外务省官员称，预计困难局面还将持续。他对中国可能采取更多经济对抗措施表示警惕。 ​​​​,2012-09-24 16:35,转发,评论,赞,媒体版微博,https://weibo.com/2662546531/yDmL83x2P
14,转发微博。,是,【台湾百艘渔船今日15时前往钓鱼岛】台湾中天新闻报道，由台湾苏澳、基隆出发的上百艘漁船，在北京时间今天15时出发前往钓鱼岛。今天上午，各艘渔船备齐了三天两夜活动的物资和干粮，和连夜赶工制作的保钓制服，背后印制台湾当局的旗帜，宣示台湾的护渔決心。报道称，此次活动堪称保钓史上的最大活动。 ​​​​,2012-09-24 16:33,1,评论,赞,媒体版微博,https://weibo.com/2662546531/yDmKjeD42
15,9月23日畅春园社区居委会和承泽园社区居委会联合组织居民到中国航空博物馆参观，接受爱国主义教育，它以丰富的实物和祥实的史料向人们展现出新中国航空事业的起步和蓬勃发展的历史。 ​​​​,否,,2012-09-24 16:11,转发,评论,赞,专业版微博,https://weibo.com/2662546531/yDmBabcql
16,中国海军终于有了第一艘自己的航空母舰，加油！ ​​​​,否,,2012-09-24 10:51,转发,1,赞,专业版微博,https://weibo.com/2662546531/yDkvn2QFV
