序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,为了我们的家园，向那些为拆除违法建筑做出贡献人们致敬！！！ ​​​​,否,,2012-09-23 07:57,转发,评论,赞,专业版微博,https://weibo.com/2662428661/yD9WkjKox
1,转发微博,是,,2012-09-20 21:52,转发,评论,赞,专业版微博,https://weibo.com/2662428661/yCN7SrCz6
2,北大蔚秀园社区--白果树下的老人的幸福生活 ​​​​,否,,2012-09-04 15:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2662428661/yAjTif9v7
3,转发微博,是,优势决定方向，弱势决定发展。放牧的人，永远不会鞭打头羊，只需鞭打落后的羊，就可以保证羊群的速度。胸怀大志的人，永远不看自己的最高分，而看自己的最低分。要想使自己成为臻臻日上的人，只需要不断修正自己的缺点。月满则亏，水满则盈，虚怀若谷，不断改正缺点的人才是真正的强者。  ​​​​,2012-09-01 07:48,转发,评论,赞,微博 weibo.com,https://weibo.com/2662428661/yzOtUtTdO
4,金色秋天 ​​​​,否,,2012-08-24 13:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2662428661/yyDra424o
5,老旧小区自行车棚的现状 ​​​​,否,,2012-08-24 13:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2662428661/yyDqunDYz
6,清理老旧小区车棚内的废旧自行车是个难题。既站用公共资源，又影响小区公共卫生环境。希望对此出台相关处理条例，改善小区内自行车棚的公共卫生环境。 ​​​​,否,,2012-08-24 13:42,转发,评论,赞,微博 weibo.com,https://weibo.com/2662428661/yyDny3Hm9
7,林丹羽毛球蝉联冠军。羽坛伟大的球员林丹！！！ ​​​​,否,,2012-08-05 21:44,转发,评论,赞,微博 weibo.com,https://weibo.com/2662428661/yvNpK8qzk
8,林丹蝉联奥运羽毛球男单冠军，让我们为他祝贺 林丹获得奥运会羽毛球男单冠军。祝贺超级丹！向林丹致敬！ ​​​​,否,,2012-08-05 21:41,转发,评论,赞,微博 weibo.com,https://weibo.com/2662428661/yvNosm8zl
9,央视主持人崔永元自掏腰包请152名农民工兄弟吃饭，目的是感谢这些英雄在7.21北京特大暴雨时在京港澳高速英勇救人的壮举，韩红在嗓子不适的情况下亲自献歌两首，而且还与一名农民工合唱了一首电影《神话》的主题曲。小崔和韩红用实际行动践行了北京精神，向他俩致敬！好样的！咱北京人就是这个样儿地。 ​​​​,否,,2012-08-01 09:53,转发,评论,赞,微博话题小组件,https://weibo.com/2662428661/yv7357GNx
