序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,[带感]//@一句心情签名: 狗狗太聪明了，好有爱。,是,英国小狗拜伦在它未现身前，其身有残疾的主人已在家宅了18个月；它一“下凡”情况则大有改观。它会铺床、取牛奶，从自动提款机中取钱，甚至还懂得主人100多个指令。虽说拜伦不会舞文弄墨，但对主人而言，它的叫声也许是最动人的诗篇。  @全球奇事趣闻   ​​​​,2012-09-27 08:33,转发,评论,赞,专业版微博,https://weibo.com/2662564411/yDLSRfFpm
1,,是,【北京天气：穿起风衣 备战5-6级北风[风]】今天清晨，北京的气温较低，穿了外套出门仍觉得有些凉。预计白天阴有阵雨转多云，傍晚前后将刮起五六级北风，最高气温23℃；夜间多云转晴，五六级大风持续，最低气温只有12℃。今天的主题是：防风，特别是从傍晚开始，风衣可以穿起来了。O网页链接 ​​​​,2012-09-27 08:28,转发,评论,赞,专业版微博,https://weibo.com/2662564411/yDLQK36gD
2,,是,一语道破人生：人生没有绝对的公平，而是相对公平。 在一个天平上，你得到越多，势必要承受更多，每一个看似低的起点，都是通往更高峰的必经之路。让自己心情更平和一点，更豁达一点，对身边的过错淡然，让自己更宽容一点，乐观，阳光，幸福不是得到的多，而是要求的少，计较的少。 ​​​​,2012-09-26 14:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2662564411/yDEMMpsWe
3,[带感],是,香山植物园菊花展 我在:O网页链接 ​​​​,2012-09-26 10:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2662564411/yDDkmkx7W
4,好人,是,,2012-09-26 08:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2662564411/yDCB1BpBg
5,,是,【中国首艘航母舰长、政委亮相】25日上午，我国第一艘航空母舰“辽宁舰”正式交付海军。已任命海军大校张峥（左）任中国首艘航母舰长，他曾担任护卫舰、驱逐舰舰长。梅文（右）任政治委员。他们都是从基层岗位成长起来的优秀军官，有着丰富的舰艇工作经历。（图片自新华社） ​​​​,2012-09-25 17:55,1,评论,赞,政府版微博,https://weibo.com/2662564411/yDwIg8Qzn
6,,是,"【秋雨绵绵 下班带伞】25日17时北京气象信息：下班时天空飘着绵绵细雨，出门带伞，注意安全。夜间小雨转多云，南转北风二三级，最低气温14℃，秋雨秋风带来秋凉，明早外出添衣裳。明天白天多云间晴, 北转南风二三级，最高气温 26℃，空气清新，体感舒适，适宜户外健身、登山、出行。 ​​​​",2012-09-25 17:45,1,评论,赞,微博 weibo.com,https://weibo.com/2662564411/yDwDX1zFP
7,,是,文化委来电，真的要给燕园配流动电影放映车了@燕园街道燕北园社区 @燕园北大校内社区 @燕园承泽园社区 @燕园蔚秀园社区 @燕园燕东园社区 @燕园中关园社区 @燕园畅春园社区 ​​​​,2012-09-25 17:40,转发,评论,赞,微博 weibo.com,https://weibo.com/2662564411/yDwC1l9Us
8,[拍手],是,【祝福祖国】9月22日，直径达11米、约两层楼高的天安门广场国庆主花坛从组装地正阳门移至天安门广场北侧中心，安放在“祝福祖国”的基座上。 ​​​​,2012-09-24 11:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2662564411/yDkKyaXBA
9,[群体围观][右边亮了]区残联为老年人出入方便，在园区每个楼门洞旁安装了扶手栏杆。 ​​​​,否,,2012-09-24 11:20,转发,评论,赞,专业版微博,https://weibo.com/2662564411/yDkHk8H9H
10,为方便社区居民订阅明年报刊，颐和园邮局于2012年9月22日进社区服务 ​​​​,否,,2012-09-24 10:56,转发,评论,赞,专业版微博,https://weibo.com/2662564411/yDkxwA3Pc
