序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,今年是建国63周年又逢传统节日中秋节，在两节到来之际，玉林西里社区在社区大门口悬挂彩旗、国旗增添节日喜庆气氛。再此玉林西里社区全体人员祝所有社区居民，中秋、国庆双节快乐，注意假期出行安全，身体健康，家和万事兴！ ​​​​,否,,2012-09-29 11:16,1,1,赞,360安全浏览器,https://weibo.com/2303392273/yE5O796Iq
1,2012年中秋、国庆将至，玉林西里社区在辖区楼宇及治安宣传栏内以张贴温馨提示及治安宣传画的形式在小区内开展了广泛的治安宣传，以此提高居民朋友们的安全防范意识，平平安安欢度佳节！ ​​​​,否,,2012-09-29 10:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2303392273/yE5ra4CZk
2,2012年9月28日上午8点30 玉林西里社区召开两委一站联席会，对中秋、国庆进行安全部署会，从四个方面进行。一、全力做好节日期间气氛布置工作。二、加强节日期间环境卫生保障工作。三、强化节日期间市容秩序治理。四、加强节日期间值班工作。 ​​​​,否,,2012-09-28 16:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2303392273/yDYzx9md5
3,祖国63华诞之际，为了维护市容整洁，统一给沿街商铺、各个楼门口安装国旗座，统一位置、统一高度、统一旗号，既整洁、又靓丽，国庆节日将五星红旗插在国旗座内，营造了浓厚的喜庆气氛。亮旗迎国庆 北京红起来。 ​​​​,否,,2012-09-28 15:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2303392273/yDYaUl2aP
4,2012年9月28日玉林西里社区吴连拾书记、李健主任为感谢凉水河管理处民心工程给小区带来焕然一新的居住环境，代表社区居民送去一面锦旗，“心系社区为民修路，共驻共建争当先锋”16个金光熠熠的大字，把改造玉林西里社区南侧路口土地这一民心工程表现得淋漓尽致。 ​​​​,否,,2012-09-28 11:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2303392273/yDWtx1Lqo
5,从凉水河到玉林西里社区有一段坑洼土路，下雨天道路更是泥泞不堪，影响居民出行。2012年9月27日上午开始动工了！在社区干部、凉水河管理处和施工方的共同努力下，修路工程仅用了短短的1天就完成了。对原来裸露的黄土地进行了硬化，变得干净整洁，不在漫天尘土，营造了一个干净整洁、舒适的生活空间。 ​​​​,否,,2012-09-28 09:55,转发,评论,赞,微博 weibo.com,https://weibo.com/2303392273/yDVQBqr52
6,2012年中秋、国庆临近，社区综治主任与流动协管员及辖区物业地下空间负责人一起对辖区地下空间进行了治安安全检查，并对流动人员进行了核查登记。确保辖区“两节”期间的安全稳定，营造和谐安定的过节氛围！ ​​​​,否,,2012-09-27 15:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2303392273/yDOtKrIPM
7,在“中秋”、“国庆”两节来临之际，为了使辖区内困难群众能够渡过一个祥和的传统佳节，2012年9月26日，玉林西里社区居委会福利主任为辖区内低保户发放“两节”期间慈善慰问物品：面粉一袋、油1桶。此次我社区的慰问品发放工作共涉及了社区低保户6户。 ​​​​,否,,2012-09-27 09:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2303392273/yDM3SpoDG
8,建国63周年来临之际'为了增强居民们的爱国意识'激发他们的爱国情感'玉林西里社区组织居民开展“向国旗敬礼、做一个有道德的人”网上签名给予活动'借此机会对居民们宣传爱国主义活动'我社区出了一期黑板报、横幅'然后在玉林西里社区居委会里通过网络进行签名留言。每一字每一句都是居民朋友们的心里话！ ​​​​,否,,2012-09-26 14:01,转发,评论,赞,微博 weibo.com,https://weibo.com/2303392273/yDEBBrENP
9,2012年9月19日晚上六点，玉林片消夏晚会——百姓周末大舞台在右安门街道翠林文化广场活动场开演'此次演出有来自玉林五个社区的100多名居民参加10余个节目的表演，演出穿插有奖问答'居民们踊跃回答.此次演出有百余名居民到场观看，大家一起谈笑风生'百姓周末大舞台丰富群众文化生活，促进和谐社区建设。 ​​​​,否,,2012-09-25 16:44,转发,评论,赞,微博 weibo.com,https://weibo.com/2303392273/yDwfctazk
