序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,中纺社区党支部代表街道工委组织部为社区老干部节带去了节日的问候，并带去了书籍和月饼票，提前祝老人节日快乐！ ​​​​,否,,2012-09-29 11:16,2,3,赞,专业版微博,https://weibo.com/2189176975/yE5NXp1iV
1,我们社区有5位居民参加，共有八幅作品参展，大家可以去看看哦,是,#文明城区创建-ing#（37）甘家口地区书画展闪亮登场！地区广大书画爱好者专门为这次活动精心创作，作者中有文化界名人，有87岁的高龄老人，有年满9岁的在校学生，他们奋笔疾书，挥毫泼墨，把颂扬党的情怀和书画艺术有机地融为一体，使人们在享受高雅艺术的同时，感受到党的温暖及浓郁的文化氛围。 ​​​​,2012-09-28 09:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2189176975/yDVSdB639
2,,是,【1升水照明计划】来自菲律宾，1升水（加漂白粉若干），1个矿泉水瓶，将水灌入瓶子，并安装进屋顶，一半在屋顶下（室内），一半露出在外，就能搜集和放大阳光，为室内提供不逊于60瓦电灯泡的照明效果。最难能可贵的是，这个计划最开始是由当地一个名叫Illac Diaz的学生发起的！ ​​​​,2012-09-28 09:51,转发,评论,赞,360安全浏览器,https://weibo.com/2189176975/yDVP63FA0
3,"中纺社区党支部开展喜迎十八大党员志愿者服务日活动,40余名党员打扫了3个小花园和健身器材,受到了居民的好评! ​​​​",否,,2012-09-27 10:17,转发,1,赞,专业版微博,https://weibo.com/2189176975/yDMze9XR0
4,,是,#文明城区创建-ing#（35）【“小书签”承载“大法宣”】今年是甘家口地区“新居民法制宣传年”，街道结合法制知识设计了一套以“十二星座”为主题的小书签，计划按月通过社区居委会向咱们地区常住的外来人员进行发放。拿到书签的您一定留好，集齐十二星座书签还可参加#“六五”普法#知识有奖竞猜哦！ ​​​​,2012-09-27 09:03,转发,评论,赞,专业版微博,https://weibo.com/2189176975/yDM4YDHKI
5,看着就诱人,是,,2012-09-26 08:32,转发,评论,赞,360安全浏览器,https://weibo.com/2189176975/yDCrRCnLM
6,#文明城区创建#今天上午党员公开承诺大会上，中纺社区党员纷纷作出了自己的承诺，并签下目标管理的责任书。表示为文明城区建设贡献自己的力量 ​​​​,否,,2012-09-25 15:32,转发,评论,赞,专业版微博,https://weibo.com/2189176975/yDvM9seZS
7,今天上午9点，中纺社区在北院幼儿园会议室召开党员大会，请各位党员准时参加哦 ​​​​,否,,2012-09-25 08:24,转发,评论,赞,专业版微博,https://weibo.com/2189176975/yDsYrl0Uq
8,祝贺中国昆仑工程公司(中国纺织工业设计院)60岁生日快乐 ​​​​,否,,2012-09-24 11:25,2,评论,赞,专业版微博,https://weibo.com/2189176975/yDkJdo7VR
9,"共同学习,共同进步[呵呵] //@廉洁街区:工作做得非常好，向你们学习。社区工作中一个易被忽视的问题，就是工作总结与提炼（系统地梳理，1500字到2000字的“怎么办”回答）。",是,#文明城区创建# #垃圾分类#为进一步动员社区群众提高垃圾减量分类意识，养成良好文明习惯，推进环境文明建设。2012年9月21日上午，中纺社区居委会在小花园内开展了 “做文明有礼的北京人，垃圾减量、垃圾分类从我做起”的活动。 ​​​​,2012-09-24 11:17,转发,评论,赞,专业版微博,https://weibo.com/2189176975/yDkFR67xc
